question,subject,choices,answer,d,sol,b,output,a,c,solution,the,e,{',Ñ,choice,letter,ad,im,president,Unnamed: 20,3,.,'},?,mar,ab,options,4,dd,f,none,ach,aa,ac,bc,bd,dl,to,goals,objectives,aims,goal,targets,purposes,{,tasks,band,cho,these,given,those,ii,i,iii,reason,factor,valid,cause,success,justification,legitimate,successful,contributing,part,Ð°,(,white,che,core,not,2,p,elastic,el,co,wrong,is,isn,',are,cannot,would,can,was,ba,**,m,horse,cor,state,states,cc,jud,r,cd,dc,free,impl,db,g,both,1,option,}',do,aff,or,and,pro,correct,an,aan,independent,agencies,regulatory,each,individual,independ,independence,they,four,sen,house,senate,first,5,iv,rules,rule,john,thomas
Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?,high_school_government_and_politics,"['Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater.'
 'Once a church has been recognized by the federal government, its tax-exempt status can never be revoked.'
 'Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment.'
 'State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.']",3,0.9991229127597034,0.0002957851001354,0.0002303576676063,8.575583957334755e-05,1.6687053472382627e-05,1.2995890311445996e-05,1.1468832946180244e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements does NOT accurately describe voting behavior in the United States?,high_school_government_and_politics,"['Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.'
 'A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.'
 'Registered voters are more likely to vote in general elections than they are in primary elections.'
 'More women than men have voted in every presidential election since 1980.']",1,2.429133133447441e-05,4.538218156627848e-05,0.9996087890175628,5.14247488386263e-05,5.684487748950615e-05,2.143702466232979e-05,,3.534367854130636e-05,1.0126133440768835e-05,5.420128650879846e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following plays the most significant role in forming a child's political views?,high_school_government_and_politics,"['The geographical area in which the child grows up' ""The child's family""
 'The media to which the child is exposed' ""The child's religion""]",1,5.714795180431818e-07,,2.14446107059526e-05,,1.6373162322672116e-07,0.9999747689419316,,5.043289045636454e-07,3.466198490909889e-07,,2.3822810609638139e-07,1.4449265035272942e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What power was granted to the states by the Articles of Confederation but not by the Constitution?,high_school_government_and_politics,"['Coining money' 'Authorizing constitutional amendments'
 'Having representation in Congress'
 'Appealing to the president to adjudicate disputes']",0,0.998418355053718,5.136240464840912e-05,0.0002608398135618,,0.000379519508354,0.0006257218860689,1.667493139856399e-05,,8.468228905813924e-05,,,8.925447600851525e-06,1.4715575310043336e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The primary function of political action committees (PACs) is to,high_school_government_and_politics,"['contribute money to candidates for election'
 'coordinate local get-out-the-vote campaigns'
 'promote the defeat of incumbents in the federal and state legislatures'
 'organize protest demonstrations and other acts of civil disobedience']",0,3.119437553061015e-05,3.5347858376896545e-05,4.0054371039005584e-05,,0.9997504015013486,4.0054371039005584e-05,8.44339929564877e-06,,,,,,,5.4207696494281965e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal judges are subject to which of the following disciplinary actions?,high_school_government_and_politics,"['Impeachment, conviction, and removal from office by Congress'
 'Removal from office by the appointing president'
 'Removal from office by the president-elect'
 'Recall elections by citizens residing in the district over which the judge has jurisdiction']",0,2.429696132937438e-05,2.429696132937438e-05,5.143666753792308e-05,,0.9998456868831578,7.888068444891801e-06,4.784355357738631e-06,,,,,,,2.5608808833256644e-06,7.888068444891801e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The amount of access cabinet secretaries have to the president is most likely to be controlled by the,high_school_government_and_politics,"['vice president' ""president's chief of staff"" 'national security advisor'
 'chair of the Federal Reserve Board']",1,9.421816836253716e-07,,0.999935009194888,,1.370866260685438e-06,5.144137692105848e-05,,,,,,5.714620781384562e-07,,,,5.421881237874148e-06,2.69939571872479e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following defines the salience of a political issue?,high_school_government_and_politics,"['The amount of coverage the issue receives in the major news media'
 'The degree to which public opinion on the issue is likely to shift quickly'
 'The number of people affected by the issue'
 'The importance of the issue to a particular individual or group']",3,8.938420750492642e-06,2.429714670118541e-05,2.429714670118541e-05,8.938420750492642e-06,4.005922258356584e-05,0.9998545320545992,,,,,,5.421426234585394e-06,,,,,,4.222210996858963e-06,2.9018803509345084e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voters who rely exclusively on television network news coverage of national elections are most likely to be aware of,high_school_government_and_politics,"['which special interest groups have endorsed which candidates'
 ""the relative strength of each candidate's support, as indicated by public opinion polls""
 ""candidates' positions on international issues""
 ""candidates' positions on domestic issues""]",1,0.9962076422252114,3.991035361039539e-05,0.0021790325133396,,0.0003786590727497,0.0006243032675861,,,,,,,,,,,,,3.1082214644432604e-05,0.0001084875889865,3.991035361039539e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which principle was established by the Supreme Court's decision in Marbury v. Madison?,high_school_government_and_politics,"['One man, one vote' 'Separate but equal' 'Judicial review'
 'Right to privacy']",2,1.6700968119094697e-05,,2.902193089495249e-06,,2.2602302507233198e-06,0.9999622455907003,,3.46617535161579e-07,,,8.314922415548838e-07,,,,,,,,3.058889011616006e-07,,,8.93938405307674e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
