question,subject,choices,answer,b,sol,a,the,c,solution,d,none,ac,e,r,choice,output,ad,Unnamed: 18,false,cor,Ð°,which,un,?,.,bb,'},Ñ,3,aa,statement,letter,option,response,its,**,cho,1,f,db,bc,band,}',correct,dor,second,first,ab,ba,4,j,author,cd,2,forms,an,choose,ach,mon,dd,impl
Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,international_law,"['The coastal State' 'The flag State' 'All States enjoy such jurisdiction'
 'The International Tribunal for the Law of the Sea']",1,0.9996637632381786,0.000203399495562,3.119232289818768e-05,2.429260549892468e-05,2.143814910851054e-05,4.783497643867875e-06,4.2214218542341095e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of justiciability?,international_law,"['Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders'
 'Justiciability refers to the just nature or cause of a particular right'
 ""Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice""
 'Justiciability refers to the obligation of a State to enforce a particular Right']",0,0.000825105001954,9.166092981126587e-06,0.6218872722061325,,0.3771932093810156,,6.772877524555884e-05,5.559516422830049e-06,2.9757947023587985e-06,2.6261296075592875e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,international_law,"['R2P is essentially the same as humanitarian intervention'
 'R2P requires a call for assistance by the State in distress'
 'R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis'
 'R2P always involves armed force, whereas humanitarian intervention does not']",2,0.0001584008884455,1.669533081206624e-05,4.0050016609673344e-05,,0.9996521418965288,,1.4733577729273614e-05,,,,2.7525947031228853e-05,1.14745218730017e-05,1.0126230011563192e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the 'Lotus principle'?,international_law,"[""The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'""
 'The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes'
 'The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas'
 'The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris']",0,8.479203126797192e-05,3.1193245078652973e-05,0.9997019117561442,1.14753535678587e-05,1.8919659516133244e-05,3.5346577407010006e-05,2.752794216347342e-05,,,,,,,4.783639064822554e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements best describes the UK Constitution?,international_law,"[""The UK Constitution's only source of power is that of the sovereign""
 'The UK Constitution gives the judiciary the power to overturn acts of parliament'
 'The UK Constitution is uncodified and can be found in a number of sources'
 'The UK Constitution is based on a Bill of Rights']",2,1.3006652624325286e-05,6.961959463946626e-06,1.0129591248962276e-05,1.209807150192152e-06,0.9999510022578678,,2.561161757054919e-06,,,,,,5.42197948223301e-06,,1.209807150192152e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the obligation of the peaceful settlement of disputes?,international_law,"['It is an obligation of result, that is, States are under a strict obligation to resolve their disputes as soon as possible'
 'It is an obligation of conduct, ie States have an obligation to try to resolve their disputes through peaceful means. This does not entail an obligation to resolve their disputes'
 'It is a peremptory norm of international law and all States have a legal interest to safeguard its application in any given dispute'
 'It is an obligation which concerns solely international courts and tribunals']",1,0.948720822849013,,0.0038784513692345,,0.0472380224816701,,0.0001503335198628,,,1.4738179690565674e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which one of the following statements is false?,international_law,"['Protocol 14 changed the committee that hears admissibility cases from a three judge to a one judge formation'
 'Protocol 14 added a new criterion for admissibility'
 'Protocol 14 abolished the Commission of Human Rights'
 'Protocol 14 extended the judicial term of office for the European Court of Human Rights']",2,9.587217041242588e-05,0.0002299853809813,0.0003346267548155,0.0001580664866271,0.9975825033754046,,,,,,,,0.000625164783831,,,4.528680664151672e-05,3.526940047521652e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,international_law,"['Rocks are the islands that are less than 10 square miles'
 'Rocks are the islands that do not have any maritime zone'
 'Rocks are the islands which cannot sustain human habitation or economic life of their own and according to article 121 (3) have no Exclusive Economic Zone or continental shelf.'
 'Rocks are the small islands that can sustain human habitation']",2,8.478370268683746e-05,2.7525238269058524e-05,1.4733198356221843e-05,2.7525238269058524e-05,0.9995931850575192,,2.429093751534712e-05,,,,,8.936136518676321e-06,0.0001148703403775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of international legal personality?,international_law,"['It means that only States are considered subjects of international law'
 'It means having rights and duties under international law and a capacity to enforce these by or against the relevant actor'
 'It means that an entity may challenge the authority of States'
 'It is a term that is meant to denote legal, as opposed, to physical persons under international law']",1,0.999808686730371,7.483712617292488e-05,2.7531040155372325e-05,,8.938020115383429e-06,,2.5607856374902224e-06,,,5.421183237108299e-06,,,2.9328970698838944e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a treaty-based human rights mechanism?,international_law,"['The UN Human Rights Committee' 'The UN Human Rights Council'
 'The UN Universal Periodic Review' 'The UN special mandates']",0,4.784870972522048e-06,5.42196914063772e-06,0.999961868456234,1.1478308760803462e-05,1.067649026388418e-06,,1.5534201672206294e-06,,,,,,,,,,,2.2602130066007864e-06,8.314858977967228e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
