question,subject,choices,answer,b,a,c,d,'},?,e,the,}},sol,',ad,output,none,all,cd,solution,ab,its,1,bd,bc,ac,f,p,3,2,according,}',**,(,y,.
Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,international_law,"['The coastal State' 'The flag State' 'All States enjoy such jurisdiction'
 'The International Tribunal for the Law of the Sea']",1,0.7349733051616449,0.23860510577113136,0.022193729390659247,0.0038566927955940087,7.063779254888257e-05,3.336693055955059e-05,2.944621286755868e-05,1.7860030916599e-05,1.7860030916599e-05,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of justiciability?,international_law,"['Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders'
 'Justiciability refers to the just nature or cause of a particular right'
 ""Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice""
 'Justiciability refers to the obligation of a State to enforce a particular Right']",0,0.007488696397732133,0.9808749918479968,0.010895988965382505,0.0005424793475549899,1.1258799668660452e-05,6.026401194056327e-06,,,,3.060459054958043e-05,6.828807190605002e-06,,,,,,,,,,,,,,,,,,,,,,
In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,international_law,"['R2P is essentially the same as humanitarian intervention'
 'R2P requires a call for assistance by the State in distress'
 'R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis'
 'R2P always involves armed force, whereas humanitarian intervention does not']",2,0.9036344209003097,0.01007882976925447,0.08409201784311952,0.0013584695270524758,5.9686985439526296e-05,,0.00014318163474225353,,,0.00012635734916703763,,,,,,,,,,,,,,,,,,,,,,,
What is the 'Lotus principle'?,international_law,"[""The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'""
 'The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes'
 'The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas'
 'The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris']",0,0.006229458061011956,0.9246027326618972,0.0020224089298128928,0.06698359837905855,,,1.20256773460464e-05,,,,,2.8848100278650525e-05,1.3626877681753253e-05,7.2939420141887925e-06,,,,,,,,,,,,,,,,,,,
Which of these statements best describes the UK Constitution?,international_law,"[""The UK Constitution's only source of power is that of the sovereign""
 'The UK Constitution gives the judiciary the power to overturn acts of parliament'
 'The UK Constitution is uncodified and can be found in a number of sources'
 'The UK Constitution is based on a Bill of Rights']",6.580481419256764e-05,0.0004862354636485901,0.0003786805598466096,0.9963320744616677,0.0014977106676718583,5.807254470009577e-05,,,,,0.00010849379687375594,,,0.0004291012905966654,,,,,,,,,,,,,,,,,,,,
What is the obligation of the peaceful settlement of disputes?,international_law,"['It is an obligation of result, that is, States are under a strict obligation to resolve their disputes as soon as possible'
 'It is an obligation of conduct, ie States have an obligation to try to resolve their disputes through peaceful means. This does not entail an obligation to resolve their disputes'
 'It is a peremptory norm of international law and all States have a legal interest to safeguard its application in any given dispute'
 'It is an obligation which concerns solely international courts and tribunals']",1,0.8265698438136406,0.009211048251896805,0.16278488717764752,0.0008540427161923065,2.9223748640850895e-05,4.818181599376483e-05,,,,,3.3114845565193955e-05,,,,,,,,,,,,,,,,,,,,,,
Which one of the following statements is false?,international_law,"['Protocol 14 changed the committee that hears admissibility cases from a three judge to a one judge formation'
 'Protocol 14 added a new criterion for admissibility'
 'Protocol 14 abolished the Commission of Human Rights'
 'Protocol 14 extended the judicial term of office for the European Court of Human Rights']",2,0.03197237549861902,0.16236912039605683,0.30334545279175895,0.5001321301981316,,,0.0015918108448327631,,,2.915504651533398e-05,,2.2705973056625337e-05,,,7.379778358257483e-05,4.242034237260525e-05,,,,,,,,,,,,,,,,,
Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,international_law,"['Rocks are the islands that are less than 10 square miles'
 'Rocks are the islands that do not have any maritime zone'
 'Rocks are the islands which cannot sustain human habitation or economic life of their own and according to article 121 (3) have no Exclusive Economic Zone or continental shelf.'
 'Rocks are the small islands that can sustain human habitation']",0.00010827291145611945,0.001919184191563298,0.0010272652719672342,0.9944793338480661,0.0007060284078973724,0.00010827291145611945,,,,,0.00010827291145611945,,,0.00048524575526972337,,,,,,,,,,,,,,,,,,,,
What is the meaning of international legal personality?,international_law,"['It means that only States are considered subjects of international law'
 'It means having rights and duties under international law and a capacity to enforce these by or against the relevant actor'
 'It means that an entity may challenge the authority of States'
 'It is a term that is meant to denote legal, as opposed, to physical persons under international law']",0.0001577470818580338,0.9955674701884091,0.00020255126251403713,0.0013208007752552754,0.0009077722122517552,,6.575876714173096e-05,5.1212979343790245e-05,,,0.00017875086178323704,,,0.00033395057491405854,,,,,,,,,,,,,,,,,,,,
Which of the following is a treaty-based human rights mechanism?,international_law,"['The UN Human Rights Committee' 'The UN Human Rights Council'
 'The UN Universal Periodic Review' 'The UN special mandates']",0,0.045186023311910385,0.9077485058504804,0.010082362214234489,0.035190910339198564,7.697978545435386e-05,0.00011200492693523596,0.00016296620708570726,0.00020925275195924603,,,,,,,7.697978545435386e-05,,,,,,,,,,,,,,,,,,
The UN Vienna Declaration 1993 declared that,international_law,"['Third generation rights are of primary importance'
 'Civil and political rights are core rights'
 'All types of rights are indivisible, interrelated and interdependent'
 'Social and economic rights are non-enforceable']",2,0.025542347288326033,0.009396504446636287,0.9587755870606245,0.0056992680410110005,5.58736578307559e-05,2.9907013907071668e-05,6.331314893810621e-05,,,,3.388908654464632e-05,,,,,,,,,,,,,,,,,,,,,,
What is the principal source of immunity in respect of international organisations (IOs)?,international_law,"['The principal source of immunity for IOs is the UN Charter'
 'The principal sources of immunity for IOs are headquarters agreements and multilateral treaties providing specific immunities'
 'The principal source of immunity for IOs is customary law'
 'The principal source of immunity for IOs is the Vienna Convention on Diplomatic Immunities']",1,0.8627279766906124,0.026107164839812957,0.02951872152643066,0.08024020432463931,0.00013669876791516894,0.00022537816634023925,0.00019889553370545685,,,,,,,7.316957779105924e-05,,,,,,,,,,,,,,,,,,,
Is there any hierarchy or priority among States under international law?,international_law,"['Yes, the States that were the founding members of the United Nations are vested with more powers and authority'
 'Yes, the Permanent Five Members of the UN Security Council (UK, USA, France, Russia, China) are in a superior position than the other States'
 'No, all States are considered equal as sovereign States (the principle of sovereign equality, enshrined in article 2, para 1 UN Charter)'
 'Whether there will be any hierarchy among States is a matter of each international organization to decide']",3.99087931202566e-05,0.0016969658739661646,0.0002948883112061936,0.9963817720340218,0.0007074006215470405,,0.00017885880193743698,,,,0.00013929537500808923,,,4.5222587187982775e-05,,,,,,,,,,,,,,,,,,,,
What is the declaratory theory of recognition?,international_law,"['Recognition is determinate for the existence of statehood'
 'Recognition is simply declaratory of statehood but not determinate'
 'Recognition is merely a declaration of interest'
 'Recognition requires a declaration by the newly-created State']",6.587714924821721e-05,0.9972846529802745,0.0007082461002287033,0.0010304919952695854,0.00022993384393617757,2.423484885140185e-05,5.8136380162654795e-05,3.526149701335947e-05,,,0.0001790726577121133,,,7.464858976306977e-05,,,,,,,,,,,,,,,,,,,,
"What is the function of ""standard-setting in human rights diplomacy?",international_law,"['Standard-setting means putting forward binding legal standards'
 'Standard-setting means merely proposing binding legal standards'
 'Standard-setting means putting forward non-binding legal standards'
 'Standard-setting means setting certain standards of conduct in human rights treaties']",2,0.05411400705559956,0.8467391075179144,0.01990743067516145,0.07873541567648613,3.843038188853181e-05,,5.5915875708312596e-05,,,,1.8153227013206495e-05,1.8153227013206495e-05,,,,,,,,,,,,,,,,,,,,,
What dimension did the Kadi judgment introduce with respect to the incorporation of UN Security Council resolutions?,international_law,"['The Kadi judgment demanded that UNSC resolutions are construed in accordance with human rights'
 'The Kadi judgment demanded that all UNSC resolutions be incorporated without any further implementing legislation'
 'The Kadi judgment required that important UNSC resolutions be transformed and not merely incorporated'
 'The Kadi judgment claimed that UNSC resolutions are not binding if they violate human rights']",0,0.034261939753974444,0.8837360746365491,0.07253252702834635,0.008662774998881472,2.4331952125339035e-05,5.836931880746603e-05,3.124284496656463e-05,,,,,,,0.000254898996128014,,,,,,,,,,,,,,,,,,,
Magna Carta was,international_law,"['An agreement in 1689 which guaranteed freedom of speech in Parliament'
 'An agreement in 1215 between the King and his barons, which guaranteed certain protections for subjects'
 'A constitutional document in the 19th century guaranteeing the right to vote'
 'A document setting a complete Bill of Rights for England']",0.0002025835241284677,0.9956512846718284,0.0001228731185365497,0.0010288040255530407,0.0002601223939831269,0.0002025835241284677,0.00013923348419318807,,,,0.0001228731185365497,0.0001228731185365497,,,,,,0.0001228731185365497,,,,,,,,,,,,,,,,
Do individuals (physical) persons enjoy international legal personality in the same manner as States and international organisations?,international_law,"['Individuals enjoy international legal personality, but this is limited'
 'Individuals enjoy unlimited international legal personality'
 'Individuals do not enjoy any international legal personality'
 'Individuals can only bring claims before international courts']",0,0.0013244163979210639,0.998248728540018,0.00023014906023717717,7.471846026620503e-05,1.1458446996827977e-05,7.875267772514482e-06,,,,2.7487385407922122e-05,,,,6.133264708131276e-06,,,,,,,,,,,,,,,,,,,
