question,subject,choices,answer,a,b,d,c,Ð°,'},(,____,the,sol,false,china,none,e,richard,solution,.,output,ad,option,4,dd,Unnamed: 26,**,choice,ab,us,?,it,ac,george,ge,*,Ñ,care,correct,direct,an,i,real,not,aut,all,bc,ba,band,aa,ach,1,options,br,bb,iii,cho,they,argument,thesis,point,arguments,idea,claim,contention,conclusion,american,da,national,9,},match,matching,{',bd,db,thomas
What is the structure of the United Nations Security Council?,us_foreign_policy,"['5 permanent members with veto power, 10 rotating members with no veto power'
 '5 permanent members and 10 rotating members, all with veto power'
 '10 permanent members with veto power, and 5 rotating members without veto power'
 '15 permanent members with veto power']",0,0.9999574907053778,1.670093626455637e-05,1.3006702240862122e-05,2.9021875540065064e-06,1.370896330293931e-06,6.475655737062516e-07,6.475655737062516e-07,5.714746130161836e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the significance of the Gulf of Tonkin resolution?,us_foreign_policy,"['It allowed the US to intensify its involvement in Vietnam'
 'It illustrated the influence of public opinion on US foreign policy'
 'It enhanced Congressional control over the Vietnam War'
 'It curtailed US involvement in Vietnam']",0,0.9999296806704306,1.1478024153557188e-05,2.144377222419262e-05,1.4738074746523228e-05,3.288508978471257e-06,1.209774845287277e-06,,,1.99458152018309e-06,1.3708544944964369e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is not a nonstate actor that poses a threat to the United States?,us_foreign_policy,['Terrorists' 'Organized crime' 'Drug traffickers' 'China'],3,,1.1474839223137385e-05,0.9996461928552818,,,,,,6.959841804105919e-06,8.478823074597193e-05,5.142666153022134e-05,2.752670831462888e-05,1.300269631488867e-05,7.886533973912452e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who was the first American president to visit communist China?,us_foreign_policy,['Richard Nixon' 'George H. W. Bush' 'Jimmy Carter' 'Ronald Reagan'],0,0.9999727611150706,1.4738791585446983e-05,4.784985054095847e-06,3.058938604144094e-07,,,6.825408097049358e-08,,,,,,,,6.144042427930034e-06,1.1253195510814158e-07,6.023401504521874e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Strategic Arms Reduction Treaty was the first accord,us_foreign_policy,"['on nuclear weapons signed between the United States and the Soviet Union.'
 'cutting conventional arms in Europe.'
 'to be rejected by the U.S. Senate.'
 'mandating the elimination of many long-range nuclear missiles.']",3,0.9996974192100632,4.538620676812821e-05,0.0001795059299302,2.901443126971832e-06,,,,,,2.1438926033051632e-05,,,,,,2.2596461793228083e-06,,1.315864884562306e-05,4.783670999165153e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What were the implications of the Cold War for American exceptionalism?,us_foreign_policy,"['It ended the influence of American exceptionalism entirely'
 ""Exceptionalism was enhanced by America's status as the 'leader of the free world'""
 'The extension of American power globally challenged core assumptions of exceptionalism'
 'Both b and c']",3,3.1162173698405435e-05,0.0007092478042619,0.9987013071552446,0.0004301805386187,,,,,4.2173416037422224e-06,4.778874114334868e-06,,,,4.534069519202103e-05,,,,,,1.2990326665489785e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,us_foreign_policy,"['He believed that internal reform rather than international negotiation was the key to economic regeneration of the US'
 'He believed that German domination of Europe would be in US interests'
 'He always favoured isolationism' 'All of the above']",0,0.996321021701541,0.000229707656235,0.0031710148695456,0.000229707656235,,,,,4.207242481577858e-06,1.0092650044785948e-05,,,,2.8915926508623865e-06,,,2.251974620815146e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the 'New Populism'?,us_foreign_policy,"['A strand of neo-isolationist sentiment'
 'A strand of internationalist sentiment'
 'An expression of American cultural superiority'
 'Increased incorporation of public opinion in foreign policy making']",0,1.012469464502122e-05,3.533865665070144e-05,0.9994669419658092,1.4731343784136756e-05,,,,,,0.0003799263636299,,,,3.118625503574453e-05,,5.419358519012629e-06,,1.7613719797213467e-05,,,3.28700709775601e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How did World War I shift economic power from Europe to the United States?,us_foreign_policy,"['The war reduced European population levels below that of the United States'
 'The United States seized German resources after the war'
 'European countries paid the United States for assistance'
 'The United States became a creditor country and financial centre, with European war spending boosting the US economy']",3,2.752857223527819e-05,7.483041767057891e-05,0.9997140986828226,8.479397202576099e-05,,,,,,1.1475616220863778e-05,,,,4.221643282429305e-06,,,,4.221643282429305e-06,,,,7.887067996119448e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In American government, the power to declare war rests with",us_foreign_policy,"['the president of the United States.' 'the secretary of defense.'
 'the chairman of the Joint Chiefs of Staff.' 'Congress.']",3,0.0013246551381358,0.0002031424447897,0.9984178237454644,5.413562784348343e-06,,,,,2.557185990489676e-06,,,,,,,,,,,,2.25670871593986e-06,,1.8895190739127757e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How did the Cold War context shape US perceptions of the Third World?,us_foreign_policy,"['The US ignored the Third World'
 'Local developments were viewed through a geopolitical lens'
 'The US unreservedly supported decolonization' 'None of the above']",1,1.473761092815089e-05,0.999895773183598,1.3005895995590044e-05,1.892346701300076e-05,,,,,2.260085835260035e-06,1.473761092815089e-05,,,,4.784601750791565e-06,,,,,,,,,,1.994518749192299e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
