question,subject,choices,answer,d,b,c,a,e,output,none,f,?,sol,bc,'},ab,solution,the,im,',ad,},which,}},input,cd,g,}',**,bd,all,income,cong,2,db,4,div,Unnamed: 38,what,an,1,cf,first,de,.,few
Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?,high_school_government_and_politics,"['Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater.'
 'Once a church has been recognized by the federal government, its tax-exempt status can never be revoked.'
 'Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment.'
 'State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.']",3,0.9776715830867546,0.0084576969103592,0.0065868609767683,0.0065868609767683,0.0002554003164718,0.0001755338993109,3.0503217892495817e-05,3.0503217892495817e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements does NOT accurately describe voting behavior in the United States?,high_school_government_and_politics,"['Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.'
 'A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.'
 'Registered voters are more likely to vote in general elections than they are in primary elections.'
 'More women than men have voted in every presidential election since 1980.']",1,0.0056089750340905,0.9434008775340458,0.0063558013831701,0.041576941570861,0.0003164365671077,,,,0.0005911816191799,0.000279254290337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following plays the most significant role in forming a child's political views?,high_school_government_and_politics,"['The geographical area in which the child grows up' ""The child's family""
 'The media to which the child is exposed' ""The child's religion""]",1,0.0019725251370651,0.6198163974311381,0.3760753752433488,0.0007256514451201,0.0002355844197649,,,,0.0001834733305923,,5.956506947127359e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What power was granted to the states by the Articles of Confederation but not by the Constitution?,high_school_government_and_politics,"['Coining money' 'Authorizing constitutional amendments'
 'Having representation in Congress'
 'Appealing to the president to adjudicate disputes']",0,0.0521672945103702,0.3854670197153104,0.0669841320711502,0.4950145212020961,7.843035515849439e-05,,,,5.390434223220142e-05,,,3.704787649647146e-05,1.5443852621119033e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The primary function of political action committees (PACs) is to,high_school_government_and_politics,"['contribute money to candidates for election'
 'coordinate local get-out-the-vote campaigns'
 'promote the defeat of incumbents in the federal and state legislatures'
 'organize protest demonstrations and other acts of civil disobedience']",0,0.0004290182263927,0.0016968000009145,0.0005508703069105,0.9960926743786842,,9.57269055616059e-05,,,,0.0001229157798019,,8.447869765212528e-05,,5.806130318252978e-05,3.990491118998487e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal judges are subject to which of the following disciplinary actions?,high_school_government_and_politics,"['Impeachment, conviction, and removal from office by Congress'
 'Removal from office by the appointing president'
 'Removal from office by the president-elect'
 'Recall elections by citizens residing in the district over which the judge has jurisdiction']",0,0.0002299228800975,0.0011676447313704,0.0002029062295193,0.9973399542390456,,7.464503032579339e-05,,,4.5274499487773e-05,,,3.995460556402752e-05,,,,8.458390064279912e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
The amount of access cabinet secretaries have to the president is most likely to be controlled by the,high_school_government_and_politics,"['vice president' ""president's chief of staff"" 'national security advisor'
 'chair of the Federal Reserve Board']",1,0.0001086774003707,0.9979713529720824,0.0003347499597186,0.0004298274565139,,8.463804451092285e-05,,,9.59074692081534e-05,,,8.463804451092285e-05,,,,,7.469281212170654e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following defines the salience of a political issue?,high_school_government_and_politics,"['The amount of coverage the issue receives in the major news media'
 'The degree to which public opinion on the issue is likely to shift quickly'
 'The number of people affected by the issue'
 'The importance of the issue to a particular individual or group']",3,0.0085154919931746,0.0027645754863544,0.0031326744357489,0.984405402292012,3.943455139644462e-05,3.480086946217541e-05,,,0.0001071942244743,,,,,,0.0001559666763068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voters who rely exclusively on television network news coverage of national elections are most likely to be aware of,high_school_government_and_politics,"['which special interest groups have endorsed which candidates'
 ""the relative strength of each candidate's support, as indicated by public opinion polls""
 ""candidates' positions on international issues""
 ""candidates' positions on domestic issues""]",1,0.1534458542945624,0.6876579800811802,0.0388145334655536,0.119527715898958,0.0001089537520359,,,,4.008184541252315e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which principle was established by the Supreme Court's decision in Marbury v. Madison?,high_school_government_and_politics,"['One man, one vote' 'Separate but equal' 'Judicial review'
 'Right to privacy']",2,0.000625154946549,0.0005516973039649,0.9976220726109108,0.000229981652382,,3.99648186556748e-05,,,0.0001580639240008,7.466411089297632e-05,,5.814846803078017e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following people would most likely be accused of influence peddling?,high_school_government_and_politics,"['A congressperson who retires to take a position teaching political science at a university'
 'A former president who advises a current president on a particular foreign policy issue'
 'A voter who researches the positions of all candidates in a race before choosing whom to support'
 'An official who leaves the State Department to work as a paid consultant to foreign governments']",3,0.9964992008811666,0.002179832723862,0.0002950084197632,0.0002297527883242,5.12647764533438e-05,0.0002063717089369,,,3.523373123599907e-05,5.809060213492318e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following does the Supreme Court NOT have the power to override?,high_school_government_and_politics,"['Constitutional amendments' 'Presidential executive orders'
 'Laws passed by Congress' 'Laws passed by state legislatures']",0,0.0225918050481476,0.01067161052648,0.0057121014950019,0.9606840954556248,5.599949928923747e-05,,,,4.941938466904032e-05,3.848785547915558e-05,,,,,,,,1.604412516813534e-05,,,,,,,,,,,,,,,,,,,,,,,,,
"According to The Federalist Papers, federalism has which of the following effects on political factions?",high_school_government_and_politics,"['It provides a structured environment in which factions may flourish.'
 'It limits the dangers of factionalism by diluting political power.'
 'It allows factions to dominate on the national level while limiting their influence on state governments.'
 'It eliminates any opportunity for factions to form.']",1,0.0008015264726909,0.9961464597401632,0.0013214937445548,0.0011662141363545,7.45536109961e-05,0.0001229181242567,,,,2.420401376035846e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements about voting patterns is NOT true?,high_school_government_and_politics,"['Non-whites are more likely to vote Democratic than are whites.'
 'Women are more likely to vote Democratic than are men.'
 'Low-income Americans are more likely to vote Democratic than are upper-income Americans.'
 'Evangelical Christians are more likely to vote Democratic than are non-religious Americans.']",3,0.9973157174341274,0.0003345622977861,0.0002952501915178,0.0008478509310865,0.000260557379502,0.0001790782934416,,,,6.587922251723533e-05,,,,,4.527808333118065e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The legal principle that instructs judges to follow established precedent when deciding cases is commonly referred to as,high_school_government_and_politics,['certiorari' 'de jure' 'ex post facto' 'stare decisis'],3,0.998380664926303,0.0002031389576485,8.46809161607581e-05,9.595604915184464e-05,0.0001087324486588,0.0003795133554577,,2.1410688614461704e-05,,3.115236811510545e-05,,,,,2.4261488682572788e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voters in which of the following categories would be LEAST likely to vote?,high_school_government_and_politics,"['Blue-collar workers who belong to a union' 'Professionals'
 'Voters who are active in their political parties' 'Voters aged 18-29']",3,0.0100975465642685,0.5513156195535711,0.0089110535666707,0.4293721050529801,0.0001271093524506,,,3.2138277296616194e-05,6.004220663823898e-05,6.328402020653612e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
