question,subject,choices,answer,c,b,sol,output,d,solution,e,a,ad,Ð°,none,increasing,all,.,the,Ñ,?,4,ach,1,an,social,Unnamed: 26,aa,str,aff,affected,policy,'},ac,ab,choose,<b>,**,second,(,choice,Ã©,aug,letter,da,abc,mac,inst,ag,ba,response,g,not,sc,option,function,f,stage,part,bc,both,3,{',false,eth,vertical,modern,bb,band,balance,sentence,options,non,acc,family,gen,cor,cd,in,multi,trans,equilibrium,cho,i,bad
Mass-society theory suggests that:,sociology,"['the content of the media is determined by market forces'
 'the subordinate classes are dominated by the ideology of the ruling class'
 ""the media manipulate 'the masses' as vulnerable, passive consumers""
 'audiences make selective interpretations of media messages']",2,0.9996116663343556,9.607307127781824e-05,8.478418782446366e-05,7.571528588397593e-05,3.534330777330792e-05,2.14367997801711e-05,1.0126027213958764e-05,1.0126027213958764e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ecological approach to urban sociology involved studying:,sociology,"['how social groups colonized different areas of the city and competed for resources'
 'the forms of wildlife and natural habitats that could be found on the edges of the city'
 'the way in which people organized collective protests about environmental issues'
 ""how men and women used the city's public spaces differently""]",0,8.938667959837776e-06,4.006033049898601e-05,,2.260049193998221e-06,4.006033049898601e-05,,,0.9998826144105863,2.9019606080583603e-06,1.9944864133922413e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becker proclaimed that cannabis use was:,sociology,"['increasing throughout all sections of youth in the 1970s'
 'learned gradually through the social processes of a deviant career'
 'a dangerous pastime that young people should not be allowed to pursue'
 'not as enjoyable as other sociologists had suggested']",1,7.483341501219832e-05,0.0001088819763693,5.420914401526952e-06,2.9016063864404838e-06,2.752967489563814e-05,,,0.9997564722074964,,,6.142700768297946e-06,1.2095694985636383e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The middle classes that developed over the nineteenth century were:,sociology,"['an urban set, involved in civic bodies and voluntary associations'
 'too diverse to have a strong sense of class consciousness'
 ""often involved in 'white collar' work"" 'all of the above']",3,5.421602026783983e-06,1.669970991102817e-05,5.421602026783983e-06,,0.999885384812916,,1.1477531580769002e-05,4.006052152198296e-05,,,,,3.726208946880037e-06,2.901974445717847e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technological forms of surveillance have made it easier to:,sociology,"[""access and exchange 'private' information about consumers""
 'reduce prison overcrowding by the use of electronic tagging'
 ""monitor employees' activities at work"" 'all of the above']",3,3.534883599041074e-05,3.119523827150835e-05,6.142706626436696e-06,,0.9997583340486496,,1.0127611074676806e-05,0.0001088820802073,,,,,3.287953923839573e-06,5.420919571316253e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The concept of gemeinschaft developed by Ferdinand TÃ¶nnies describes basically the same relational characteristics as,sociology,['organic solidarity' 'mechanical solidarity' 'gesellschaft' 'anomie'],1,4.005960461990466e-05,0.9998615296656836,1.1477268883925317e-05,1.1477268883925317e-05,4.784437487346407e-06,,1.760096189164696e-06,3.1198451447512614e-05,,,,,,,2.5609248441368465e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was a growth in income inequality in the 1980s because:,sociology,"['rates of income tax increased equally for all occupational groups'
 'there were more professional jobs available but not enough people to fill them'
 'the price of consumer goods rose at a higher rate than earnings'
 'growing unemployment made more people dependent on welfare benefits']",3,0.9994512911450916,0.0003799180302229,4.004306578257126e-05,1.1472530427694809e-05,1.0124472567248191e-05,,2.2590751853484734e-06,4.537473804757379e-05,,,,,,,2.559867551639277e-06,7.884947163557849e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If a deviant act is 'normalized', it is:",sociology,"['recognised as breaking an important norm of behaviour'
 ""seen a temporary aberration from an otherwise 'normal' character""
 'the first step in establishing a deviant career'
 ""attributed to the person's genetic or anatomical make up""]",1,8.93876173068824e-06,3.535348845277831e-05,7.88842954027409e-06,,2.2600729029821507e-06,,,0.9998981224127482,,2.560998113832476e-06,,,,,2.2600729029821507e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the debate about the 'managerial revolution', John Scott (1997) argued that:",sociology,"['owners still exercised control through groups of shareholders and interlocking directorships'
 'ownership and management were becoming increasingly separate functions'
 'the techniques of scientific management were overly bureaucratic and inefficient'
 'managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses']",0,4.006036870351253e-05,0.9998803185347542,1.0128847430785225e-05,,4.222331797012599e-06,,1.209718313779416e-06,4.539434482567193e-05,,,,,,5.04285619524167e-07,,,7.337312469230838e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marxist feminists explain patriarchy in terms of:,sociology,"['a lack of equal rights and opportunities for men and women'
 'sex classes, through which men oppress women economically, politically and sexually'
 ""women's domestic labour being exploited by the capitalist economy""
 'the dual systems of capitalism and male domination']",2,0.0001794663893507,0.0002611220557178,,4.220644934446887e-06,0.9994966941460528,,,1.3000501640383838e-05,3.72470608155874e-06,,,,,,3.72470608155874e-06,,,2.2591484368834804e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
