question,subject,choices,answer,a,b,d,'},',c,output,sol,?,e,china,ad,}},solution,input,dc,.,Unnamed: 21,the,all,4,none,},ac,ab,or,more,i,bd,aut,br,}',da,national,which,db,both
What is the structure of the United Nations Security Council?,us_foreign_policy,"['5 permanent members with veto power, 10 rotating members with no veto power'
 '5 permanent members and 10 rotating members, all with veto power'
 '10 permanent members with veto power, and 5 rotating members without veto power'
 '15 permanent members with veto power']",0,0.9989970339230332,0.00048754372419,0.0001087856573848,7.47672160068214e-05,5.822876637418138e-05,4.002000684619913e-05,2.750532164253397e-05,1.4722537754257032e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the significance of the Gulf of Tonkin resolution?,us_foreign_policy,"['It allowed the US to intensify its involvement in Vietnam'
 'It illustrated the influence of public opinion on US foreign policy'
 'It enhanced Congressional control over the Vietnam War'
 'It curtailed US involvement in Vietnam']",0,0.9989920917580792,0.0005525189559747,0.0002303242777254,1.2994006583265552e-05,,8.473156657785336e-05,4.780227880429773e-06,1.2994006583265552e-05,5.416707828015912e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is not a nonstate actor that poses a threat to the United States?,us_foreign_policy,['Terrorists' 'Organized crime' 'Drug traffickers' 'China'],3,0.0019399102884185,0.0021768651078332,0.9951734996122882,,,0.0002946066559365,1.8833573411281396e-05,3.5185747389629456e-05,,8.44062201127494e-05,1.6620570200055422e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
Who was the first American president to visit communist China?,us_foreign_policy,['Richard Nixon' 'George H. W. Bush' 'Jimmy Carter' 'Ronald Reagan'],0,0.9976151862292416,0.001030758355954,0.001030758355954,8.91780712378386e-06,,0.0002029683546016,,,,,,7.869937164586096e-06,6.945195171282623e-06,6.129113226502403e-06,,,,,,,,,,,,,,,,,,,,,,,
The Strategic Arms Reduction Treaty was the first accord,us_foreign_policy,"['on nuclear weapons signed between the United States and the Soviet Union.'
 'cutting conventional arms in Europe.'
 'to be rejected by the U.S. Senate.'
 'mandating the elimination of many long-range nuclear missiles.']",3,0.9756494129279272,0.0018831042271376,0.0202452783767129,,,0.0002887833863182,0.0011421604491934,,,,,9.375423890031558e-05,,,3.043754498429163e-05,,,,,,,,,,,,,,,,,,,,,,
What were the implications of the Cold War for American exceptionalism?,us_foreign_policy,"['It ended the influence of American exceptionalism entirely'
 ""Exceptionalism was enhanced by America's status as the 'leader of the free world'""
 'The extension of American power globally challenged core assumptions of exceptionalism'
 'Both b and c']",3,0.0001083383962492,0.0014955647150814,0.994838661381024,,,0.0027940827330291,,8.437402783562278e-05,,0.0002598903021503,,,,,,2.7392236317797014e-05,,,,,,,,,,,,,,,,,,,,,
Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,us_foreign_policy,"['He believed that internal reform rather than international negotiation was the key to economic regeneration of the US'
 'He believed that German domination of Europe would be in US interests'
 'He always favoured isolationism' 'All of the above']",0,0.9991093628362128,0.0006261191391885,5.823815191664494e-05,,8.931109856286992e-06,5.823815191664494e-05,,1.8907159714129184e-05,,,,,,,,,1.14677720547029e-05,7.881676784816021e-06,,,,,,,,,,,,,,,,,,,
What was the 'New Populism'?,us_foreign_policy,"['A strand of neo-isolationist sentiment'
 'A strand of internationalist sentiment'
 'An expression of American cultural superiority'
 'Increased incorporation of public opinion in foreign policy making']",0,0.0210628677125182,0.0733348531009283,0.8934892200104197,,,0.0112462612845526,0.0001249346776782,,7.577671247318237e-05,0.0002334087065155,,,,,,,,,,,,,,,,,,,,,,,,,,,
How did World War I shift economic power from Europe to the United States?,us_foreign_policy,"['The war reduced European population levels below that of the United States'
 'The United States seized German resources after the war'
 'European countries paid the United States for assistance'
 'The United States became a creditor country and financial centre, with European war spending boosting the US economy']",3,0.0006237358288899,0.0010283665283886,0.9952972945714196,,,0.001320448760122,0.0006237358288899,7.44946214586329e-05,,0.000378314903783,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In American government, the power to declare war rests with",us_foreign_policy,"['the president of the United States.' 'the secretary of defense.'
 'the chairman of the Joint Chiefs of Staff.' 'Congress.']",3,0.0007072191694054,0.0011660072876456,0.9959232106814916,,3.989859434605018e-05,0.0002026217810837,0.0010289978197383,,6.57816611693688e-05,6.57816611693688e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
