question,subject,choices,answer,b,d,c,e,sol,output,a,the,.,iv,dv,'},?,g,f,solution,i,ad,da,Unnamed: 23,(,4,choice,none,cho,un,____,**,bd,an,ba,band,ac,ab,db,demand,sup,Ð°,aa,}',option,Ñ,letter,for,you,to,your,input,please,bb,ins,ach,x,people,cpi,gdp,cp,}},1,of,given,provided,options,available,',\,in,0,undefined,bc,2,problem,dc,expansion,struct,},n,creased,cre,increased,creases,formed,crease,aug,ce,s,menu,defin,directly,con,concluded,confidently,logically,correctly,accurately,confirmed,definitely,7,analy,u,us,official,united,gross,usa,__,5,9,3,8,abc,capital,cap,total,not,flawed,incorrect,incorrectly,phr,misleading,missing,mis,structured,based,market,which,medium,k,cd,month,care,ca,dep,{',{,dollar,auto,m,real,",",impact,'',economists,"""",economist,econom,ç»æµå­¦å®¶,and,clos,budget,abcd,both,all,bdc,ii,is,iii,app,ec,aan,second,ag,ada,false
Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that,high_school_macroeconomics,"['inflation had already impacted the economy before the fiscal stimulus.'
 'the economy initially had some unemployed resources.'
 'aggregate supply decreased.' 'aggregate demand is steeply sloped.']",1,0.999732327593137,0.0001233767368518,3.1194524277338584e-05,1.892043538935593e-05,1.3003812393161623e-05,1.1475824158756307e-05,7.887210909603639e-06,4.783835236294575e-06,3.2878786694077383e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens,high_school_macroeconomics,['II III and IV only' 'I and III only' 'II and IV only' 'III and IV only'],3,5.422108753838448e-06,0.999975342089432,3.288675199499279e-06,1.2098359945861764e-06,,,1.2098359945861764e-06,,1.12532169746017e-07,1.3006962730785783e-05,6.023412993259455e-08,4.1398271719974625e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain?,high_school_macroeconomics,"['The price level rises but real GDP falls.'
 'Both the price level and real GDP rise.'
 'The price level rises but the change in real GDP is uncertain.'
 'Real GDP rises but the change in the price level is uncertain.']",3,0.0002181777246153,0.0533863162848518,0.9463039319011428,9.586060204531067e-06,,,4.296174124624956e-05,,3.1121380976466976e-06,,,,2.2995762991130765e-05,2.4237355874736005e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tariffs and quotas,high_school_macroeconomics,"['result in lower domestic prices.'
 'sometimes raise and sometimes lower the amount of the product sold domestically.'
 'lower the amount of the product sold domestically.'
 'raise the amount of the product sold domestically.']",2,0.0002303910623278,0.0004304271708224,0.999276196574258,7.883548628683091e-06,,,4.536669003504103e-05,,,,,1.2089813385720768e-06,,,1.993273248783296e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A likely cause of falling Treasury bond prices might be,high_school_macroeconomics,"['expansionary monetary policy.' 'contractionary monetary policy.'
 'a depreciating dollar.'
 'fiscal policy designed to reduce the budget deficit.']",1,0.9995898691604956,0.000139781894566,4.004818330736844e-05,2.143624780669241e-05,4.004818330736844e-05,7.885954863938559e-06,7.481985656649569e-05,,,,,,,,,1.3001741523956638e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households demand more money as an asset when,high_school_macroeconomics,"['nominal GDP falls.' 'the nominal interest rate falls.'
 'bond prices fall.' 'the supply of money falls.']",1,3.535419648986087e-05,7.88858752470171e-06,0.999912089581928,8.314510079919572e-07,2.4298560207750797e-05,4.6592834903792425e-06,5.421741630531699e-06,,,,,,,,,1.0676042269923154e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocative efficiency,high_school_macroeconomics,"['means that no inferior products will be produced.'
 ""implies that the economy's output is distributed evenly.""
 'means that those who work hardest will get more.'
 'implies that resources are used to produce the goods and services society desires in just the right amounts.']",3,0.0004874219204306,0.998636295423952,,,2.749847617250814e-05,0.0003750100666462,0.0001582428045683,2.4267320048034736e-05,,,,,,,,,1.4718873638192124e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP measures,high_school_macroeconomics,"[""production within a nation's borders.""
 ""production by a nation's citizens wherever they may be.""
 'income earned by the factors of production plus depreciation and indirect business taxes.'
 '(A) and (C)']",3,0.0002232104827455,0.2447800750477285,0.0001194759618548,,0.0002529306132314,,0.7541291440833658,,,,,,,,,,,0.0002529306132314,1.6169313137587228e-05,1.6169313137587228e-05,1.4269368760841136e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every choice results in a foregone best alternative which economists call the,high_school_macroeconomics,['accounting cost' 'switching cost' 'inferior cost' 'opportunity cost'],3,4.006128562307952e-05,0.999906955013225,4.222428439623946e-06,,1.994533966220785e-06,,,,,,,,,,,1.0129079264357928e-05,,,,,,4.222428439623946e-06,2.902029797015632e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When a nation is operating at the natural rate of unemployment,high_school_macroeconomics,"['there is no cyclical unemployment.' 'the inflation rate is zero.'
 'there is no structural unemployment.'
 'the nation is experiencing a recession.']",0,4.222754624768311e-06,4.785007870736998e-06,,,3.288684608487957e-06,,0.9999802667304308,,5.714876931817355e-07,,,,,,,,,3.4662480756316906e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
