question,subject,choices,answer,a,b,c,d,e,Unnamed: 9,.,Ð°,sol,'},?,ad,the,ab,bd,solution,output,option,',i,}},none,f,},}',v,(,all,which,2,0,y,they,card,dis,iii,bc,tr,ac,cd,options,4,how,ii
Which one of the following is the most appropriate definition of a 99% confidence interval?,econometrics,"['99% of the time in repeated samples, the interval would contain the true value of the parameter'
 '99% of the time in repeated samples, the interval would contain the estimated value of the parameter'
 '99% of the time in repeated samples, the null hypothesis will be rejected'
 '99% of the time in repeated samples, the null hypothesis will not be rejected when it was false']",0,0.9985696170656676,0.0013248642290622,5.137053647108588e-05,4.000741403047985e-05,1.5512557864275767e-06,7.327613482543462e-07,7.327613482543462e-07,6.466596201681725e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?,econometrics,"['ADF is a single equation approach to unit root testing while PP is a systems approach'
 'PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test'
 'The PP test incorporates an automatic correction for autocorrelated residuals in the test regression'
 'PP tests have good power in small samples whereas DF tests do not.']",2,0.2288178097383837,0.4843785718118065,0.2288216746446916,0.0578491810840729,5.275159979873467e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?",econometrics,"['It would rise more quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be symmetrical about zero'
 'It would rise less quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be zero for all positive disturbances']",0,0.9540668171900633,0.0034407338452685,0.0419167192903725,0.0002199587557095,2.045935130973701e-05,,,,7.141015275817827e-05,4.90794323875215e-05,1.8055314159733e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is false concerning the linear probability model?,econometrics,"['There is nothing in the model to ensure that the estimated probabilities lie between zero and one'
 'Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one'
 'The error terms will be heteroscedastic and not normally distributed'
 'The model is much harder to estimate than a standard regression model with a continuous dependent variable']",3,0.5910930778483102,0.0294274487915074,0.0622979095804899,0.3163868273852794,0.0006920672618693,,,,,,,7.688172816337942e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements concerning the regression population and sample is FALSE?,econometrics,"['The population is the total collection of all items of interest'
 'The population can be infinite'
 'In theory, the sample could be larger than the population'
 'A random sample is one where each individual item from the population is equally likely to be drawn.']",2,0.0006284316792047,0.0085727537411639,0.9903269988806624,0.000376424596863,3.501292490807658e-05,,,,,,,,5.3694059384220544e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?,econometrics,"['Asymptotically, the values of the two test statistics will be equal'
 'The Q test has better small-sample properties than the Q*'
 'The Q test is sometimes over-sized for small samples'
 'As the sample size tends towards infinity, both tests will show a tendency to always reject the null hypothesis of zero autocorrelation coefficients.']",1,0.2190932868686335,0.1505640693762161,0.0335953849125144,0.5955274249196161,0.0010144924775496,,,,,,,,,1.447095799868892e-05,1.277057561127475e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A parsimonious model is one that,econometrics,"['Includes too many variables'
 'Includes as few variables as possible to explain the data'
 'Is a well-specified model' 'Is a mis-specified model']",0,0.0002029968107551,0.9976828271303724,0.000802868343882,0.0001086563629095,3.997244206689919e-05,,,,,3.527555631278072e-05,,,2.7472630879673064e-05,,,6.590341547752529e-05,5.132563158097684e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?,econometrics,"['They can be interpreted as continuously compounded changes in the prices'
 'They can be added over time to give returns for longer time periods'
 'They can be added across a portfolio of assets to give portfolio returns'
 'They are usually fat-tailed']",2,9.606784894178831e-05,0.0001088591344178,0.0001233535597677,0.9995702002475364,4.0047037536043736e-05,,,,3.724954740815376e-06,,,,2.9009976690525564e-06,,,,,2.9009976690525564e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns",econometrics,"['(ii) and (iv) only' '(i) and (iii) only' '(i), (ii), and (iii) only'
 '(i), (ii), (iii), and (iv)']",1,0.0032412189480655,0.0947223249189425,0.793501244252386,0.107334455952793,0.0003871083997698,,,,,4.080092515712131e-05,5.936499581209129e-05,,,,,,,,7.622616348428656e-05,,,,,,,,,,,,,,,,,,,,,,,,,
"Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?",econometrics,['Less than -1' 'Between -1 and 0' 'Between 0 and 1' 'Bigger than 1'],2,0.0076566341448805,0.3665062098060011,0.6045075525505179,0.0206735919626849,0.0002296627520347,,,,,,3.990940208475858e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
