question,subject,choices,answer,b,d,a,c,e,output,?,sol,none,iv,f,'},}},',(,},which,the,solution,g,}',i,iii,ad,ab,bc,who,demand,.,bd,db,7,Ð°,cp,input,cd,all,Unnamed: 41,**,ba,da,in,de,ac,____,__,1,(',{',part,abcd,abc,what,raise,option
Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that,high_school_macroeconomics,"['inflation had already impacted the economy before the fiscal stimulus.'
 'the economy initially had some unemployed resources.'
 'aggregate supply decreased.' 'aggregate demand is steeply sloped.']",1,0.9964975608826996,0.0011665895603776,0.0010295116736208,0.0004863068802748,0.0001393292539448,0.000108509732077,5.125636808007366e-05,4.523358606840093e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens,high_school_macroeconomics,['II III and IV only' 'I and III only' 'II and IV only' 'III and IV only'],3,0.0962757107322008,0.8063171988100227,0.0455377641639746,0.0515930130309127,6.837256033090952e-05,,,,3.659719431422348e-05,3.229691062558879e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain?,high_school_macroeconomics,"['The price level rises but real GDP falls.'
 'Both the price level and real GDP rise.'
 'The price level rises but the change in real GDP is uncertain.'
 'Real GDP rises but the change in the price level is uncertain.']",3,0.3477009937880601,0.5058898379415226,0.0001497391422459,0.1449940027165557,0.0008616892686711,,4.861318199025776e-05,,,,3.3411318789818534e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tariffs and quotas,high_school_macroeconomics,"['result in lower domestic prices.'
 'sometimes raise and sometimes lower the amount of the product sold domestically.'
 'lower the amount of the product sold domestically.'
 'raise the amount of the product sold domestically.']",2,0.1058325601861139,0.0041035746623879,0.0036315636688582,0.8862192475363564,4.0230011220621545e-05,,6.9909276948630615e-06,,,,,4.558657498150837e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A likely cause of falling Treasury bond prices might be,high_school_macroeconomics,"['expansionary monetary policy.' 'contractionary monetary policy.'
 'a depreciating dollar.'
 'fiscal policy designed to reduce the budget deficit.']",1,0.9396402028536484,0.04127106216794,0.0104349611648628,0.0063291238793999,0.0004046073529223,,0.0005887002247934,,,,,,0.0001313567754375,9.028010345479404e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households demand more money as an asset when,high_school_macroeconomics,"['nominal GDP falls.' 'the nominal interest rate falls.'
 'bond prices fall.' 'the supply of money falls.']",1,0.9520757674036382,0.0369000919905439,0.0011142859604907,0.0020817602411103,,0.0018371469647036,0.0009833539087266,,0.0002817356118613,,,,,0.0004099228964505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocative efficiency,high_school_macroeconomics,"['means that no inferior products will be produced.'
 ""implies that the economy's output is distributed evenly.""
 'means that those who work hardest will get more.'
 'implies that resources are used to produce the goods and services society desires in just the right amounts.']",3,0.001689557091685,0.9917455111704784,0.0035767923911653,0.0004271869321506,0.0001780780922308,0.0010757884050817,0.0001386873576772,,,,,,7.423399318784218e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP measures,high_school_macroeconomics,"[""production within a nation's borders.""
 ""production by a nation's citizens wherever they may be.""
 'income earned by the factors of production plus depreciation and indirect business taxes.'
 '(A) and (C)']",3,0.0038347278673834,0.8281406964313888,0.1632730797635,0.0029864890659839,0.0002777867550057,,0.000148688535308,,,,,,,,0.0001021920361963,9.018415541207862e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every choice results in a foregone best alternative which economists call the,high_school_macroeconomics,['accounting cost' 'switching cost' 'inferior cost' 'opportunity cost'],3,0.0010309928299719,0.9978354824871573,8.462908538378243e-05,0.0001581079466494,8.462908538378243e-05,0.00044644620835,,,,,,,1.888330137489852e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When a nation is operating at the natural rate of unemployment,high_school_macroeconomics,"['there is no cyclical unemployment.' 'the inflation rate is zero.'
 'there is no structural unemployment.'
 'the nation is experiencing a recession.']",0,0.0003795176986683,0.0001792715525074,0.9985327538913884,5.820095184871065e-05,,4.000089022104844e-05,0.0001582065898093,,,,,,3.530066172070168e-05,5.1362159733962325e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If a country has a negative value on its current account then it must,high_school_macroeconomics,"['pay that amount to its trading partners.'
 'have a positive value of equal magnitude on its capital account.'
 'depreciate its currency.' 'appreciate its currency.']",1,0.935508805391117,0.002046311869562,0.0598444686289277,0.0018058638866106,8.990866878574024e-05,6.179326412680781e-05,3.3075550829366424e-05,5.453236419249968e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following transactions would be counted in GDP?,high_school_macroeconomics,"['The cash you receive from babysitting your neighborâs kids'
 'The sale of illegal drugs'
 'The sale of cucumbers to a pickle manufacturer'
 'The sale of a pound of tomatoes at a supermarket']",3,0.0020800545566304,0.9508859049089377,0.0011133729733794,0.0417790125994461,,0.0002484269713958,0.000318986545463,0.0001506785748511,,,,0.0003614592828977,,,,,0.0002192360327753,0.0001173485920861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
