question,subject,choices,answer,b,a,none,c,d,sol,e,ad,ab,solution,ba,Unnamed: 15,the,'},}',?,.,output,f,3,choice,{',ac,i,iii,ii,**,band,bb,correct,1,Ð°,bd,ach,(,4,com,equilibrium,el,elastic,discrimination,disc,to,so,in,here,},}},bc,false,w,cho,g,ca,air,Ñ,iv,aa,2,l,both,option,total,sub,pro,ex,care,fact,average,mom,op,demand,dem,all,ap,'),cost,law,p,either,not,df,long,real
Marginal revenue equals marginal cost at the point where,high_school_microeconomics,"['total revenue is greater than total cost at its greatest distance'
 'total revenue is equal to total cost'
 'marginal product is at its highest point'
 'total product is at its highest point']",0,0.9993481572315184,0.0001397463062876,0.0001544754586057,0.0001233256824464,0.0001088345327681,1.891260594270461e-05,1.669031616423983e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",high_school_microeconomics,"['Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.'
 'Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.']",2,0.0037715873321697,0.4359383353104691,,0.0005104288398508,0.5597600691245604,,1.1165585536380374e-06,9.348830309102936e-06,1.2652265978134752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At a Nash equilibrium,",high_school_microeconomics,"['the supply curve intersects the demand curve'
 'neither party has an incentive to deviate from his or her strategy'
 'the marginal revenue curve intersects the marginal cost curve'
 'the equilibrium is unstable and each party would like to switch strategies']",1,0.9999031101245004,4.112896117026155e-05,,7.888549909074819e-06,7.888549909074819e-06,2.144330187073033e-05,8.314470433340512e-07,,,8.314470433340512e-07,7.337494404054201e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,high_school_microeconomics,"['goods X and Y are normal goods.' 'goods X and Y are inferior goods.'
 'goods X and Y are complementary goods.'
 'goods X and Y are substitute goods.']",3,0.0001794417450849,4.003886531812567e-05,1.4729475398370717e-05,4.003886531812567e-05,0.9993537294436188,,1.669068226214965e-05,,,,,8.476227854362469e-05,1.669068226214965e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An externality,high_school_microeconomics,"['causes the equilibrium price to be artificially high'
 'causes the equilibrium price to be artificially low'
 'exists when markets cannot reach equilibrium'
 'results in an equilibrium that does not maximize the total benefit to society']",3,0.0001584301973513,8.938020115383429e-06,,1.6698419948012977e-05,0.999805460836562,,2.25988539326824e-06,3.927091965342821e-07,,,,,4.4499781855793806e-07,1.0674942728078908e-06,5.713885093989923e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is one reason why the government discourages collusion between large firms in the same industry?,high_school_microeconomics,"['Collusive output levels tend to increase, driving the price above competitive levels.'
 'Consumer surplus falls as the price is driven downward.'
 'Collusive output levels tend to decrease, driving the price down to competitive levels.'
 'Joint profit maximization costs society consumer surplus as the price rises above competitive levels.']",3,0.021267849541301,0.7981966175409729,0.0009344440936087,0.0187688113448334,0.1571493333642901,,,0.0015406378534128,,,,,6.769087082557984e-05,,,0.0003895342521384,7.670380556275215e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,high_school_microeconomics,"['Perfectly horizontal demand curve.' 'Highly inelastic demand curve.'
 'Highly elastic demand curve.'
 'A demand curve consisting of two discontinuous segments.']",3,6.9620590562879534e-06,5.422057044826424e-06,,1.670111146526906e-05,0.999966799691272,,3.4662051021651466e-07,,,,,7.337956258866552e-07,,,,,6.475723669750978e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not the basis for a wage differential?,high_school_microeconomics,"['Higher risk job.' 'Investment in human capital.'
 'Increase in production of SUVs.' 'Racial discrimination.']",2,0.0002303840314578,0.0001088257107463,,0.9992722585600132,0.0002958189519908,5.418113101108275e-06,1.0122367898056096e-05,,,,,,,,,,,2.2634883950853636e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patents, control of resources, economies of scale, and exclusive licenses are",high_school_microeconomics,"['all requirements for price discrimination'
 'required in order for a firm to earn short-run profits'
 'all sources of elastic demand' 'all barriers to entry']",3,1.1476469884649428e-05,6.960830850308587e-06,,3.2880636729735736e-06,0.9997965742513494,2.901706006900107e-06,0.0001398120250599,,,,,,,2.901706006900107e-06,4.7841044148945386e-06,,,,3.2880636729735736e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",high_school_microeconomics,"['increasing-cost industry' 'constant-cost industry'
 'decreasing-cost industry' 'profit-making industry']",1,0.0003352470696975,0.0001397517705654,,0.9993646379541212,0.0001397517705654,,7.884255384119135e-06,,,,,8.309944037338608e-07,,,,,,,,5.711335444215791e-07,5.711335444215791e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
