question,subject,choices,answer,b,c,a,d,e,?,'},output,ad,f,Unnamed: 14,}',the,none,}},.,increasing,n,sol,ac,input,market,',i,iii,not,solution,cd,},bd,ab,p,all,l,**,[,what,(,r,g,bc,cb,pat,1,ind,da
Marginal revenue equals marginal cost at the point where,high_school_microeconomics,"['total revenue is greater than total cost at its greatest distance'
 'total revenue is equal to total cost'
 'marginal product is at its highest point'
 'total product is at its highest point']",0,0.9928828030347128,0.002788337012754,0.0024606987771174,0.001162351798681,0.0001081155588374,6.55754012268541e-05,5.1070173825695534e-05,4.506927021563319e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",high_school_microeconomics,"['Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.'
 'Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.']",2,0.0416099606023167,0.0038703292315003,0.4473723022546647,0.5069606911312547,9.102141924550774e-05,,,,2.3013818851608547e-05,1.0870958276340508e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At a Nash equilibrium,",high_school_microeconomics,"['the supply curve intersects the demand curve'
 'neither party has an incentive to deviate from his or her strategy'
 'the marginal revenue curve intersects the marginal cost curve'
 'the equilibrium is unstable and each party would like to switch strategies']",1,0.9991741041646128,6.599895441071745e-05,0.0001397197875839,5.824387284128007e-05,,2.142672339251066e-05,2.751245743232148e-05,7.478661309453247e-05,,,3.117569857950199e-05,2.4279658466514237e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,high_school_microeconomics,"['goods X and Y are normal goods.' 'goods X and Y are inferior goods.'
 'goods X and Y are complementary goods.'
 'goods X and Y are substitute goods.']",3,0.000260741822018,0.0003347991266646,0.0001581479093232,0.9980678507212416,9.592155577402665e-05,,2.7481985851550897e-05,0.0004298907931101,,,,,3.11411697548893e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An externality,high_school_microeconomics,"['causes the equilibrium price to be artificially high'
 'causes the equilibrium price to be artificially low'
 'exists when markets cannot reach equilibrium'
 'results in an equilibrium that does not maximize the total benefit to society']",3,0.0040274197685667,0.008526047716962,0.0006998606151141,0.9854771307165068,9.471583457262052e-05,8.358643063605254e-05,0.0001073271014268,8.358643063605254e-05,,,,,,0.000121617538954,0.0001073271014268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is one reason why the government discourages collusion between large firms in the same industry?,high_school_microeconomics,"['Collusive output levels tend to increase, driving the price above competitive levels.'
 'Consumer surplus falls as the price is driven downward.'
 'Collusive output levels tend to decrease, driving the price down to competitive levels.'
 'Joint profit maximization costs society consumer surplus as the price rises above competitive levels.']",3,0.0011568765264521,0.0058751037756013,0.7696943213145532,0.2204616952755237,,,,0.0004822578853354,0.0011568765264521,,,,,,,5.0829607153205815e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,high_school_microeconomics,"['Perfectly horizontal demand curve.' 'Highly inelastic demand curve.'
 'Highly elastic demand curve.'
 'A demand curve consisting of two discontinuous segments.']",3,0.0286567296395972,0.1284736356576265,0.0049956436886257,0.837652236470556,3.8021179038092193e-05,,,2.0351270605905517e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not the basis for a wage differential?,high_school_microeconomics,"['Higher risk job.' 'Investment in human capital.'
 'Increase in production of SUVs.' 'Racial discrimination.']",2,0.0009092993251318,0.9973371570156678,8.457801226673606e-05,0.0011675634448462,5.812956105237903e-05,2.7458460366660636e-05,,2.138467043549044e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patents, control of resources, economies of scale, and exclusive licenses are",high_school_microeconomics,"['all requirements for price discrimination'
 'required in order for a firm to earn short-run profits'
 'all sources of elastic demand' 'all barriers to entry']",3,0.0027938349320387,0.0009070254040783,0.0008004471096646,0.9948480356717062,0.0002944678949774,,2.1331182766555446e-05,3.1036687788989904e-05,,,,2.1331182766555446e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",high_school_microeconomics,"['increasing-cost industry' 'constant-cost industry'
 'decreasing-cost industry' 'profit-making industry']",1,0.2397467237182982,0.6517327085144816,0.0999616502708836,0.0082036827349821,6.263589062322365e-05,,,,,1.2333738150525638e-05,,,,,,,2.6110523869559155e-05,1.2333738150525638e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
