question,subject,choices,answer,a,ÃÂÃÂ°,aa,b,<|end|>,.a,e,(a,_a,-a,d,c,_d,.d,ÃÂÃÂ­d,-d,du,.b,ÃÂÃÂ±,f,p,bi,_b,ÃÂÃÂ,-c,_c,(c,.c,ci,bc,s,h,ideal,(b,t,k,ÃÂÃÂ¡
What is the structure of the United Nations Security Council?,us_foreign_policy,"['5 permanent members with veto power, 10 rotating members with no veto power'
 '5 permanent members and 10 rotating members, all with veto power'
 '10 permanent members with veto power, and 5 rotating members without veto power'
 '15 permanent members with veto power']",0,0.9999999999612692,3.7751345436073896e-11,3.7010116779341523e-13,2.2447770546215627e-13,1.361526107847398e-13,9.357622967175177e-14,8.258073284086565e-14,7.28772409452299e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the significance of the Gulf of Tonkin resolution?,us_foreign_policy,"['It allowed the US to intensify its involvement in Vietnam'
 'It illustrated the influence of public opinion on US foreign policy'
 'It enhanced Congressional control over the Vietnam War'
 'It curtailed US involvement in Vietnam']",0,0.9999999999435008,5.4927883485217456e-11,6.101936674902575e-13,1.5428112025085257e-13,1.0603575986827173e-13,3.701011676953372e-13,,,2.244777054026689e-13,1.0603575986827173e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is not a nonstate actor that poses a threat to the United States?,us_foreign_policy,['Terrorists' 'Organized crime' 'Drug traffickers' 'China'],3,5.675685232183051e-14,,,5.384940217327399e-13,4.420228103290968e-14,,,,,,0.9999999999987508,4.1937956580472804e-13,9.357622968098793e-14,7.287724095242304e-14,2.3659776089473102e-14,,,,,,,,,,,,,,,,,,,,,,
Who was the first American president to visit communist China?,us_foreign_policy,['Richard Nixon' 'George H. W. Bush' 'Jimmy Carter' 'Ronald Reagan'],0,0.9999999999815388,1.7832472906167954e-11,1.748234128077098e-13,2.2447770547719259e-13,,8.258073284639722e-14,,,6.431393940738464e-14,8.258073284639722e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Strategic Arms Reduction Treaty was the first accord,us_foreign_policy,"['on nuclear weapons signed between the United States and the Soviet Union.'
 'cutting conventional arms in Europe.'
 'to be rejected by the U.S. Senate.'
 'mandating the elimination of many long-range nuclear missiles.']",3,0.999999999969645,2.940077738892748e-11,4.1937956578207786e-13,1.5428112029863293e-13,1.0603575990111065e-13,1.2015425730170896e-13,,,1.5428112029863293e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What were the implications of the Cold War for American exceptionalism?,us_foreign_policy,"['It ended the influence of American exceptionalism entirely'
 ""Exceptionalism was enhanced by America's status as the 'leader of the free world'""
 'The extension of American power globally challenged core assumptions of exceptionalism'
 'Both b and c']",3,,,,2.9400777388577256e-11,5.6756852318089096e-14,,7.287724094761894e-14,,,,0.9999999999656196,3.978962535259702e-12,5.384940216972426e-13,2.88235079302602e-13,4.4202281029995865e-14,,,,,,,,,,,,,,,,,,,,,,
Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,us_foreign_policy,"['He believed that internal reform rather than international negotiation was the key to economic regeneration of the US'
 'He believed that German domination of Europe would be in US interests'
 'He always favoured isolationism' 'All of the above']",0,0.9999999998888984,1.0261879622166735e-10,6.101936671935514e-13,5.109089023316052e-12,6.101936671935514e-13,4.752193058355501e-13,5.384940212750446e-13,,,,,1.1399918519850957e-12,,,,,,,,,,,,,,,,,,,,,,,,,
What was the 'New Populism'?,us_foreign_policy,"['A strand of neo-isolationist sentiment'
 'A strand of internationalist sentiment'
 'An expression of American cultural superiority'
 'Increased incorporation of public opinion in foreign policy making']",0,1.5428112028904098e-13,,,1.4637785138398749e-12,5.008774636864751e-14,,5.008774636864751e-14,,,,0.999999999996679,1.1399918528215918e-12,3.266131342149219e-13,1.3615261078236006e-13,,,,,,,,,,,,,,,,,,,,,,,
How did World War I shift economic power from Europe to the United States?,us_foreign_policy,"['The war reduced European population levels below that of the United States'
 'The United States seized German resources after the war'
 'European countries paid the United States for assistance'
 'The United States became a creditor country and financial centre, with European war spending boosting the US economy']",3,,,,3.2661313425082496e-13,,,2.4937220531222056e-15,,,,0.9999999999973022,2.1297851707737254e-12,1.2015425730744674e-13,9.35762296804026e-14,2.0879679114674485e-14,4.658886144705144e-15,,,,,,,,,,,,,,,,,,,,,
"In American government, the power to declare war rests with",us_foreign_policy,"['the president of the United States.' 'the secretary of defense.'
 'the chairman of the Joint Chiefs of Staff.' 'Congress.']",3,9.862862046077772e-15,,,4.752193062528948e-13,,,,,,,0.9999999999992446,9.357622968363245e-14,7.28772409544826e-14,5.0087746375882244e-14,2.3659776090141747e-14,,3.0379753852882924e-14,,,,,,,,,,,,,,,,,,,,
