question,subject,choices,answer,a,Ð°,aa,.a,_a,<|end|>,b,(a,c,Ã¡,Ñ,-c,_c,(c,d,.c,f,Ð±,.b,p,(b,-a,_d,.d,e,bi,du,Â­d,Ø¯,ci,-d,1,cand,Ð´,s,h,(d,t,co,r,make,bb
Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'?,jurisprudence,"['It demonstrates the difference between the internal and the external aspect of a rule.'
 ""It refutes the natural lawyer' view of the role of morality in law.""
 'It explains the nature of power-conferring rules.'
 'It illuminates the concept of a rule.']",3,0.999999999985333,1.3887943863500196e-11,2.543665647108814e-13,1.3615261079461454e-13,1.0603575990406203e-13,1.0603575990406203e-13,9.357622967853859e-14,8.258073284685497e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way?,jurisprudence,"['It is misinterpreted as a prediction.'
 'His concept of status is misrepresented.' 'It is taken literally.'
 'His idea is considered inapplicable to Western legal systems.']",0,0.9999999999685478,2.9400777382739254e-11,1.9810087973680786e-13,1.0603575987879244e-13,,5.384940215903154e-13,1.0060392789375267e-12,,1.2015425727641914e-13,8.258073282717503e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following factors contributed significantly to the revival of natural law in the 20th century?,jurisprudence,"['Depression of the 1930' 'The rise of Fascism'
 'The international recognition of human rights after World War II'
 'The Bolshevik Revolution']",2,,,,,,,3.266131342711121e-13,,0.9999999999995725,,4.420228103537876e-14,1.6261110445798182e-14,1.2664165548798223e-14,1.2664165548798223e-14,9.862862046349968e-15,5.279209628215015e-15,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following criticisms of Llewellyn's distinction between the grand and formal styles of legal reasoning is the most compelling?,jurisprudence,"['There is no distinction between the two forms of legal reasoning.'
 'Judges are appointed to interpret the law, not to make it.'
 'It is misleading to pigeon-hole judges in this way.'
 'Judicial reasoning is always formal.']",2,,,,,,1.4350379600685464e-14,1.0060392792375524e-12,,0.9999999999988216,,8.258073285180262e-14,,1.4350379600685464e-14,7.681204684852679e-15,4.420228103440097e-14,8.703945206330471e-15,,,,,,,,,,,,,,,,,,,,,,,,,,
Which proposition below is the most consistent with what Rawls claims the POP would opt for in respect of 'social primary goods'?,jurisprudence,"['The POP will choose wealth over a compassionate society.'
 'The POP will choose equality over power.' 'The POP will be unselfish.'
 'The POP will choose to protect the disabled.']",0,,,,,,,0.9999999999979956,,1.8795288163792807e-12,,,,,,8.258073284853796e-14,,1.2664165548017432e-14,1.2664165548017432e-14,6.7786393422327905e-15,5.2792096278895306e-15,4.658886144707286e-15,,,,,,,,,,,,,,,,,,,,,
The ________ School believes that promoting market efficiency should be the central goal of legal decision-making.,jurisprudence,['Law and Economics' 'Critical Legal Studies' 'Historical' 'Natural Law'],0,0.9999999999902076,9.545034922433009e-12,4.4202281034524084e-14,6.43139394117735e-14,5.675685232390344e-14,3.4424771083229665e-14,2.0879679115567674e-14,,,,,,,,,,,,,,,2.6810038676673122e-14,,,,,,,,,,,,,,,,,,,,
Which statement below is the least likely to follow logically from Austin's argument that a sanction consists of the smallest chance of incurring the smallest evil?,jurisprudence,"['All commands include some sanction.'
 'The concept of a command contains the likelihood that a sanction will follow failure to obey the command.'
 'Without a sanction the mere expression of a wish is not a command.'
 ""A command confers power to change one's legal status.""]",3,8.258073280861236e-14,,,,,7.287724091676649e-14,1.879528815470578e-12,,1.6586783579712789e-12,,,,,,0.9999999999954228,,,,,,,,5.384940214692717e-13,2.8823507918057816e-13,5.675685229406116e-14,,,,,,,,,,,,,,,,,
How does Weber solve the 'England problem'?,jurisprudence,"['By denying its existence.'
 'By explaining the difference between the common law and civil law.'
 'By distinguishing certain features of the English legal system that facilitated the development of capitalism.'
 'By recognizing the importance of legitimate domination.']",2,,,,,,1.1176086870577391e-14,6.914400106744229e-13,,0.9999999999990632,,1.54281120314816e-13,,1.62611104457173e-14,9.86286204630091e-15,4.4202281035158915e-14,9.86286204630091e-15,,,,,,,,,,,,,,,,,,,,,,,,,,
Cicero's conception of natural law is 'based on the idea that 'true law is right reason in agreement with Nature.' Reason is a key element because:,jurisprudence,"['It is a sin for humans not to apply reason.'
 'The principles of natural law are discoverable by reason.'
 'Natural law does not apply without good reason.'
 'The law of nature is the basis of all positive law.']",1,,,,,,,0.9999999999998131,,8.258073285200433e-14,,,,,,2.681003867666393e-14,,2.3659776090329123e-14,1.4350379600720515e-14,4.658886144902845e-15,4.111452592371047e-15,,,,,,3.0379753853123514e-14,,,,,,,,,,,,,,,,
"Catharine MacKinnon argues that since men dominate women, the question is ultimately one of power. Which proposition below is the most inconsistent with this argument?",jurisprudence,"['Women can achieve equality through political pressure.'
 'Equality is impossible because men define women as different.'
 ""The idea of 'woman' needs to be redefined.""
 'The world is phallocentric and oppressive.']",0,3.331544540061426e-11,,,,,9.357622962927705e-14,0.9999999999031944,,6.22414461897515e-11,,,,,,7.835041780113939e-13,,6.431393937388422e-14,2.2447770536026462e-13,,,,,,,8.258073280338182e-14,,,,,,,,,,,,,,,,,
