question,subject,choices,answer,a,b,c,d,e,ab,f,б,bi,-b,_b,.d,_d,-d,<|end|>,а,l,с,.c,-c,bc,ba,.b,t,bd,4,3,2,1,none,_c,ci,.a,_a,aa,á,ac,o,du,­d,(c,(a,p,-a,cd,am,(d,g,h,da
Marginal revenue equals marginal cost at the point where,high_school_microeconomics,"['total revenue is greater than total cost at its greatest distance'
 'total revenue is equal to total cost'
 'marginal product is at its highest point'
 'total product is at its highest point']",0,0.8175353106430744,0.1824168458288931,4.205796009088678e-05,5.6919259412543145e-06,8.11909630187523e-08,1.2451037441848571e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",high_school_microeconomics,"['Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.'
 'Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.']",2,0.8764243817712662,0.004058644451106935,0.0009056059863610266,0.11861119935058033,1.4350352463152535e-07,2.4937160905674618e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At a Nash equilibrium,",high_school_microeconomics,"['the supply curve intersects the demand curve'
 'neither party has an incentive to deviate from his or her strategy'
 'the marginal revenue curve intersects the marginal cost curve'
 'the equilibrium is unstable and each party would like to switch strategies']",1,,0.9999999999998529,1.2015425730993164e-13,1.4350379600408328e-14,,,4.111452592281604e-15,3.628344177811921e-15,2.4937220531737778e-15,1.1779508897519429e-15,1.039538011602858e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,high_school_microeconomics,"['goods X and Y are normal goods.' 'goods X and Y are inferior goods.'
 'goods X and Y are complementary goods.'
 'goods X and Y are substitute goods.']",3,4.658886144795677e-15,6.101936677202289e-13,2.882350793254007e-13,0.9999999999989259,7.681204684694749e-15,,,,,,,8.258073285010473e-14,7.287724095338336e-14,7.681204684694749e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An externality,high_school_microeconomics,"['causes the equilibrium price to be artificially high'
 'causes the equilibrium price to be artificially low'
 'exists when markets cannot reach equilibrium'
 'results in an equilibrium that does not maximize the total benefit to society']",3,3.90083760982796e-14,3.97896253547742e-12,4.2777878685821556e-11,0.9999999999531308,1.4350379600040545e-14,,,,,,,3.0379753851684026e-14,2.3659776089208048e-14,,4.658886144682092e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is one reason why the government discourages collusion between large firms in the same industry?,high_school_microeconomics,"['Collusive output levels tend to increase, driving the price above competitive levels.'
 'Consumer surplus falls as the price is driven downward.'
 'Collusive output levels tend to decrease, driving the price down to competitive levels.'
 'Joint profit maximization costs society consumer surplus as the price rises above competitive levels.']",3,0.9770104327085528,9.89718820028418e-06,2.5024010641633584e-06,0.02297707979939185,5.193567718115213e-08,,,,,,,,,,,1.9106067898262675e-08,1.686104574078778e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,high_school_microeconomics,"['Perfectly horizontal demand curve.' 'Highly inelastic demand curve.'
 'Highly elastic demand curve.'
 'A demand curve consisting of two discontinuous segments.']",3,1.522998057924231e-08,2.6995759517096405e-07,4.4508482934542264e-07,0.999999269697114,2.2897349711120165e-11,,1.6586784498018326e-12,,,,,3.511422305785565e-12,2.4133629040738934e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not the basis for a wage differential?,high_school_microeconomics,"['Higher risk job.' 'Investment in human capital.'
 'Increase in production of SUVs.' 'Racial discrimination.']",2,,1.6586783588268999e-12,0.9999999999982359,7.287724095435985e-14,4.111452592331561e-15,,,,,,,,,,7.68120468479767e-15,,,1.1176086870305717e-14,5.982128223452169e-15,3.628344177856008e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patents, control of resources, economies of scale, and exclusive licenses are",high_school_microeconomics,"['all requirements for price discrimination'
 'required in order for a firm to earn short-run profits'
 'all sources of elastic demand' 'all barriers to entry']",3,1.186112000971489e-08,2.0206838848940304e-11,1.6586783391086096e-12,0.9999999881164534,4.4202280508609786e-14,,,,,,,2.8823507590273776e-13,1.9810087743945378e-13,,3.037975349167867e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",high_school_microeconomics,"['increasing-cost industry' 'constant-cost industry'
 'decreasing-cost industry' 'profit-making industry']",1,0.0003351648586484262,0.9991121639284662,0.0005525932991526976,7.72754881560937e-08,5.20678143524216e-10,,7.984857943703505e-11,,,,,,,,,,,,,,3.771779820993932e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following is most likely an example of production inputs that can be adjusted in the long run, but not in the short run?",high_school_microeconomics,"['Amount of wood used to make a desk.'
 'Number of pickles put on a sandwich.'
 'The size of a McDonald’s kitchen.'
 'Number of teacher’s assistants in local high schools.']",2,1.26641655484481e-14,1.658678358829612e-12,0.999999999998149,1.361526108020194e-13,5.27920962806906e-15,,,,,,,,,,1.435037960060616e-14,,,2.0879679115394137e-14,2.825757286971452e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The apple market is in equilibrium. Suppose we observe that apple growers are using more pesticides to increase apple production. At the same time, we hear that the price of pears, a substitute for apples, is rising. Which of the following is a reasonable prediction for the new price and quantity of apples?",high_school_microeconomics,"['Price rises, but quantity is ambiguous.'
 'Price falls, but quantity is ambiguous.'
 'Price is ambiguous, but quantity rises.'
 'Price is ambiguous, but quantity falls.']",2,0.9770224491801585,1.8127584580083395e-07,0.022977364530924384,1.384059546351753e-09,3.3201862511225295e-09,,,,,,,,,,,3.0882542823242977e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is most likely to result in a shift to the right in the demand curve for orange juice?,high_school_microeconomics,"['A bumper crop of oranges in Florida' 'A decrease in the price of Tang'
 'Expectations of lower future prices for orange juice'
 'Expectations of higher future income among juice drinkers']",3,1.1176086869172504e-14,6.5602001671431966e-12,1.3887943862824618e-11,0.9999999999793764,1.8426252144397107e-14,,,,,,,7.287724094697037e-14,6.43139394046126e-14,8.703945205385591e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is accurate in regard to a perfectly competitive firm?,high_school_microeconomics,"['Demand is downward-sloping.'
 'The demand curve lies above the marginal revenue curve.'
 'Price is determined by the equilibrium in the entire market.'
 'Average revenue differs from price.']",2,2.3659776089096888e-14,4.8473687058091315e-11,0.9999999999493078,2.1297851707531812e-12,1.266416554788945e-14,,,,,,,,,,3.442477108142498e-14,,,1.266416554788945e-14,5.27920962783618e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Economists use the term ""capital"" to mean",high_school_microeconomics,"['money.' 'plant and equipment.'
 'where the central government is located.' 'the center of the economy.']",1,0.00522012453067076,0.994779873865253,9.685373722786647e-10,1.310772796025777e-10,3.314152639390148e-11,4.575046597441137e-10,,,,,,,,,,,,,,,,1.3815443627790364e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ray and Dorothy can both cook and can both pull weeds in the garden on a Saturday afternoon. For every hour of cooking, Ray can pull 50 weeds and Dorothy can pull 100 weeds. Based on this information,",high_school_microeconomics,"['Ray pulls weeds, since he has absolute advantage in cooking.'
 'Dorothy pulls weeds, since she has absolute advantage in cooking.'
 'Dorothy cooks, since she has comparative advantage in cooking.'
 'Ray cooks, since he has comparative advantage in cooking.']",3,0.002164314672213206,0.08121553198943585,0.8731484898496069,0.043471520521731706,1.4296701233483562e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your aunt runs a small firm from her home making apple pies. She hires some friends to help her. Which of the following situations would most likely increase her demand for labor?,high_school_microeconomics,"['The price of apple peelers/corers rises.'
 'Your aunt’s friends gossip all day, slowing their dough-making process.'
 'There is a sale on ovens.'
 'A new study reveals that apples increase your risk of cancer.']",2,1.818961677582761e-09,3.3982678008681267e-09,0.9999999947443619,3.7751345235864315e-11,3.2661313248847835e-13,,,,,,,,,,9.357622917548184e-14,,,1.981008787190465e-13,3.900837588799032e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mrs. Johnson spends her entire daily budget on potato chips, at a price of $1 each, and onion dip at a price of $2 each. At her current consumption bundle, the marginal utility of chips is 12 and the marginal utility of dip is 30. Mrs. Johnson should",high_school_microeconomics,"['do nothing; she is consuming her utility maximizing combination of chips and dip.'
 'increase her consumption of chips until the marginal utility of chip consumption equals 30.'
 'decrease her consumption of chips until the marginal utility of chip consumption equals 30.'
 'decrease her consumption of chips and increase her consumption of dip until the marginal utility per dollar is equal for both goods.']",3,1.5229980857950284e-08,9.931195038078381e-08,5.602796847074513e-09,0.9999998798491029,3.978962826680103e-12,,,,,,,1.2917800992088492e-12,6.1019371236273e-13,,2.882351004130251e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
