question,subject,choices,answer,c,b,-c,d,ÃÂÃÂ,.c,_c,(c,a,e,g,ÃÂÃÂ°,aa,<|end|>,ÃÂÃÂ¡,.d,_d,ab,abc,f,-d,.a,.b,ÃÂÃÂ±,_a,ci,-b,bc,ac,h,w,-a,l,cd,j,t,da,abcd,m,ad,3,bd,ÃÂÃÂ­d,_b,k,o,all
Which of these principles is not an element of the responsibility to protect?,security_studies,"['The responsibility to prevent.' 'The responsibility to react.'
 'The responsibility to remain sovereign.'
 'The responsibility to rebuild.']",2,0.9999999999996058,3.26613134271004e-13,2.0879679115964493e-14,1.8426252146798924e-14,9.862862046346704e-15,7.681204685020051e-15,5.279209628213267e-15,5.279209628213267e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can environmental changes be reconciled with national security interests?,security_studies,"['Environmental challenges to economic growth, such as natural resource management and employment, leads to diversification and research which may in the long-term result in technological advancements that bolster military programs.'
 ""Environmental changes can undermine national security in many ways; including weakening the economic base that determines military capacity. So if the natural capital base of an economy erodes than so does the long-term capacity of its armed forces. Any developments however, will be 'human' in impact.""
 ""The environmental problems encountered by countries are principally internal. External threats remain within a country's control: external military threats will remain unchanged and a primary concern.""
 'All of these options.']",1,3.874550149000375e-07,0.0011549874677818,,0.9864272757953084,,,,,0.0124173013479507,4.083745812306955e-08,7.096486138538208e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements could be described as a liberal perspective on future energy security?,security_studies,"['The global economy is interconnected, ensuring that energy security for one is dependent upon energy security for all. Thus all core powers have the same interests in maintaining and extending the conditions under which this market operates. As long as this economic order exists, conflict between major powers over energy reserves is highly unlikely.'
 ""Energy scarcity is likely to lead to future disruptions in the global system and the emergence of a 'new international energy order', characterized less by liberal free-market trading than by statism and neo-mercantilism.""
 'Oil remains the lifeblood of the current order - an order that is based upon an unequal (and deeply unjust) distribution of wealth and power in favour of capitalist economic elites. Those who benefit most from the prevailing order will ensure that the flow of energy under favourable conditions continues to underpin their position in the global system.'
 ""Energy scarcity will signal a return to an era of greater geopolitical confrontation. 'Resource wars', in particular over energy sources, present a clear possibility for a breakdown in international cooperation, as states begin to compete (and eventually conflict) over the control of major reserves.""]",0,1.3615261078420216e-13,1.3615261078420216e-13,,,,,,,0.999999999988602,8.258073284053954e-14,,1.0815941555318506e-11,1.3615261078420216e-13,5.6756852316004377e-14,3.442477107843864e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a common criticism of the human security concept?,security_studies,"['Human security is neo-colonial.'
 'Human security promotes global capitalism.'
 'Human security is too broad.' 'All of these options.']",3,1.605228049874231e-09,1.4930946712568106e-10,,0.9999999973832548,,,,,8.592166590744338e-10,6.914400084061827e-13,,,,2.244777047593453e-13,,1.291780000511753e-12,7.835041759139797e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways have governments responded to the threat of TNC post-Cold War?,security_studies,"['State responses to transnational crime have evolved in correlation to the increased threat posed to the integrity of the state. Organized crime has been regarded primarily as a national security threat to be addressed domestically. The institutionalized international approaches for information sharing have been predominately bilateral to the extent of bringing to justice perpetrators of crime that are seeking to evade justice.'
 'With the expansion of TNC in the 1990s, states became increasingly willing to take measures to reduce the asymmetries between countries through harmonization of legislation and increasing police capacity and networking. The government response to transnational crime has focused on targeting the individuals and organizations perpetrating the crime, rather than the criminal markets themselves.'
 'The US war on drugs has heavily influenced the construction of the governmental response to the growing perception that the phenomenon of TNC represents a national security threat. The approach has an emphasis on bilateral and multilateral cooperation on law enforcement combined with sticks on a bi-lateral basis to induce states to increase regulation and enforcement against TNC.'
 'The emergence of norms governing the response to address the spectre of organized crime and to harmonize legislation occurred with the evolving Global War on Terror in which the terrorism-organized crime nexus resulted in the militarization of law enforcement: the use of military technology and intelligence as opposed to addressing the underlying conditions that facilitate illicit trade through an international institutionalist response.']",1,0.0968315177779244,0.5572302284004574,,0.0079484150035509,,,,,0.3379764656535233,4.396146303985174e-06,,,,,,,,8.213082560700907e-06,7.639356792286029e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What potential problem for policy in the institutionalization of academe-policy interaction emerged?,security_studies,"['The main disciplinary context for security studies theorizing was a move away from the disciplinary domination of political science toward multi-academe interaction from sociology, mathematics, psychology, natural and political sciences, and economics.'
 'Policy-academe developments have resulted in the modification of the role of think tanks away from policy towards politicization resistant theory.'
 'Security studies has been marked by the gradual ""IR-ification"" of the discipline. Security studies became one of International Relations\' (IR\'s) two pillars, the second being International Political Economy. Henceforth IR became the main disciplinary context in which security studies was deliberated.'
 'Think tanks and policymakers are increasingly interrelated. The institutional blurring between universities, think tank, and policy has resulted in policy mergers at every level.']",2,0.000429712568178,0.9976091268952176,,3.527295556756934e-05,,,,,0.001925839533412,4.13003848391396e-08,1.8146122672984587e-09,,,,,,,,,4.9326275518962675e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not one of the 10 steps of the Washington Consensus?,security_studies,"['Fiscal Discipline: budget deficits of no more than 2 per cent of gross domestic product (GDP).'
 'Tax Reform: broadening the tax base, cut marginal tax rates, improve tax administration.'
 'Property Rights: legal reforms to secure property rights without excessive costs and to regularize the informal sector.'
 'Nationalization: state enterprises should be protected.']",3,2.8823507930490693e-13,6.101936676768439e-13,,0.9999999999987832,,,,,,1.1176086869361342e-14,,,,,,1.3615261079029194e-13,1.3615261079029194e-13,,,1.4350379599370093e-14,2.0879679113595664e-14,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following concepts does NOT form part of the technical discourse on cyber-security?,security_studies,"['Business networks' 'Computer experts' 'Anti-virus industry'
 'Computer networks']",0,5.905303862036262e-10,2.215948925962333e-08,,7.991959707669403e-11,,,,,0.9999999771244812,1.4637784801898636e-12,,4.277787769793336e-11,,1.1399918266149368e-12,,,,,,,,1.9810087521215369e-13,,,,,,,,,,,,,,,,,,,,,,,,,
What are the characteristics and manifestations of the strategy adopted by the USA in pursuit of energy security?,security_studies,"[""The deployment of troops in the Persian Gulf is part of the USA's attempt to secure its dominance in the oil-rich region.""
 'All of these options.'
 'The USA has sought to assert its primacy vis-ÃÂÃÂ -vis friendly and rival powers, through the deployment of troops and other interventions.'
 'The USA has actively sought to stabilize oil-rich friendly political actors and secure the economic and political status quo.']",1,1.2917800044159746e-12,0.9999999999964826,,1.54281120274996e-13,,,,,1.8795288160007054e-12,,,,,1.2664165545466611e-14,,,,,,9.357622966159749e-14,,,6.431393939609771e-14,2.0879679110478496e-14,,,,,,,,,,,,,,,,,,,,,,,
In what ways do theories of conventional and critical social constructivism differ?,security_studies,"['Conventional constructivists view constructivism as a bridge between rationalist and reflectivist approaches, enabling both to benefit from the insights of the other. Conversely, critical constructivists argue that this approach simply reproduces the binary distinctions that characterize positivist methodology.'
 'Critical constructivism regards the strength of social constructivism to be its ability to bridge rationalist and reflectivity approaches. Conversely, social constructivists regard this as an unhelpful regression to positivist binary frameworks of analysis.'
 'Conventional constructivism refers to the earlier works of social constructivist theorists that are characterised by a rejection of positivist methodology. Critical constructivists challenge these theories, embracing positivist methodologies in their work.'
 'Social constructivism is best understood as a uniform approach to the construction of social identities and security; although distinctions exist within the field, these are not easily defined as distinctive separate approaches.']",0,6.3487997985861095e-09,3.653482031036828e-08,,6.224144311683331e-11,,,,,0.9999999567606452,1.3887943170528403e-11,,2.1724398264510087e-10,,5.4927880763000685e-11,,,,7.433680300647588e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
