question,subject,choices,answer,b,c,a,d,0,e,f,g,.d,_d,h,ab,Ð°,bc,ac,<|end|>,(a,2,4,Ñ,m,Ï,.c,185,aa,1,8,6,12,9,v,.b,bd,i,s,.a,cd,_c,-c,(c,p,Ð±,t,10,l,-b,150,sin,cos,41,45,50,ax,160,none,x,Â­d,u,3,5,70,18,o,-d,100,200,abc
"The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate?",high_school_physics,['0.005 C' '0.01 C' '0.02 C' '0.5 C'],1,0.9398820697757878,0.0600846486057641,3.323187955782413e-05,4.409145157499647e-08,5.265972936790157e-09,3.8146580009002256e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields?,high_school_physics,"['the electric field produced by a finite-length charged rod'
 'the electric field produced by an infinitely long charged cylinder'
 'the electric field produced by an infinite plane of charge'
 'the magnetic field produced by an infinitely long, straight current-carrying wire']",0,4.753934002284816e-05,1.54337640350052e-05,0.0758534119195765,0.9240835296708396,,8.098896074231385e-08,2.1582826979921954e-09,2.1582826979921954e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A solid, metal object is isolated from other charges and has charge distributed on its surface. The charge distribution is not uniform. It may be correctly concluded that the",high_school_physics,"['electric field outside the object is zero'
 'the electric field outside the object is equal to the electric field inside the object'
 'the electric field outside the object is directly proportional to the distance away from the center of mass of the object'
 'the electric field outside the object, but very close to the surface, is equal to the surface charge density at any location divided by the permittivity of free space']",3,2.3355930190704446e-09,4.363462216085278e-09,1.4166087746770178e-09,0.9999999918711588,,1.2256067340571756e-11,,,3.7010116473300084e-13,3.2661313151982425e-13,2.2447770360592094e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing waves are produced by a 100-Hz generator in a string of fixed length. The tension in the string is increased until a new set of standing waves is produced. Will the wavelength of the new standing waves be greater than or less than the wavelength of the original standing waves?,high_school_physics,"['Less, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.'
 'Greater, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.'
 'Greater, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.'
 'Less, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.']",2,0.0019267340490016,7.71952445965394e-08,0.9980730246408968,1.634221706710408e-07,,3.1547932080238474e-10,,,,,,2.456955420837322e-10,1.3151134683648614e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two identical capacitors are hooked in parallel to an external circuit. Which of the following quantities must be the same for both capacitors? I. the charge stored on the capacitor II.  the voltage across the capacitor III. the capacitance of the capacitor,high_school_physics,"['I only' 'II only' 'II and III only' '(E) I, II, and III']",3,0.9958768276363764,0.0040699206500902,1.986508504887324e-06,5.123272958943905e-05,,2.8336050311965298e-08,7.551301628914292e-10,,,,,,,3.384258597713121e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 1-kg object is released from rest at the top of a rough-surfaced incline. The object slides without rotating to the bottom of the incline. The objectâs kinetic energy at the bottom must be,high_school_physics,"['Equal to the blockâs gravitational potential energy when it was released, because total mechanical energy must be conserved.'
 'Equal to the blockâs gravitational potential energy when it was released, because the gain in kinetic energy compensates for the mechanical energy lost to thermal energy on the rough incline.'
 'Less than the blockâs gravitational potential energy when it was released, because the gravitational potential energy was converted both to thermal energy and to kinetic energy.'
 'Less than the blockâs gravitational potential energy when it was released, because the work done by the friction force must be greater than the blockâs gain in kinetic energy.']",2,0.1173411644787959,0.1173411657073583,0.0001556852100316,0.7651606376628295,,1.3469409848272865e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A student is experimenting with a simple spring-block oscillator of spring constant k and amplitude A. The block attached to the spring has a mass of m. If the student places a small block of mass m on top of the original block, which of the following is true?",high_school_physics,"['The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].'
 'The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].'
 'The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).'
 'The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).']",0,0.0004866827438203,0.0016986896874116,0.9971064636649524,0.0007081192139014,,2.8371035265646e-08,,,,,,3.8396020933921286e-09,8.128437695497198e-09,,4.350839172519438e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How much work is required to charge a 10 ÂµF capacitor to a potential difference of 100 V ?,high_school_physics,['0.005 J' '0.01 J' '0.05 J' '0.1 J'],2,0.9853846364760313,0.014055761045609,0.0005450009106059,1.4523772148495607e-05,7.621383778854847e-08,1.5817677401148802e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A box of mass m slides on a horizontal surface with initial speed v0. It feels no forces other than gravity and the force from the surface. If the coefficient of kinetic friction between the box and the surface is Î¼, how far does the box slide before coming to rest?",high_school_physics,['v0^2/(2Î¼g)' 'v0^2/(Î¼g)' '2v0^2/(Î¼g)' 'mv0^2/(Î¼g)'],0,1.6701401044110252e-05,1.5534722872203569e-06,0.9999817447648652,1.6918641743193255e-10,,2.5945577435886243e-11,,,,,,,1.4930648934306487e-10,,,1.225582297226464e-11,5.108987117040498e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A soccer ball, at rest on the ground, is kicked with an initial velocity of 10 m/s at a launch angle of 30Â°. Calculate its total flight time, assuming that air resistance is negligible.",high_school_physics,['0.5 s' '1 s' '2 s' '4 s'],1,0.0031723866575386,0.9967340503044086,6.124147530547065e-06,8.454124891185658e-05,,3.3871702796250283e-09,,,,,,,,,,,,2.892842457481916e-06,1.4119826437595072e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two identical containers are filled with different gases. Container 1 is filled with hydrogen and container 2 is filled with nitrogen. Each container is set on a lab table and allowed to come to thermal equilibrium with the room. Which of the following correctly compares the properties of the two gases?,high_school_physics,"['The average kinetic energy of the hydrogen gas is greater than the nitrogen gas.'
 'The average force exerted on the container by the hydrogen gas is greater than the nitrogen gas.'
 'The density of the hydrogen gas is less than the nitrogen gas.'
 'The pressures of the gases cannot be compared without knowing the number of molecules in each container.']",3,1.2087619104332288e-06,0.9990865278168664,0.0009110497014323,1.2087619104332288e-06,,3.847224196079212e-09,,5.206651762511295e-10,,,,,,,,,,,,5.899909390347341e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A girl of mass m and a boy of mass 2m are sitting on opposite sides of a see-saw with its fulcrum in the center. Right now, the boy and girl are equally far from the fulcrum, and it tilts in favor of the boy. Which of the following would NOT be a possible method to balance the see-saw?",high_school_physics,"['Move the boy to half his original distance from the fulcrum.'
 'Move the girl to double her original distance from the fulcrum.'
 'Allow a second girl of mass m to join the first.'
 'Move the fulcrum to half its original distance from the boy.']",3,0.0009061375332217,0.0001784291488466,0.0052144637943879,0.9937008884414996,,7.685702488695674e-08,2.629902770664546e-09,,,,1.5951166624712496e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
