question,subject,choices,answer,b,c,a,d,f,p,(b,Ð±,none,e,not,invalid,_d,.d,Â­d,greater,g,(d,cd,Ð°,aa,<|end|>,Ñ,_c,(c,_a,.a,1,2,.b,ci,-c,.c,Ð´,du,(a,300,an,-a,0,o,8,h,de,_b,bi,t,150,16,30,no,v,bc,41,ac,Ã¡,400,k,25,-d,70,18,50,co,cand,4
"The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate?",high_school_physics,['0.005 C' '0.01 C' '0.02 C' '0.5 C'],1,0.9999999999965666,3.098819138391889e-12,1.3615261079446901e-13,1.0603575990394869e-13,2.3659776088828524e-14,2.3659776088828524e-14,2.3659776088828524e-14,2.0879679114236244e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields?,high_school_physics,"['the electric field produced by a finite-length charged rod'
 'the electric field produced by an infinitely long charged cylinder'
 'the electric field produced by an infinite plane of charge'
 'the magnetic field produced by an infinitely long, straight current-carrying wire']",0,5.1439335414720256e-05,8.938816163486077e-06,0.9998945031681978,2.7533492156150647e-05,,,,,1.331014364173874e-05,2.561013709090162e-06,1.2097372172853998e-06,5.042934996778504e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A solid, metal object is isolated from other charges and has charge distributed on its surface. The charge distribution is not uniform. It may be correctly concluded that the",high_school_physics,"['electric field outside the object is zero'
 'the electric field outside the object is equal to the electric field inside the object'
 'the electric field outside the object is directly proportional to the distance away from the center of mass of the object'
 'the electric field outside the object, but very close to the surface, is equal to the surface charge density at any location divided by the permittivity of free space']",3,1.1399918528972501e-12,4.752193062157927e-13,1.842625214485789e-14,0.9999999999980576,,,,,,3.037975385051106e-14,,,1.748234128045464e-13,8.258073284490294e-14,2.0879679113765013e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing waves are produced by a 100-Hz generator in a string of fixed length. The tension in the string is increased until a new set of standing waves is produced. Will the wavelength of the new standing waves be greater than or less than the wavelength of the original standing waves?,high_school_physics,"['Less, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.'
 'Greater, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.'
 'Greater, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.'
 'Less, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.']",2,0.9999995417779493,2.3823674524981333e-07,2.102431897647956e-07,8.152021287161559e-09,7.991960454400816e-11,,,,,4.2777881694898585e-11,,,,,,1.2501529542118118e-09,2.1724400876961032e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two identical capacitors are hooked in parallel to an external circuit. Which of the following quantities must be the same for both capacitors? I. the charge stored on the capacitor II.  the voltage across the capacitor III. the capacitance of the capacitor,high_school_physics,"['I only' 'II only' 'II and III only' '(E) I, II, and III']",3,6.691533438347962e-10,3.581719747192721e-10,,0.9999961844947444,,,,,,3.81426191475196e-06,,,9.056005731660861e-11,7.052824355316609e-11,,,,5.492745130785652e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 1-kg object is released from rest at the top of a rough-surfaced incline. The object slides without rotating to the bottom of the incline. The objectâs kinetic energy at the bottom must be,high_school_physics,"['Equal to the blockâs gravitational potential energy when it was released, because total mechanical energy must be conserved.'
 'Equal to the blockâs gravitational potential energy when it was released, because the gain in kinetic energy compensates for the mechanical energy lost to thermal energy on the rough incline.'
 'Less than the blockâs gravitational potential energy when it was released, because the gravitational potential energy was converted both to thermal energy and to kinetic energy.'
 'Less than the blockâs gravitational potential energy when it was released, because the work done by the friction force must be greater than the blockâs gain in kinetic energy.']",2,0.0002936534448756,0.4685589801195286,0.000201824864343,0.5309443706240868,,,,,,9.346345451789908e-07,,,,,,,,,2.363126206282091e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A student is experimenting with a simple spring-block oscillator of spring constant k and amplitude A. The block attached to the spring has a mass of m. If the student places a small block of mass m on top of the original block, which of the following is true?",high_school_physics,"['The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].'
 'The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].'
 'The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).'
 'The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).']",0,6.825604335967692e-08,3.8507424641554085e-09,0.999999918561429,2.1724402405091086e-10,,,,,,3.58174843385227e-10,,,,,,,,,,8.15202186058813e-09,3.58174843385227e-10,2.4616972979130205e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How much work is required to charge a 10 ÂµF capacitor to a potential difference of 100 V ?,high_school_physics,['0.005 J' '0.01 J' '0.05 J' '0.1 J'],2,2.020683908506125e-11,0.9999999999757272,1.361526107741914e-13,2.73469829089342e-12,,,,,,4.19379565730843e-13,,,,,,,,,,,,,6.101936676046861e-13,8.25807328344677e-14,8.25807328344677e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A box of mass m slides on a horizontal surface with initial speed v0. It feels no forces other than gravity and the force from the surface. If the coefficient of kinetic friction between the box and the surface is Î¼, how far does the box slide before coming to rest?",high_school_physics,['v0^2/(2Î¼g)' 'v0^2/(Î¼g)' '2v0^2/(Î¼g)' 'mv0^2/(Î¼g)'],0,2.4133627709874665e-12,6.10193667546694e-13,0.9999999999467202,,,,,,,8.878265475348328e-13,,,,,,,,,,4.8473687045715265e-11,3.7010116772956773e-13,,,,,3.2661313416428533e-13,1.981008797354748e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A soccer ball, at rest on the ground, is kicked with an initial velocity of 10 m/s at a launch angle of 30Â°. Calculate its total flight time, assuming that air resistance is negligible.",high_school_physics,['0.5 s' '1 s' '2 s' '4 s'],1,0.999999999694104,1.6918979199726596e-10,2.940077734692547e-11,1.2256067424957488e-11,,,,,,,,,,,,,,,,,,2.4133627680639315e-12,,,,,,9.056076975528739e-11,1.2917800027684446e-12,7.835041772827323e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
