question,subject,choices,answer,c,b,d,<|end|>,с,.c,a,_c,а,e,aa,.a,f,h,g,.d,_d,ab,bd,bc,б,p,cd,á,ac,bi,-b,.b,ci,-c,-a,t,(c,j,l,4,­d,-d,abc,bb,ba,k,an,o,_b,_a
Mass-society theory suggests that:,sociology,"['the content of the media is determined by market forces'
 'the subordinate classes are dominated by the ideology of the ruling class'
 ""the media manipulate 'the masses' as vulnerable, passive consumers""
 'audiences make selective interpretations of media messages']",2,0.9999999999664563,3.331544541707904e-11,1.0603575990064514e-13,3.9008376096438566e-14,3.0379753850250224e-14,2.0879679113585743e-14,2.0879679113585743e-14,1.1176086869356028e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ecological approach to urban sociology involved studying:,sociology,"['how social groups colonized different areas of the city and competed for resources'
 'the forms of wildlife and natural habitats that could be found on the edges of the city'
 'the way in which people organized collective protests about environmental issues'
 ""how men and women used the city's public spaces differently""]",0,2.8823507930820536e-13,7.835041784079465e-13,,3.7010116781274265e-13,,,0.9999999999782029,,2.0206839087682016e-11,5.6756852319192454e-14,5.6756852319192454e-14,3.442477108037231e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becker proclaimed that cannabis use was:,sociology,"['increasing throughout all sections of youth in the 1970s'
 'learned gradually through the social processes of a deviant career'
 'a dangerous pastime that young people should not be allowed to pursue'
 'not as enjoyable as other sociologists had suggested']",1,1.3708550229597135e-06,0.9999237461863967,3.653204894088524e-08,,,,7.484614821724382e-05,,,2.1722750347977982e-10,,,3.331291659394822e-11,1.388688969273495e-11,1.388688969273495e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The middle classes that developed over the nineteenth century were:,sociology,"['an urban set, involved in civic bodies and voluntary associations'
 'too diverse to have a strong sense of class consciousness'
 ""often involved in 'white collar' work"" 'all of the above']",3,4.508755241759844e-12,2.2897348453738674e-11,0.9999999999386875,1.0603575990265693e-13,,,3.3315445417711115e-11,,,1.0603575990265693e-13,,,,,,2.244777054754623e-13,1.5428112030088273e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technological forms of surveillance have made it easier to:,sociology,"[""access and exchange 'private' information about consumers""
 'reduce prison overcrowding by the use of electronic tagging'
 ""monitor employees' activities at work"" 'all of the above']",3,7.433680671501897e-12,1.3887943863375467e-11,0.999999999929686,9.357622967769816e-14,,,4.847368705715796e-11,,,7.287724094986096e-14,,,,,,1.9810087978223847e-13,1.5428112030154154e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as,sociology,['organic solidarity' 'mechanical solidarity' 'gesellschaft' 'anomie'],1,0.9999641740410231,1.1478486612648243e-05,4.6909951245362915e-08,,4.847194185090928e-11,4.277633854568806e-11,2.4299956349664695e-05,,,4.598889797567586e-10,,,,,5.492590592550301e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was a growth in income inequality in the 1980s because:,sociology,"['rates of income tax increased equally for all occupational groups'
 'there were more professional jobs available but not enough people to fill them'
 'the price of consumer goods rose at a higher rate than earnings'
 'growing unemployment made more people dependent on welfare benefits']",3,0.3205941159604949,0.6786976732480184,0.0007012960967218402,,,,6.8752608850714866e-06,,,3.6078094071660785e-08,,,3.3557854917697943e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If a deviant act is 'normalized', it is:",sociology,"['recognised as breaking an important norm of behaviour'
 ""seen a temporary aberration from an otherwise 'normal' character""
 'the first step in establishing a deviant career'
 ""attributed to the person's genetic or anatomical make up""]",1,0.02903407643583075,0.009425989606339608,6.351173151619398e-05,,,,0.9614761785239875,,,2.2905906959083364e-07,,,1.4643256408940385e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the debate about the 'managerial revolution', John Scott (1997) argued that:",sociology,"['owners still exercised control through groups of shareholders and interlocking directorships'
 'ownership and management were becoming increasingly separate functions'
 'the techniques of scientific management were overly bureaucratic and inefficient'
 'managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses']",0,8.592166143338567e-10,0.9999999458795402,1.0261879063397379e-10,1.5428111177507602e-13,,,5.3157849600353964e-08,,,4.752192799593952e-13,,,1.0603575404296137e-13,,,,,3.900837394151713e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marxist feminists explain patriarchy in terms of:,sociology,"['a lack of equal rights and opportunities for men and women'
 'sex classes, through which men oppress women economically, politically and sexually'
 ""women's domestic labour being exploited by the capitalist economy""
 'the dual systems of capitalism and male domination']",2,3.7265376394714108e-06,0.9999687314044382,2.7535595672830858e-05,,,,6.348609641013364e-09,,,7.05266825246692e-11,,,9.54474855521477e-12,,,,,,1.783193790298704e-11,1.5736629966466904e-11,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following was not defined by Giddens (1998) as part of New Labour's 'third way':,sociology,"['the democratization of the family' 'putting an end to privatization'
 ""positive welfare: 'a hand up, not a hand-out'""
 'the strengthening of civil society']",1,1.0060392791482201e-12,0.9999999999978494,1.0603575990099936e-13,9.862862045256009e-15,,,1.0060392791482201e-12,,,,,,1.1176086869393362e-14,,,,,,,,6.778639341898855e-15,4.658886144477775e-15,,,,,,,,,,,,,,,,,,,,,,,,
Anti-psychiatrists like Laing & Esterson believed that:,sociology,"['Psychiatry was an out-moded form of treatment and should be replaced by alternative therapies like aromatherapy and kinesiology'
 ""Mental illnesses were biological in origin, so there was no point in studying 'the mind' as experienced by the patient""
 'Psychiatrists were agents of capitalism who tried to instill ruling class ideology into their patients'
 'Behaviour that seemed bizarre could be seen as a reasonable response to disturbed patterns of family interaction']",3,0.1824255308188621,4.924716835194383e-08,0.8175743982068723,,,,4.580700209327608e-09,,,1.15818238942911e-09,,,,,,,,,,,,,1.59882147158706e-08,,,,,,,,,,,,,,,,,,,,,,,
Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:,sociology,"['socialization into working class families and communities'
 'rational calculation of self-interest'
 'issue-based concerns about culture and lifestyle'
 'false consciousness and the acceptance of hegemonic values']",0,1.8552727018816738e-07,5.4219015931368524e-06,5.82909355214227e-05,6.223740336746752e-11,,,0.9999361004232159,,4.5987566493399294e-10,5.211073983230322e-10,,,,,,,,1.6917880262426276e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
