question,subject,choices,answer,c,b,d,Ñ,_c,.c,ci,(c,a,e,_d,.d,<|end|>,Ð°,aa,.a,_a,(a,Ð´,g,f,h,.b,p,Ð±,Â­d,-d,bi,-a,-c,1,du,o,ac,an,co,(b,none,n,k,ab,de,4,l,_b,199,(d,bc,ca,feminist,the,feminism,investigations,femin,feminine,gender,Unnamed: 60,women's
Which of these principles is not an element of the responsibility to protect?,security_studies,"['The responsibility to prevent.' 'The responsibility to react.'
 'The responsibility to remain sovereign.'
 'The responsibility to rebuild.']",2,0.9999999999991112,7.835041784775669e-13,5.008774637658933e-14,3.0379753853311793e-14,8.703945206405672e-15,5.279209628143847e-15,5.279209628143847e-15,5.279209628143847e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can environmental changes be reconciled with national security interests?,security_studies,"['Environmental challenges to economic growth, such as natural resource management and employment, leads to diversification and research which may in the long-term result in technological advancements that bolster military programs.'
 ""Environmental changes can undermine national security in many ways; including weakening the economic base that determines military capacity. So if the natural capital base of an economy erodes than so does the long-term capacity of its armed forces. Any developments however, will be 'human' in impact.""
 ""The environmental problems encountered by countries are principally internal. External threats remain within a country's control: external military threats will remain unchanged and a primary concern.""
 'All of these options.']",1,1.7832472823545545e-11,9.056076946709012e-11,0.999999996036952,,,,,,3.850741904498921e-09,1.2917799986575317e-12,1.1399918476360044e-12,1.006039274510464e-12,4.752193040225792e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements could be described as a liberal perspective on future energy security?,security_studies,"['The global economy is interconnected, ensuring that energy security for one is dependent upon energy security for all. Thus all core powers have the same interests in maintaining and extending the conditions under which this market operates. As long as this economic order exists, conflict between major powers over energy reserves is highly unlikely.'
 ""Energy scarcity is likely to lead to future disruptions in the global system and the emergence of a 'new international energy order', characterized less by liberal free-market trading than by statism and neo-mercantilism.""
 'Oil remains the lifeblood of the current order - an order that is based upon an unequal (and deeply unjust) distribution of wealth and power in favour of capitalist economic elites. Those who benefit most from the prevailing order will ensure that the flow of energy under favourable conditions continues to underpin their position in the global system.'
 ""Energy scarcity will signal a return to an era of greater geopolitical confrontation. 'Resource wars', in particular over energy sources, present a clear possibility for a breakdown in international cooperation, as states begin to compete (and eventually conflict) over the control of major reserves.""]",0,,1.748234128165708e-13,,,,,,,0.9999999999908876,,,,1.5428112030989178e-13,8.423463753961048e-12,1.5428112030989178e-13,8.258073285058288e-14,7.287724095380534e-14,5.0087746375416765e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a common criticism of the human security concept?,security_studies,"['Human security is neo-colonial.'
 'Human security promotes global capitalism.'
 'Human security is too broad.' 'All of these options.']",3,6.914400106176184e-13,8.878265477478639e-13,0.9999999999979112,,,,,,2.543665647095856e-13,,1.3615261079392093e-13,9.357622967806186e-14,1.1176086869659228e-14,,,,,,1.4350379599752586e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways have governments responded to the threat of TNC post-Cold War?,security_studies,"['State responses to transnational crime have evolved in correlation to the increased threat posed to the integrity of the state. Organized crime has been regarded primarily as a national security threat to be addressed domestically. The institutionalized international approaches for information sharing have been predominately bilateral to the extent of bringing to justice perpetrators of crime that are seeking to evade justice.'
 'With the expansion of TNC in the 1990s, states became increasingly willing to take measures to reduce the asymmetries between countries through harmonization of legislation and increasing police capacity and networking. The government response to transnational crime has focused on targeting the individuals and organizations perpetrating the crime, rather than the criminal markets themselves.'
 'The US war on drugs has heavily influenced the construction of the governmental response to the growing perception that the phenomenon of TNC represents a national security threat. The approach has an emphasis on bilateral and multilateral cooperation on law enforcement combined with sticks on a bi-lateral basis to induce states to increase regulation and enforcement against TNC.'
 'The emergence of norms governing the response to address the spectre of organized crime and to harmonize legislation occurred with the evolving Global War on Terror in which the terrorism-organized crime nexus resulted in the militarization of law enforcement: the use of military technology and intelligence as opposed to addressing the underlying conditions that facilitate illicit trade through an international institutionalist response.']",1,5.905303967098989e-10,0.9999999991201534,5.4927883213341716e-11,,,,,,2.1724399233638775e-10,3.511422094440753e-12,,,,,,,,,,5.789356297510863e-12,5.1090890005119576e-12,2.7346982768446906e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What potential problem for policy in the institutionalization of academe-policy interaction emerged?,security_studies,"['The main disciplinary context for security studies theorizing was a move away from the disciplinary domination of political science toward multi-academe interaction from sociology, mathematics, psychology, natural and political sciences, and economics.'
 'Policy-academe developments have resulted in the modification of the role of think tanks away from policy towards politicization resistant theory.'
 'Security studies has been marked by the gradual ""IR-ification"" of the discipline. Security studies became one of International Relations\' (IR\'s) two pillars, the second being International Political Economy. Henceforth IR became the main disciplinary context in which security studies was deliberated.'
 'Think tanks and policymakers are increasingly interrelated. The institutional blurring between universities, think tank, and policy has resulted in policy mergers at every level.']",2,3.5114221117040733e-12,0.9999999999958764,3.2661313412318374e-13,,,,,,1.748234127438399e-13,,,,3.0379753839961856e-14,,,,,,,,,,2.6810038665048808e-14,2.6810038665048808e-14,2.6810038665048808e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not one of the 10 steps of the Washington Consensus?,security_studies,"['Fiscal Discipline: budget deficits of no more than 2 per cent of gross domestic product (GDP).'
 'Tax Reform: broadening the tax base, cut marginal tax rates, improve tax administration.'
 'Property Rights: legal reforms to secure property rights without excessive costs and to regularize the informal sector.'
 'Nationalization: state enterprises should be protected.']",3,1.006039279039889e-12,3.266131341997153e-13,0.9999999999982242,,,,,,,,2.244777054477813e-13,1.36152610776021e-13,,,,,,,1.6261110442243543e-14,,,,,,,5.008774636631549e-14,1.6261110442243543e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following concepts does NOT form part of the technical discourse on cyber-security?,security_studies,"['Business networks' 'Computer experts' 'Anti-virus industry'
 'Computer networks']",0,1.2256067421011644e-11,4.8473686971388376e-11,8.878265461734884e-13,,,,,,0.99999999982627,3.978962528341716e-12,,,4.508755233801284e-12,1.0261879612370679e-10,,,,1.0060392773881518e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the characteristics and manifestations of the strategy adopted by the USA in pursuit of energy security?,security_studies,"[""The deployment of troops in the Persian Gulf is part of the USA's attempt to secure its dominance in the oil-rich region.""
 'All of these options.'
 'The USA has sought to assert its primacy vis-Ã -vis friendly and rival powers, through the deployment of troops and other interventions.'
 'The USA has actively sought to stabilize oil-rich friendly political actors and secure the economic and political status quo.']",1,2.543665647064943e-13,0.9999999999994218,6.431393940663192e-14,,,,,,1.3615261079226626e-13,,,,,,,,,,,,2.6810038674529787e-14,,5.6756852319366e-14,,2.6810038674529787e-14,,,1.2664165547540916e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways do theories of conventional and critical social constructivism differ?,security_studies,"['Conventional constructivists view constructivism as a bridge between rationalist and reflectivist approaches, enabling both to benefit from the insights of the other. Conversely, critical constructivists argue that this approach simply reproduces the binary distinctions that characterize positivist methodology.'
 'Critical constructivism regards the strength of social constructivism to be its ability to bridge rationalist and reflectivity approaches. Conversely, social constructivists regard this as an unhelpful regression to positivist binary frameworks of analysis.'
 'Conventional constructivism refers to the earlier works of social constructivist theorists that are characterised by a rejection of positivist methodology. Critical constructivists challenge these theories, embracing positivist methodologies in their work.'
 'Social constructivism is best understood as a uniform approach to the construction of social identities and security; although distinctions exist within the field, these are not easily defined as distinctive separate approaches.']",0,,1.3615261078758785e-13,,,,,,,0.9999999999852168,,,,2.8823507929918245e-13,1.388794386278345e-11,2.5436656469775375e-13,7.287724094675435e-14,9.357622967370918e-14,5.0087746370570704e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
