question,subject,choices,answer,b,d,c,a,2,ÃÂÃÂ±,f,h,p,e,_d,.d,ÃÂÃÂ­d,<|end|>,-d,du,ÃÂÃÂ´,dw,dv,ÃÂÃÂ,_c,-c,ci,(c,.b,_b,.c,bc,(b,bi,0,k,ÃÂÃÂ°,_a,.a,aa,ab,all,ad,(d,dr,g,sample,-a,dl,(a,div,t,z,v,vari,90,8,94,82,none,6,84,4,152,3,ac,ÃÂÃÂ¡,cd,1,153,cand,too,405,423,ÃÂÃÂ¯
"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test?",high_school_statistics,"['P(t > 1.54) with df = 6' '2P(t > 1.54) with df = 6'
 'P(t > 1.54) with df = 7' '2P(t > 1.54) with df = 7']",1,0.9999999942841336,5.602796400010241e-09,7.991959839424504e-11,2.0206838954878585e-11,1.2256067362009447e-11,2.8823507741386613e-13,2.2447770399856602e-13,1.748234116561542e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders?",high_school_statistics,"['0 to 31.7 minutes' '31.7 to 39.3 minutes' '25.3 to 44.7 minutes'
 '25.3 to 35 minutes']",2,0.9999999830461984,2.7894680313679536e-10,1.5229979408928715e-08,1.4166087554104262e-09,,9.545034712395883e-12,8.423463568751812e-12,,5.7893562010894624e-12,4.508755142887767e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All of the following statements are true for all discrete random variables except for which one?,high_school_statistics,"['The possible outcomes must all be numerical.'
 'The possible outcomes must be mutually exclusive.'
 'The mean (expected value) always equals the sum of the products obtained by multiplying each value by its corresponding probability.'
 'Approximately 95% of the outcomes will be within two standard deviations of the mean.']",3,1.463778513805908e-12,0.9999999999933108,4.193795657462725e-13,4.508755241309151e-12,,,,,,5.6756852313919424e-14,1.2015425729145054e-13,9.357622966794473e-14,2.6810038671957e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a true statement about hypothesis testing?,high_school_statistics,"['If there is sufficient evidence to reject a null hypothesis at the 10% level, then there is sufficient evidence to reject it at the 5% level.'
 'Whether to use a one- or a two-sided test is typically decided after the data are gathered.'
 'If a hypothesis test is conducted at the 1% level, there is a 1% chance of rejecting the null hypothesis.'
 'The power of a test concerns its ability to detect an alternative hypothesis.']",3,4.752193062439089e-13,0.9999999999989256,3.701011678334061e-13,,,,,,,2.087967911500035e-14,9.357622968186305e-14,5.6756852322361295e-14,3.9008376099081414e-14,1.842625214594808e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An outlier is an observation that,high_school_statistics,"['is seen more frequently than the other observations in the data set'
 'is seen less frequently than the other observations in the data set'
 'is always smaller than the other observations in the data set'
 'is significantly different from the other observations in the data set']",3,1.361526108046039e-13,0.9999999999997804,2.0879679115790483e-14,,,,,,,1.9421126878378094e-15,3.9008376100557575e-14,1.4350379600878565e-14,5.279209628169272e-15,,1.7139084314871105e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The principal of a school is interested in estimating the average income per family of her students. She selects a random sample of students and collects information about their family income. A 95 percent confidence interval computed from this data for the mean income per family is ($35,095, $45,005). Which of the following provides the best interpretation of this confidence interval?",high_school_statistics,"['95 percent of the students in her school are from families whose income is between $35,095 and $45,005.'
 'There is a 95% probability that the families of all the students in this school have an income of between $35,095 and $45,005.'
 'If we were to take another sample of the same size and compute a 95 percent confidence interval, we would have a 95% chance of getting the interval ($35,095, $45,005).'
 'There is a 95% probability that the mean income per family in the school is between $35,095 and $45,005.']",3,6.101936676659957e-13,0.9999999999974792,1.291780004585862e-12,,,,,,,,2.882350792997828e-13,2.543665646982835e-13,3.900837609576362e-14,,,1.8426252144380863e-14,1.8426252144380863e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Researchers are conducting an experiment using a significance level of 0.05. The null hypothesis is, in fact, false. If they modify their experiment to use twice as many experimental units for each treatment, which of the following would be true?",high_school_statistics,"['The probability of a Type I error and the probability of a Type II error would both decrease.'
 'The probability of a Type I error and the power would both increase.'
 'The probability of a Type II error and the power would both increase.'
 'The probability of a Type I error would stay the same and the power would increase.']",3,5.1090890272164166e-12,0.9999999999919464,2.413362771433163e-12,7.287724094611643e-14,,,,,,4.420228102908454e-14,2.543665646955272e-13,1.3615261078639605e-13,,2.365977608742565e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The mean height of adult men is 70 inches, with a standard deviation of four inches. The mean height of adult women is 66 inches, with a standard deviation of three inches. Between a man with a height of 74 inches and a woman with a height of 70 inches, who is more unusually tall within his or her respective sex?",high_school_statistics,"['It cannot be determined, because the mean heights for the two groups are different.'
 'It cannot be determined, because the standard deviations of the heights for the two groups are different.'
 'The man, because he is 74 inches tall and the woman is only 70 inches tall.'
 'The woman, because her height is 1.33 standard deviations above the mean height of all women, whereas the manÃÂ¢ÃÂÃÂs height is only one standard deviation above the mean height of all men.']",3,1.2917800046021552e-12,0.9999999999936184,1.2917800046021552e-12,,,,,,,,1.46377851391759e-12,1.46377851391759e-12,,,,6.101936676736924e-13,,1.542811202972321e-13,1.0603575990014793e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not true about t-distributions?,high_school_statistics,"['There are different t-distributions for different values of df (degrees of freedom).'
 't-distributions are bell-shaped and symmetric.'
 't-distributions always have mean 0 and standard deviation 1.'
 't-distributions are more spread out than the normal distribution.']",2,1.0060392792248436e-12,5.67568523230284e-14,0.9999999999985434,,,,,,,,,,,,,,,,,2.882350793276858e-13,3.037975385266554e-14,3.037975385266554e-14,2.365977608997245e-14,2.0879679115245762e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To study the effect of alcohol on reaction time, subjects were randomly selected and given three beers to consume. Their reaction time to a simple stimulus was measured before and after drinking the alcohol. Which of the following is a correct statement?",high_school_statistics,"['This study was an observational study.'
 'Lack of blocking makes this a poorly designed study.'
 'The placebo effect is irrelevant in this type of study.'
 'This study was an experiment in which the subjects were used as their own controls.']",3,8.878265477577024e-13,0.9999999999985788,3.7010116782247353e-13,,,,,,,,8.258073284734943e-14,5.6756852320684726e-14,1.4350379599911608e-14,3.628344177686331e-15,5.982128223172419e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
