question,subject,choices,answer,b,a,c,<|end|>,d,б,e,а,с,g,aa,cc,cj,​,f,ц,bb,ba,s,'b,ad,ai,ci,3,ac,be,j,aac,д,',ab,n,t,all,bcc,i,­a,2,ch,civil,cd,aio,q
Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,international_law,"['The coastal State' 'The flag State' 'All States enjoy such jurisdiction'
 'The International Tribunal for the Law of the Sea']",1,0.9999999777984908,2.215948928103163e-08,3.331544468146936e-11,4.508755142120358e-12,3.978962447433583e-12,1.9810087540353907e-13,1.8426251737845472e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of justiciability?,international_law,"['Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders'
 'Justiciability refers to the just nature or cause of a particular right'
 ""Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice""
 'Justiciability refers to the obligation of a State to enforce a particular Right']",0,1.6052280099205115e-09,0.999999971849349,9.237449401487929e-09,2.0206838520418654e-11,1.7257827501314527e-08,,5.384940065906542e-13,2.9400776563785496e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,international_law,"['R2P is essentially the same as humanitarian intervention'
 'R2P requires a call for assistance by the State in distress'
 'R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis'
 'R2P always involves armed force, whereas humanitarian intervention does not']",2,3.5817479288211325e-10,1.5428112025621213e-13,0.9999999995922961,7.835041781866171e-13,3.77513454273811e-11,,1.117608686633214e-14,,1.081594155287069e-11,1.2664165543924737e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the 'Lotus principle'?,international_law,"[""The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'""
 'The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes'
 'The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas'
 'The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris']",0,5.789356327740896e-12,0.9999999998321704,9.05607698812463e-11,2.734698291124347e-12,4.277787868237662e-11,,,2.5946094978328892e-11,,,2.0879679112889722e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements best describes the UK Constitution?,international_law,"[""The UK Constitution's only source of power is that of the sovereign""
 'The UK Constitution gives the judiciary the power to overturn acts of parliament'
 'The UK Constitution is uncodified and can be found in a number of sources'
 'The UK Constitution is based on a Bill of Rights']",2,3.2020024986366625e-15,9.17389075417718e-16,0.9999999999997929,2.3659776091342415e-14,4.11145259254713e-15,,,,1.7482341282706727e-13,,,1.594183173136947e-16,1.0292820165920109e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the obligation of the peaceful settlement of disputes?,international_law,"['It is an obligation of result, that is, States are under a strict obligation to resolve their disputes as soon as possible'
 'It is an obligation of conduct, ie States have an obligation to try to resolve their disputes through peaceful means. This does not entail an obligation to resolve their disputes'
 'It is a peremptory norm of international law and all States have a legal interest to safeguard its application in any given dispute'
 'It is an obligation which concerns solely international courts and tribunals']",1,0.9999999973233094,2.6465736317767047e-09,2.5946094912840954e-11,1.658678354444158e-12,2.4133627653292955e-12,9.357622943621747e-14,,,,,,,,5.279209614111121e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which one of the following statements is false?,international_law,"['Protocol 14 changed the committee that hears admissibility cases from a three judge to a one judge formation'
 'Protocol 14 added a new criterion for admissibility'
 'Protocol 14 abolished the Commission of Human Rights'
 'Protocol 14 extended the judicial term of office for the European Court of Human Rights']",2,1.1861120620524184e-08,3.850742075088176e-09,0.9999992500450204,9.056077347896488e-11,7.338208142250148e-07,,1.3887944414317735e-11,,3.160881579346022e-10,,,,,,1.7656539920336547e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,international_law,"['Rocks are the islands that are less than 10 square miles'
 'Rocks are the islands that do not have any maritime zone'
 'Rocks are the islands which cannot sustain human habitation or economic life of their own and according to article 121 (3) have no Exclusive Economic Zone or continental shelf.'
 'Rocks are the small islands that can sustain human habitation']",2,1.2917800047697851e-12,1.7482341282491177e-13,0.9999999999878093,4.1937956583269153e-13,1.8795288165154965e-12,,,,8.42346375436294e-12,,,,,,,1.5125188821304676e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of international legal personality?,international_law,"['It means that only States are considered subjects of international law'
 'It means having rights and duties under international law and a capacity to enforce these by or against the relevant actor'
 'It means that an entity may challenge the authority of States'
 'It is a term that is meant to denote legal, as opposed, to physical persons under international law']",1,0.9999999999906062,6.5602001680917425e-12,8.258073285477828e-14,1.1176086870788467e-14,2.7346982915660142e-12,4.6588861450593414e-15,,,,,,,,,,,2.6283637069188324e-16,8.533047625663374e-17,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a treaty-based human rights mechanism?,international_law,"['The UN Human Rights Committee' 'The UN Human Rights Council'
 'The UN Universal Periodic Review' 'The UN special mandates']",0,1.6052280525269192e-09,0.9999999983494033,2.9400777344149075e-11,2.413362767836031e-12,3.978962529247e-12,,,9.545034907031465e-12,,,3.037975380411418e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The UN Vienna Declaration 1993 declared that,international_law,"['Third generation rights are of primary importance'
 'Civil and political rights are core rights'
 'All types of rights are indivisible, interrelated and interdependent'
 'Social and economic rights are non-enforceable']",2,1.3176514267806973e-10,3.0988191381836234e-12,0.9999999998267107,3.7010116779498815e-13,2.0206839086712654e-11,,8.703945205214713e-15,,1.783247290504925e-11,7.215824018169678e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the principal source of immunity in respect of international organisations (IOs)?,international_law,"['The principal source of immunity for IOs is the UN Charter'
 'The principal sources of immunity for IOs are headquarters agreements and multilateral treaties providing specific immunities'
 'The principal source of immunity for IOs is customary law'
 'The principal source of immunity for IOs is the Vienna Convention on Diplomatic Immunities']",1,0.9999982102114163,2.8453293244740698e-08,1.7603429190103957e-06,1.783243853526214e-11,9.736181546050652e-10,5.732227974257566e-13,3.4767720148496534e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is there any hierarchy or priority among States under international law?,international_law,"['Yes, the States that were the founding members of the United Nations are vested with more powers and authority'
 'Yes, the Permanent Five Members of the UN Security Council (UK, USA, France, Russia, China) are in a superior position than the other States'
 'No, all States are considered equal as sovereign States (the principle of sovereign equality, enshrined in article 2, para 1 UN Charter)'
 'Whether there will be any hierarchy among States is a matter of each international organization to decide']",2,3.224186618921661e-08,4.5087550768131325e-12,0.9999999633030623,1.573710152927504e-11,4.363462092794596e-09,,6.101936453650206e-13,,7.05287959225524e-11,,,,,,,,,,2.2447769726324907e-13,,,,,,,,,,,,,,,,,,,,,,,,
What is the declaratory theory of recognition?,international_law,"['Recognition is determinate for the existence of statehood'
 'Recognition is simply declaratory of statehood but not determinate'
 'Recognition is merely a declaration of interest'
 'Recognition requires a declaration by the newly-created State']",1,0.9999999950553883,4.944450477485062e-09,6.431393909644497e-14,5.6756852045627e-14,2.3659775974334353e-14,1.6261110365756227e-14,,,,,,,,,,,,,,6.242910974665064e-17,,,,,,,,,,,,,,,,,,,,,,,
"What is the function of ""standard-setting in human rights diplomacy?",international_law,"['Standard-setting means putting forward binding legal standards'
 'Standard-setting means merely proposing binding legal standards'
 'Standard-setting means putting forward non-binding legal standards'
 'Standard-setting means setting certain standards of conduct in human rights treaties']",2,6.221210288683307e-05,0.3057581511604861,0.6472900592419367,1.7301701339173382e-08,0.046889533395589586,,2.679739925203049e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What dimension did the Kadi judgment introduce with respect to the incorporation of UN Security Council resolutions?,international_law,"['The Kadi judgment demanded that UNSC resolutions are construed in accordance with human rights'
 'The Kadi judgment demanded that all UNSC resolutions be incorporated without any further implementing legislation'
 'The Kadi judgment required that important UNSC resolutions be transformed and not merely incorporated'
 'The Kadi judgment claimed that UNSC resolutions are not binding if they violate human rights']",0,3.9168414664929107e-07,0.9971944831697669,4.211001425403592e-06,1.584930978433158e-10,0.002800913765301615,,5.477374896192756e-11,1.234345487117871e-10,,,,,,,,,,,,,4.2657838583305735e-11,,,,,,,,,,,,,,,,,,,,,,
Magna Carta was,international_law,"['An agreement in 1689 which guaranteed freedom of speech in Parliament'
 'An agreement in 1215 between the King and his barons, which guaranteed certain protections for subjects'
 'A constitutional document in the 19th century guaranteeing the right to vote'
 'A document setting a complete Bill of Rights for England']",1,0.9999999999999385,5.675685232632158e-14,9.669209717056482e-17,3.202002498637048e-15,2.4447590766118878e-17,1.3347932285974703e-15,,,,,,,,,,,1.3085852357320466e-17,,,,,,,,,,,,,,,,,,,,,,,,,,
Do individuals (physical) persons enjoy international legal personality in the same manner as States and international organisations?,international_law,"['Individuals enjoy international legal personality, but this is limited'
 'Individuals enjoy unlimited international legal personality'
 'Individuals do not enjoy any international legal personality'
 'Individuals can only bring claims before international courts']",0,3.900837610175668e-14,0.9999999999987121,1.5428112031898915e-13,6.431393941443678e-14,2.3659776091317004e-14,,,1.0060392792820152e-12,,,,,,,,,,,,,,2.469119200124555e-16,,,,,,,,,,,,,,,,,,,,,
Is there any hierarchy or priority among the various methods of peaceful settlement of disputes?,international_law,"['Yes, all the political methods (e.g. negotiation, mediation, inquiry, conciliation) should be exhausted prior to resorting to legal methods'
 'Legal methods prevail over the political methods, since they are binding upon the parties'
 'There is no hierarchy among these methods and the choice belongs to the disputing States'
 'It is a matter of an impartial third party to decide which method will have priority over the other']",2,3.775134534629007e-11,2.3355930328290374e-09,0.9999999974449293,4.752193050623481e-13,9.056076966523503e-11,,7.287724077190635e-14,,9.056076966523503e-11,,,,,,,,,,5.675685218124398e-14,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is false?,international_law,"[""In the 1990's it became apparent the European Court of Human Rights had to be reformed because it wasn't examining enough cases""
 ""In the 1990's it became apparent the European Court of Human Rights had to be reformed because the workload had increased""
 ""In the 1990's it became apparent the European Court of Human Rights had to be reformed because it was a part time court that could not process the growing number of complaints""
 ""In the 1990's it became apparent the European Court of Human Rights had to be reformed because of the growth in the number of individuals who could access the Court after the increase in the number of member states""]",3,5.49278834871335e-11,0.9999999996078399,1.2256067439098391e-11,2.1297851700867257e-12,6.560200165476887e-12,,,3.160881453023894e-10,,,1.9810087972406284e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of proportionality in relation to the options available to the victim State?,international_law,"['The victim State may use the same means and intensity of force as the aggressor'
 'The victim State may use any means to defeat and incapacitate the aggressor'
 'The victim State may only use such means and force as it is necessary to defeat the aggressor'
 'The victim State can do nothing without Security Council approval']",2,2.4616969490202343e-10,8.592166609418076e-10,0.9999999988653521,3.098819135203251e-12,1.225606743018325e-11,,1.8426252126313414e-14,,1.3887943849194863e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the ordinary geographical scope of jurisdiction?,international_law,"['Jurisdiction is ordinarily extra-territorial'
 'Jurisdiction is ordinarily on the high seas'
 'Jurisdiction is ordinarily territorial'
 'Jurisdiction is determined by the location of the offender.']",2,2.1297851709005066e-12,1.0060392792572052e-12,0.9999999999741923,2.882350793369576e-13,4.5087552421778e-12,,,,1.7832472907683546e-11,,,,3.0379753853642774e-14,,,,,,,,,,1.189688254614268e-14,,,,,,,,,,,,,,,,,,,,
Which are the formal sources of international law?,international_law,"['Custom, treaties and judicial decisions'
 'Custom, general principles of law and theory'
 'Treaties, custom and general principles of law'
 'Treaties, custom and General Assembly Resolutions']",2,2.9400777386523663e-11,9.056076987725843e-11,0.999999999785949,1.8795288161349914e-12,7.99195989123569e-11,,3.442477107729856e-14,,1.2256067441464472e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of baselines under the law of the sea?,international_law,"['The determination of baselines is used for the measuring of the internal waters of coastal States'
 'The determination of baselines is instrumental to the establishment of all maritime zones, since they constitute the starting point for measuring the breadth of each zone'
 'The determination of baselines is instrumental to the safe navigation of vessels on the high seas'
 'Baselines are drawn only in cases of maritime delimitation between opposing State before an international court or tribunal']",1,0.9999999999376586,6.224144622519523e-11,3.62834417782071e-15,1.1176086870196995e-14,8.258073285040787e-14,2.493722053179819e-15,,,,,,,,,,,8.53304762521178e-17,4.03072629109619e-17,,,,,,,,,,,,,,,,,,,,,,,,,
What is the difference between conciliation and mediation?,international_law,"['Conciliation is the continuation of mediation with the difference that conciliation produces a binding result, while mediation not'
 ""Conciliation is conducted exclusively by representatives of the UN Secretary-General, while mediation may also be conducted by third States' officials""
 'Mediation is usually conducted by a person appointed with the consent of the parties, while conciliation involves a commission, which proceeds to an impartial examination of the dispute and proposes settlement terms'
 'Conciliation is a method of dispute settlement pursued only by virtue of a treaty, while mediation may also be on an ad hoc basis']",2,8.592166198054321e-10,4.691163791910804e-08,0.9999999510129423,9.545034455018802e-12,1.1032559782707029e-09,,7.835041401052849e-13,,1.0261879128746028e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In Osman v UK (1998), the European Court laid down a test, which can be used to apply a general positive obligation on a state. Which of the following statements is not part of the Osman test?",international_law,"['The risk must emanate from a state agent'
 'If a real and imminent risk (of death/harm)'
 'A state should take reasonable steps to prevent death/harm occurring'
 'A state knows or ought to have known']",0,1.1861119972469134e-08,0.9999999851978529,5.211412409296483e-10,6.224144529042957e-11,1.1032560157056156e-09,,,1.2501528475334884e-09,,,4.235583507764682e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who is entitled to request an advisory opinion of the ICJ?,international_law,"['Only the principal organs of the UN may request an advisory opinion (Security Council, General Assembly, ECOSOC, Trusteeship Council, Secretariat)'
 'All international organizations may request an advisory opinion'
 ""The General Assembly and the Security Council may request advisory opinions on any legal question, as well as 'other organs of the United Nations and specialized agencies, which may at any time be so authorized by the General Assembly, may also request advisory opinions of the Court on legal questions arising within the scope of their activities'""
 'The principal organs of the UN may request an advisory opinion as well as the State that have been authorized by the General Assembly']",2,1.3176514227185606e-10,1.49309467133484e-10,0.9999999967500318,5.789356309877375e-12,2.6465736302904414e-09,,2.882350784057894e-13,,3.1608814440201526e-10,1.5428111981676596e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of universal jurisdiction?,international_law,"['Its aim is to establish certain offences as universal'
 'Its aim is to deter the commission of certain international crimes'
 'Its aim is to provide jurisdiction to all States in respect of particular crimes'
 'Its aim is to provide jurisdiction to all States in respect of all international crimes']",2,0.007577018912007465,2.4115976167073683e-05,0.9923934817348381,4.0277822098517936e-10,5.381001624294869e-06,,1.6957596496975084e-09,,,,,,,,,,,,,,,,,2.768251530136147e-10,,,,,,,,,,,,,,,,,,,
Are all acts of State organs attributed to the State under the law international responsibility?,international_law,"['The conduct of any State organ shall be considered an act of that State, even in the case that this conduct was unauthorized or ultra vires'
 'Only the conduct of the higher echelons of the government of State shall be attributable to it'
 'The conduct of any State organs shall be considered an act of that State, provided that it is intra vires'
 'Only the conduct of the executive branch of the State shall be considered an act of that State.']",0,1.3176515796456967e-10,0.999999922273874,7.734422803093527e-08,9.54503602853319e-12,2.28973511088741e-11,,,2.1724401867334844e-10,,,,,,,,,,,,,,,,,4.464272757318094e-13,,,,,,,,,,,,,,,,,,
What is a 'treaty' according to the Vienna Convention on the Law of Treaties (VCLT)?,international_law,"['Treaties are all agreements concluded between States, international organizations and non-State entities (e.g. corporations)'
 'Treaties are agreements concluded between States in written form and governed by international law'
 'Treaties are both the written and oral agreements between States'
 'Treaties are agreements concluded between States in written form governed either by international or domestic law']",1,0.9999999999998709,7.287724095818587e-14,1.1779508898280977e-15,3.628344178046494e-15,5.008774637842746e-14,1.5125188821492192e-15,,,,,,,,,,,9.669209717055977e-17,,,,,,,,,4.567411261775654e-17,,,,,,,,,,,,,,,,,
Is the unlawful homicide committed by Minister of country X abroad an act jure imperii or jure gestionis?,international_law,"['Such conduct is a public act (jure imperii)'
 'Such conduct never attracts immunity'
 'Such conduct is a private act (jure gestionis)'
 'Such conduct is a public act but is shielded by immunity']",2,1.4691772094113738e-05,0.9967816663089462,0.0031725381210040613,6.670054211591999e-10,3.1102481767308414e-05,,2.45377581594369e-10,2.45377581594369e-10,,,,,,,,,,,,,,,,,,,1.5842767397484417e-10,,,,,,,,,,,,,,,,
What was the outcome before the European Court of Human Rights in the Al-Adsani case?,international_law,"['The Court held that the right to a fair trial trumped the privilege of immunity'
 'The Court held that immunity trumped the right to a fair trial'
 'The Court held that immunities were not in conflict with the right to a fair trial'
 'The Court held that human rights considerations prevailed over all other contrary rules of international law, including most immunities']",2,0.9999992626222262,2.3355931605667256e-09,7.338208234560212e-07,1.16282336364651e-10,1.1032560898623955e-09,1.0060393317337113e-12,5.05868344676493e-13,,,,,,,,,,3.0682466082437105e-13,,,,,,,,,,,,,,,,,,,,,,,,,,
What other criteria were imposed by the Badinter Commission on the former Yugoslav republics?,international_law,"['The Commission required a commitment to submit disputes to the ICJ'
 'The Commission required a change in boundaries'
 'The Commission required a commitment to human rights and democracy'
 'The Commission required an exchange of ethnic populations']",2,5.211402757443362e-10,1.3709565266093065e-06,0.9999986280146558,1.7832439612393958e-11,4.599046791564587e-10,,4.752184189753679e-13,,2.940072249742947e-11,6.43138193312867e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
