question,subject,choices,answer,a,ÃÂ°,b,<|end|>,c,d,aa,an,ai,ÃÂ­a,china,Ã¢ÂÂ,ÃÂ´,ÃÂ,n,Unnamed: 19,Ã¢ÂÂÃ¢ÂÂ,ÃÂ±,ÃÂ,...,e,t,ci,cs,bill,cl,ap,3,g,ch,**,richard,aut,ron,all,the,v,i,Ã¯Â»Â¿,solution,international,ÃÂ ,none,ab,we,both,thomas
What is the structure of the United Nations Security Council?,us_foreign_policy,"['5 permanent members with veto power, 10 rotating members with no veto power'
 '5 permanent members and 10 rotating members, all with veto power'
 '10 permanent members with veto power, and 5 rotating members without veto power'
 '15 permanent members with veto power']",0,0.9999999999048592,9.05607698862324e-11,3.5114221129695268e-12,6.914400106138803e-13,1.7482341280684317e-13,1.2015425730379168e-13,8.258073284598787e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the significance of the Gulf of Tonkin resolution?,us_foreign_policy,"['It allowed the US to intensify its involvement in Vietnam'
 'It illustrated the influence of public opinion on US foreign policy'
 'It enhanced Congressional control over the Vietnam War'
 'It curtailed US involvement in Vietnam']",0,0.9999999999953196,4.508755242261237e-12,7.681204685144873e-15,1.5428112031803949e-13,,,2.493722053316799e-15,3.202002498613513e-15,2.200701987958972e-15,1.7139084315292449e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is not a nonstate actor that poses a threat to the United States?,us_foreign_policy,['Terrorists' 'Organized crime' 'Drug traffickers' 'China'],3,1.006039279266879e-12,,7.835041784936369e-13,6.560200168046589e-12,3.978962535772226e-12,0.9999999999873658,,,,,2.5436656473353613e-13,2.6810038677379973e-14,2.3659776090961036e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who was the first American president to visit communist China?,us_foreign_policy,['Richard Nixon' 'George H. W. Bush' 'Jimmy Carter' 'Ronald Reagan'],0,0.9999999999968816,3.098819138711509e-12,5.2792096283208095e-15,1.1176086870856946e-14,,,,1.0395380116667612e-15,,9.173890754148658e-16,,,,5.564246011245413e-16,4.910429870142768e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Strategic Arms Reduction Treaty was the first accord,us_foreign_policy,"['on nuclear weapons signed between the United States and the Soviet Union.'
 'cutting conventional arms in Europe.'
 'to be rejected by the U.S. Senate.'
 'mandating the elimination of many long-range nuclear missiles.']",3,2.646573616360784e-09,,1.1032560229440103e-09,8.59216654597039e-10,1.8189616720558183e-09,0.9999999933208624,,,,,,1.1628232931150507e-10,7.991959824863866e-11,,,5.492788304157111e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What were the implications of the Cold War for American exceptionalism?,us_foreign_policy,"['It ended the influence of American exceptionalism entirely'
 ""Exceptionalism was enhanced by America's status as the 'leader of the free world'""
 'The extension of American power globally challenged core assumptions of exceptionalism'
 'Both b and c']",3,4.508755234224958e-12,,1.250152864149192e-09,2.289734841547336e-11,2.7894680878762744e-10,0.9999999984312964,,,,,,6.5602001564121906e-12,3.978962528715607e-12,,,,1.658678355945493e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,us_foreign_policy,"['He believed that internal reform rather than international negotiation was the key to economic regeneration of the US'
 'He believed that German domination of Europe would be in US interests'
 'He always favoured isolationism' 'All of the above']",0,0.9999999998131404,1.6918979220258188e-10,6.5602001658687705e-12,7.433680669762935e-12,2.129785170213952e-12,1.2917800043360513e-12,2.543665646490929e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the 'New Populism'?,us_foreign_policy,"['A strand of neo-isolationist sentiment'
 'A strand of internationalist sentiment'
 'An expression of American cultural superiority'
 'Increased incorporation of public opinion in foreign policy making']",0,0.9999999999958724,3.978962535802088e-12,,9.357622968757505e-14,5.2792096282917455e-15,2.6810038677581183e-14,5.2792096282917455e-15,,9.862862046493322e-15,7.681204685134236e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How did World War I shift economic power from Europe to the United States?,us_foreign_policy,"['The war reduced European population levels below that of the United States'
 'The United States seized German resources after the war'
 'European countries paid the United States for assistance'
 'The United States became a creditor country and financial centre, with European war spending boosting the US economy']",3,6.914400103598939e-13,,3.0988191372243738e-12,2.4133627706669974e-12,4.5990553764299005e-10,0.9999999995326706,,,,,,6.101936674656666e-13,6.101936674656666e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In American government, the power to declare war rests with",us_foreign_policy,"['the president of the United States.' 'the secretary of defense.'
 'the chairman of the Joint Chiefs of Staff.' 'Congress.']",3,7.835041784971274e-13,,3.7010116785486873e-13,1.6586783588945186e-12,5.789356328661848e-12,0.9999999999913124,,,,,,3.037975385407024e-14,4.42022810358864e-14,,,,1.1176086870761332e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How did the Cold War context shape US perceptions of the Third World?,us_foreign_policy,"['The US ignored the Third World'
 'Local developments were viewed through a geopolitical lens'
 'The US unreservedly supported decolonization' 'None of the above']",1,3.7010116781072745e-13,,0.9999999999865936,8.423463753363888e-12,2.7346982912332118e-12,1.0060392791513721e-12,,,,,,3.7010116781072745e-13,,,,,8.258073284472852e-14,4.1937956578295174e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was unique about the NATO intervention in Kosovo?,us_foreign_policy,"['It was the first time the US became involved in the Balkans'
 'It was the first time NATO used military force'
 'It was the first war won by airpower alone'
 ""It was the first war to employ 'smart weapons'""]",2,1.0060392790178238e-12,,0.999999999967532,1.0815941554431374e-11,1.783247290344041e-11,1.2917800044450961e-12,,,,,,2.882350792683737e-13,,,,,9.357622966370704e-14,1.1399918527435122e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
