question,subject,choices,answer,b,<|end|>,a,c,Ã¢ÂÂ,ÃÂ±,Ã¢ÂÂÃ¢ÂÂ,ÃÂ°,an,solution,d,ÃÂ´,ÃÂ,Ã¯Â»Â¿,e,aa,0,1,**,2,4,ai,ÃÂ­a,200,cc,185,184,300,ÃÂ,t,8,6,Unnamed: 36,...,f,bb,i,lm,v,150,ch,none,in,ab,p,16,30,we,let's,i'll,let,follow,we'll,consider,step,first,both,{',w,45,50,velocity,ax,3,orange,400,Ã¢ÂÂ,the,Ã¢ÂÂÃ¢ÂÂÃ¢ÂÂÃ¢ÂÂ,25,x,static,per,10,70,yes,9,180,speed,s,(
"The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate?",high_school_physics,['0.005 C' '0.01 C' '0.02 C' '0.5 C'],1,0.9999999999979324,1.4637785140422964e-12,3.7010116783812665e-13,1.7482341281711964e-13,3.0379753852695964e-14,2.0879679115266676e-14,7.681204684763337e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields?,high_school_physics,"['the electric field produced by a finite-length charged rod'
 'the electric field produced by an infinitely long charged cylinder'
 'the electric field produced by an infinite plane of charge'
 'the magnetic field produced by an infinitely long, straight current-carrying wire']",0,4.277787861224898e-11,6.224144611640184e-11,0.9999999989119908,2.413362767464292e-12,2.413362767464292e-12,,,9.736200295384075e-10,2.413362767464292e-12,2.129785167100225e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A solid, metal object is isolated from other charges and has charge distributed on its surface. The charge distribution is not uniform. It may be correctly concluded that the",high_school_physics,"['electric field outside the object is zero'
 'the electric field outside the object is equal to the electric field inside the object'
 'the electric field outside the object is directly proportional to the distance away from the center of mass of the object'
 'the electric field outside the object, but very close to the surface, is equal to the surface charge density at any location divided by the permittivity of free space']",3,4.2777878556343885e-11,1.6918979173411902e-10,2.5946094901886168e-11,1.818961681883025e-09,5.492788333832706e-11,,1.3887943821672882e-11,,,,0.9999999978315312,4.2777878556343885e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing waves are produced by a 100-Hz generator in a string of fixed length. The tension in the string is increased until a new set of standing waves is produced. Will the wavelength of the new standing waves be greater than or less than the wavelength of the original standing waves?,high_school_physics,"['Less, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.'
 'Greater, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.'
 'Greater, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.'
 'Less, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.']",2,2.020683907628611e-11,1.2256067435646834e-11,,0.999999999492868,4.50875523918527e-12,,1.1399918522581366e-12,,,,8.423463748659232e-12,,4.599055375480484e-10,6.914400102171545e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two identical capacitors are hooked in parallel to an external circuit. Which of the following quantities must be the same for both capacitors? I. the charge stored on the capacitor II.  the voltage across the capacitor III. the capacitance of the capacitor,high_school_physics,"['I only' 'II only' 'II and III only' '(E) I, II, and III']",3,9.237450445954935e-09,2.789468329611682e-10,3.850742249580912e-09,3.927859950977751e-07,2.172440119454461e-10,,,,,,0.9999992784901304,,,,3.151394910075832e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 1-kg object is released from rest at the top of a rough-surfaced incline. The object slides without rotating to the bottom of the incline. The objectÃ¢ÂÂs kinetic energy at the bottom must be,high_school_physics,"['Equal to the blockÃ¢ÂÂs gravitational potential energy when it was released, because total mechanical energy must be conserved.'
 'Equal to the blockÃ¢ÂÂs gravitational potential energy when it was released, because the gain in kinetic energy compensates for the mechanical energy lost to thermal energy on the rough incline.'
 'Less than the blockÃ¢ÂÂs gravitational potential energy when it was released, because the gravitational potential energy was converted both to thermal energy and to kinetic energy.'
 'Less than the blockÃ¢ÂÂs gravitational potential energy when it was released, because the work done by the friction force must be greater than the blockÃ¢ÂÂs gain in kinetic energy.']",2,5.109089027567183e-12,4.1937956579722874e-13,3.701011678233268e-13,0.9999999999129724,1.9810087978566049e-13,,5.67568523208156e-14,,,,5.4927883504212806e-11,,2.594609498024505e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A student is experimenting with a simple spring-block oscillator of spring constant k and amplitude A. The block attached to the spring has a mass of m. If the student places a small block of mass m on top of the original block, which of the following is true?",high_school_physics,"['The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].'
 'The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].'
 'The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).'
 'The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).']",0,5.602796005545889e-09,1.4930945610753606e-10,0.9999999817248684,2.6465734348508382e-09,,,,9.237448949737222e-09,,,5.905303543628473e-10,,,,,4.8473683325244814e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How much work is required to charge a 10 ÃÂµF capacitor to a potential difference of 100 V ?,high_school_physics,['0.005 J' '0.01 J' '0.05 J' '0.1 J'],2,8.423463753758088e-12,3.5114221130803068e-12,1.4637785140024322e-12,0.999999999974552,3.442477108179588e-14,,,,,,1.0060392791984527e-12,,9.54503492203546e-12,,,,1.4637785140024322e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A box of mass m slides on a horizontal surface with initial speed v0. It feels no forces other than gravity and the force from the surface. If the coefficient of kinetic friction between the box and the surface is ÃÂ¼, how far does the box slide before coming to rest?",high_school_physics,['v0^2/(2ÃÂ¼g)' 'v0^2/(ÃÂ¼g)' '2v0^2/(ÃÂ¼g)' 'mv0^2/(ÃÂ¼g)'],0,2.413362771665912e-12,8.878265477844188e-13,0.9999999999587268,1.3615261079952686e-13,3.442477108231333e-14,,,3.7751345440173926e-11,,,5.0087746374962817e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A soccer ball, at rest on the ground, is kicked with an initial velocity of 10 m/s at a launch angle of 30ÃÂ°. Calculate its total flight time, assuming that air resistance is negligible.",high_school_physics,['0.5 s' '1 s' '2 s' '4 s'],1,0.9999999997679708,1.081594155172549e-11,2.129785169860917e-12,2.1724399339622204e-10,1.748234127372334e-13,1.5428112023987677e-13,,,,,3.701011676690077e-13,,,,,,,1.1399918524583145e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two identical containers are filled with different gases. Container 1 is filled with hydrogen and container 2 is filled with nitrogen. Each container is set on a lab table and allowed to come to thermal equilibrium with the room. Which of the following correctly compares the properties of the two gases?,high_school_physics,"['The average kinetic energy of the hydrogen gas is greater than the nitrogen gas.'
 'The average force exerted on the container by the hydrogen gas is greater than the nitrogen gas.'
 'The density of the hydrogen gas is less than the nitrogen gas.'
 'The pressures of the gases cannot be compared without knowing the number of molecules in each container.']",3,1.879528816414406e-12,1.2917800047003068e-12,6.43139394102538e-14,0.999999999940588,1.981008797917571e-13,,4.42022810334796e-14,,,,1.006039279216582e-12,,5.4927883505903233e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A girl of mass m and a boy of mass 2m are sitting on opposite sides of a see-saw with its fulcrum in the center. Right now, the boy and girl are equally far from the fulcrum, and it tilts in favor of the boy. Which of the following would NOT be a possible method to balance the see-saw?",high_school_physics,"['Move the boy to half his original distance from the fulcrum.'
 'Move the girl to double her original distance from the fulcrum.'
 'Allow a second girl of mass m to join the first.'
 'Move the fulcrum to half its original distance from the boy.']",3,1.879528816448104e-12,1.3887943864291764e-11,6.560200167836228e-12,1.5737102106101135e-11,1.542811203117207e-13,,,,,,0.999999999961666,5.0087746376010525e-14,,,,,,,6.431393941140685e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When hot water is poured into a beaker containing cold alcohol, the temperature of the mixture will eventually reach the same temperature. Considering the scale of the size of the molecules of the fluids, which of the following is the primary reason for this phenomenon?",high_school_physics,"['The high temperature water will rise to the top of the container until it has cooled and then mixes with the alcohol.'
 'The molecules of the water continue to have a higher kinetic energy than the molecules of the alcohol, but the two liquids mix until the energy is spread evenly throughout the container.'
 'The hot water produces thermal radiation that is absorbed by the cold alcohol until the kinetic energy of all the molecules is the same.'
 'The water molecules collide with the alcohol molecules, transferring energy until the average kinetic energy of both the water and alcohol molecules are the same.']",3,2.940077738354193e-11,4.847368704736484e-11,2.73469829072658e-12,1.493094675724729e-10,4.5087552408681946e-12,,6.495477779923265e-13,,,,0.999999999761412,3.511422112265451e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
