question,subject,choices,answer,b,<|end|>,б,d,​,a,​​,2,c,с,д,e,**,{',а,solution,bb,0,­d,none,ai,­a,an,aa,t,4,1,i,iii,ii,no,ab,390,observ,plan,...,z,,experiment,n,s,ci,90,94,ɑ,82,6,84,g,the,156,154,157,both,bd,ch,f,127,10,3,str,153,612,42,not,incorrect,mean,405,106
"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test?",high_school_statistics,"['P(t > 1.54) with df = 6' '2P(t > 1.54) with df = 6'
 'P(t > 1.54) with df = 7' '2P(t > 1.54) with df = 7']",1,0.9999999997923087,1.1628232990070754e-10,2.940077729132908e-11,2.5946094893177423e-11,1.7832472846574037e-11,6.5602001455025765e-12,6.5602001455025765e-12,5.1090890104225515e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders?",high_school_statistics,"['0 to 31.7 minutes' '31.7 to 39.3 minutes' '25.3 to 44.7 minutes'
 '25.3 to 35 minutes']",2,4.847368695807742e-11,4.508755232563171e-12,,1.8189616836270165e-09,4.1937956493276966e-13,1.8795288124823266e-12,2.543665641886699e-13,,0.9999999980455829,7.991959875704164e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All of the following statements are true for all discrete random variables except for which one?,high_school_statistics,"['The possible outcomes must all be numerical.'
 'The possible outcomes must be mutually exclusive.'
 'The mean (expected value) always equals the sum of the products obtained by multiplying each value by its corresponding probability.'
 'Approximately 95% of the outcomes will be within two standard deviations of the mean.']",3,1.317651425721515e-10,1.493094674737633e-10,,0.9999999993712677,1.0815941546712885e-11,1.026187962167069e-10,,,2.172439932955412e-10,,1.0815941546712885e-11,6.162737726610617e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a true statement about hypothesis testing?,high_school_statistics,"['If there is sufficient evidence to reject a null hypothesis at the 10% level, then there is sufficient evidence to reject it at the 5% level.'
 'Whether to use a one- or a two-sided test is typically decided after the data are gathered.'
 'If a hypothesis test is conducted at the 1% level, there is a 1% chance of rejecting the null hypothesis.'
 'The power of a test concerns its ability to detect an alternative hypothesis.']",3,3.0988191383582373e-12,2.594609497972038e-11,,0.9999999999587621,2.413362771550051e-12,3.266131342404228e-13,4.193795657887481e-13,,8.423463753480312e-12,,6.101936676889376e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An outlier is an observation that,high_school_statistics,"['is seen more frequently than the other observations in the data set'
 'is seen less frequently than the other observations in the data set'
 'is always smaller than the other observations in the data set'
 'is significantly different from the other observations in the data set']",3,5.789356327154604e-12,1.2256067440762988e-11,,0.9999999999558279,2.1297851703759893e-12,1.8795288160274155e-12,4.464272238963483e-13,,2.0206839084721223e-11,,1.4637785137274215e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The principal of a school is interested in estimating the average income per family of her students. She selects a random sample of students and collects information about their family income. A 95 percent confidence interval computed from this data for the mean income per family is ($35,095, $45,005). Which of the following provides the best interpretation of this confidence interval?",high_school_statistics,"['95 percent of the students in her school are from families whose income is between $35,095 and $45,005.'
 'There is a 95% probability that the families of all the students in this school have an income of between $35,095 and $45,005.'
 'If we were to take another sample of the same size and compute a 95 percent confidence interval, we would have a 95% chance of getting the interval ($35,095, $45,005).'
 'There is a 95% probability that the mean income per family in the school is between $35,095 and $45,005.']",3,1.186111939245046e-08,1.6052279524805625e-09,,0.9999999412356354,3.58174770111724e-10,2.335592889364372e-09,,,4.139937453905354e-08,,,9.736199690071951e-10,2.3125501252628358e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Researchers are conducting an experiment using a significance level of 0.05. The null hypothesis is, in fact, false. If they modify their experiment to use twice as many experimental units for each treatment, which of the following would be true?",high_school_statistics,"['The probability of a Type I error and the probability of a Type II error would both decrease.'
 'The probability of a Type I error and the power would both increase.'
 'The probability of a Type II error and the power would both increase.'
 'The probability of a Type I error would stay the same and the power would increase.']",3,3.511422112574023e-12,7.991959891127476e-11,,0.9999999998904657,1.0815941554813853e-11,1.1399918527838254e-12,2.7346982909668956e-12,,7.43368067065332e-12,,3.978962534927901e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The mean height of adult men is 70 inches, with a standard deviation of four inches. The mean height of adult women is 66 inches, with a standard deviation of three inches. Between a man with a height of 74 inches and a woman with a height of 70 inches, who is more unusually tall within his or her respective sex?",high_school_statistics,"['It cannot be determined, because the mean heights for the two groups are different.'
 'It cannot be determined, because the standard deviations of the heights for the two groups are different.'
 'The man, because he is 74 inches tall and the woman is only 70 inches tall.'
 'The woman, because her height is 1.33 standard deviations above the mean height of all women, whereas the man’s height is only one standard deviation above the mean height of all men.']",3,2.129785170727078e-12,2.5946094979978445e-11,,0.9999999999363937,4.193795657929194e-13,4.193795657929194e-13,,,3.3315445418086545e-11,,1.0060392791752834e-12,3.701011678195239e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not true about t-distributions?,high_school_statistics,"['There are different t-distributions for different values of df (degrees of freedom).'
 't-distributions are bell-shaped and symmetric.'
 't-distributions always have mean 0 and standard deviation 1.'
 't-distributions are more spread out than the normal distribution.']",2,5.789356322645724e-12,2.2897348432389172e-11,,1.573710209032235e-11,1.2917800034282652e-12,,3.266131339354566e-13,,0.9999999990944343,8.592166610143275e-10,,,,3.0682464450541523e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To study the effect of alcohol on reaction time, subjects were randomly selected and given three beers to consume. Their reaction time to a simple stimulus was measured before and after drinking the alcohol. Which of the following is a correct statement?",high_school_statistics,"['This study was an observational study.'
 'Lack of blocking makes this a poorly designed study.'
 'The placebo effect is irrelevant in this type of study.'
 'This study was an experiment in which the subjects were used as their own controls.']",3,7.433680667906146e-12,6.224144619185156e-11,,0.9999999996337308,1.8795288154149476e-12,1.8795288154149476e-12,,,2.789468091200559e-10,,1.3887943856657719e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
