question,subject,choices,answer,b,a,c,d,<|end|>,ÃÂ±,Ã¢ÂÂ,Ã¢ÂÂÃ¢ÂÂ,ÃÂ´,e,ÃÂ,ÃÂ°,an,ai,Unnamed: 18,aa,30,bb,infl,ad,ii,s,4,t,(d,ab,none,n,not,null,solution,x,exports,people,Ã¢ÂÂ,credit,ÃÂ­a,2,in,bc,f,5,Ã¯Â»Â¿,ÃÂ,struct,structural,stable,i,imports,import,be,bi,mexico,cc,no,**,ap,human,y,7,10,j,dd,medium,co,Ã¢ÂÂÃ¢ÂÂÃ¢ÂÂÃ¢ÂÂ,ac,these,shift,ÃÂ­d,...,125,cd,ch,g,3,100,all,option,{',fr,app,correct,effect,impact,right,conditions,increase,condition,change,both,unit
Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that,high_school_macroeconomics,"['inflation had already impacted the economy before the fiscal stimulus.'
 'the economy initially had some unemployed resources.'
 'aggregate supply decreased.' 'aggregate demand is steeply sloped.']",1,0.9999999992558096,4.058652111030928e-10,1.1628232985970978e-10,1.1628232985970978e-10,7.052879824273183e-11,1.7832472840286827e-11,1.388794381211494e-11,3.511422100014172e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens,high_school_macroeconomics,['II III and IV only' 'I and III only' 'II and IV only' 'III and IV only'],3,2.2447770549633421e-13,3.978962535735085e-12,5.789356328582016e-12,0.9999999999814072,8.423463754252385e-12,,7.287724095632588e-14,2.087967911592328e-14,8.258073285343903e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain?,high_school_macroeconomics,"['The price level rises but real GDP falls.'
 'Both the price level and real GDP rise.'
 'The price level rises but the change in real GDP is uncertain.'
 'Real GDP rises but the change in the price level is uncertain.']",3,2.0206839086367283e-11,5.789356327626208e-12,1.0261879629744216e-10,0.999999999862717,7.433680670934055e-12,,6.914400105621136e-13,,2.543665646891664e-13,2.882350792894517e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tariffs and quotas,high_school_macroeconomics,"['result in lower domestic prices.'
 'sometimes raise and sometimes lower the amount of the product sold domestically.'
 'lower the amount of the product sold domestically.'
 'raise the amount of the product sold domestically.']",2,1.147877385810988e-05,2.061130991998891e-09,0.9999883905912392,1.2751765905300893e-07,7.507669089551852e-11,,,,,4.5990048833160467e-10,5.211355269176359e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A likely cause of falling Treasury bond prices might be,high_school_macroeconomics,"['expansionary monetary policy.' 'contractionary monetary policy.'
 'a depreciating dollar.'
 'fiscal policy designed to reduce the budget deficit.']",1,0.9999999998467288,7.052879828764273e-11,4.27778785541432e-11,9.545034892596052e-12,2.2897348383902565e-11,5.10908901187457e-12,2.413362764186188e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households demand more money as an asset when,high_school_macroeconomics,"['nominal GDP falls.' 'the nominal interest rate falls.'
 'bond prices fall.' 'the supply of money falls.']",1,0.999999999955074,5.7893563255894455e-12,8.423463749898219e-12,9.545034917661655e-12,1.3887943857428659e-11,2.4133627705237647e-12,3.978962533678323e-12,8.878265473642463e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocative efficiency,high_school_macroeconomics,"['means that no inferior products will be produced.'
 ""implies that the economy's output is distributed evenly.""
 'means that those who work hardest will get more.'
 'implies that resources are used to produce the goods and services society desires in just the right amounts.']",3,1.2664165549067244e-14,8.703945206707902e-15,2.681003867776102e-14,0.9999999999995888,2.882350793438258e-13,,5.008774637832855e-14,5.982128223754414e-15,1.842625214719644e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP measures,high_school_macroeconomics,"[""production within a nation's borders.""
 ""production by a nation's citizens wherever they may be.""
 'income earned by the factors of production plus depreciation and indirect business taxes.'
 '(A) and (C)']",3,3.7010116782296674e-13,0.9999999999588144,,9.357622967922357e-14,2.734698291323648e-12,,7.287724095104893e-14,,,,,3.7751345439088226e-11,1.0603575990483821e-13,5.675685232076036e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every choice results in a foregone best alternative which economists call the,high_school_macroeconomics,['accounting cost' 'switching cost' 'inferior cost' 'opportunity cost'],3,5.109089027633731e-12,2.129785170776704e-12,1.3887943863796263e-11,0.9999999999453733,2.940077739037258e-11,,2.413362771630288e-12,,1.2917800046773778e-12,,,,,,3.939706423920918e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When a nation is operating at the natural rate of unemployment,high_school_macroeconomics,"['there is no cyclical unemployment.' 'the inflation rate is zero.'
 'there is no structural unemployment.'
 'the nation is experiencing a recession.']",0,3.900837610156792e-14,0.9999999999970594,6.778639342767557e-15,5.2792096283060065e-15,1.3615261080813034e-13,,,,,,,2.7346982915751023e-12,1.2664165549016504e-14,5.982128223730446e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If a country has a negative value on its current account then it must,high_school_macroeconomics,"['pay that amount to its trading partners.'
 'have a positive value of equal magnitude on its capital account.'
 'depreciate its currency.' 'appreciate its currency.']",1,0.9999999996331076,7.052879823503876e-11,1.0261879591532074e-10,9.05607695422313e-11,6.224144598543558e-11,1.2256067396123479e-11,2.2897348366824555e-11,5.789356306068393e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
