question,subject,choices,answer,a,ÃÂ°,d,b,<|end|>,c,aa,ÃÂ,e,s,ÃÂ´,ÃÂ±,bb,be,f,i,ii,g,between,.b,1,t,in,ai,n,none,0,2,4,y,cc,iv,v,close,h,ab,the,iii,bfd,36,12,Ã¢ÂÂ,ac,ad,it,no,ba
Which one of the following is the most appropriate definition of a 99% confidence interval?,econometrics,"['99% of the time in repeated samples, the interval would contain the true value of the parameter'
 '99% of the time in repeated samples, the interval would contain the estimated value of the parameter'
 '99% of the time in repeated samples, the null hypothesis will be rejected'
 '99% of the time in repeated samples, the null hypothesis will not be rejected when it was false']",0,0.999999999985909,8.423463754342816e-12,2.4133627717971624e-12,1.6586783588894534e-12,8.878265478327035e-13,6.914400106836913e-13,1.6261110445935276e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?,econometrics,"['ADF is a single equation approach to unit root testing while PP is a systems approach'
 'PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test'
 'The PP test incorporates an automatic correction for autocorrelated residuals in the test regression'
 'PP tests have good power in small samples whereas DF tests do not.']",2,1.573710210221035e-11,,6.224144621067661e-11,1.4930946757557422e-10,3.5114221123383868e-12,0.9999999997068576,,6.224144621067661e-11,5.675685230954751e-14,4.420228102334367e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?",econometrics,"['It would rise more quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be symmetrical about zero'
 'It would rise less quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be zero for all positive disturbances']",0,0.999999148166023,9.056077504516903e-11,4.944450783033965e-09,1.522998061054717e-08,3.775134758898023e-11,8.315279348481821e-07,,,3.298675989889925e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is false concerning the linear probability model?,econometrics,"['There is nothing in the model to ensure that the estimated probabilities lie between zero and one'
 'Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one'
 'The error terms will be heteroscedastic and not normally distributed'
 'The model is much harder to estimate than a standard regression model with a continuous dependent variable']",3,5.492788347830474e-11,,0.9999999994472544,1.0261879625865096e-10,3.3315445402714835e-11,3.5817479282459406e-10,,,6.101936674134641e-13,,3.098819136959268e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements concerning the regression population and sample is FALSE?,econometrics,"['The population is the total collection of all items of interest'
 'The population can be infinite'
 'In theory, the sample could be larger than the population'
 'A random sample is one where each individual item from the population is equally likely to be drawn.']",2,2.020683906756796e-11,,5.211412482045943e-10,4.5990553734962414e-10,1.7832472888154122e-11,0.9999999989005188,,7.991959883994019e-11,4.752193057443394e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?,econometrics,"['Asymptotically, the values of the two test statistics will be equal'
 'The Q test has better small-sample properties than the Q*'
 'The Q test is sometimes over-sized for small samples'
 'As the sample size tends towards infinity, both tests will show a tendency to always reject the null hypothesis of zero autocorrelation coefficients.']",1,3.318863671033665e-05,,0.7310281486918612,0.2689302529480317,7.1883583999936155e-09,8.391401491152088e-06,,,1.1133547287351289e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A parsimonious model is one that,econometrics,"['Includes too many variables'
 'Includes as few variables as possible to explain the data'
 'Is a well-specified model' 'Is a mis-specified model']",0,1.6261110446176617e-14,,4.910429870158641e-16,0.9999999999999084,1.5125188821493024e-15,7.287724095818989e-14,,,,,,6.30511676014638e-16,2.444759076611895e-17,6.1813189677053684e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?,econometrics,"['They can be interpreted as continuously compounded changes in the prices'
 'They can be added over time to give returns for longer time periods'
 'They can be added across a portfolio of assets to give portfolio returns'
 'They are usually fat-tailed']",2,2.486185287655071e-06,,0.970676892623214,8.677639309712118e-06,1.3046289994447517e-08,0.0293119052583784,,,2.150969581756788e-08,,,,,,3.737824664638316e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns",econometrics,"['(ii) and (iv) only' '(i) and (iii) only' '(i), (ii), and (iii) only'
 '(i), (ii), (iii), and (iv)']",1,3.978962512897886e-12,,4.277787844306868e-11,0.9999999943377136,3.0988191208566384e-12,5.602796405236252e-09,,,,,,,,,,9.545034867811978e-12,5.0087746089671214e-14,3.900837587691764e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?",econometrics,['Less than -1' 'Between -1 and 0' 'Between 0 and 1' 'Bigger than 1'],2,2.101796893091334e-07,,6.960195404009484e-06,0.0002959550395103,2.998052251226274e-09,0.9996968699586246,,2.460951149162853e-10,2.9684737184675587e-10,,,,,,,,,,1.0857771154915531e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
