question,subject,choices,answer,b,c,a,d,0,<|end|>,e,ÃÂ°,f,ÃÂ´,n,ÃÂ,g,ii,none,ab,v,2,t,4,3,i,1,m,ai,300,600,400,cd,8,12,6,de,s,p,lm,bc,ÃÂ­a,ÃÂ±,bb,ba,aa,h,36,99,10,16,20,30,Ã¢ÂÂ,x,bs,bd,any,'b,tan,45,41,49,42,44,43,50,ad,46,60,orange,800,25,35,per,ch,70,24,18,9,100,200,it,r,l,(
"The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate?",high_school_physics,['0.005 C' '0.01 C' '0.02 C' '0.5 C'],1,0.9994462757200184,0.0005527781084195,9.417237218254982e-07,4.361050386262554e-09,3.329703059231022e-11,3.329703059231022e-11,2.019566993162565e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields?,high_school_physics,"['the electric field produced by a finite-length charged rod'
 'the electric field produced by an infinitely long charged cylinder'
 'the electric field produced by an infinite plane of charge'
 'the magnetic field produced by an infinitely long, straight current-carrying wire']",0,4.5397595829049225e-05,2.699439722607977e-07,0.9999488904499888,5.4219696220362e-06,,4.058445507271587e-10,1.7256949420748155e-08,1.708669380110433e-09,6.691245433816036e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A solid, metal object is isolated from other charges and has charge distributed on its surface. The charge distribution is not uniform. It may be correctly concluded that the",high_school_physics,"['electric field outside the object is zero'
 'the electric field outside the object is equal to the electric field inside the object'
 'the electric field outside the object is directly proportional to the distance away from the center of mass of the object'
 'the electric field outside the object, but very close to the surface, is equal to the surface charge density at any location divided by the permittivity of free space']",3,3.850741724145118e-09,3.2241865709521514e-08,1.5229978959145405e-08,0.9999999484741838,,1.4930945991828634e-10,2.289734727540298e-11,,,2.020683804794696e-11,1.0815940999395971e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing waves are produced by a 100-Hz generator in a string of fixed length. The tension in the string is increased until a new set of standing waves is produced. Will the wavelength of the new standing waves be greater than or less than the wavelength of the original standing waves?,high_school_physics,"['Less, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.'
 'Greater, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.'
 'Greater, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.'
 'Less, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.']",2,1.3708770087441878e-06,0.9999402232180938,6.961887898838968e-06,5.1441780238987566e-05,,2.969195555446015e-10,1.1031899817573342e-09,,,,,5.904950455632695e-10,2.461549573036573e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two identical capacitors are hooked in parallel to an external circuit. Which of the following quantities must be the same for both capacitors? I. the charge stored on the capacitor II.  the voltage across the capacitor III. the capacitance of the capacitor,high_school_physics,"['I only' 'II only' 'II and III only' '(E) I, II, and III']",3,8.454196875302997e-05,0.9967430305038268,4.349251936441813e-09,0.003172414218193,,3.1505875355659256e-10,8.125472348111681e-09,,,,,,,5.194440685090239e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 1-kg object is released from rest at the top of a rough-surfaced incline. The object slides without rotating to the bottom of the incline. The objectÃ¢ÂÂs kinetic energy at the bottom must be,high_school_physics,"['Equal to the blockÃ¢ÂÂs gravitational potential energy when it was released, because total mechanical energy must be conserved.'
 'Equal to the blockÃ¢ÂÂs gravitational potential energy when it was released, because the gain in kinetic energy compensates for the mechanical energy lost to thermal energy on the rough incline.'
 'Less than the blockÃ¢ÂÂs gravitational potential energy when it was released, because the gravitational potential energy was converted both to thermal energy and to kinetic energy.'
 'Less than the blockÃ¢ÂÂs gravitational potential energy when it was released, because the work done by the friction force must be greater than the blockÃ¢ÂÂs gain in kinetic energy.']",2,1.4930946741740848e-10,0.9999999986600338,4.5990553724207934e-10,5.905303990942604e-10,,7.43368066227987e-12,7.835041774448244e-13,,,,,1.3176514252241856e-10,2.389552733338037e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A student is experimenting with a simple spring-block oscillator of spring constant k and amplitude A. The block attached to the spring has a mass of m. If the student places a small block of mass m on top of the original block, which of the following is true?",high_school_physics,"['The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].'
 'The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].'
 'The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).'
 'The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).']",0,1.5534971718744851e-06,1.6373739727462e-07,0.999998219483634,6.023562220825376e-08,,,5.211402437161356e-10,1.6052249593436904e-09,,,,,,,9.19809301783342e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How much work is required to charge a 10 ÃÂµF capacitor to a potential difference of 100 V ?,high_school_physics,['0.005 J' '0.01 J' '0.05 J' '0.1 J'],2,0.9857349867533518,0.0002005658488353,0.0140607517632237,3.673491660681224e-06,2.184337987159816e-08,1.7753240824490768e-10,1.2201612082466706e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A box of mass m slides on a horizontal surface with initial speed v0. It feels no forces other than gravity and the force from the surface. If the coefficient of kinetic friction between the box and the surface is ÃÂ¼, how far does the box slide before coming to rest?",high_school_physics,['v0^2/(2ÃÂ¼g)' 'v0^2/(ÃÂ¼g)' '2v0^2/(ÃÂ¼g)' 'mv0^2/(ÃÂ¼g)'],0,3.927863698133848e-07,7.052880125215857e-11,0.9999996069220324,1.0815941977637328e-11,,1.573710271847092e-11,,1.917171588267422e-10,,,,,,,,1.6586784233772421e-12,1.1399918973490917e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A soccer ball, at rest on the ground, is kicked with an initial velocity of 10 m/s at a launch angle of 30ÃÂ°. Calculate its total flight time, assuming that air resistance is negligible.",high_school_physics,['0.5 s' '1 s' '2 s' '4 s'],1,0.0052201243998909,0.9947798598178802,1.0208308767728599e-10,5.184206958344524e-10,,9.495206257350134e-12,,,,,,1.7564365458932233e-12,,,,,,1.5150473533131327e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
