question,subject,choices,answer,c,b,a,d,с,<|end|>,e,а,ai,aa,б,be,bb,д,t,all,g,f,s,ab,p,​,aff,dis,assim,adapt,ad,n,an,r,cc,'b,­a,aie,institution,ba,ch,cont,em,bd,ac,social,it,­d,sc,ɑ,ا,ci,x,q,income,.d,cd,the,i,co,tri,ц,ç,car,w,m,conf,aed,cj,cs
Mass-society theory suggests that:,sociology,"['the content of the media is determined by market forces'
 'the subordinate classes are dominated by the ideology of the ruling class'
 ""the media manipulate 'the masses' as vulnerable, passive consumers""
 'audiences make selective interpretations of media messages']",2,0.9999986284117337,1.3709565270794558e-06,3.5817412438808377e-10,2.4616923563227405e-10,1.783243961850933e-11,8.42344802955755e-12,1.1399897249090577e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ecological approach to urban sociology involved studying:,sociology,"['how social groups colonized different areas of the city and competed for resources'
 'the forms of wildlife and natural habitats that could be found on the edges of the city'
 'the way in which people organized collective protests about environmental issues'
 ""how men and women used the city's public spaces differently""]",0,1.2664165549091074e-14,8.70394520672428e-15,0.9999999999997691,1.6261110446174206e-14,,1.8426252147231112e-14,,1.7482341282706287e-13,1.406861712445802e-16,3.139132792047261e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becker proclaimed that cannabis use was:,sociology,"['increasing throughout all sections of youth in the 1970s'
 'learned gradually through the social processes of a deviant career'
 'a dangerous pastime that young people should not be allowed to pursue'
 'not as enjoyable as other sociologists had suggested']",1,3.442477106675351e-14,0.9999999994787832,5.211412485171736e-10,1.4350379593857148e-14,,2.3659776079013346e-14,,,,,2.4937220520353537e-15,3.8242466261034863e-16,5.509349622628555e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The middle classes that developed over the nineteenth century were:,sociology,"['an urban set, involved in civic bodies and voluntary associations'
 'too diverse to have a strong sense of class consciousness'
 ""often involved in 'white collar' work"" 'all of the above']",3,1.317651422197759e-10,8.592166587797312e-10,2.646573629244383e-09,0.9999999963499736,,1.2256067399342885e-11,1.2015425687893962e-13,,,,,,,6.431393917965893e-14,3.037975374349077e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technological forms of surveillance have made it easier to:,sociology,"[""access and exchange 'private' information about consumers""
 'reduce prison overcrowding by the use of electronic tagging'
 ""monitor employees' activities at work"" 'all of the above']",3,5.4927883469041125e-11,8.423463748256896e-12,6.691586086358177e-10,0.999999999262944,,4.5087552389699144e-12,1.8426252133647473e-14,,,,,,,,1.1176086862652521e-14,7.681204679537711e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as,sociology,['organic solidarity' 'mechanical solidarity' 'gesellschaft' 'anomie'],1,1.8189618765761561e-09,0.9999999103572582,8.764249130207985e-08,1.3176515639374285e-10,,4.277788313508745e-11,1.291780139025368e-12,,,,4.508755710836271e-12,,,,,,9.450865388738248e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was a growth in income inequality in the 1980s because:,sociology,"['rates of income tax increased equally for all occupational groups'
 'there were more professional jobs available but not enough people to fill them'
 'the price of consumer goods rose at a higher rate than earnings'
 'growing unemployment made more people dependent on welfare benefits']",3,6.950408657341475e-06,0.0017007094165107063,1.3686166120708431e-06,0.9982909659898883,,3.358991665698425e-10,4.936002220433444e-09,,,,,,,,2.964299740786331e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If a deviant act is 'normalized', it is:",sociology,"['recognised as breaking an important norm of behaviour'
 ""seen a temporary aberration from an otherwise 'normal' character""
 'the first step in establishing a deviant career'
 ""attributed to the person's genetic or anatomical make up""]",1,0.0003799408503739903,0.9995054284667806,0.00010885487615528787,5.41956516131868e-06,,1.4159091911569821e-09,3.464612094334883e-07,,,,,,,,,,,7.190580191289869e-09,1.1738299481683968e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the debate about the 'managerial revolution', John Scott (1997) argued that:",sociology,"['owners still exercised control through groups of shareholders and interlocking directorships'
 'ownership and management were becoming increasingly separate functions'
 'the techniques of scientific management were overly bureaucratic and inefficient'
 'managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses']",0,2.9167642258741025e-08,0.0953494518000078,0.904650466641448,4.8089312208158256e-08,,,1.645525774665405e-09,1.2038923745797401e-09,,,,,,,,,,,,1.4521713992653368e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marxist feminists explain patriarchy in terms of:,sociology,"['a lack of equal rights and opportunities for men and women'
 'sex classes, through which men oppress women economically, politically and sexually'
 ""women's domestic labour being exploited by the capitalist economy""
 'the dual systems of capitalism and male domination']",2,0.00033514005245107375,0.999038590700961,1.4435907764144467e-07,0.000626124048165341,,6.685158255208374e-10,7.046104961723085e-11,,,,,,,,,,,4.5493072855927684e-11,,,5.4875120617932497e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
