question,subject,choices,answer,b,a,d,c,<|end|>,2,ab,25,e,3,ÃÂ´,t,ÃÂ­d,Ã¢ÂÂ,n,z,ÃÂ,s,ÃÂ°,ad,cc,ci,i,f,none,0,y,1,o,r,ÃÂ§,ai,27,ÃÂ±,8,390,aa,p,iii,an,30,m,h,4,bb,bfd,90,94,g,86,'b,6,10,ÃÂ,bd,144,152,156,bc,12,cd,',118,ÃÂ­a,612,42,x,co,ch,82,190,106,423,64,four,q
"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test?",high_school_statistics,"['P(t > 1.54) with df = 6' '2P(t > 1.54) with df = 6'
 'P(t > 1.54) with df = 7' '2P(t > 1.54) with df = 7']",1,0.9999225926767435,7.484606969596804e-05,2.5610916209704224e-06,1.02610794833929e-10,3.7748401861663317e-11,2.0205263504782823e-11,1.3749854373008417e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders?",high_school_statistics,"['0 to 31.7 minutes' '31.7 to 39.3 minutes' '25.3 to 44.7 minutes'
 '25.3 to 35 minutes']",2,0.0330771182886661,0.0002525465439587,1.6144760410428428e-05,0.966654177170109,,,,7.402744747178923e-09,3.9624037283364415e-09,1.8717069897224288e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All of the following statements are true for all discrete random variables except for which one?,high_school_statistics,"['The possible outcomes must all be numerical.'
 'The possible outcomes must be mutually exclusive.'
 'The mean (expected value) always equals the sum of the products obtained by multiplying each value by its corresponding probability.'
 'Approximately 95% of the outcomes will be within two standard deviations of the mean.']",3,5.602785908645606e-09,1.3709565100492366e-06,0.9999986159817668,7.194119510960881e-09,2.461692325743244e-10,,,,1.2256044412242487e-11,,3.978955058488039e-12,2.4133582365916704e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a true statement about hypothesis testing?,high_school_statistics,"['If there is sufficient evidence to reject a null hypothesis at the 10% level, then there is sufficient evidence to reject it at the 5% level.'
 'Whether to use a one- or a two-sided test is typically decided after the data are gathered.'
 'If a hypothesis test is conducted at the 1% level, there is a 1% chance of rejecting the null hypothesis.'
 'The power of a test concerns its ability to detect an alternative hypothesis.']",3,1.4930946722247708e-10,1.0261879604400056e-10,0.9999999973520328,2.3355930325854682e-09,5.4927883363410645e-11,,,,2.413362765412438e-12,,2.413362765412438e-12,6.914400088544375e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An outlier is an observation that,high_school_statistics,"['is seen more frequently than the other observations in the data set'
 'is seen less frequently than the other observations in the data set'
 'is always smaller than the other observations in the data set'
 'is significantly different from the other observations in the data set']",3,8.703945206725336e-15,1.0395380116700934e-15,0.9999999999998834,4.91042987015851e-16,1.0603575991522537e-13,,,,,,2.7978786020620143e-16,,2.444759076611829e-17,2.0267764614470338e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The principal of a school is interested in estimating the average income per family of her students. She selects a random sample of students and collects information about their family income. A 95 percent confidence interval computed from this data for the mean income per family is ($35,095, $45,005). Which of the following provides the best interpretation of this confidence interval?",high_school_statistics,"['95 percent of the students in her school are from families whose income is between $35,095 and $45,005.'
 'There is a 95% probability that the families of all the students in this school have an income of between $35,095 and $45,005.'
 'If we were to take another sample of the same size and compute a 95 percent confidence interval, we would have a 95% chance of getting the interval ($35,095, $45,005).'
 'There is a 95% probability that the mean income per family in the school is between $35,095 and $45,005.']",3,9.237450566458192e-09,1.3440411267156713e-08,0.99999978553347,1.855391544287169e-07,4.5990558289701747e-10,,,,5.602796986136726e-09,,,1.1628234168802822e-10,,,7.052880541696963e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Researchers are conducting an experiment using a significance level of 0.05. The null hypothesis is, in fact, false. If they modify their experiment to use twice as many experimental units for each treatment, which of the following would be true?",high_school_statistics,"['The probability of a Type I error and the probability of a Type II error would both decrease.'
 'The probability of a Type I error and the power would both increase.'
 'The probability of a Type II error and the power would both increase.'
 'The probability of a Type I error would stay the same and the power would increase.']",3,7.835041784892814e-13,8.87826547826524e-13,0.9999999999807644,1.2256067443831092e-11,5.109089027951444e-12,,,,3.664497806837618e-14,,1.4493369977016974e-13,1.7309861965428944e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The mean height of adult men is 70 inches, with a standard deviation of four inches. The mean height of adult women is 66 inches, with a standard deviation of three inches. Between a man with a height of 74 inches and a woman with a height of 70 inches, who is more unusually tall within his or her respective sex?",high_school_statistics,"['It cannot be determined, because the mean heights for the two groups are different.'
 'It cannot be determined, because the standard deviations of the heights for the two groups are different.'
 'The man, because he is 74 inches tall and the woman is only 70 inches tall.'
 'The woman, because her height is 1.33 standard deviations above the mean height of all women, whereas the manÃ¢ÂÂs height is only one standard deviation above the mean height of all men.']",3,3.581747919029739e-10,1.1628232993686391e-10,0.9999999969443394,2.335593031461171e-09,1.6918979172993806e-10,,,,4.8473686910403774e-11,,2.5946094901245003e-11,,,,,2.0007480042961745e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not true about t-distributions?,high_school_statistics,"['There are different t-distributions for different values of df (degrees of freedom).'
 't-distributions are bell-shaped and symmetric.'
 't-distributions always have mean 0 and standard deviation 1.'
 't-distributions are more spread out than the normal distribution.']",2,1.1628232885468044e-10,2.594609465977724e-11,1.1861120003691834e-08,0.999999987598894,3.775134497284704e-11,,,,,,,6.914400020866968e-13,,,,,3.5817478856961416e-10,1.1399918388532781e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To study the effect of alcohol on reaction time, subjects were randomly selected and given three beers to consume. Their reaction time to a simple stimulus was measured before and after drinking the alcohol. Which of the following is a correct statement?",high_school_statistics,"['This study was an observational study.'
 'Lack of blocking makes this a poorly designed study.'
 'The placebo effect is irrelevant in this type of study.'
 'This study was an experiment in which the subjects were used as their own controls.']",3,4.0586520064407186e-10,6.691585893388566e-10,0.999999970439244,2.8453347248323863e-08,2.594609421540675e-11,,,,1.4637784708345377e-12,,3.5114220095259104e-12,1.4637784708345377e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
