question,subject,choices,answer,a,b,d,c,а,e,<|end|>,б,bb,ba,д,y,t,с,r,​,f,h,g,s,ch,none,n,i,be,bfd,not,this,cannot,unable,please,unknown,cc,cj,'a,aa,ab,com,bd,ai,­a,p,',w,­d,air,ci,ɑ,'b,opportunity,ad,ц,reg,د,2,à,x
Marginal revenue equals marginal cost at the point where,high_school_microeconomics,"['total revenue is greater than total cost at its greatest distance'
 'total revenue is equal to total cost'
 'marginal product is at its highest point'
 'total product is at its highest point']",0,0.9999970118728616,2.902311891461435e-06,7.734391475206427e-08,8.151988639446515e-09,1.6918912656563483e-10,7.507721980846783e-11,7.507721980846783e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",high_school_microeconomics,"['Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.'
 'Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.']",2,0.8092334394516175,4.163089471388664e-05,0.031377389273571595,0.15934751747687742,,2.031984169347215e-08,2.5833779667625165e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At a Nash equilibrium,",high_school_microeconomics,"['the supply curve intersects the demand curve'
 'neither party has an incentive to deviate from his or her strategy'
 'the marginal revenue curve intersects the marginal cost curve'
 'the equilibrium is unstable and each party would like to switch strategies']",1,2.365977609134662e-14,0.9999999999999681,7.144633303165982e-16,3.824246628096975e-16,,,4.658886145103202e-15,2.200701987975274e-15,2.770274965784003e-17,8.993766029028444e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,high_school_microeconomics,"['goods X and Y are normal goods.' 'goods X and Y are inferior goods.'
 'goods X and Y are complementary goods.'
 'goods X and Y are substitute goods.']",3,2.319522830243434e-16,3.3748858040151077e-16,0.9999999999999454,3.037975385442951e-14,,,2.3659776091346233e-14,,,,8.533047625743568e-17,3.557103467280365e-17,1.6802567025823367e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An externality,high_school_microeconomics,"['causes the equilibrium price to be artificially high'
 'causes the equilibrium price to be artificially low'
 'exists when markets cannot reach equilibrium'
 'results in an equilibrium that does not maximize the total benefit to society']",3,1.9171714225137378e-10,3.581747759815874e-10,0.9999999524405304,4.691163798566306e-08,,5.438596701650508e-12,7.991959512589958e-11,,,,1.0815941042519031e-11,,1.7656538381578199e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is one reason why the government discourages collusion between large firms in the same industry?,high_school_microeconomics,"['Collusive output levels tend to increase, driving the price above competitive levels.'
 'Consumer surplus falls as the price is driven downward.'
 'Collusive output levels tend to decrease, driving the price down to competitive levels.'
 'Joint profit maximization costs society consumer surplus as the price rises above competitive levels.']",3,6.023574550858267e-08,6.3488008675104165e-09,0.9999999249204464,8.152021679372557e-09,,4.277788375303302e-11,2.7894684230403657e-10,,,,1.6752059975013756e-11,,4.508755775967255e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,high_school_microeconomics,"['Perfectly horizontal demand curve.' 'Highly inelastic demand curve.'
 'Highly elastic demand curve.'
 'A demand curve consisting of two discontinuous segments.']",3,7.99195988141215e-11,2.1724399319416355e-10,0.9999999985602251,1.1032560307502601e-09,,8.878265465637897e-13,3.7751345388271464e-11,,,,6.101936668793065e-13,,1.0603575976210437e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not the basis for a wage differential?,high_school_microeconomics,"['Higher risk job.' 'Investment in human capital.'
 'Increase in production of SUVs.' 'Racial discrimination.']",2,2.6465737348511212e-09,7.1941332911227896e-09,5.043471765037695e-07,0.9999994852318569,,2.020683982274841e-11,1.9171715832584664e-10,,,,,,,3.581748060126564e-10,1.0160637153878632e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patents, control of resources, economies of scale, and exclusive licenses are",high_school_microeconomics,"['all requirements for price discrimination'
 'required in order for a firm to earn short-run profits'
 'all sources of elastic demand' 'all barriers to entry']",3,7.991959891638952e-11,3.3315445416182466e-11,0.9999999998403288,2.289734845268805e-11,,1.0603575989779156e-13,2.289734845268805e-11,,,,4.752193061989237e-13,,,,,6.04173547970536e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",high_school_microeconomics,"['increasing-cost industry' 'constant-cost industry'
 'decreasing-cost industry' 'profit-making industry']",1,0.00012338881793086105,0.9998306750465383,5.042618969456859e-07,4.5392209387210006e-05,,3.652860929637623e-08,,,,,,,,,,,1.7084657916119865e-09,7.581270993933618e-10,6.690448169800855e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following is most likely an example of production inputs that can be adjusted in the long run, but not in the short run?",high_school_microeconomics,"['Amount of wood used to make a desk.'
 'Number of pickles put on a sandwich.'
 'The size of a McDonald’s kitchen.'
 'Number of teacher’s assistants in local high schools.']",2,2.087967911581867e-14,7.681204684966407e-15,2.94007773919426e-11,0.9999999999694015,,1.1779508897921326e-15,4.752193062625338e-13,,,,,,,6.914400106728044e-13,,,,,,1.4208799955996303e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The apple market is in equilibrium. Suppose we observe that apple growers are using more pesticides to increase apple production. At the same time, we hear that the price of pears, a substitute for apples, is rising. Which of the following is a reasonable prediction for the new price and quantity of apples?",high_school_microeconomics,"['Price rises, but quantity is ambiguous.'
 'Price falls, but quantity is ambiguous.'
 'Price is ambiguous, but quantity rises.'
 'Price is ambiguous, but quantity falls.']",2,0.0024726230822117723,8.742574628695796e-08,2.210469035412277e-08,0.9975272672155876,,1.159947693414665e-10,4.835381381982646e-11,,,,,,,7.415297515165329e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is most likely to result in a shift to the right in the demand curve for orange juice?,high_school_microeconomics,"['A bumper crop of oranges in Florida' 'A decrease in the price of Tang'
 'Expectations of lower future prices for orange juice'
 'Expectations of higher future income among juice drinkers']",3,1.9171714900956072e-10,1.186112000494786e-08,0.9999999876656104,2.1724399082656597e-10,,1.2135149957994001e-12,6.224144546086228e-11,,,,5.058683120590946e-13,,3.476778673583016e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is accurate in regard to a perfectly competitive firm?,high_school_microeconomics,"['Demand is downward-sloping.'
 'The demand curve lies above the marginal revenue curve.'
 'Price is determined by the equilibrium in the entire market.'
 'Average revenue differs from price.']",2,3.266131342696238e-13,2.129785170896309e-12,6.560200167970579e-12,0.999999999972606,,,5.384940217603657e-13,,,,,,,1.78324729076484e-11,,,,,2.3426350718638754e-15,,3.862352272470095e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Economists use the term ""capital"" to mean",high_school_microeconomics,"['money.' 'plant and equipment.'
 'where the central government is located.' 'the center of the economy.']",1,1.0677030252723512e-06,0.9999989306483563,1.4166060634729022e-09,2.1724357589621157e-10,,2.707712781881769e-13,1.3887917167941856e-11,6.101924947752417e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ray and Dorothy can both cook and can both pull weeds in the garden on a Saturday afternoon. For every hour of cooking, Ray can pull 50 weeds and Dorothy can pull 100 weeds. Based on this information,",high_school_microeconomics,"['Ray pulls weeds, since he has absolute advantage in cooking.'
 'Dorothy pulls weeds, since she has absolute advantage in cooking.'
 'Dorothy cooks, since she has comparative advantage in cooking.'
 'Ray cooks, since he has comparative advantage in cooking.']",3,5.566634994866671e-07,4.660886416584047e-06,0.02595722581703935,0.974037554106424,,1.0095048137222197e-09,1.0095048137222197e-09,,,,,,,5.076108984532045e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your aunt runs a small firm from her home making apple pies. She hires some friends to help her. Which of the following situations would most likely increase her demand for labor?,high_school_microeconomics,"['The price of apple peelers/corers rises.'
 'Your aunt’s friends gossip all day, slowing their dough-making process.'
 'There is a sale on ovens.'
 'A new study reveals that apples increase your risk of cancer.']",2,1.9947238775791396e-06,7.338179053751465e-07,1.5534925178698631e-06,0.9999957111587661,,4.363445128874637e-09,3.1608690496796677e-10,,,,,,,2.061145533601085e-09,,,,,,,,6.625541461063274e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mrs. Johnson spends her entire daily budget on potato chips, at a price of $1 each, and onion dip at a price of $2 each. At her current consumption bundle, the marginal utility of chips is 12 and the marginal utility of dip is 30. Mrs. Johnson should",high_school_microeconomics,"['do nothing; she is consuming her utility maximizing combination of chips and dip.'
 'increase her consumption of chips until the marginal utility of chip consumption equals 30.'
 'decrease her consumption of chips until the marginal utility of chip consumption equals 30.'
 'decrease her consumption of chips and increase her consumption of dip until the marginal utility per dollar is equal for both goods.']",3,0.00015843631692371595,3.652905625176613e-08,0.9998414580953184,6.824526167117633e-08,,5.904372030362287e-10,1.9168689478587456e-10,,,,,,2.289373482210738e-11,,,,,,,,,,8.422134372684051e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the absence of intervention, imperfect competition, externalities, public goods, and imperfect information all result in which of the following?",high_school_microeconomics,"['Demand curves that should be added vertically' 'Market failure'
 'Prices that are too low' 'Quantities of output that are too high']",1,1.879528816494341e-12,0.9999999999940578,1.879528816494341e-12,6.914400106775606e-13,,,1.4637785140910637e-12,2.6810038677179823e-14,,,,,,,,1.106582453231098e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marginal cost (MC) is equal to average variable cost (AVC) and average total cost (ATC) when:,high_school_microeconomics,"['marginal cost (MC) intersects AVC and ATC at their maximum points.'
 'AVC and ATC intersect MC at its maximum point.'
 'MC intersects AVC and ATC at their minimum points.'
 'AVC and ATC intersect MC at its minimum point.']",2,1.493072451991875e-10,2.4616603102954005e-10,1.473897982733049e-05,0.9999852603546129,,6.560102521810517e-12,1.3176318142172169e-10,,,,,,,1.3176318142172169e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"After Julia received a raise in her income, she began purchasing more ice cream cones and fewer popsicles. For Julia, popsicles",high_school_microeconomics,"['disobey the law of demand' 'are a joint product'
 'are a complementary good with ice cream' 'are an inferior good']",3,6.3488000240546945e-09,8.592166494680555e-10,0.9999999855230638,7.194132926088206e-09,,2.0007479815930733e-12,6.224144532724954e-11,,,,3.978962478185287e-12,,4.7995449024981626e-12,,,,,,,,,,1.7656538966082684e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following conditions is characteristic of oligopoly?,high_school_microeconomics,"['A rival firm matches price decreases of rivals, but fails to match any price increases of rivals.'
 'A rival firm matches price increases of rivals, but fails to match any price decrease of rivals.'
 'A rival firm fails to match both price increases or price decreases of rivals.'
 '(I)) Rival firms act independently of each other.']",0,0.999768146361707,0.00023050640138003382,1.2095865823708167e-06,1.274894878223197e-07,2.3350490860130254e-09,4.943298953880986e-09,1.1741364165595331e-09,,,,,,,,,,,,,,,,,1.708358405684701e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is characteristic of oligopoly? I. Formidable barriers to entry. II. Price (P) = Marginal Revenue (MR). III. Relatively few sellers.,high_school_microeconomics,['I only.' 'II only.' 'III only.' 'I and III only.'],3,1.1628233016059784e-10,1.0815941544113738e-11,0.9999999987906021,8.592166608710329e-10,,1.1399918516560416e-12,2.1724399324333592e-10,,,,2.5690112948464892e-12,,,,,,,,,,,,,2.1297851683620735e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A monopoly is less efficient than a perfect competitor because,high_school_microeconomics,"['a monopoly produces more output and sells for a higher price'
 'a monopoly produces less output and sells for a higher price'
 'a monopoly can make profit in the short run but not in the long run'
 'a perfect competitor breaks even in the short run and the monopoly does not']",1,1.463778514123438e-12,0.9999999999984365,5.675685232623142e-14,2.6810038677772778e-14,,,1.4350379601314035e-14,1.3347932285953499e-15,1.2415511035964886e-16,,,,,,,,,,,,,,,,4.5674112617686365e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the design of a competitive market system, which of the following does NOT describe how resources are allocated?",high_school_microeconomics,"['Price signals that guide producers on what, when, how, and for whom to produce goods and services.'
 'Active government ownership and direction of production.'
 'Voluntary market exchange between buyers and sellers.'
 'Distribution of income and goods on the basis of contribution or productivity.']",1,1.2256067441719401e-11,0.9999999999555138,2.2897348452008953e-11,1.4637785138416486e-12,,,7.433680670908595e-12,4.193795657565125e-13,,,,,,,,1.6261110443020344e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A production possibility frontier will be a straight line when,high_school_microeconomics,"['efficiency is achieved'
 'the goods on the axes are perfect substitutes in consumption'
 'utility is maximized' 'resources are not specialized']",3,2.0611454404642816e-09,2.902312929870427e-06,0.9999970951484187,3.5817337121438286e-10,,2.267135513490258e-12,1.1628186870680752e-10,,,,7.83501068301084e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is correct?,high_school_microeconomics,"['Economic Profits = Accounting Profits.'
 'Economic Costs = Explicit Costs plus Implicit Costs.'
 'Economic Costs = Explicit Costs minus Implicit Costs.'
 'Opportunity Costs = Economic Profits.']",1,1.1176086870893168e-14,0.9999999999999739,2.8257572871153618e-15,2.8257572871153618e-15,,,5.9821282237666084e-15,3.202002498637084e-15,1.09566500332614e-16,,,,,,,,,,,,,,,,,1.3085852357320614e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If the per unit price of labor, a variable resource, increases, it causes which of the following?",high_school_microeconomics,"['An upward shift in AFC.' 'An upward shift in MPL.'
 'A downward shift in ATC.' 'An upward shift in MC.']",3,8.878265478330662e-13,1.139991853027792e-12,0.9999999999859467,2.4133627717981488e-12,,5.619689396750372e-15,9.545034922701943e-12,,,,5.675685232550258e-14,,4.658886145035706e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If the wage paid to all units of labor is $4.50, how many units of labor are hired?",high_school_microeconomics,['1' '2' '3' '4'],1,0.010390647362935209,0.09858372720665681,0.16253708799051395,0.7284406762028491,,,,,,,,,,,,,,,,,,,,,,,1.7701712538700218e-05,9.475043940697201e-06,6.51209611651455e-06,5.746904652157262e-06,4.475693843336775e-06,3.949785953661648e-06,,,,,,,,,,,,,,,,,,,,,,,,,
