question,subject,choices,answer,b,a,<|end|>,Ã¢ÂÂ,c,d,ÃÂ±,Ã¢ÂÂÃ¢ÂÂ,none,not,error,ÃÂ,ÃÂ°,aa,an,ÃÂ­a,...,Ã¢ÂÂÃ¢ÂÂÃ¢ÂÂÃ¢ÂÂ,ai,e,option,ci,such,j,solution,s,ÃÂ´,article,Ã¢ÂÂ,**,all,ab,civil,bb,jeremy,'b,Ã¯Â»Â¿,ap,al,good,armed
Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,international_law,"['The coastal State' 'The flag State' 'All States enjoy such jurisdiction'
 'The International Tribunal for the Law of the Sea']",1,0.9999999997887472,7.991959883277116e-11,7.991959883277116e-11,2.2897348428730985e-11,8.423463744269357e-12,8.423463744269357e-12,6.5602001602105635e-12,5.109089021877144e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of justiciability?,international_law,"['Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders'
 'Justiciability refers to the just nature or cause of a particular right'
 ""Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice""
 'Justiciability refers to the obligation of a State to enforce a particular Right']",0,6.1438897412128845e-06,0.9999470249950028,,,6.1438897412128845e-06,4.0063193697701e-05,,,5.224020380829101e-07,6.023257560097566e-08,4.1397203444517264e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,international_law,"['R2P is essentially the same as humanitarian intervention'
 'R2P requires a call for assistance by the State in distress'
 'R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis'
 'R2P always involves armed force, whereas humanitarian intervention does not']",2,1.573710210617267e-11,1.842625214642745e-14,4.1937956581956054e-13,1.361526108029937e-13,0.9999999999617888,1.658678358841482e-12,,3.4424771083189894e-14,,,,2.02068390893359e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the 'Lotus principle'?,international_law,"[""The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'""
 'The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes'
 'The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas'
 'The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris']",0,1.3615261080248725e-13,0.9999999999568296,2.2447770549141682e-13,,,,,,,,,,4.277787868765461e-11,1.4350379600655472e-14,9.862862046111178e-15,7.681204684836624e-15,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements best describes the UK Constitution?,international_law,"[""The UK Constitution's only source of power is that of the sovereign""
 'The UK Constitution gives the judiciary the power to overturn acts of parliament'
 'The UK Constitution is uncodified and can be found in a number of sources'
 'The UK Constitution is based on a Bill of Rights']",2,1.139991852886634e-12,1.3615261079012826e-13,3.0988191382930944e-12,2.2447770547104025e-13,0.9999999998763012,2.734698291213521e-12,,,,,,1.1628233028612167e-10,,,,,8.258073284413392e-14,,,,,,,,,,,,,,,,,,,,,,,,
What is the obligation of the peaceful settlement of disputes?,international_law,"['It is an obligation of result, that is, States are under a strict obligation to resolve their disputes as soon as possible'
 'It is an obligation of conduct, ie States have an obligation to try to resolve their disputes through peaceful means. This does not entail an obligation to resolve their disputes'
 'It is a peremptory norm of international law and all States have a legal interest to safeguard its application in any given dispute'
 'It is an obligation which concerns solely international courts and tribunals']",1,0.999999999941858,2.940077736837931e-11,1.225606743390078e-11,5.109089023811873e-12,5.109089023811873e-12,1.2917800037110608e-12,3.5114221104545346e-12,1.4637785129078477e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which one of the following statements is false?,international_law,"['Protocol 14 changed the committee that hears admissibility cases from a three judge to a one judge formation'
 'Protocol 14 added a new criterion for admissibility'
 'Protocol 14 abolished the Commission of Human Rights'
 'Protocol 14 extended the judicial term of office for the European Court of Human Rights']",2,1.3615261080433053e-13,,6.914400106704827e-13,8.258073285274804e-14,0.9999999999808916,3.266131342676264e-13,,3.9008376100479256e-14,,,,1.7832472907539345e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,international_law,"['Rocks are the islands that are less than 10 square miles'
 'Rocks are the islands that do not have any maritime zone'
 'Rocks are the islands which cannot sustain human habitation or economic life of their own and according to article 121 (3) have no Exclusive Economic Zone or continental shelf.'
 'Rocks are the small islands that can sustain human habitation']",2,1.0060392792289978e-12,,6.101936677275862e-13,3.701011678392843e-13,0.999999999948085,1.291780004716249e-12,,1.361526108016141e-13,,,,4.847368706008532e-11,,,,,,2.6810038676370483e-14,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of international legal personality?,international_law,"['It means that only States are considered subjects of international law'
 'It means having rights and duties under international law and a capacity to enforce these by or against the relevant actor'
 'It means that an entity may challenge the authority of States'
 'It is a term that is meant to denote legal, as opposed, to physical persons under international law']",1,0.9999999999827952,3.0988191384268694e-12,7.433680671644626e-12,1.0060392791875586e-12,6.10193667702452e-13,5.384940217241478e-13,3.978962535458508e-12,5.384940217241478e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a treaty-based human rights mechanism?,international_law,"['The UN Human Rights Committee' 'The UN Human Rights Council'
 'The UN Universal Periodic Review' 'The UN special mandates']",0,1.060357599131799e-13,0.9999999999922936,1.542811203161936e-13,,,,,,,,,,7.433680672207873e-12,4.658886145012951e-15,4.1114525924682145e-15,,,,3.628344177976605e-15,,,,,,,,,,,,,,,,,,,,,,
