question,subject,choices,answer,d,a,c,b,e,f,ad,g,h,1,choice,cd,bcd,bc,bd,ab,ba,ac,Ð°,4,3,2,abc,abcd,all,db,Ñ,r,dc,da,aa,cb,none,i,bb,band,sol,p,m,q
"This question refers to the following information.
""The far-reaching, the boundless future will be the era of American greatness. In its magnificent domain of space and time, the nation of many nations is destined to manifest to mankind the excellence of divine principles; to establish on earth the noblest temple ever dedicated to the worship of the Most Highâthe Sacred and the True. Its floor shall be a hemisphereâits roof the firmament of the star-studded heavens, and its congregation a Union of many Republics, comprising hundreds of happy millions, calling, owning no man master, but governed by God's natural and moral law of equality, the law of brotherhoodâof 'peace and good will amongst men.'""
John L. O'Sullivan, ""The Great Nation of Futurity,"" 1839
By what means did the United States take possession of the Oregon Territory?",high_school_us_history,"['The United States was granted the territory in a postwar treaty with France.'
 'The United States bought it from the Native Americans who lived there.'
 'U.S. settlers were the first to arrive in the region; they claimed it for their country.'
 'Great Britain ceded it to the United States as part of a negotiated treaty.']",3,0.9210659357678566,0.0404716585188218,0.0357136020201823,0.0025870840363509,6.084238487504083e-05,1.125470952788405e-05,8.765176593557299e-06,3.653869217629084e-06,2.511265139380827e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
BECAUSE no People can be truly happy, though under the greatest Enjoyment of Civil Liberties, if abridged of the Freedom of their Consciences, as to their Religious Profession and Worship: And Almighty God being the only Lord of Conscience, Father of Lights and Spirits; and the Author as well as Object of all divine Knowledge, Faith and Worship, who only doth enlighten the Minds, and persuade and convince the Understanding of People, I do hereby grant and declare, That no Person or Persons, inhabiting in this Province or Territories, who shall confess and acknowledge One almighty God, the Creator, Upholder and Ruler of the World; and profess him or themselves obliged to live quietly under the Civil Government, shall be in any Case molested or prejudiced, in his or their Person or Estate, because of his or their conscientious Persuasion or Practice, nor be compelled to frequent or maintain any religious Worship, Place or Ministry, contrary to his or their Mind.â¦
âWilliam Penn, Charter of Privileges Granted by William Penn,
esq. to the Inhabitants of Pennsylvania and Territories, October 28, 1701
Because of Penn's Charter of Privileges, Pennsylvania became",high_school_us_history,1.2763534183857694e-05,0,2.143992789836338e-05,0.999748206289166,0.0001088809379948,8.479655977191249e-05,,,,,,5.7704783108614685e-06,3.4934490712600367e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""We conclude that, in the field of public education, the doctrine of ""separate but equal"" has no place. Separate educational facilities are inherently unequal. Therefore, we hold that the plaintiffs and others similarly situated for whom the actions have been brought are, by reason of the segregation complained of, deprived of the equal protection of the laws guaranteed by the Fourteenth Amendment.""
Brown v. Board of Education, 1954
Desegregation of schools was, in part, a response to unfulfilled promises from which of the following initiatives?",high_school_us_history,['The Great Society' 'The Square Deal' 'The New Deal' 'Reconstruction'],3,0.3741251743094232,0.0506398766114279,0.5443592186922759,0.0307152464597223,2.800395557328106e-05,5.180210904887486e-06,,,,,,1.0302079526888534e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Since the foundations of the American commonwealth were laid in colonial times over 300 years ago, vigorous complaint and more or less bitter persecution have been aimed at newcomers to our shores. Also the congressional reports of about 1840 are full of abuse of English, Scotch, Welsh immigrants as paupers, criminals, and so forth. Old citizens in Detroit of Irish and German descent have told me of the fierce tirades and propaganda directed against the great waves of Irish and Germans who came over from 1840 on for a few decades to escape civil, racial, and religious persecution in their native lands. The ""Know-Nothings,"" lineal ancestors of the Ku-Klux Klan, bitterly denounced the Irish and Germans as mongrels, scum, foreigners, and a menace to our institutions, much as other great branches of the Caucasian race of glorious history and antecedents are berated to-dayâ¦.But to-day it is the Italians, Spanish, Poles, Jews, Greeks, Russians, Balkanians, and so forth, who are the racial lepersâ¦..In this bill we find racial discrimination at its worstâa deliberate attempt to go back 84 years in our census taken every 10 years so that a blow may be aimed at peoples of eastern and southern Europe, particularly at our recent allies in the Great WarâPoland and Italy.""
Robert H. Clancy, Congressional Record, 68th Congress, 1st Session, 1924
Which one of the following legislative acts is most closely an example of nativism?",high_school_us_history,"['The Wagner Act of 1935' 'The Alien and Sedition Acts of 1798'
 'The Espionage Act of 1917' 'The Immigration and Nationality Act of 1965']",1,0.0040346778195493,0.0045766130518807,0.0040346778195493,0.9872531411515548,5.028801729901519e-06,,,,,,,,1.3669700361314711e-05,9.39503850261668e-06,9.39503850261668e-06,3.67914994046986e-06,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Now, we have organized a society, and we call it ""Share Our Wealth Society,"" a society with the motto ""Every Man a King.""â¦
We propose to limit the wealth of big men in the country. There is an average of $15,000 in wealth to every family in America. That is right here today.
We do not propose to divide it up equally. We do not propose a division of wealth, but we do propose to limit poverty that we will allow to be inflicted on any man's family. We will not say we are going to try to guarantee any equality â¦ but we do say that one third of the average is low enough for any one family to hold, that there should be a guarantee of a family wealth of around $5,000; enough for a home, an automobile, a radio, and the ordinary conveniences, and the opportunity to educate their children.â¦
We will have to limit fortunes. Our present plan is that we will allow no man to own more than $50,000,000. We think that with that limit we will be able to carry out the balance of the program.
âSenator Huey P. Long of Louisiana, Radio Address, February 23, 1934
President Franklin D. Roosevelt responded to political challenges like that of Senator Long by doing which of the following?",high_school_us_history,"['Announcing that he would not run for re-election'
 'Launching the Second New Deal, a series of legislative acts including Social Security'
 ""Diverting people's attention by allowing the Japanese to bomb Pearl Harbor""
 'Urging Congress to cut taxes and deregulate the economy']",1,0.0003344407566861,0.0011727181145304,0.0014988587692041,0.9969553666815488,2.3987787503575983e-06,,,,,,,,,3.278741808470232e-06,,3.278741808470232e-06,1.9886574321188424e-06,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""I was once a tool of oppression
And as green as a sucker could be
And monopolies banded together
To beat a poor hayseed like me.
""The railroads and old party bosses
Together did sweetly agree;
And they thought there would be little trouble
In working a hayseed like me. . . .""
â""The Hayseed""
The song, and the movement that it was connected to, highlight which of the following developments in the broader society in the late 1800s?",high_school_us_history,"['Corruption in governmentâespecially as it related to big businessâenergized the public to demand increased popular control and reform of local, state, and national governments.'
 'A large-scale movement of struggling African American and white farmers, as well as urban factory workers, was able to exert a great deal of leverage over federal legislation.'
 'The two-party system of the era broke down and led to the emergence of an additional major party that was able to win control of Congress within ten years of its founding.'
 'Continued skirmishes on the frontier in the 1890s with American Indians created a sense of fear and bitterness among western farmers.']",0,0.0019068695032348,0.9877829008819856,0.0085459962112085,0.0016828064302377,3.4925549882985136e-05,8.295545215565911e-06,2.232715705487416e-06,,,,1.8509863324677624e-06,,,,,1.3542105298000398e-06,,5.031502512273172e-06,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Some men look at constitutions with sanctimonious reverence, and deem them like the ark of the covenant, too sacred to be touched. They ascribe to the men of the preceding age a wisdom more than human, and suppose what they did to be beyond amendmentâ¦.But I know also, that laws and institutions must go hand in hand with the progress of the human mind. As that becomes more developed, more enlightened, as new discoveries are made, new truths disclosed, and manners and opinions change with the change of circumstances, institutions must advance also, and keep pace with the times.""
Thomas Jefferson, 1816
Which of the following statements is most accurate regarding the existence of political parties in the early United States?",high_school_us_history,"[""After the drafting of the Constitution, continued debates about states' rights and competing economic interests led to the formation of political parties, such as the Federalists and the Democratic-Republicans.""
 'Although Washington warned against the influence of political parties, he reluctantly accepted the endorsement of the Federalist party.'
 'Political parties did not exist until the War of 1812, when Federalists asserted control over foreign policies with France and Britain.'
 'Two major political parties dominated early presidential elections until John Quincy Adams founded the Whig party in 1824.']",1,0.0007070145014003,0.995550373790524,0.0009078245897649,0.002796296597256,1.4673617843669213e-05,3.710071604586639e-06,,,,1.8655411593194808e-06,,,,,,1.8655411593194808e-06,9.985522258983183e-07,,1.0629533114088543e-06,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
At a meeting of working girls held at Hull House during a strike in a large shoe factory, the discussions made it clear that the strikers who had been most easily frightened, and therefore the first to capitulate, were naturally those girls who were paying board and were afraid of being put out if they fell too far behind. After a recital of a case of peculiar hardship one of them exclaimed: ""Wouldn't it be fine if we had a boarding club of our own, and then we could stand behind each other in a time like this?"" After that events moved quickly. We â¦ discussed all the difficulties and fascinations of such an undertaking, and on the first of May, 1891, two comfortable apartments near Hull House were rented and furnished. The Settlement was responsible for the furniture and paid the first month's rent, but beyond that the members managed the club themselves.â¦ At the end of the third year the club occupied all of the six apartments which the original building contained, and numbered fifty members.
âJane Addams, Twenty Years at Hull House, 1912
A settlement house worker was most likely to be motivated by which of the following?",high_school_us_history,"['The Social Gospel' 'Social Darwinism' 'Communism'
 'The support of an urban political machine']",0,0.0007074171501703,0.996117702543952,0.0021789982251682,0.0009083416010195,1.2171784416227898e-05,2.251553720683747e-06,5.073954634840156e-06,,,,2.891052204395783e-06,,,,,3.27599133314652e-06,,5.073954634840156e-06,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Lincoln was strongly anti-slavery, but he was not an abolitionist or a Radical Republican and never claimed to be one. He made a sharp distinction between his frequently reiterated personal wish that 'all men everywhere could be free' and his official duties as a legislator, congressman, and president in a legal and constitutional system that recognized the South's right to property in slaves. Even after issuing the Emancipation Proclamation he continued to declare his preference for gradual abolition. While his racial views changed during the Civil War, he never became a principled egalitarian in the manner of abolitionists such as Frederick Douglass or Wendell Phillips or Radical Republicans like Charles Sumner.""
âEric Foner, The Fiery Trial, 2010
How did President Lincoln's issuance of the Emancipation Proclamation alter the course of the Civil War?",high_school_us_history,"['The war came to a swift conclusion because the Proclamation made the Confederacy realize the futility of their cause.'
 'The war grew in scope because the Proclamation caused Great Britain to join the fight on the side of the Union.'
 'President Jefferson Davis of the Confederacy vowed massive resistance to any Union effort to free the slaves.'
 'The war aims of the United States were no longer exclusively focused on the preservation of the Union.']",3,0.9970409475556106,0.0005514477072267,0.0019247416213271,0.0003344701011489,2.579156477757351e-05,7.389407027305132e-06,,,,,,,,,5.754875979298579e-06,,,,,2.276097602901857e-05,6.521128813533622e-06,4.210357209104451e-06,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Yesterday, December 7, 1941âa date which will live in infamyâthe United States of America was suddenly and deliberately attacked by naval and air forces of the Empire of Japan. The United States was at peace with that nation and, at the solicitation of Japan, was still in conversation with its Government and its Emperor looking toward the maintenance of peace in the Pacific. Indeed, one hour after Japanese air squadrons had commenced bombingâ¦the Japanese Ambassador to the United States and his colleague delivered to the Secretary of State a formal reply to a recent American message. While this reply stated that it seemed useless to continue the existing diplomatic negotiations, it contained no threat or hint of war or armed attackâ¦.The attack yesterdayâ¦has caused severe damage to American naval and military forces. Very many American lives have been lost. In addition American ships have been reported torpedoed on the high seasâ¦.As Commander-in-Chief of the Army and Navy, I have directed that all measures be taken for our defense.""
President Franklin D. Roosevelt, radio address, December 8, 1941
Which of the following statements best characterizes the economic consequences of the declaration of war described above?",high_school_us_history,"['Decreased trade with Asian nations precipitated economic recession in both the United States and Europe.'
 'The war-ravaged condition of Asia and Europe allowed the United States to emerge as one of the most prosperous nations on Earth.'
 'Cold War tensions isolated the economies of both the Soviet Union and the United States, leading to economic struggle for both nations.'
 'Japan was subsequently required to pay reparations to the United States, forcing it into a prolonged depression.']",1,0.056398252967569,0.687071396647959,0.0036054196880115,0.2527594339109153,8.479138435858003e-05,7.886827305578363e-06,,1.8732856816853976e-06,,,,,,,3.725473426399757e-06,2.9014016217918404e-06,2.7256145839794588e-06,,,,,,,,,,,,,,,,,,,,,,,
