question,subject,choices,answer,b,a,c,d,bc,bd,ba,ab,bcd,cd,ac,3,e,4,option,cb,ad,f,abc,cc,2,band,db,1,bb,dc,abcd,'},da,aa,ca,acd,none,g,dd,bac,Ð°
Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,international_law,"['The coastal State' 'The flag State' 'All States enjoy such jurisdiction'
 'The International Tribunal for the Law of the Sea']",1,0.9035747676191184,0.0577616798900526,0.0212493345190763,0.016549002308792,0.0001956995585584,7.663704826966888e-05,7.199384423999383e-05,5.2671821633929646e-05,4.102085593430177e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of justiciability?,international_law,"['Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders'
 'Justiciability refers to the just nature or cause of a particular right'
 ""Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice""
 'Justiciability refers to the obligation of a State to enforce a particular Right']",0,0.0016336253975539,0.0136781779877203,0.9589141686634008,0.0255541946380014,,,,,,2.4805279595695345e-05,2.056429906943759e-05,1.5045162597533422e-05,9.713887060965493e-06,7.565182849747111e-06,7.106831591624913e-06,,,,,,,,,,,,,,,,,,,,,,
In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,international_law,"['R2P is essentially the same as humanitarian intervention'
 'R2P requires a call for assistance by the State in distress'
 'R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis'
 'R2P always involves armed force, whereas humanitarian intervention does not']",2,0.0085240355139457,8.356674353953762e-05,0.9852447159161656,0.0058584782207684,0.0001377782675967,,,,5.743452689819895e-05,1.5458293205638344e-05,,8.274228103715382e-06,6.053554598147708e-06,,,7.772917965328604e-06,,,,,,,,,,,,,,,,,,,,,
What is the 'Lotus principle'?,international_law,"[""The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'""
 'The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes'
 'The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas'
 'The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris']",0,0.017930576057042,0.8639434977207741,0.0625838598639307,0.0552300624817072,,,,8.75182888707707e-06,,5.308252548570937e-06,2.3789937429524548e-05,,0.0001208152711354,,,,3.054688432092056e-05,7.7234618847959e-06,,,,,,,,,,,,,,,,,,,
Which of these statements best describes the UK Constitution?,international_law,"[""The UK Constitution's only source of power is that of the sovereign""
 'The UK Constitution gives the judiciary the power to overturn acts of parliament'
 'The UK Constitution is uncodified and can be found in a number of sources'
 'The UK Constitution is based on a Bill of Rights']",2,0.0013240571055535,0.0004870933880701,0.9979473848920688,0.0001395545256561,9.496804653957663e-06,,,,,,6.527052021437311e-06,1.888665125662909e-05,4.214181519559193e-06,,,,,,3.493679189012297e-06,3.2820078674377427e-06,,,,,,,,,,,,,,,,,
What is the obligation of the peaceful settlement of disputes?,international_law,"['It is an obligation of result, that is, States are under a strict obligation to resolve their disputes as soon as possible'
 'It is an obligation of conduct, ie States have an obligation to try to resolve their disputes through peaceful means. This does not entail an obligation to resolve their disputes'
 'It is a peremptory norm of international law and all States have a legal interest to safeguard its application in any given dispute'
 'It is an obligation which concerns solely international courts and tribunals']",1,0.9973140573972428,0.0009094328799523,0.0010305224610861,0.0006250434681712,5.080050469042919e-06,1.665684422274938e-05,,,5.756451330497389e-06,,,,5.40768557531926e-06,,,,,,,,8.915766233287123e-06,4.772265770370642e-06,,,,,,,,,,,,,,,
Which one of the following statements is false?,international_law,"['Protocol 14 changed the committee that hears admissibility cases from a three judge to a one judge formation'
 'Protocol 14 added a new criterion for admissibility'
 'Protocol 14 abolished the Commission of Human Rights'
 'Protocol 14 extended the judicial term of office for the European Court of Human Rights']",2,0.444301479831242,0.5034595345660736,0.0049357427188015,0.0468290342371295,,2.2857034319479097e-05,7.420592588313367e-06,0.0001490465864245,,,,,9.040132439196856e-05,,,,4.270256196625639e-05,,,,,,7.420592588313367e-06,,,,,,,,,,,,,,
Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,international_law,"['Rocks are the islands that are less than 10 square miles'
 'Rocks are the islands that do not have any maritime zone'
 'Rocks are the islands which cannot sustain human habitation or economic life of their own and according to article 121 (3) have no Exclusive Economic Zone or continental shelf.'
 'Rocks are the small islands that can sustain human habitation']",2,0.0001397666984621,0.0001397666984621,0.9994654191452204,0.0002304363286901,,,,,8.310831682525439e-07,1.135956006638503e-06,,8.934986100609213e-06,1.3702244972188223e-06,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of international legal personality?,international_law,"['It means that only States are considered subjects of international law'
 'It means having rights and duties under international law and a capacity to enforce these by or against the relevant actor'
 'It means that an entity may challenge the authority of States'
 'It is a term that is meant to denote legal, as opposed, to physical persons under international law']",1,0.998228118786375,0.0002607955387107,0.000708916111858,0.000708916111858,,4.215367278569053e-06,,3.4946622177586165e-06,,,,,4.487235110340414e-06,,,,,,,,7.875342877278704e-06,,,4.215367278569053e-06,3.4946622177586165e-06,,,,,,,,,,,,
Which of the following is a treaty-based human rights mechanism?,international_law,"['The UN Human Rights Committee' 'The UN Human Rights Council'
 'The UN Universal Periodic Review' 'The UN special mandates']",0,0.12767535908723,0.5722012272668747,0.2385289734784249,0.060309569242006,0.0001319266156045,,,0.0001027445515407,,,0.0002792886474265,,0.0001319266156045,,,,8.001753719629117e-05,,5.854208080262587e-05,,,,,,,,,,,,,,,,,,
The UN Vienna Declaration 1993 declared that,international_law,"['Third generation rights are of primary importance'
 'Civil and political rights are core rights'
 'All types of rights are indivisible, interrelated and interdependent'
 'Social and economic rights are non-enforceable']",2,0.0040405884695833,0.0004258748914676,0.9886992601455916,0.0066618041559478,1.2860307387588396e-05,,,,1.551249178776123e-05,3.9612535497514806e-05,,1.368972595406826e-05,8.83875138944584e-06,,,,,,,,,,,,,4.1751305243673855e-06,,,,,,,,,,,
What is the principal source of immunity in respect of international organisations (IOs)?,international_law,"['The principal source of immunity for IOs is the UN Charter'
 'The principal sources of immunity for IOs are headquarters agreements and multilateral treaties providing specific immunities'
 'The principal source of immunity for IOs is customary law'
 'The principal source of immunity for IOs is the Vienna Convention on Diplomatic Immunities']",1,0.9435531521755932,0.0152732584123876,0.0251435442275611,0.0152503304678564,0.0003165105112154,8.518764842805101e-05,,,5.5001279677428464e-05,,,,2.1538810596105263e-05,,,,,,,,,,,,,,,,,,,,,,,,
Is there any hierarchy or priority among States under international law?,international_law,"['Yes, the States that were the founding members of the United Nations are vested with more powers and authority'
 'Yes, the Permanent Five Members of the UN Security Council (UK, USA, France, Russia, China) are in a superior position than the other States'
 'No, all States are considered equal as sovereign States (the principle of sovereign equality, enshrined in article 2, para 1 UN Charter)'
 'Whether there will be any hierarchy among States is a matter of each international organization to decide']",2,0.0007080782742411,0.0011698227195886,0.9970506391257276,0.0010302478098985,1.3669132850767348e-06,,,,,,,9.488258826704657e-06,1.755151400446664e-06,,,,,,,1.2062967401819524e-06,,,,,,,,,,,,,,,,,
What is the declaratory theory of recognition?,international_law,"['Recognition is determinate for the existence of statehood'
 'Recognition is simply declaratory of statehood but not determinate'
 'Recognition is merely a declaration of interest'
 'Recognition requires a declaration by the newly-created State']",1,0.8903655040846118,0.0644978622292076,0.0237274375136335,0.0209393901120511,5.190355881831287e-05,6.664548873926089e-05,2.778197303830958e-05,6.664548873926089e-05,1.4870618575561658e-05,,,,,,,,,,,,,,1.4870618575561658e-05,,,,,,,,,,,,,,
"What is the function of ""standard-setting in human rights diplomacy?",international_law,"['Standard-setting means putting forward binding legal standards'
 'Standard-setting means merely proposing binding legal standards'
 'Standard-setting means putting forward non-binding legal standards'
 'Standard-setting means setting certain standards of conduct in human rights treaties']",2,0.0097422257849459,0.32261820995211,0.0635272921730483,0.602730202462568,,3.3007172638969165e-05,,,,8.428676809133474e-05,9.55094208766983e-05,,0.0003333606345282,,,,0.0002941897274148,,,,,,,,,,7.438281176946902e-05,,,,,,,,,,
What dimension did the Kadi judgment introduce with respect to the incorporation of UN Security Council resolutions?,international_law,"['The Kadi judgment demanded that UNSC resolutions are construed in accordance with human rights'
 'The Kadi judgment demanded that all UNSC resolutions be incorporated without any further implementing legislation'
 'The Kadi judgment required that important UNSC resolutions be transformed and not merely incorporated'
 'The Kadi judgment claimed that UNSC resolutions are not binding if they violate human rights']",0,0.0344096611789664,0.0208705144953667,0.8874368780767474,0.0567319403033464,5.862096597501755e-05,2.2956300117046058e-05,,,3.1377541988951015e-05,0.0001593483065766,2.2956300117046058e-05,,,,,,,,,,,,,,,2.6012895965768544e-05,,,,,,,,,,,
