question,subject,choices,answer,d,c,a,b,e,cd,ad,ac,dc,bcd,bd,bc,db,ab,abc,f,1,2,ba,3,cj,4,st,dd,dale,abcd,brown,Ð°,bac,i,r,da,ca,g,bb,cb,aa,choice,cc,none,iii,iv,all,an,ain,'},p,first,ii,rules
Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?,high_school_government_and_politics,"['Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater.'
 'Once a church has been recognized by the federal government, its tax-exempt status can never be revoked.'
 'Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment.'
 'State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.']",3,0.4303884228024836,0.379816450031461,0.158331052467236,0.0311772327781666,2.508934838092977e-05,1.9539604165819387e-05,1.5217459025245425e-05,9.229855461732074e-06,7.188218661232823e-06,7.188218661232823e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements does NOT accurately describe voting behavior in the United States?,high_school_government_and_politics,"['Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.'
 'A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.'
 'Registered voters are more likely to vote in general elections than they are in primary elections.'
 'More women than men have voted in every presidential election since 1980.']",1,0.1922636113781864,0.0202644355507244,0.0260200503019608,0.7604564082748632,,2.5257494503139648e-05,,,,5.69186425006716e-05,0.0005400287867046,3.911957275404776e-05,3.2431264903882225e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following plays the most significant role in forming a child's political views?,high_school_government_and_politics,"['The geographical area in which the child grows up' ""The child's family""
 'The media to which the child is exposed' ""The child's religion""]",1,0.0239284936427129,0.2003508243157405,0.6171239663602327,0.1560333788661002,9.186549246948934e-05,,8.107101255873282e-05,0.000637672604164,,,,0.0003012153534369,,0.0004966199234661,0.0003413215490322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What power was granted to the states by the Articles of Confederation but not by the Constitution?,high_school_government_and_politics,"['Coining money' 'Authorizing constitutional amendments'
 'Having representation in Congress'
 'Appealing to the president to adjudicate disputes']",0,0.1144683827975403,0.1469803304406033,0.6587201404903293,0.0786728922572904,0.0004678061174241,,5.587147317729695e-05,5.587147317729695e-05,,,,2.1879583266951337e-05,,2.329069515110161e-05,,4.3512747061831856e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The primary function of political action committees (PACs) is to,high_school_government_and_politics,"['contribute money to candidates for election'
 'coordinate local get-out-the-vote campaigns'
 'promote the defeat of incumbents in the federal and state legislatures'
 'organize protest demonstrations and other acts of civil disobedience']",0,0.0033482292527076,0.0359968482635476,0.9283709872490294,0.0317671070953885,4.4866297650930765e-05,,2.721278511308241e-05,0.0001666985187158,,,,1.99092988958976e-05,,4.4866297650930765e-05,1.134397656331678e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal judges are subject to which of the following disciplinary actions?,high_school_government_and_politics,"['Impeachment, conviction, and removal from office by Congress'
 'Removal from office by the appointing president'
 'Removal from office by the president-elect'
 'Recall elections by citizens residing in the district over which the judge has jurisdiction']",0,0.0007076259837917,0.0011666780111775,0.9964114919585736,0.0014980442194426,1.46863017528468e-05,,1.1437703305540031e-05,7.861010855889728e-06,,,,,,7.384736284941352e-06,,,5.1260229894208326e-05,1.217537179149385e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The amount of access cabinet secretaries have to the president is most likely to be controlled by the,high_school_government_and_politics,"['vice president' ""president's chief of staff"" 'national security advisor'
 'chair of the Federal Reserve Board']",1,0.018045280068414,0.0808733151720972,0.1333375549562721,0.7673047191658093,6.508141084057901e-05,,9.980557601678165e-06,1.751642409788577e-05,,,,6.508141084057901e-05,,3.0742281686286016e-05,,,,,9.980557601678165e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following defines the salience of a political issue?,high_school_government_and_politics,"['The amount of coverage the issue receives in the major news media'
 'The degree to which public opinion on the issue is likely to shift quickly'
 'The number of people affected by the issue'
 'The importance of the issue to a particular individual or group']",3,0.1015405543125499,0.2760158436394632,0.5843255455701051,0.0373546823767393,0.0001526600126331,3.406305306710005e-05,7.211148390892923e-05,0.0001347219882972,,,,2.341117117590581e-05,,2.066028604861464e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voters who rely exclusively on television network news coverage of national elections are most likely to be aware of,high_school_government_and_politics,"['which special interest groups have endorsed which candidates'
 ""the relative strength of each candidate's support, as indicated by public opinion polls""
 ""candidates' positions on international issues""
 ""candidates' positions on domestic issues""]",1,0.0152006135471645,0.032179691459633,0.0118382497336975,0.9404380143897754,7.419347171008609e-06,,,,,2.146859288243274e-05,2.9344087295322784e-05,0.0001490215715492,,1.3021359804083876e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which principle was established by the Supreme Court's decision in Marbury v. Madison?,high_school_government_and_politics,"['One man, one vote' 'Separate but equal' 'Judicial review'
 'Right to privacy']",2,9.607609486527504e-05,0.999633968920995,0.0001240976977795,0.0001233641477431,1.0673090052661798e-06,,,,,,,,,,,,,,,2.901246674365756e-06,6.891064864933283e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
