question,subject,choices,answer,b,c,d,a,bc,bcd,bd,ac,abc,cd,e,ab,ad,f,abcd,all,ba,cb,dc,1,aa,s,2,3,cc,bs,db,bb,4,social,dd,g,choice,none,mar,functional,ca,da,abd,option,r,h,band,sc,m,sol,n,bf,ccc
Mass-society theory suggests that:,sociology,"['the content of the media is determined by market forces'
 'the subordinate classes are dominated by the ideology of the ruling class'
 ""the media manipulate 'the masses' as vulnerable, passive consumers""
 'audiences make selective interpretations of media messages']",2,0.599791139780501,0.2833212899499837,0.0716348404338332,0.0434487270267421,0.001021816119982,0.0001567005024808,9.50436591469919e-05,5.087320476669088e-05,3.962009170965078e-05,3.7219631701913845e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ecological approach to urban sociology involved studying:,sociology,"['how social groups colonized different areas of the city and competed for resources'
 'the forms of wildlife and natural habitats that could be found on the edges of the city'
 'the way in which people organized collective protests about environmental issues'
 ""how men and women used the city's public spaces differently""]",0,0.0557176091274046,0.0337944382216553,0.0382941153931312,0.8715701269715117,1.8691180034648188e-05,,,3.280404256389266e-05,,,0.0001218818041514,9.49216445153176e-05,9.49216445153176e-05,1.6494908486228058e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becker proclaimed that cannabis use was:,sociology,"['increasing throughout all sections of youth in the 1970s'
 'learned gradually through the social processes of a deviant career'
 'a dangerous pastime that young people should not be allowed to pursue'
 'not as enjoyable as other sociologists had suggested']",1,0.3894200966437273,0.0676710618191242,0.0410445737686078,0.5000253018595425,0.0003133793373271,,,0.0001017393750823,6.17080502874685e-05,,6.568787760163483e-05,0.0005854694009305,8.978468338109488e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The middle classes that developed over the nineteenth century were:,sociology,"['an urban set, involved in civic bodies and voluntary associations'
 'too diverse to have a strong sense of class consciousness'
 ""often involved in 'white collar' work"" 'all of the above']",3,0.0071304643152451,0.0171050946803555,0.93390641435886,0.0410329890296728,,,5.444174091126393e-05,,,3.983042851774448e-05,4.239927045346289e-05,,8.975925625434621e-05,,0.0001676923676393,0.000101710562373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technological forms of surveillance have made it easier to:,sociology,"[""access and exchange 'private' information about consumers""
 'reduce prison overcrowding by the use of electronic tagging'
 ""monitor employees' activities at work"" 'all of the above']",3,0.0039532775779819,0.0107461226030828,0.85367026811851,0.1309429286386264,,,,,,,6.801993046080952e-05,2.208283825364518e-05,0.0001532852795172,,5.6390502968617067e-05,0.0001193786957213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The concept of gemeinschaft developed by Ferdinand Țnnies describes basically the same relational characteristics as,sociology,['organic solidarity' 'mechanical solidarity' 'gesellschaft' 'anomie'],1,0.909652767118266,0.0147029867143148,0.0007320186047573,0.0746760596255284,2.2105046480129467e-05,,,7.176457880845035e-06,,,,6.008774616417851e-05,,,,,2.353069949221955e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was a growth in income inequality in the 1980s because:,sociology,"['rates of income tax increased equally for all occupational groups'
 'there were more professional jobs available but not enough people to fill them'
 'the price of consumer goods rose at a higher rate than earnings'
 'growing unemployment made more people dependent on welfare benefits']",3,0.0899837129153139,0.8537417740456807,0.0227514456025183,0.0331031580218171,0.000135285008472,9.800013144092806e-06,,2.208467053535983e-05,9.800013144092806e-06,1.719955870681222e-05,1.719955870681222e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If a deviant act is 'normalized', it is:",sociology,"['recognised as breaking an important norm of behaviour'
 ""seen a temporary aberration from an otherwise 'normal' character""
 'the first step in establishing a deviant career'
 ""attributed to the person's genetic or anatomical make up""]",1,0.2783294991677346,0.3153886414247829,0.048366408883239,0.3573821511453408,0.0001058010898504,,,4.9976896088916994e-05,2.217711320565856e-05,,3.892204580952678e-05,3.2267509315249136e-05,8.684682314784234e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the debate about the 'managerial revolution', John Scott (1997) argued that:",sociology,"['owners still exercised control through groups of shareholders and interlocking directorships'
 'ownership and management were becoming increasingly separate functions'
 'the techniques of scientific management were overly bureaucratic and inefficient'
 'managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses']",0,0.5416701591086684,0.1369556640885284,0.0305589356183986,0.2899351431506146,0.0003394791099971,2.038730520827419e-05,,5.8992623663254016e-05,3.578083494865257e-05,,,8.583376095583715e-05,2.617781806519443e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marxist feminists explain patriarchy in terms of:,sociology,"['a lack of equal rights and opportunities for men and women'
 'sex classes, through which men oppress women economically, politically and sexually'
 ""women's domestic labour being exploited by the capitalist economy""
 'the dual systems of capitalism and male domination']",2,0.9983216725663376,0.0008033776791946,0.000203125784544,0.0003794887448702,0.0001581945200648,1.2985396961834751e-05,,,,,,2.0112176254281284e-05,,,,,,1.5782858574656384e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following was not defined by Giddens (1998) as part of New Labour's 'third way':,sociology,"['the democratization of the family' 'putting an end to privatization'
 ""positive welfare: 'a hand up, not a hand-out'""
 'the strengthening of civil society']",1,0.3618497450554144,0.0807395915638831,0.1936842114475935,0.3618497450554144,8.34280293083351e-05,,0.0002001334383321,,,9.453634235315376e-05,0.0001558640784918,0.000373898487111,0.0003299642567565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-psychiatrists like Laing & Esterson believed that:,sociology,"['Psychiatry was an out-moded form of treatment and should be replaced by alternative therapies like aromatherapy and kinesiology'
 ""Mental illnesses were biological in origin, so there was no point in studying 'the mind' as experienced by the patient""
 'Psychiatrists were agents of capitalism who tried to instill ruling class ideology into their patients'
 'Behaviour that seemed bizarre could be seen as a reasonable response to disturbed patterns of family interaction']",3,0.0005452165372841,0.0124090711918424,0.985774406889,0.0007000718914712,,3.949533465906983e-05,4.475407737228158e-05,,,0.000156207078774,1.7525948515714278e-05,,3.485451050317114e-05,,,,,,9.474438254060504e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:,sociology,"['socialization into working class families and communities'
 'rational calculation of self-interest'
 'issue-based concerns about culture and lifestyle'
 'false consciousness and the acceptance of hegemonic values']",0,0.1608330696120175,0.1822477440328468,0.1608330696120175,0.4954007013539593,4.201899569701109e-05,,,4.201899569701109e-05,,2.7129502653755147e-05,0.0001466607057106,2.548580918057044e-05,6.113727799003028e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In contemporary societies, social institutions are:",sociology,"['highly specialized, interrelated sets of social practices'
 'disorganized social relations in a postmodern world'
 'virtual communities in cyberspace' 'no longer relevant to sociology']",0,0.0040480343208551,0.0035723777497108,0.001489188603799,0.9905332854929892,,,,4.4969577813895176e-05,,,2.124212445016848e-05,5.095720753488359e-05,4.22450088275802e-05,,,,,,,2.7275427698460445e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The term 'emotion work' (Hochschild 1983) refers to:,sociology,"['the techniques used to consciously manage and present emotions that are deemed appropriate for public settings of interaction'
 'the work done by psychologists, counselors and therapists to help clients with mental and emotional problems'
 'experiences such as grieving and falling in love, which demand a lot of emotional energy from a person'
 'the way in which increasing levels of risk and anxiety have made us think more reflexively about our self-identities']",0,0.0027688763308548,0.0085287395268694,0.0027688763308548,0.9857880771050284,,,,2.3955474069691157e-05,,,2.550046940793669e-05,6.056892381091796e-06,1.2822441271392516e-05,,,,,,,6.056892381091796e-06,4.717112529373517e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When sociologists study the structure of layers in society and people's movement between them, they call this:",sociology,"['social stratification' 'social control' 'social conflict'
 'social solidarity']",0,0.0008029648247184,0.0010310272436446,0.0002953941101428,0.997808095969236,,,,3.281532146993804e-06,,,4.485322643692639e-06,2.720485702102909e-06,3.7184630760550905e-06,,,,,,,,,2.8959419554538093e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
