question,subject,choices,answer,a,c,d,b,e,ac,ad,ab,ba,2,band,4,bd,1,f,3,cd,option,Ñ,t,db,wrong,dc,i,bcd,0,z,choice,Ð°,none,not,bc,5,200,plan,h,ha,86,90,g,n,no,6,8,84,88,18,156,176,152,dd,sol,false,str,p,10,74,bs,bm,42,ca,mean,cb,abc,17,da,ii,106
"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test?",high_school_statistics,"['P(t > 1.54) with df = 6' '2P(t > 1.54) with df = 6'
 'P(t > 1.54) with df = 7' '2P(t > 1.54) with df = 7']",1,0.5263370674672446,0.3617475265344294,0.0628616499312417,0.0489592207623106,2.389553347831795e-05,8.790675502497099e-06,3.664498744309327e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders?",high_school_statistics,"['0 to 31.7 minutes' '31.7 to 39.3 minutes' '25.3 to 44.7 minutes'
 '25.3 to 35 minutes']",2,0.5514026521993202,0.0061254587456146,0.0129675962662265,0.4294322381055463,6.329422057477158e-06,,1.7035408363359358e-06,1.949599246535457e-05,9.209254753124337e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All of the following statements are true for all discrete random variables except for which one?,high_school_statistics,"['The possible outcomes must all be numerical.'
 'The possible outcomes must be mutually exclusive.'
 'The mean (expected value) always equals the sum of the products obtained by multiplying each value by its corresponding probability.'
 'Approximately 95% of the outcomes will be within two standard deviations of the mean.']",3,6.778892041241577e-05,3.762236060817525e-05,0.0002611509442619,0.9995985804428392,1.7596212211980982e-06,,,,,2.7253546615112085e-06,1.2093688000625306e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a true statement about hypothesis testing?,high_school_statistics,"['If there is sufficient evidence to reject a null hypothesis at the 10% level, then there is sufficient evidence to reject it at the 5% level.'
 'Whether to use a one- or a two-sided test is typically decided after the data are gathered.'
 'If a hypothesis test is conducted at the 1% level, there is a 1% chance of rejecting the null hypothesis.'
 'The power of a test concerns its ability to detect an alternative hypothesis.']",3,5.250580384062335e-05,2.429770282510422e-05,0.9998736320021014,3.119886799455936e-05,2.4057983721249403e-06,,5.714271999256356e-07,,,,,4.494623083119441e-06,6.082810879957869e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An outlier is an observation that,high_school_statistics,"['is seen more frequently than the other observations in the data set'
 'is seen less frequently than the other observations in the data set'
 'is always smaller than the other observations in the data set'
 'is significantly different from the other observations in the data set']",3,2.4297216215979163e-05,3.11982431760748e-05,0.9998531794095302,7.484069477026344e-05,2.259993155570352e-06,,,,,3.465811754422566e-07,,7.888151194456941e-06,,3.058568138219197e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The principal of a school is interested in estimating the average income per family of her students. She selects a random sample of students and collects information about their family income. A 95 percent confidence interval computed from this data for the mean income per family is ($35,095, $45,005). Which of the following provides the best interpretation of this confidence interval?",high_school_statistics,"['95 percent of the students in her school are from families whose income is between $35,095 and $45,005.'
 'There is a 95% probability that the families of all the students in this school have an income of between $35,095 and $45,005.'
 'If we were to take another sample of the same size and compute a 95 percent confidence interval, we would have a 95% chance of getting the interval ($35,095, $45,005).'
 'There is a 95% probability that the mean income per family in the school is between $35,095 and $45,005.']",3,3.567898074648922e-05,5.143887500758376e-05,0.9998835574897816,1.4737484434764496e-05,4.784560684401567e-06,,,,,,,4.784560684401567e-06,,,2.6992644303548724e-07,2.3820924990449478e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Researchers are conducting an experiment using a significance level of 0.05. The null hypothesis is, in fact, false. If they modify their experiment to use twice as many experimental units for each treatment, which of the following would be true?",high_school_statistics,"['The probability of a Type I error and the probability of a Type II error would both decrease.'
 'The probability of a Type I error and the power would both increase.'
 'The probability of a Type II error and the power would both increase.'
 'The probability of a Type I error would stay the same and the power would increase.']",3,0.0014894300575283,0.0058908101509485,0.9906921813024052,0.0016877453656394,9.521612339734364e-05,,,,,,,7.81581535804393e-06,6.89743284464688e-06,,1.1371944244195002e-05,,6.89743284464688e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The mean height of adult men is 70 inches, with a standard deviation of four inches. The mean height of adult women is 66 inches, with a standard deviation of three inches. Between a man with a height of 74 inches and a woman with a height of 70 inches, who is more unusually tall within his or her respective sex?",high_school_statistics,"['It cannot be determined, because the mean heights for the two groups are different.'
 'It cannot be determined, because the standard deviations of the heights for the two groups are different.'
 'The man, because he is 74 inches tall and the woman is only 70 inches tall.'
 'The woman, because her height is 1.33 standard deviations above the mean height of all women, whereas the manâs height is only one standard deviation above the mean height of all men.']",3,6.023227304004382e-05,5.139611601491e-05,0.9990564328055324,0.0008049725878325,3.2856437711650067e-06,,,,,2.2581877378480474e-06,,6.534282879415514e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not true about t-distributions?,high_school_statistics,"['There are different t-distributions for different values of df (degrees of freedom).'
 't-distributions are bell-shaped and symmetric.'
 't-distributions always have mean 0 and standard deviation 1.'
 't-distributions are more spread out than the normal distribution.']",2,2.7522770869053413e-05,0.9995225683510504,0.0002958976725305,7.481464792218986e-05,3.287126219815852e-06,,,,,,,,,,,,,5.091200684685474e-06,4.492968834671503e-06,2.9008787073920987e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To study the effect of alcohol on reaction time, subjects were randomly selected and given three beers to consume. Their reaction time to a simple stimulus was measured before and after drinking the alcohol. Which of the following is a correct statement?",high_school_statistics,"['This study was an observational study.'
 'Lack of blocking makes this a poorly designed study.'
 'The placebo effect is irrelevant in this type of study.'
 'This study was an experiment in which the subjects were used as their own controls.']",3,3.5344386381922265e-05,5.142577874064537e-05,0.999634455994452,0.0002611616537583,2.259491027059772e-06,,,,,8.848293996223461e-07,,3.088358063527045e-06,,,,7.335493369090067e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements correctly explains bias?,high_school_statistics,"['It describes a process that creates estimates that are too high on average or too low on average.'
 'It describes a process that results in a sample that does not represent the population.'
 'It describes a lack of randomization in the sampling process.'
 'It describes a sample that is not representative of the population.']",0,0.0001221316175332,0.0002585526363469,0.9896462315142152,0.0097021114747745,2.5600177766160887e-05,,,,,,,8.847184700311872e-06,0.0001568201010939,,,,,,,,2.6589381571621527e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
