question,subject,choices,answer,b,d,a,c,bd,ab,bc,abcd,bcd,cd,e,iii,ac,ad,f,4,1,dd,abc,3,ba,ca,r,h,m,2,abd,ii,cb,db,dc,da,season,7,0,none,cc,bs,band,g,Ð°,aa,medium,bb,ain,an,acd,option,i
Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that,high_school_macroeconomics,"['inflation had already impacted the economy before the fiscal stimulus.'
 'the economy initially had some unemployed resources.'
 'aggregate supply decreased.' 'aggregate demand is steeply sloped.']",1,0.916136953501541,0.0516849055523176,0.0130679937447066,0.0089814919960443,0.0042425564126424,0.0022708768060034,0.0009466422917916,0.0004471621560524,0.0003946192176693,0.0003482502372935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens,high_school_macroeconomics,['II III and IV only' 'I and III only' 'II and IV only' 'III and IV only'],3,0.0793118822044906,0.5860399469207608,0.0898721366298369,0.2442977958856742,1.5159736467061884e-05,,,,1.717823192655193e-05,1.2567862955135573e-05,6.38248744880308e-05,3.528627379119814e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain?,high_school_macroeconomics,"['The price level rises but real GDP falls.'
 'Both the price level and real GDP rise.'
 'The price level rises but the change in real GDP is uncertain.'
 'Real GDP rises but the change in the price level is uncertain.']",3,0.3936262723580899,0.270524278202636,0.0285130457486957,0.3065441673623367,0.000169544848362,,0.0001165263565534,,0.0001165263565534,7.067680791428728e-05,3.338536011321075e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tariffs and quotas,high_school_macroeconomics,"['result in lower domestic prices.'
 'sometimes raise and sometimes lower the amount of the product sold domestically.'
 'lower the amount of the product sold domestically.'
 'raise the amount of the product sold domestically.']",2,0.2662073475959585,0.182961455938084,0.1109717458009721,0.4389017163981194,0.000101193133682,,0.0001890536629213,,0.0001299345556419,0.0001146668428927,,,2.257924012438761e-05,2.121123312125189e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A likely cause of falling Treasury bond prices might be,high_school_macroeconomics,"['expansionary monetary policy.' 'contractionary monetary policy.'
 'a depreciating dollar.'
 'fiscal policy designed to reduce the budget deficit.']",1,0.290749932588666,0.479365626885979,0.1556272242592094,0.0735130954359756,3.588140077377412e-05,1.920592983543274e-05,,,1.5922275075303445e-05,,0.0002651296832256,,,2.316677353575589e-05,2.79444630203142e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households demand more money as an asset when,high_school_macroeconomics,"['nominal GDP falls.' 'the nominal interest rate falls.'
 'bond prices fall.' 'the supply of money falls.']",1,0.506119412655386,0.1449898488399866,0.0776304488998969,0.270876698964014,1.6809080550925763e-05,,2.771348864522313e-05,,2.1583286658540265e-05,,6.245331073704858e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocative efficiency,high_school_macroeconomics,"['means that no inferior products will be produced.'
 ""implies that the economy's output is distributed evenly.""
 'means that those who work hardest will get more.'
 'implies that resources are used to produce the goods and services society desires in just the right amounts.']",3,0.0002608746417591,0.9985316442497632,0.0006258057329385,0.0005522716209379,1.551217322691599e-06,,,,,,5.414280457749435e-06,,,1.0015411785652509e-06,,4.778085733688182e-06,1.2860043291371778e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP measures,high_school_macroeconomics,"[""production within a nation's borders.""
 ""production by a nation's citizens wherever they may be.""
 'income earned by the factors of production plus depreciation and indirect business taxes.'
 '(A) and (C)']",3,0.0065516740158992,0.9723546960667298,0.013934124383086,0.0065516740158992,8.247344376459196e-05,,,5.324885743604242e-05,,,8.779252389528183e-05,,,5.0022672255310734e-05,,2.362903725213473e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every choice results in a foregone best alternative which economists call the,high_school_macroeconomics,['accounting cost' 'switching cost' 'inferior cost' 'opportunity cost'],3,0.000108851452293,0.9994798706680372,0.0001794657047421,0.000203361285707,4.735414312147324e-07,,,,,,2.90079294736074e-06,,,,3.925796351418343e-07,5.419394697254604e-06,,4.735414312147324e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When a nation is operating at the natural rate of unemployment,high_school_macroeconomics,"['there is no cyclical unemployment.' 'the inflation rate is zero.'
 'there is no structural unemployment.'
 'the nation is experiencing a recession.']",0,0.0863269186911754,0.0169987822275206,0.8190470611324331,0.0761832383546345,,0.0002424746058614,0.0001470682826567,,,,0.0001010784539201,,0.0005133187446369,7.871997906467729e-05,,,,,6.130718133893527e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
