question,subject,choices,answer,c,d,b,a,с,3,e,none,bd,ad,а,1,choice,option,all,4,ab,2,bc,g,cd,ba,sol,s,ac,0,band,bcd,bs,social,abcd,functional,function,f,abc,cb,27,k,mass,l,bb,б,n,i,dc,height,not,cs,db,inform,sc,aa,m
Mass-society theory suggests that:,sociology,"['the content of the media is determined by market forces'
 'the subordinate classes are dominated by the ideology of the ruling class'
 ""the media manipulate 'the masses' as vulnerable, passive consumers""
 'audiences make selective interpretations of media messages']",2,0.9995443849846732,0.00033530878066499,8.477933657311847e-05,2.7916427017419863e-05,1.067214348001602e-06,1.067214348001602e-06,4.4488112853783036e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ecological approach to urban sociology involved studying:,sociology,"['how social groups colonized different areas of the city and competed for resources'
 'the forms of wildlife and natural habitats that could be found on the edges of the city'
 'the way in which people organized collective protests about environmental issues'
 ""how men and women used the city's public spaces differently""]",0,0.006559670292416767,0.6691046600390703,0.13175453127499862,0.19173022583562557,,,0.00012014460959446342,0.0003728943488709544,2.518367827582257e-05,1.9613068361828947e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becker proclaimed that cannabis use was:,sociology,"['increasing throughout all sections of youth in the 1970s'
 'learned gradually through the social processes of a deviant career'
 'a dangerous pastime that young people should not be allowed to pursue'
 'not as enjoyable as other sociologists had suggested']",1,8.93915387399387e-06,6.540024683772834e-06,3.535503940963845e-05,0.9999373214972954,,,,,,,1.7602237642361936e-06,1.6535771975981881e-06,8.850960929528348e-07,8.314708315650634e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The middle classes that developed over the nineteenth century were:,sociology,"['an urban set, involved in civic bodies and voluntary associations'
 'too diverse to have a strong sense of class consciousness'
 ""often involved in 'white collar' work"" 'all of the above']",3,3.5355207996005594e-05,0.9999367822188995,1.0129436684845352e-05,6.961853233686178e-06,,,7.337739323440309e-07,,,,,,,,4.476162920150347e-06,2.9021321996997747e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technological forms of surveillance have made it easier to:,sociology,"[""access and exchange 'private' information about consumers""
 'reduce prison overcrowding by the use of electronic tagging'
 ""monitor employees' activities at work"" 'all of the above']",3,5.143578457658408e-05,0.9998315666192835,3.1197380352072435e-05,5.983760583372165e-05,,,1.0781526154302831e-05,,,,,,,,3.966301816620215e-06,1.7600357620949208e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as,sociology,['organic solidarity' 'mechanical solidarity' 'gesellschaft' 'anomie'],1,4.5252829757389554e-05,6.124304532474531e-06,0.0031724667772458585,0.9967628413829629,,,,,,,1.283723968387742e-06,,7.78617945435137e-07,,,,1.6483342034211116e-06,4.722556561088688e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was a growth in income inequality in the 1980s because:,sociology,"['rates of income tax increased equally for all occupational groups'
 'there were more professional jobs available but not enough people to fill them'
 'the price of consumer goods rose at a higher rate than earnings'
 'growing unemployment made more people dependent on welfare benefits']",3,0.9995416389936874,3.319952697748083e-05,0.00033530334452772955,3.306105846729486e-05,,1.993786566913928e-06,,2.560072627368078e-06,,,,,,,,,,,2.122374752744738e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If a deviant act is 'normalized', it is:",sociology,"['recognised as breaking an important norm of behaviour'
 ""seen a temporary aberration from an otherwise 'normal' character""
 'the first step in establishing a deviant career'
 ""attributed to the person's genetic or anatomical make up""]",1,4.0055708020190926e-05,0.9997616670964279,6.60406978258425e-05,0.0001238539441227545,,,1.5531283476216572e-06,,,,,,,,,3.287972737716664e-06,,,,1.8549472865564006e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the debate about the 'managerial revolution', John Scott (1997) argued that:",sociology,"['owners still exercised control through groups of shareholders and interlocking directorships'
 'ownership and management were becoming increasingly separate functions'
 'the techniques of scientific management were overly bureaucratic and inefficient'
 'managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses']",0,5.143946368215969e-05,1.1477695769349633e-05,0.999898073468264,2.8037855569931094e-05,,5.714408239741529e-07,,,,,,4.450385611900391e-07,,,,,,4.784615439666559e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marxist feminists explain patriarchy in terms of:,sociology,"['a lack of equal rights and opportunities for men and women'
 'sex classes, through which men oppress women economically, politically and sexually'
 ""women's domestic labour being exploited by the capitalist economy""
 'the dual systems of capitalism and male domination']",2,0.9982474197650084,0.0015007961738631725,0.00020311067527019707,3.11480308719121e-05,1.2856327747448142e-06,1.99122699444184e-06,1.0658270055505145e-06,,,,,,,,,,,,,,2.1196501020310017e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
