question,subject,choices,answer,a,b,d,c,choice,1,Ð°,option,e,bd,ad,cd,bc,ac,4,g,none,Ñ,3,2,bcd,abcd,i,db,ab,abc,band,ba,cb,iv,f,not,y,s,v,dv,sol,ii,ca,bs,wrong,h,unc,t,36,of,.,or,at,(,the,",",Unnamed: 56,all,dd,aa,acd,abd,no
Which one of the following is the most appropriate definition of a 99% confidence interval?,econometrics,"['99% of the time in repeated samples, the interval would contain the true value of the parameter'
 '99% of the time in repeated samples, the interval would contain the estimated value of the parameter'
 '99% of the time in repeated samples, the null hypothesis will be rejected'
 '99% of the time in repeated samples, the null hypothesis will not be rejected when it was false']",0,0.9999703010609032,1.670115924760059e-05,4.784962237563493e-06,4.222714353634037e-06,8.85129013208082e-07,6.083396811247476e-07,3.927736186858071e-07,1.6373240396180184e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?,econometrics,"['ADF is a single equation approach to unit root testing while PP is a systems approach'
 'PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test'
 'The PP test incorporates an automatic correction for autocorrelated residuals in the test regression'
 'PP tests have good power in small samples whereas DF tests do not.']",2,0.0219420585060221,0.0867825248501294,0.8233696709902476,0.0675976988455504,,,,,2.9112286901328563e-05,2.000856266836997e-05,1.0709811836483452e-05,1.0060937139466936e-05,1.0060937139466936e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?",econometrics,"['It would rise more quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be symmetrical about zero'
 'It would rise less quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be zero for all positive disturbances']",0,0.9911795708980468,0.0001779753756217,2.4086347868918776e-05,0.0085753338268301,6.08998245958994e-06,,1.5397887035407162e-06,1.639096542823407e-06,,,,,,1.2111376306485438e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is false concerning the linear probability model?,econometrics,"['There is nothing in the model to ensure that the estimated probabilities lie between zero and one'
 'Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one'
 'The error terms will be heteroscedastic and not normally distributed'
 'The model is much harder to estimate than a standard regression model with a continuous dependent variable']",3,0.0001628640856953,5.141567678343396e-05,0.999435052172331,0.0002958767912065,,,,,1.1472388194827525e-05,,,,,,2.122178428559227e-06,1.2871662823019478e-06,1.2091808196075077e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements concerning the regression population and sample is FALSE?,econometrics,"['The population is the total collection of all items of interest'
 'The population can be infinite'
 'In theory, the sample could be larger than the population'
 'A random sample is one where each individual item from the population is equally likely to be drawn.']",2,3.4092100231638166e-05,5.142509213700755e-05,0.0002611581668973,0.9996248895964888,,,,,3.2874961526767678e-06,,,,,,,,,2.2594608598013115e-06,1.002629678770316e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?,econometrics,"['Asymptotically, the values of the two test statistics will be equal'
 'The Q test has better small-sample properties than the Q*'
 'The Q test is sometimes over-sized for small samples'
 'As the sample size tends towards infinity, both tests will show a tendency to always reject the null hypothesis of zero autocorrelation coefficients.']",1,0.0160123310267862,0.0181314716262158,0.8736376356813277,0.0921032452070123,,,,,1.2876506780963848e-05,,7.336812406324465e-06,7.8099961526522e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A parsimonious model is one that,econometrics,"['Includes too many variables'
 'Includes as few variables as possible to explain the data'
 'Is a well-specified model' 'Is a mis-specified model']",0,1.5570030028075206e-05,0.9999573971995038,9.515915715550124e-06,7.888971214341532e-06,,4.181001571600653e-07,,3.256167297985363e-07,,,,,,,,,,,,1.6536181994332093e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?,econometrics,"['They can be interpreted as continuously compounded changes in the prices'
 'They can be added over time to give returns for longer time periods'
 'They can be added across a portfolio of assets to give portfolio returns'
 'They are usually fat-tailed']",2,0.0001242845893918,2.7521511005424305e-05,0.9994597265677404,0.000380396274141,,,,,1.37021535001398e-06,,,,,,1.2871981986706715e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns",econometrics,"['(ii) and (iv) only' '(i) and (iii) only' '(i), (ii), and (iii) only'
 '(i), (ii), (iii), and (iv)']",1,0.0043156306251381,0.3025489923779934,0.5652359319353785,0.1261438303654974,,,,,,0.0010911623029025,,8.956805613220277e-05,8.956805613220277e-05,,,,,,,,0.0003126232339345,2.566167772731886e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?",econometrics,['Less than -1' 'Between -1 and 0' 'Between 0 and 1' 'Bigger than 1'],2,2.550690338087289e-05,3.641978616948688e-05,0.999868067323858,5.8975250662543046e-05,,,,,4.222223076718802e-06,,,,,,2.901888653292665e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
