question,subject,choices,answer,d,c,a,b,dc,e,cd,ac,4,bd,ab,bc,ad,bcd,f,abcd,1,abc,s,r,ba,Ð°,aa,cb,3,option,199,abd,da,all,db,g,dd,cc,ca,2,none,m,'},choice
Which of these principles is not an element of the responsibility to protect?,security_studies,"['The responsibility to prevent.' 'The responsibility to react.'
 'The responsibility to remain sovereign.'
 'The responsibility to rebuild.']",2,0.6132575163724614,0.3719594859791201,0.0099182211038432,0.0046822791970133,2.168324410970329e-05,1.688692749216535e-05,1.586380027692414e-05,4.010996849944725e-06,3.539692296352789e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can environmental changes be reconciled with national security interests?,security_studies,"['Environmental challenges to economic growth, such as natural resource management and employment, leads to diversification and research which may in the long-term result in technological advancements that bolster military programs.'
 ""Environmental changes can undermine national security in many ways; including weakening the economic base that determines military capacity. So if the natural capital base of an economy erodes than so does the long-term capacity of its armed forces. Any developments however, will be 'human' in impact.""
 ""The environmental problems encountered by countries are principally internal. External threats remain within a country's control: external military threats will remain unchanged and a primary concern.""
 'All of these options.']",1,0.3063908351198625,0.0603319326106641,0.2386174223172505,0.3934136431833662,,6.234084350164761e-05,,,,0.0002175909240782,0.0001319755667286,8.004722755386835e-05,7.064143037677311e-05,5.501560129471502e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements could be described as a liberal perspective on future energy security?,security_studies,"['The global economy is interconnected, ensuring that energy security for one is dependent upon energy security for all. Thus all core powers have the same interests in maintaining and extending the conditions under which this market operates. As long as this economic order exists, conflict between major powers over energy reserves is highly unlikely.'
 ""Energy scarcity is likely to lead to future disruptions in the global system and the emergence of a 'new international energy order', characterized less by liberal free-market trading than by statism and neo-mercantilism.""
 'Oil remains the lifeblood of the current order - an order that is based upon an unequal (and deeply unjust) distribution of wealth and power in favour of capitalist economic elites. Those who benefit most from the prevailing order will ensure that the flow of energy under favourable conditions continues to underpin their position in the global system.'
 ""Energy scarcity will signal a return to an era of greater geopolitical confrontation. 'Resource wars', in particular over energy sources, present a clear possibility for a breakdown in international cooperation, as states begin to compete (and eventually conflict) over the control of major reserves.""]",0,0.1541510943688267,0.10594639447359,0.3697892297782127,0.3697892297782127,,8.525852028214156e-05,,,,9.565740866021944e-06,7.449806477116028e-06,8.986181925029705e-06,,6.176106494338136e-06,5.801915118108387e-06,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a common criticism of the human security concept?,security_studies,"['Human security is neo-colonial.'
 'Human security promotes global capitalism.'
 'Human security is too broad.' 'All of these options.']",3,0.8895128667118882,0.0143776384425147,0.0827690278711565,0.0126882213920004,,0.0002633355082176,,,4.871217095541093e-05,,,,2.301000027073844e-05,,,3.347935284428692e-05,2.775535836574966e-05,,,,,,,,,,,,,,,,,,,,,,,
In what ways have governments responded to the threat of TNC post-Cold War?,security_studies,"['State responses to transnational crime have evolved in correlation to the increased threat posed to the integrity of the state. Organized crime has been regarded primarily as a national security threat to be addressed domestically. The institutionalized international approaches for information sharing have been predominately bilateral to the extent of bringing to justice perpetrators of crime that are seeking to evade justice.'
 'With the expansion of TNC in the 1990s, states became increasingly willing to take measures to reduce the asymmetries between countries through harmonization of legislation and increasing police capacity and networking. The government response to transnational crime has focused on targeting the individuals and organizations perpetrating the crime, rather than the criminal markets themselves.'
 'The US war on drugs has heavily influenced the construction of the governmental response to the growing perception that the phenomenon of TNC represents a national security threat. The approach has an emphasis on bilateral and multilateral cooperation on law enforcement combined with sticks on a bi-lateral basis to induce states to increase regulation and enforcement against TNC.'
 'The emergence of norms governing the response to address the spectre of organized crime and to harmonize legislation occurred with the evolving Global War on Terror in which the terrorism-organized crime nexus resulted in the militarization of law enforcement: the use of military technology and intelligence as opposed to addressing the underlying conditions that facilitate illicit trade through an international institutionalist response.']",1,0.0987056557860752,0.3903884416201169,0.3445165905345803,0.1627381142329073,,0.0001681569492465,0.000314158540644,0.000586925423551,,,0.000457097979466,0.0005179598683319,,,,,,0.0002772439390388,,,,,,,,,,,,,,,,,,,,,,
What potential problem for policy in the institutionalization of academe-policy interaction emerged?,security_studies,"['The main disciplinary context for security studies theorizing was a move away from the disciplinary domination of political science toward multi-academe interaction from sociology, mathematics, psychology, natural and political sciences, and economics.'
 'Policy-academe developments have resulted in the modification of the role of think tanks away from policy towards politicization resistant theory.'
 'Security studies has been marked by the gradual ""IR-ification"" of the discipline. Security studies became one of International Relations\' (IR\'s) two pillars, the second being International Political Economy. Henceforth IR became the main disciplinary context in which security studies was deliberated.'
 'Think tanks and policymakers are increasingly interrelated. The institutional blurring between universities, think tank, and policy has resulted in policy mergers at every level.']",2,0.4091543012012774,0.5253645220895519,0.0553730132405532,0.0096223868715446,,6.090694158735257e-05,0.000106895011474,,,,,,3.470372922336307e-05,,1.276678851325586e-05,1.5399686492649527e-05,,,1.6392880940497628e-05,,,,,,,,,,,,,,,,,,,,,
Which of the following is not one of the 10 steps of the Washington Consensus?,security_studies,"['Fiscal Discipline: budget deficits of no more than 2 per cent of gross domestic product (GDP).'
 'Tax Reform: broadening the tax base, cut marginal tax rates, improve tax administration.'
 'Property Rights: legal reforms to secure property rights without excessive costs and to regularize the informal sector.'
 'Nationalization: state enterprises should be protected.']",3,0.9960148931370664,0.0014974385958653,0.0019264609979691,0.0004861471348653,,1.2955388494425222e-05,,,4.477262459715489e-06,,,,1.547300502937712e-06,,2.396505900041761e-06,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following concepts does NOT form part of the technical discourse on cyber-security?,security_studies,"['Business networks' 'Computer experts' 'Anti-virus industry'
 'Computer networks']",0,0.028243891344411,0.5006349827603355,0.3440810357300532,0.126580339142063,,7.000959045589804e-05,,3.520303284203854e-05,,,9.474767753628218e-06,1.295047204946907e-05,,,1.0085837773270852e-05,,,,,1.0085837773270852e-05,,,,,,,,,,,,,,,,,,,,
What are the characteristics and manifestations of the strategy adopted by the USA in pursuit of energy security?,security_studies,"[""The deployment of troops in the Persian Gulf is part of the USA's attempt to secure its dominance in the oil-rich region.""
 'All of these options.'
 'The USA has sought to assert its primacy vis-Ã -vis friendly and rival powers, through the deployment of troops and other interventions.'
 'The USA has actively sought to stabilize oil-rich friendly political actors and secure the economic and political status quo.']",1,0.0417901603254989,0.0026715562060431,0.0038870913434626,0.9511675841035324,,1.3169663349034336e-05,,,1.5885646306296033e-05,0.0001707867929083,,2.6191002964009196e-05,,8.067396861980321e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways do theories of conventional and critical social constructivism differ?,security_studies,"['Conventional constructivists view constructivism as a bridge between rationalist and reflectivist approaches, enabling both to benefit from the insights of the other. Conversely, critical constructivists argue that this approach simply reproduces the binary distinctions that characterize positivist methodology.'
 'Critical constructivism regards the strength of social constructivism to be its ability to bridge rationalist and reflectivity approaches. Conversely, social constructivists regard this as an unhelpful regression to positivist binary frameworks of analysis.'
 'Conventional constructivism refers to the earlier works of social constructivist theorists that are characterised by a rejection of positivist methodology. Critical constructivists challenge these theories, embracing positivist methodologies in their work.'
 'Social constructivism is best understood as a uniform approach to the construction of social identities and security; although distinctions exist within the field, these are not easily defined as distinctive separate approaches.']",0,0.0024099664512009,0.0178073773044643,0.9722497744619564,0.0074232192683162,,2.362646846949668e-05,,2.0850285243343423e-05,,,9.848977364064982e-06,,2.650816296254472e-06,,4.652327485487661e-06,,,,,,2.064457807301424e-06,,,,,,,,,,,,,,,,,,,
