question,subject,choices,answer,b,c,d,a,bc,e,3,f,ad,2,1,4,ab,ba,bd,k,cd,ac,dc,bcd,band,ray,с,market,i,option,а,choice,sol,aa,s,long,bs,none,db,letter,da,g,sc,abcd,abd,mr,private,cost,abc,cb,dim,not,scar,reg,0,p,h,r
Marginal revenue equals marginal cost at the point where,high_school_microeconomics,"['total revenue is greater than total cost at its greatest distance'
 'total revenue is equal to total cost'
 'marginal product is at its highest point'
 'total product is at its highest point']",0,0.7861274377728602,0.19877740138567984,0.011213361470064935,0.0036404454686376326,9.701458564141854e-05,4.0441696108755356e-05,7.027713012642939e-06,5.8261787216963005e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",high_school_microeconomics,"['Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.'
 'Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.']",2,0.013451324884794525,0.0414414278548493,0.7344253080806533,0.21044006560990552,,0.000116376762981394,,8.97401235784042e-06,6.1677424812814145e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At a Nash equilibrium,",high_school_microeconomics,"['the supply curve intersects the demand curve'
 'neither party has an incentive to deviate from his or her strategy'
 'the marginal revenue curve intersects the marginal cost curve'
 'the equilibrium is unstable and each party would like to switch strategies']",1,0.9999409843796773,2.429934809955945e-05,1.8924351328061553e-05,9.149461153088196e-06,,,3.927623815031879e-07,,,1.9946119553139754e-06,2.699413739195507e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,high_school_microeconomics,"['goods X and Y are normal goods.' 'goods X and Y are inferior goods.'
 'goods X and Y are complementary goods.'
 'goods X and Y are substitute goods.']",3,6.603635225792349e-05,9.608232558798196e-05,0.999696093973699,0.00011099827367207488,,9.513438539988974e-06,9.419579751040917e-07,,,8.312749953942184e-07,,6.1423375746061975e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An externality,high_school_microeconomics,"['causes the equilibrium price to be artificially high'
 'causes the equilibrium price to be artificially low'
 'exists when markets cannot reach equilibrium'
 'results in an equilibrium that does not maximize the total benefit to society']",3,0.08375264844909834,0.002231932480697584,0.012843884626086426,0.9004539841202721,,0.0001111214279957601,,,3.183682215473949e-05,,,,0.00034227793157749694,2.639365259660991e-05,1.7041022906050895e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is one reason why the government discourages collusion between large firms in the same industry?,high_school_microeconomics,"['Collusive output levels tend to increase, driving the price above competitive levels.'
 'Consumer surplus falls as the price is driven downward.'
 'Collusive output levels tend to decrease, driving the price down to competitive levels.'
 'Joint profit maximization costs society consumer surplus as the price rises above competitive levels.']",3,0.0014570241223788732,0.0034988307733257204,0.9691360823714922,0.025847153867168893,,1.6186083649766727e-05,,,5.593760829796745e-06,,,3.392787446371308e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,high_school_microeconomics,"['Perfectly horizontal demand curve.' 'Highly inelastic demand curve.'
 'Highly elastic demand curve.'
 'A demand curve consisting of two discontinuous segments.']",3,0.009895518347078346,0.19858424118997767,0.7852625950987946,0.006023104694304013,,8.55189429429972e-05,,,,,,,,,,2.1622574967356587e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not the basis for a wage differential?,high_school_microeconomics,"['Higher risk job.' 'Investment in human capital.'
 'Increase in production of SUVs.' 'Racial discrimination.']",2,0.0014863204332251148,0.9886137346074172,0.0024505281133344763,0.0007020880593110791,0.0004825375959316648,,,,,,,,,,2.5573555691001274e-05,,0.005187768056638913,0.0007020880593110791,6.530436221772602e-05,4.777769203688094e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patents, control of resources, economies of scale, and exclusive licenses are",high_school_microeconomics,"['all requirements for price discrimination'
 'required in order for a firm to earn short-run profits'
 'all sources of elastic demand' 'all barriers to entry']",3,0.010953969853472852,0.0019035145378752721,0.0010188779107497836,0.9860565769867109,,4.432470986153319e-06,,,6.058469517026389e-06,,,,1.2048705336832512e-05,,,,,4.718340804074388e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",high_school_microeconomics,"['increasing-cost industry' 'constant-cost industry'
 'decreasing-cost industry' 'profit-making industry']",1,0.9998931149440154,2.4298189443974773e-05,2.9020048888009805e-06,7.509726688473111e-05,,,,,,7.810640198150252e-07,1.9748391106766146e-07,,,,,,,,,,2.699285024186715e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following is most likely an example of production inputs that can be adjusted in the long run, but not in the short run?",high_school_microeconomics,"['Amount of wood used to make a desk.'
 'Number of pickles put on a sandwich.'
 'The size of a McDonald’s kitchen.'
 'Number of teacher’s assistants in local high schools.']",2,0.042584736020970106,0.5877040467205811,0.05466265713069462,0.31459834104363393,,0.00013549521264964834,,1.3415842821423116e-05,,,,,,,,,,2.5064094116669837e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The apple market is in equilibrium. Suppose we observe that apple growers are using more pesticides to increase apple production. At the same time, we hear that the price of pears, a substitute for apples, is rising. Which of the following is a reasonable prediction for the new price and quantity of apples?",high_school_microeconomics,"['Price rises, but quantity is ambiguous.'
 'Price falls, but quantity is ambiguous.'
 'Price is ambiguous, but quantity rises.'
 'Price is ambiguous, but quantity falls.']",2,0.9466032837259492,0.002346357602893065,0.028584494141969112,0.02227008871233517,,1.310665249475053e-05,,,8.462290869638134e-06,,,,9.008061740480988e-06,,7.085389396619542e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
