question,subject,choices,answer,b,d,c,a,2,e,band,bd,db,bcd,3,cd,bc,ad,ab,f,ac,sol,1,4,option,none,n,dc,acd,choice,а,ba,30,0,abd,6,с,wrong,(,7,8,da,s,i,r,null,m,cb,g,5,short,bs,not,an,consum,q,incre,10,medium,the,dd,abc,higher,w,50,aa,and,,&,',",",all,25,180,letter,fr,abcd
Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that,high_school_macroeconomics,"['inflation had already impacted the economy before the fiscal stimulus.'
 'the economy initially had some unemployed resources.'
 'aggregate supply decreased.' 'aggregate demand is steeply sloped.']",1,0.999810401486828,0.00012338532642031244,2.7530987644130605e-05,2.2088621506557678e-05,2.901744749113634e-06,8.849821476774541e-07,8.31363789884925e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens,high_school_macroeconomics,['II III and IV only' 'I and III only' 'II and IV only' 'III and IV only'],3,0.05201121206010935,0.9219208958694022,0.024568356944715743,0.0012231864668926476,9.941466955962607e-06,,,3.9319264549211795e-05,3.46991291765837e-05,3.259681521673493e-05,1.8573105451423164e-05,1.1991698165901215e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain?,high_school_macroeconomics,"['The price level rises but real GDP falls.'
 'Both the price level and real GDP rise.'
 'The price level rises but the change in real GDP is uncertain.'
 'Real GDP rises but the change in the price level is uncertain.']",3,0.03419743134466071,0.04974919911953784,0.8817297882760632,0.03420621883442534,,1.4725921905118137e-05,,,,,,,1.29955804689694e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tariffs and quotas,high_school_macroeconomics,"['result in lower domestic prices.'
 'sometimes raise and sometimes lower the amount of the product sold domestically.'
 'lower the amount of the product sold domestically.'
 'raise the amount of the product sold domestically.']",2,0.07516760929769183,0.08517606019641108,0.03133452142624084,0.8081279346412308,,8.801224285401195e-05,,2.8291489106624385e-06,,,,,,1.733063817886185e-05,7.2244848335578165e-06,5.285546015318877e-06,3.4126049961574495e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A likely cause of falling Treasury bond prices might be,high_school_macroeconomics,"['expansionary monetary policy.' 'contractionary monetary policy.'
 'a depreciating dollar.'
 'fiscal policy designed to reduce the budget deficit.']",1,0.009655507114470416,0.0021544348487660876,0.0031346842083089205,0.9849051165386846,,3.945986951523185e-05,,,,,,,,3.239063334857033e-06,5.68473319003019e-06,1.4516474745961526e-05,,7.2993419030871485e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households demand more money as an asset when,high_school_macroeconomics,"['nominal GDP falls.' 'the nominal interest rate falls.'
 'bond prices fall.' 'the supply of money falls.']",1,0.9993956701099375,0.0002304191879533928,0.0002304191879533928,0.00010978398805513012,7.88451103466721e-06,2.900549513343443e-06,,,,,1.0670525340588848e-06,,,,,,,,1.1358715098799434e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocative efficiency,high_school_macroeconomics,"['means that no inferior products will be produced.'
 ""implies that the economy's output is distributed evenly.""
 'means that those who work hardest will get more.'
 'implies that resources are used to produce the goods and services society desires in just the right amounts.']",3,3.535264556997798e-05,0.9998640777333955,4.005979563944034e-05,5.185585727036308e-05,,1.994459784303474e-06,,,,,,,,,,,,,,1.553286841819971e-06,3.058603140954024e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP measures,high_school_macroeconomics,"[""production within a nation's borders.""
 ""production by a nation's citizens wherever they may be.""
 'income earned by the factors of production plus depreciation and indirect business taxes.'
 '(A) and (C)']",3,0.0007824575183546984,0.025911428181025997,0.0003800916923554919,0.9726453693728779,,8.165673052672586e-06,,,,,,,,0.00015407494724666257,,,,,6.3594325677264795e-06,,6.3594325677264795e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every choice results in a foregone best alternative which economists call the,high_school_macroeconomics,['accounting cost' 'switching cost' 'inferior cost' 'opportunity cost'],3,0.0002034051209691741,0.9996894494171494,8.479186954016124e-05,8.93699729868376e-06,1.8548146151322462e-07,2.405360191543313e-06,,,,,,,,,,,,,,5.4205628674206835e-06,6.89147233053705e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When a nation is operating at the natural rate of unemployment,high_school_macroeconomics,"['there is no cyclical unemployment.' 'the inflation rate is zero.'
 'there is no structural unemployment.'
 'the nation is experiencing a recession.']",0,0.013748872239581083,0.015579513309694735,0.850665478061252,0.11529097059879602,,0.00030375215242163793,,,,,,,,,,,,,,,,0.0035177719059345317,6.366991001923122e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
