question,subject,choices,answer,b,d,c,a,'},e,f,i,',}',...',Unnamed: 15,},none,''',{',l,unknown,cd,s,g,1,']},j,opportunity,option,4,all,bc,bd,reg,cb,the,h
Marginal revenue equals marginal cost at the point where,high_school_microeconomics,"['total revenue is greater than total cost at its greatest distance'
 'total revenue is equal to total cost'
 'marginal product is at its highest point'
 'total product is at its highest point']",0,0.9923883547220146,0.0031584353741724,0.0023107606827625,0.0016905886302644,9.53765294875634e-05,3.508706436875641e-05,1.9992006647545745e-05,1.3740291830376038e-05,1.0700950037126484e-05,,,,,,,,,,,,,,,,,,,,,,,,,
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",high_school_microeconomics,"['Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.'
 'Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.']",2,0.3441447008886943,0.6429321805294022,0.003591262452926,0.0086149907724759,0.0001577890600184,8.445839767014194e-05,2.2731669352436115e-05,,,1.2167385810206305e-05,,,,,,,,,,,,,,,,,,,,,,,,
"At a Nash equilibrium,",high_school_microeconomics,"['the supply curve intersects the demand curve'
 'neither party has an incentive to deviate from his or her strategy'
 'the marginal revenue curve intersects the marginal cost curve'
 'the equilibrium is unstable and each party would like to switch strategies']",1,0.9998367652679556,1.7775765405758337e-05,4.831954008942382e-05,4.831954008942382e-05,1.992504383837121e-05,1.0346736216278167e-06,,,,,1.2480546206854308e-06,,,,,,,,,,,,,,,,,,,,,,,
You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,high_school_microeconomics,"['goods X and Y are normal goods.' 'goods X and Y are inferior goods.'
 'goods X and Y are complementary goods.'
 'goods X and Y are substitute goods.']",3,0.0002033153270179,0.9992580419887092,0.0003149009386621,0.0001487486708507,2.428255299987477e-05,8.391825765716991e-06,,,1.1357101168756132e-06,,,1.1357101168756132e-06,,,,,,,,,,,,,,,,,,,,,,
An externality,high_school_microeconomics,"['causes the equilibrium price to be artificially high'
 'causes the equilibrium price to be artificially low'
 'exists when markets cannot reach equilibrium'
 'results in an equilibrium that does not maximize the total benefit to society']",3,0.0009092642052058,0.99714512324782,0.0012428168142265,0.0004866940573796,0.0001230555874259,1.7727838197455276e-05,3.490818317209818e-06,,3.715956755758818e-06,3.955615376083648e-06,,,,,,,,,,,,,,,,,,,,,,,,
What is one reason why the government discourages collusion between large firms in the same industry?,high_school_microeconomics,"['Collusive output levels tend to increase, driving the price above competitive levels.'
 'Consumer surplus falls as the price is driven downward.'
 'Collusive output levels tend to decrease, driving the price down to competitive levels.'
 'Joint profit maximization costs society consumer surplus as the price rises above competitive levels.']",3,0.0004238407093843,0.0140356766497541,0.0011521184984805,0.9840637298502716,7.779699544291618e-05,2.7095242963288053e-05,,,,,,,1.2798886514248614e-05,,,,,,,,,,,,,,,,,,,,,
Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,high_school_microeconomics,"['Perfectly horizontal demand curve.' 'Highly inelastic demand curve.'
 'Highly elastic demand curve.'
 'A demand curve consisting of two discontinuous segments.']",3,0.0015834115941369,0.9894373639751838,0.0071118816563389,0.0015907442445511,0.0001299743385258,2.121772749850856e-05,,,7.332650414182741e-06,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not the basis for a wage differential?,high_school_microeconomics,"['Higher risk job.' 'Investment in human capital.'
 'Increase in production of SUVs.' 'Racial discrimination.']",2,4.263464711226272e-05,0.0001910752319807,0.9996926098876098,1.3841443379948631e-05,2.930233586529465e-05,6.538234894346274e-06,8.848538712938575e-07,8.312432853745237e-07,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patents, control of resources, economies of scale, and exclusive licenses are",high_school_microeconomics,"['all requirements for price discrimination'
 'required in order for a firm to earn short-run profits'
 'all sources of elastic demand' 'all barriers to entry']",3,0.0035372005488239,0.980845946324982,0.0025878712042382,0.0123460430247176,0.000257090006491,2.238947288400173e-05,,,2.7006859461273697e-05,,,,2.537059656348822e-05,,,,,,,,,,,,,,,,,,,,,
"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",high_school_microeconomics,"['increasing-cost industry' 'constant-cost industry'
 'decreasing-cost industry' 'profit-making industry']",1,0.945632865065704,0.0072185283016095,0.0126689117121395,0.0323511916801234,0.0005619949433187,0.0001407388292439,,9.67282884489507e-05,8.53624149485083e-05,,,,,,,,,,,,,,,,,,,,,,,,,
