question,subject,choices,answer,b,a,c,d,e,1,,'},''',{',cd,f,',...',...,},abc,bc,ab,i,none,option,bb,options,the,v,j,g,4,'.,3,all,either,civil,db,(,{,it,l
Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,international_law,"['The coastal State' 'The flag State' 'All States enjoy such jurisdiction'
 'The International Tribunal for the Law of the Sea']",1,0.9999222629490784,5.143784484328628e-05,1.0781958009664181e-05,4.784464864195634e-06,5.042788866297054e-07,4.31332589338508e-07,7.239224864862863e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of justiciability?,international_law,"['Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders'
 'Justiciability refers to the just nature or cause of a particular right'
 ""Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice""
 'Justiciability refers to the obligation of a State to enforce a particular Right']",0,1.670064957644548e-05,6.961866512380089e-06,0.9999530918022519,1.670064957644548e-05,5.714648030884866e-07,,,9.131981551423363e-07,2.2378883233720037e-07,1.9749295137060266e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,international_law,"['R2P is essentially the same as humanitarian intervention'
 'R2P requires a call for assistance by the State in distress'
 'R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis'
 'R2P always involves armed force, whereas humanitarian intervention does not']",2,6.604132764201923e-05,2.0141466953617238e-05,0.9998426234626725,6.604132764201923e-05,1.0674586419370672e-06,,1.4446481764992294e-07,,2.0372804698071665e-07,,2.8730259589677493e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the 'Lotus principle'?,international_law,"[""The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'""
 'The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes'
 'The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas'
 'The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris']",0,0.0009106926416543237,0.9987697124346224,0.00011578163168150514,0.00013965930646155005,1.2203294197738026e-05,,,1.992133014936161e-06,,,,2.9905458566694782e-06,2.0553701050216956e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements best describes the UK Constitution?,international_law,"[""The UK Constitution's only source of power is that of the sovereign""
 'The UK Constitution gives the judiciary the power to overturn acts of parliament'
 'The UK Constitution is uncodified and can be found in a number of sources'
 'The UK Constitution is based on a Bill of Rights']",2,3.3212035640145125e-05,1.3006020030071215e-05,0.999942761392055,3.966611998682614e-06,6.892938091489296e-07,,2.784998744311967e-07,7.810722135456499e-07,2.784998744311967e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the obligation of the peaceful settlement of disputes?,international_law,"['It is an obligation of result, that is, States are under a strict obligation to resolve their disputes as soon as possible'
 'It is an obligation of conduct, ie States have an obligation to try to resolve their disputes through peaceful means. This does not entail an obligation to resolve their disputes'
 'It is a peremptory norm of international law and all States have a legal interest to safeguard its application in any given dispute'
 'It is an obligation which concerns solely international courts and tribunals']",1,0.9999661216446765,1.3006727049201517e-05,1.1478396333683614e-05,2.5611764121819746e-06,2.6994600781011795e-07,,8.644305818134354e-07,1.9142038306244887e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which one of the following statements is false?,international_law,"['Protocol 14 changed the committee that hears admissibility cases from a three judge to a one judge formation'
 'Protocol 14 added a new criterion for admissibility'
 'Protocol 14 abolished the Commission of Human Rights'
 'Protocol 14 extended the judicial term of office for the European Court of Human Rights']",2,0.004571315613559337,0.01698449796976073,0.9273221407542763,0.01698449796976073,,,0.0011558095920282696,,,,,,0.0029514631897314013,0.012426124164489459,0.0032588619133268023,0.001681693033334498,,,,,,,,,,,,,,,,,,,,,,,
Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,international_law,"['Rocks are the islands that are less than 10 square miles'
 'Rocks are the islands that do not have any maritime zone'
 'Rocks are the islands which cannot sustain human habitation or economic life of their own and according to article 121 (3) have no Exclusive Economic Zone or continental shelf.'
 'Rocks are the small islands that can sustain human habitation']",2,2.4297656480958154e-05,8.93860828799056e-06,0.9999259438487204,3.3210958759780994e-05,1.370779977644595e-06,,4.31335057450443e-07,1.0675645200082135e-06,2.699225817343649e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of international legal personality?,international_law,"['It means that only States are considered subjects of international law'
 'It means having rights and duties under international law and a capacity to enforce these by or against the relevant actor'
 'It means that an entity may challenge the authority of States'
 'It is a term that is meant to denote legal, as opposed, to physical persons under international law']",1,0.9999470873346828,1.6700601795572125e-05,2.4299232231514762e-05,3.0893006994393716e-06,3.8067653819345214e-07,,5.843910966278775e-07,3.8067653819345214e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a treaty-based human rights mechanism?,international_law,"['The UN Human Rights Committee' 'The UN Human Rights Council'
 'The UN Universal Periodic Review' 'The UN special mandates']",0,0.000519186598970646,0.9993201670327223,9.603990968608897e-05,2.9290517562823497e-05,1.7049125702492842e-06,,,3.4982534545964924e-06,,,,,2.6406202453242864e-06,,,,1.0669070242358662e-06,,,,,,,,,,,,,,,,,,,,,,
