question,subject,choices,answer,d,b,c,a,'},e,db,bd,Unnamed: 12,f,l,j,}',',none,i,cd,g,ab,},''',da,1,']},bc,abc,cb,ac,z,...',s,all,0,2,any,no,y,6,the,4,9,experimental,7,ad,abcd,abcdef,n
"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test?",high_school_statistics,"['P(t > 1.54) with df = 6' '2P(t > 1.54) with df = 6'
 'P(t > 1.54) with df = 7' '2P(t > 1.54) with df = 7']",1,0.9446038592663264,0.041495070452348,0.0111682440397925,0.0021991576429648,0.0001165511407759,6.238533010724569e-05,2.2950280377149505e-05,2.0253551346282456e-05,1.4817814706613542e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders?",high_school_statistics,"['0 to 31.7 minutes' '31.7 to 39.3 minutes' '25.3 to 44.7 minutes'
 '25.3 to 35 minutes']",2,0.0253954778955065,0.841080175534286,0.053762227126674,0.0782235789000645,0.0003402995173259,9.159037256258705e-05,,,,6.294908110273688e-05,4.326422855165445e-05,3.8180547689547066e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All of the following statements are true for all discrete random variables except for which one?,high_school_statistics,"['The possible outcomes must all be numerical.'
 'The possible outcomes must be mutually exclusive.'
 'The mean (expected value) always equals the sum of the products obtained by multiplying each value by its corresponding probability.'
 'Approximately 95% of the outcomes will be within two standard deviations of the mean.']",3,0.997147690744575,0.0005180784335057,0.0014082831915151,0.0006249218780672,0.0001790431157291,2.922798517855774e-05,,,,7.86660549151952e-06,,,5.079062243589142e-06,4.210690492986072e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a true statement about hypothesis testing?,high_school_statistics,"['If there is sufficient evidence to reject a null hypothesis at the 10% level, then there is sufficient evidence to reject it at the 5% level.'
 'Whether to use a one- or a two-sided test is typically decided after the data are gathered.'
 'If a hypothesis test is conducted at the 1% level, there is a 1% chance of rejecting the null hypothesis.'
 'The power of a test concerns its ability to detect an alternative hypothesis.']",3,0.9943129036613284,0.0013191988889063,0.0015912576048014,0.0026309092448513,4.514050365721684e-05,1.5600140630601236e-05,,,,5.064624146861933e-06,,,,,6.303026589047381e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An outlier is an observation that,high_school_statistics,"['is seen more frequently than the other observations in the data set'
 'is seen less frequently than the other observations in the data set'
 'is always smaller than the other observations in the data set'
 'is significantly different from the other observations in the data set']",3,0.9996482509521912,0.0001910726808682,6.603295157814178e-05,5.474323961767596e-05,2.656986595126613e-05,1.1012037325056913e-06,,,7.335598304914988e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The principal of a school is interested in estimating the average income per family of her students. She selects a random sample of students and collects information about their family income. A 95 percent confidence interval computed from this data for the mean income per family is ($35,095, $45,005). Which of the following provides the best interpretation of this confidence interval?",high_school_statistics,"['95 percent of the students in her school are from families whose income is between $35,095 and $45,005.'
 'There is a 95% probability that the families of all the students in this school have an income of between $35,095 and $45,005.'
 'If we were to take another sample of the same size and compute a 95 percent confidence interval, we would have a 95% chance of getting the interval ($35,095, $45,005).'
 'There is a 95% probability that the mean income per family in the school is between $35,095 and $45,005.']",3,0.9948728702863364,0.0018041597072795,0.0019205180114019,0.0012399796240399,2.7394718141084044e-05,4.5166254504039934e-05,,,,4.7604882010896215e-06,,,,,8.354916986726896e-06,5.92452328903928e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Researchers are conducting an experiment using a significance level of 0.05. The null hypothesis is, in fact, false. If they modify their experiment to use twice as many experimental units for each treatment, which of the following would be true?",high_school_statistics,"['The probability of a Type I error and the probability of a Type II error would both decrease.'
 'The probability of a Type I error and the power would both increase.'
 'The probability of a Type II error and the power would both increase.'
 'The probability of a Type I error would stay the same and the power would increase.']",3,0.961865748487753,0.0005319599587109,0.0373062593189972,0.0001727021131313,4.947998384002534e-05,,,,6.2906740109668976e-06,,,,,,,,7.588001281274682e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The mean height of adult men is 70 inches, with a standard deviation of four inches. The mean height of adult women is 66 inches, with a standard deviation of three inches. Between a man with a height of 74 inches and a woman with a height of 70 inches, who is more unusually tall within his or her respective sex?",high_school_statistics,"['It cannot be determined, because the mean heights for the two groups are different.'
 'It cannot be determined, because the standard deviations of the heights for the two groups are different.'
 'The man, because he is 74 inches tall and the woman is only 70 inches tall.'
 'The woman, because her height is 1.33 standard deviations above the mean height of all women, whereas the manâs height is only one standard deviation above the mean height of all men.']",3,0.9742303705505484,0.0157464744611898,0.0042381061065865,0.0048024033786116,0.0001982189548524,0.0001982189548524,,,,4.7081128516800194e-05,,,,,,2.85561479393101e-05,,1.843723483747245e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not true about t-distributions?,high_school_statistics,"['There are different t-distributions for different values of df (degrees of freedom).'
 't-distributions are bell-shaped and symmetric.'
 't-distributions always have mean 0 and standard deviation 1.'
 't-distributions are more spread out than the normal distribution.']",2,0.002320366746331,0.0004292246890346,0.9965439878203476,0.0004292246890346,0.0001085249451362,4.523992781497871e-05,,,,8.368545178920155e-06,,,,,,5.934187124378966e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To study the effect of alcohol on reaction time, subjects were randomly selected and given three beers to consume. Their reaction time to a simple stimulus was measured before and after drinking the alcohol. Which of the following is a correct statement?",high_school_statistics,"['This study was an observational study.'
 'Lack of blocking makes this a poorly designed study.'
 'The placebo effect is irrelevant in this type of study.'
 'This study was an experiment in which the subjects were used as their own controls.']",3,0.9989657947541304,0.0003797303958136,0.0003797303958136,0.0002303181274858,1.7760226950313187e-05,6.95500480479957e-06,,,,1.601133020130567e-06,,,,,1.1004415586539489e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements correctly explains bias?,high_school_statistics,"['It describes a process that creates estimates that are too high on average or too low on average.'
 'It describes a process that results in a sample that does not represent the population.'
 'It describes a lack of randomization in the sampling process.'
 'It describes a sample that is not representative of the population.']",0,0.0316729295874551,0.0406688466112536,0.0008440549835036,0.9258682494805548,0.0002134106226281,,,,,,,,,4.761834640439067e-05,,,,,0.0001215977073886,5.068946589030504e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
