question,subject,choices,answer,c,b,d,a,e,'},f,cd,{',bc,system,'.,4,',ab,g,sub,3,,polymer,i,l,none,vascular,bb,res,av,adenocarcinoma,crypto,glyco,her,herpes,''',1,increased,m,meto,hypo,h,p,am,pre,tumor,fib,cy,s,option,cand,solution,not,sol,dermat,der,haem,vin,pol,polys,iv,poly,atlan,ad,abc,no,cry,normal,regular,and,2,n,...',ec,all,5,with,through,by,most,more,via,best,effectively,using,definitively,super,im,bi,strepto,streptococcus,t,abcdef,either,medic,medication,da,increase,inf,options,per,mit,som,cl,men,v,},the,hero,sexual
"A 67-year-old woman comes to the physician for a follow-up examination. She had a pulmonary embolism and required treatment in the hospital for 3 weeks. She had a retroperitoneal hemorrhage; anticoagulant therapy was temporarily discontinued, and she underwent placement of an inferior vena cava (IVC) filter. She had a hematoma that was resolving on discharge from the hospital 2 weeks ago. Today, she says she has had a persistent sensation of tingling and numbness of her left thigh that she did not report in the hospital because she thought it would go away; the sensation has improved somewhat during the past week. Her only medication is warfarin. Vital signs are within normal limits. Examination of the skin shows no abnormalities. Muscle strength is normal. Sensation to light touch is decreased over a 5 x 5-cm area on the lateral aspect of the left anterior thigh. Which of the following is the most likely cause of this patient's decreased sensation?",professional_medicine,"['Cerebral infarction during the hospitalization'
 'Complication of the IVC filter placement'
 'Compression of the lateral femoral cutaneous nerve'
 'Hematoma of the left thigh']",2,0.9995285581158551,0.00017945817421945978,0.00017945817421945978,7.963408208194708e-05,1.0124337391858223e-05,2.900671227798367e-06,1.4136742527720276e-06,7.566852999992717e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A 25-year-old gravida 3 para 2 female is admitted to the hospital at 39 weeks' gestation in active labor. She had been having regular contractions every 4 minutes, but is now having only a few intermittent, weak contractions. She has received medication for pain twice in the past 6 hours. Examination shows no reason for obstructed labor. The fetal head is engaged, the membranes are intact, the fetal heart tones are normal, and the cervix is 100% effaced and 7 cm dilated. The most likely diagnosis is",professional_medicine,"['Braxton Hicks contractions' 'lower uterine retraction ring'
 'hypotonic uterine dysfunction' 'primary dysfunctional labor']",2,0.9998497279411402,2.144135921573898e-05,0.0001088882068242254,9.514545476466344e-06,2.4056538325356293e-06,7.569725637848978e-07,,1.1363504079630655e-06,3.5756852047460005e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A 5-year-old boy is brought to the physician by his mother because of a 2-day history of a low-grade fever, cough, and runny nose. His temperature is 38°C (100.4°F). Examination findings are consistent with a diagnosis of a common cold. The physician refers to a randomized, double-blind, placebo-controlled clinical trial that evaluated the effectiveness of a new drug for the treatment of the common cold. The mean time for resolution of symptoms for patients receiving the new drug was 6.4 days, compared with a mean time of 6.7 days for patients receiving the placebo (p=0.04). Which of the following is the most appropriate interpretation of these study results?",professional_medicine,"['The findings are clinically and statistically significant'
 'The findings are clinically insignificant but statistically significant'
 'The findings are clinically significant but statistically insignificant'
 'The findings are neither clinically nor statistically significant']",1,0.0024736071480915716,0.9973776412140349,2.0092085167672926e-05,0.00010203602781215373,1.6492587833396893e-06,,3.6799937645278943e-07,,,1.3809074724296715e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A 9-year-old boy is brought to the office by his parents for a well-child examination. The patient and his family immigrated to the United States 2 months ago and he has not been evaluated by a physician in 4 years. He has been generally healthy. Medical history is significant for pneumonia at age 3 years. He takes no medications. He is at the 25th percentile for height, weight, and BMI. Vital signs are temperature 37.0°C (98.6°F), pulse 82/min, respirations 20/min, and blood pressure 112/74 mm Hg. Cardiac examination discloses a grade 3/6 systolic murmur audible along the left sternal border at the third and fourth intercostal spaces. Femoral pulses are weak and brachial pulses are strong; there is a radiofemoral delay. Chest xray discloses mild cardiomegaly with left ventricular prominence. ECG shows left ventricular hypertrophy. This patient is at greatest risk for which of the following complications?",professional_medicine,"['Atrial fibrillation' 'Cor pulmonale' 'Systemic hypertension'
 'Tricuspid valve regurgitation']",2,0.9995514641353942,0.00013976909773715193,0.00023044028442580756,5.473436510940815e-05,5.952086076097491e-06,,5.712043566120852e-07,,,,6.273452569461454e-07,6.273452569461454e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A 25-year-old woman comes to the physician because of a 2-month history of numbness in her right hand. During this period, she has had tingling in the right ring and small fingers most of the time. She has no history of serious illness and takes no medications. She is employed as a cashier and uses a computer at home. She played as a pitcher in a softball league for 5 years until she stopped 2 years ago. Vital signs are within normal limits. Examination shows full muscle strength. Palpation of the right elbow produces a jolt of severe pain in the right ring and small fingers. Sensation to pinprick and light touch is decreased over the medial half of the right ring finger and the entire small finger. The most likely cause of these findings is entrapment of which of the following on the right?",professional_medicine,"['Median nerve at the wrist' 'Musculocutaneous nerve at the forearm'
 'Radial nerve at the forearm' 'Ulnar nerve at the elbow']",3,5.143951273867845e-05,2.2826145409670004e-05,0.9999031796480993,1.4737667147782229e-05,2.5610225375301923e-06,,1.8551985037792926e-07,,,,,2.3088318418509038e-07,2.7849828084669177e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Six healthy subjects participate in a study of muscle metabolism during which hyperglycemia and hyperinsulinemia is induced. Muscle biopsy specimens obtained from the subjects during the resting state show significantly increased concentrations of malonyl-CoA. The increased malonyl-CoA concentration most likely directly inhibits which of the following processes in these subjects?,professional_medicine,"['Fatty acid oxidation' 'Fatty acid synthesis' 'Gluconeogenesis'
 'Glycogenolysis']",0,1.4736795767596043e-05,0.00010229363782310998,8.938318458970372e-06,0.9998611728959429,5.367877465959664e-07,1.3201439310008416e-06,,,,,,,,4.5913889080674067e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A 72-year-old woman with advanced ovarian cancer metastatic to the liver is brought to the physician by her son because she cries all the time and will not get out of bed. On a 10-point scale, she rates the pain as a 1 to 2. She also has hypertension and major depressive disorder. She has received chemotherapy for 2 years. Current medications also include oxycodone (10 mg twice daily), hydrochlorothiazide (25 mg/d), and fluoxetine (20 mg/d). She is 165 cm (5 ft 5 in) tall and weighs 66 kg (145 lb); BMI is 24 kg/m2 . Her temperature is 37°C (98.6°F), pulse is 110/min, respirations are 12/min, and blood pressure is 120/80 mm Hg. Examination shows a firm, distended abdomen with moderate tenderness over the liver. On mental status examination, she is oriented to person, place, and time. She has good eye contact but appears sad and cries easily. Which of the following is the most appropriate next step in management?",professional_medicine,"['Reassurance' 'Assess for suicidal ideation'
 'Begin dextroamphetamine therapy' 'Increase oxycodone dosage']",1.9139774786567737e-07,7.030538761276067e-05,0.9998811359725729,1.012845139404029e-05,2.93076458745358e-05,5.538277469477334e-07,,,,,1.1363807521977613e-06,,,,,3.8063987277413667e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A 65-year-old woman has a 6-month history of progressive irritability, palpitations, heat intolerance, frequent bowel movements, and a 6.8-kg (15-lb) weight loss. She has had a neck mass for more than 10 years. 131I scan shows an enlarged thyroid gland with multiple areas of increased and decreased uptake. Which of the following is the most likely diagnosis?",professional_medicine,"['Defect in thyroxine (T4) biosynthesis' ""Graves' disease""
 'Multinodular goiter' ""Riedel's thyroiditis""]",2,0.9999039934071428,6.20462986173423e-05,1.3005610720772361e-05,1.4737287669432534e-05,1.0675655381175628e-06,4.591542164763878e-07,1.9140395402425008e-07,,,,,,,,,1.8551507345048537e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 51-year-old man comes to the office because of a 6-month history of a lump on his tongue that is interfering with his speech and eating; he also has had a 6.8-kg (15-lb) weight loss during this period. He has smoked 1 pack of cigarettes daily and has consumed six 12-oz bottles of beer on weekend nights during the past 30 years. His vital signs are within normal limits. Physical examination shows a 1.5-cm mass on the apex of the tongue. Further evaluation of the mass confirms squamous cell carcinoma. It is most appropriate to evaluate which of the following lymph nodes first for evidence of metastasis in this patient?,professional_medicine,['Inferior deep cervical' 'Parotid' 'Retropharyngeal' 'Submental'],3,0.00040410141641085184,0.00035661824831262454,0.9986847240697199,0.0005198473387946819,7.401375617407164e-06,3.839783086748172e-06,,,,,,,,,,,1.4574172716391205e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 42-year-old man comes to the physician for a follow-up examination 1 week after he passed a renal calculus. X-ray crystallographic analysis of the calculus showed calcium as the primary cation. Physical examination today shows no abnormalities. A 24-hour collection of urine shows increased calcium excretion. Which of the following is the most appropriate pharmacotherapy?,professional_medicine,"['Carbonic anhydrase inhibitor' 'Na+ –Cl− symport inhibitor'
 'Na+ –K + –2Cl− symport inhibitor' 'Osmotic diuretic']",1,0.9999094329638213,4.53942149515954e-05,2.586484402156273e-05,1.147745496023516e-05,1.4142999489581846e-06,,3.1557297410895586e-07,,,,,2.5357000834273954e-07,,,,,,2.8733246269771756e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
