question,subject,choices,answer,b,c,a,d,'},bc,...',e,f,',none,i,l,cd,g,Unnamed: 19,v,s,}',''',ca,2,},n,0,4,3,da,bm,any,1,no,5,ab,abc,']},x,y,j,h,same,ac,acd,ad
"The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate?",high_school_physics,['0.005 C' '0.01 C' '0.02 C' '0.5 C'],1,0.9889517191262704,0.0103302903077689,0.0005469544043324,8.387813454587645e-05,2.5581385708120148e-05,3.1522452169598994e-06,2.9612603340034286e-06,2.61330307250465e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields?,high_school_physics,"['the electric field produced by a finite-length charged rod'
 'the electric field produced by an infinitely long charged cylinder'
 'the electric field produced by an infinite plane of charge'
 'the magnetic field produced by an infinitely long, straight current-carrying wire']",0,0.012033594424517,0.012033594424517,0.0186787616330187,0.9560385561404076,0.0003012549981114,,,0.000151480526072,6.721907597412617e-05,4.9178526546022416e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A solid, metal object is isolated from other charges and has charge distributed on its surface. The charge distribution is not uniform. It may be correctly concluded that the",high_school_physics,"['electric field outside the object is zero'
 'the electric field outside the object is equal to the electric field inside the object'
 'the electric field outside the object is directly proportional to the distance away from the center of mass of the object'
 'the electric field outside the object, but very close to the surface, is equal to the surface charge density at any location divided by the permittivity of free space']",3,0.0003144597879412,0.0013259149676408,0.0004037741677082,0.9978590051346632,4.530222769108506e-05,,,1.145419693846854e-05,2.8960745241903503e-06,,3.4933326956558743e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing waves are produced by a 100-Hz generator in a string of fixed length. The tension in the string is increased until a new set of standing waves is produced. Will the wavelength of the new standing waves be greater than or less than the wavelength of the original standing waves?,high_school_physics,"['Less, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.'
 'Greater, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.'
 'Greater, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.'
 'Less, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.']",2,0.001807848958164,0.0006650704644517,0.9969381644554796,0.0004570957998582,3.87078775224134e-05,,,4.770222724721672e-06,,6.940633110286677e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two identical capacitors are hooked in parallel to an external circuit. Which of the following quantities must be the same for both capacitors? I. the charge stored on the capacitor II.  the voltage across the capacitor III. the capacitance of the capacitor,high_school_physics,"['I only' 'II only' 'II and III only' '(E) I, II, and III']",3,0.9750586141075844,0.014804891563757,0.0012936370077698,0.0084355729350325,5.339475068594931e-05,,,9.371070584860944e-05,1.845273207321715e-05,,,6.050417914167232e-05,1.5297852198678405e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 1-kg object is released from rest at the top of a rough-surfaced incline. The object slides without rotating to the bottom of the incline. The objectâs kinetic energy at the bottom must be,high_school_physics,"['Equal to the blockâs gravitational potential energy when it was released, because total mechanical energy must be conserved.'
 'Equal to the blockâs gravitational potential energy when it was released, because the gain in kinetic energy compensates for the mechanical energy lost to thermal energy on the rough incline.'
 'Less than the blockâs gravitational potential energy when it was released, because the gravitational potential energy was converted both to thermal energy and to kinetic energy.'
 'Less than the blockâs gravitational potential energy when it was released, because the work done by the friction force must be greater than the blockâs gain in kinetic energy.']",2,0.0002434354644139,0.931837632366909,0.0002936392209579,0.0675014119579219,5.10268453775736e-05,,,1.656599125334227e-05,,,,,,1.0047781603683402e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A student is experimenting with a simple spring-block oscillator of spring constant k and amplitude A. The block attached to the spring has a mass of m. If the student places a small block of mass m on top of the original block, which of the following is true?",high_school_physics,"['The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].'
 'The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].'
 'The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).'
 'The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).']",0,0.000966208370578,0.0023178133890039,0.9954168498312576,0.001165469763835,2.5748580914736455e-05,,,1.2947199571869388e-05,7.377091944414737e-06,,,,,,5.3971957627101925e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How much work is required to charge a 10 ÂµF capacitor to a potential difference of 100 V ?,high_school_physics,['0.005 J' '0.01 J' '0.05 J' '0.1 J'],2,0.7844536337795405,0.1203186639247087,0.0937194900888378,0.0010406523278857,0.0002049165931891,,,,,1.4844108222907551e-05,,,,,,5.181102859562679e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A box of mass m slides on a horizontal surface with initial speed v0. It feels no forces other than gravity and the force from the surface. If the coefficient of kinetic friction between the box and the surface is Î¼, how far does the box slide before coming to rest?",high_school_physics,['v0^2/(2Î¼g)' 'v0^2/(Î¼g)' '2v0^2/(Î¼g)' 'mv0^2/(Î¼g)'],0,0.9967919205251948,0.0008021148906853,0.0021803743316864,0.0001309416563768,1.3801149044969436e-05,,2.6339953891976367e-06,3.714528873720787e-06,2.183658874797757e-06,,,,,,,,1.0748345683507368e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A soccer ball, at rest on the ground, is kicked with an initial velocity of 10 m/s at a launch angle of 30Â°. Calculate its total flight time, assuming that air resistance is negligible.",high_school_physics,['0.5 s' '1 s' '2 s' '4 s'],1,0.7694441232206376,0.2204098487979885,0.0066557999207748,0.0011566045990502,0.0008461900011766,,0.0001010630317487,7.393929353611577e-05,,9.493993219230828e-05,,,,,,,,6.945953820302715e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
