question,subject,choices,answer,c,d,a,b,'},e,',f,},,ab,l,cd,i,none,g,}',bc,...',''',{',adam,human,h,...,ca,abc,v,'],sol,p,darwin,both,da,all,s,mexico
"This question refers to the following information.
In order to make the title of this discourse generally intelligible, I have translated the term ""Protoplasm,"" which is the scientific name of the substance of which I am about to speak, by the words ""the physical basis of life."" I suppose that, to many, the idea that there is such a thing as a physical basis, or matter, of life may be novel—so widely spread is the conception of life as something which works through matter. … Thus the matter of life, so far as we know it (and we have no right to speculate on any other), breaks up, in consequence of that continual death which is the condition of its manifesting vitality, into carbonic acid, water, and nitrogenous compounds, which certainly possess no properties but those of ordinary matter.
Thomas Henry Huxley, ""The Physical Basis of Life,"" 1868
From the passage, one may infer that Huxley argued that ""life"" was",high_school_european_history,"['a force that works through matter' 'essentially a philosophical notion'
 'merely a property of a certain kind of matter'
 'a supernatural phenomenon']",2,0.9969900039010025,0.0011671988386366746,0.0009676418239361498,0.0006247565177343728,0.00012302179384043757,1.8866003115603928e-05,4.62331289691767e-06,4.343200528838472e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Read the the following quotation to answer questions.
The various modes of worship which prevailed in the Roman world were all considered by the people as equally true; by the philosopher as equally false; and by the magistrate as equally useful.
Edward Gibbon, The Decline and Fall of the Roman Empire, 1776–1788
Gibbon's interpretation of the state of religious worship in ancient Rome could be summarized as",high_school_european_history,"[""In ancient Rome, religious worship was decentralized and tended to vary with one's social position.""
 'In ancient Rome, religious worship was the source of much social tension and turmoil.'
 'In ancient Rome, religious worship was homogeneous and highly centralized.'
 'In ancient Rome, religious worship was revolutionized by the introduction of Christianity.']",0,0.00663215328523455,0.0031328073845962403,0.9848429954993801,0.0024398328443354317,0.00042721327773386354,0.0002002735801719094,0.00033019531158869444,,0.0002002735801719094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
The following quote is from Voltaire in response to the 1755 Lisbon earthquake.
My dear sir, nature is very cruel. One would find it hard to imagine how the laws of movement cause such frightful disasters in the best of possible worlds. A hundred thousand ants, our fellows, crushed all at once in our ant-hill, and half of them perishing, no doubt in unspeakable agony, beneath the wreckage from which they cannot be drawn. Families ruined all over Europe, the fortune of a hundred businessmen, your compatriots, swallowed up in the ruins of Lisbon. What a wretched gamble is the game of human life! What will the preachers say, especially if the palace of the Inquisition is still standing? I flatter myself that at least the reverend father inquisitors have been crushed like others. That ought to teach men not to persecute each other, for while a few holy scoundrels burn a few fanatics, the earth swallows up one and all.
—Voltaire, in a letter, 1755
The ideas expressed by Voltaire, above, best illustrate which of the following characteristics of Enlightenment intellectuals?",high_school_european_history,"['Many were accomplished scientists, who added important pieces to human understanding of the universe.'
 'They utilized new methods of communicating their ideas, such as salons and inexpensive printed pamphlets.'
 'Most rejected religion altogether and adopted atheism as the only credo of a rational man.'
 'Many believed that the new scientific discoveries justified a more tolerant and objective approach to social and cultural issues.']",3,0.0014073735734274418,0.9965070927456027,0.0007533127893726484,0.001166753672528951,7.939854599222612e-05,1.0745424710433141e-05,6.122558444444055e-06,,3.078615723839114e-06,2.4737372298188157e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Read the following memoir.
Not only did he expect all persons of distinction to be in continual attendance at Court, but he was quick to notice the absence of those of inferior degree; at his lever, his couches, his meals, in the gardens of Versailles (the only place where the courtiers in general were allowed to follow him), he used to cast his eyes to right and left; nothing escaped him[;] he saw everybody. If anyone habitually living at Court absented himself he insisted on knowing the reason; those who came there only for flying visits had also to give a satisfactory explanation; anyone who seldom or never appeared there was certain to incur his displeasure. If asked to bestow a favor on such persons he would reply haughtily: ""I do not know him""; of such as rarely presented themselves he would say, ""He is a man I never see""; and from these judgments there was no appeal.
No one understood better than Louis XIV the art of enhancing the value of a favor by his manner of bestowing it; he knew how to make the most of a word, a smile, even of a glance.
He loved splendor, magnificence, and profusion in all things, and encouraged similar tastes in his Court; to spend money freely on equipages and buildings, on feasting and at cards, was a sure way to gain his favor, perhaps to obtain the honor of a word from him. Motives of policy had something to do with this; by making expensive habits the fashion, and, for people in a certain position, a necessity, he compelled his courtiers to live beyond their income, and gradually reduced them to depend on his bounty for the means of subsistence.
—Duke Saint-Simon, Memoirs of Louis XIV and His Court and His Regency, c. 1750
Which of the following is the best explanation of the bias found in the document above?",high_school_european_history,"['The duke, as a member of the French nobility, is sympathetic to King Louis.'
 'The duke, as a member of the French nobility, is biased against the king because of his suppression of the nobility.'
 'The duke, as a member of the French nobility, supported the extension of the administrative, financial, military, and religious control of the central state over the French population.'
 ""The duke, as a member of the French nobility, supported King Louis's preservation of the aristocracy's social position and legal privileges, while he removed their power.""]",1,0.0034351043956046103,0.014462329696766764,0.028787997453783645,0.9525922629353526,0.00015092795381915482,4.603042523166073e-05,1.6933647111107208e-05,,,,1.9188336028730665e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
For the catastrophe of 1914 the Germans are responsible. … Germany, in this matter, was unfortunate enough to allow herself (in spite of her skill at dissimulation) to be betrayed into an excess of candour by her characteristic tendency to go to extremes. Deutschland über alles. Germany above everything! … There you have the ultimate framework of an old but childish race.
Georges Clemenceau, Grandeur and Misery of Victory, 1930
From the passage, one may infer that Clemenceau believed",high_school_european_history,"['that the lyrics from the popular song Deutschland über alles (which eventually became the German national anthem) were the reason Germany started the war'
 ""that the lyrics from the popular song Deutschland über alles (which eventually became the German national anthem) were evidence of Germany's aggressive attitude""
 'that the reason Germany lost the war was that it was betrayed from within'
 'that Germany provided the ultimate framework for modern warfare']",1,0.00048756488023476004,3.116897999291274e-05,0.0004599560788706683,0.9989492272214238,1.66835527564863e-05,4.779917893403372e-06,,,,,,2.0558170686523267e-06,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
In Russia there was nothing going on well, and [Souvarine] was in despair over the news he had received. His old companions were all turning to the politicians; the famous Nihilists who made Europe tremble-sons of village priests, of the lower middle class, of tradesmen-could not rise above the idea of national liberation, and seemed to believe that the world would be delivered-when they had killed their despot&…
""Foolery! They'll never get out of it with their foolery.""
Then, lowering his voice still more, in a few bitter words he described his old dream of fraternity. He had renounced his rank and his fortune; he had gone among workmen, only in the hope of seeing at last the foundation of a new society of labour in common. All the sous in his pockets had long gone to the urchins of the settlement; he had been as tender as a brother with the colliers, smiling at their suspicion, winning them over by his quiet workmanlike ways and his dislike of chattering. But decidedly the fusion had not taken place.
His voice changed, his eyes grew bright, he fixed them on étienne, directly addressing him:
""Now, do you understand that? These hatworkers at Marseilles who have won the great lottery prize of a hundred thousand francs have gone off at once and invested it, declaring that they are going to live without doing anything! Yes, that is your idea, all of you French workmen; you want to unearth a treasure in order to devour it alone afterwards in some lazy, selfish corner. You may cry out as much as you like against the rich, you haven't got courage enough to give back to the poor the money that luck brings you. You will never be worthy of happiness as long as you own anything, and your hatred of the bourgeois proceeds solely from an angry desire to be bourgeois yourselves in their place.""
émile Zola, French writer, Germinal, 1885
A nineteenth-century Russian historian evaluating this passage would probably be most interested in",high_school_european_history,"['the Russian interest in French culture'
 'the spirit of camaraderie amongst the miners'
 'the sense of continual class struggle' 'the need for noblesse oblige']",2,0.9810444768241839,0.00514710690602677,0.009694216359822105,0.003537551393303171,0.00015542916075695387,7.34195368621913e-05,,1.799223129460537e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Florence is more beautiful and five hundred forty years older than your Venice. … We have round about us thirty thousand estates, owned by nobleman and merchants, citizens and craftsman, yielding us yearly bread and meat, wine and oil, vegetables and cheese, hay and wood, to the value of nine thousand ducats in cash. … We have two trades greater than any four of yours in Venice put together—the trades wool and silk. … Our beautiful Florence contains within the city … two hundred seventy shops belonging to the wool merchant's guild, from whence their wares are sent to Rome and the Marches, Naples and Sicily, Constantinople … and the whole of Turkey. It contains also eighty-three rich and splendid warehouses of the silk merchant's guild.
Benedetto Dei, ""Letter to a Venetian,"" 1472
From the passage, one may argue that wealth in Renaissance Italy was measured in",high_school_european_history,"['the size of landed estates'
 'the number of estates owned by an individual'
 'the monetary value of goods' 'the amount of gold held']",2,0.9919926532868644,0.0062782354758166405,0.0007043984983411377,0.0006617211507678613,0.00020181354867585062,3.506993619513092e-05,,,,,,,7.5844056019534915e-06,5.212680656224825e-06,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
The pair of excerpts below is written by explorer Christopher Columbus and the Dominican Bishop of Chiapas, Mexico, Bartholomew de las Casas.
Source 1
Indians would give whatever the seller required. . . . Thus they bartered, like idiots, cotton and gold for fragments of bows, glasses, bottles, and jars; which I forbad as being unjust, and myself gave them many beautiful and acceptable articles which I had brought with me, taking nothing from them in return; I did this in order that I might the more easily conciliate them, that they might be led to become Christians, and be inclined to entertain a regard for the King and Queen, our Princes and all Spaniards, and that I might induce them to take an interest in seeking out, and collecting and delivering to us such things as they possessed in abundance, but which we greatly needed.
—Christopher Columbus: letter to Raphael Sanchez, 1493
Source 2
It was upon these gentle lambs . . . that from the very first day they clapped eyes on them the Spanish fell like ravening wolves upon the fold, or like tigers and savage lions who have not eaten meat for days. The pattern established at the outset has remained unchanged to this day, and the Spaniards still do nothing save tear the natives to shreds, murder them and inflict upon them untold misery, suffering and distress, tormenting, harrying and persecuting them mercilessly. We shall in due course describe some of the many ingenious methods of torture they have invented and refined for this purpose, but one can get some idea of the effectiveness of their methods from the figures alone. When the Spanish first journeyed there, the indigenous population of the island of Hispaniola stood at some three million; today only two hundred survive. Their reason for killing and destroying such an infinite number of souls is that the Christians have an ultimate aim, which is to acquire gold, and to swell themselves with riches in a very brief time and thus rise to a high estate disproportionate to their merits.
—Bartholomew de las Casas: A Short Account of the Destruction of the Indies, 1542
Which of the following would best account for the differences between the interactions of the Spaniards and the natives as described in the two accounts?",high_school_european_history,"['De las Casas was exaggerating to support the start of African slavery.'
 'Columbus was biased in favor of himself in his writings.'
 ""Columbus's men were nicer to the natives than were later expeditions.""
 'De las Casas wanted the Spanish to leave the Americas.']",1,0.0016926261553258978,0.0031622419721316535,0.001238351749200293,0.9936010878873309,4.5106937658671917e-05,3.512931837052673e-05,,7.838410433920806e-06,,,,6.704547738171908e-06,,8.343944473632633e-06,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Read the the following petition to answer questions.
The Scribbling-Machines have thrown thousands of your petitioners out of employ, whereby they are brought into great distress, and are not able to procure a maintenance for their families, and deprived them of the opportunity of bringing up their children to labour. … The number of Scribbling-Machines extending about seventeen miles south-west of Leeds exceed all belief, being no less than one hundred and seventy! And as each machine will do as much work in twelve hours, as ten men can in that time do by hand, … [And, as the machines do] as much work in one day as would otherwise employ twenty men, … [a] full four thousand men are left to shift for a living how they can, and must of course fall to the Parish, if not timely relieved. … How are those men, thus thrown out of employ to provide for their families; and what are they to put their children apprentice to, that the rising generation may have something to keep them at work, in order that they may not be like vagabonds strolling about in idleness? … Many more evils we could enumerate, but we would hope, that the sensible part of mankind, who are not biased by interest, must see the dreadful tendency of their continuance; a depopulation must be the consequence; trade being then lost, the landed interest will have no other satisfaction but that of being last devoured.
Leeds Woolen Workers Petition, 1786
This document can be used as evidence for",high_school_european_history,"['the spread of revolutionary ideas among the British working class in the eighteenth century'
 'the rise of the Luddite movement in Britain in the eighteenth century'
 'the replacing of traditional laborers by machines in the industrialization of Britain in the eighteenth century'
 'an increase in the use of child labor in eighteenth-century Britain']",2,0.9960105523395099,0.0003341025244737055,0.0005508416760325663,0.002977821966471211,3.3080629691100276e-05,1.1795261763639594e-05,,3.174651635988551e-06,,,,4.765716558680084e-06,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Florence is more beautiful and five hundred forty years older than your Venice. … We have round about us thirty thousand estates, owned by nobleman and merchants, citizens and craftsman, yielding us yearly bread and meat, wine and oil, vegetables and cheese, hay and wood, to the value of nine thousand ducats in cash. … We have two trades greater than any four of yours in Venice put together—the trades wool and silk. … Our beautiful Florence contains within the city … two hundred seventy shops belonging to the wool merchant's guild, from whence their wares are sent to Rome and the Marches, Naples and Sicily, Constantinople … and the whole of Turkey. It contains also eighty-three rich and splendid warehouses of the silk merchant's guild.
Benedetto Dei, ""Letter to a Venetian,"" 1472
The passage may be used as evidence for the existence of which of the following Renaissance cultural characteristics?",high_school_european_history,"['Pride in the mastery of the military arts' 'Chivalry' 'Civic pride'
 'Patronage of the arts']",2,0.9991252090082539,0.0005190873339088345,0.0001088066161131959,9.602150170060651e-05,5.823998477306662e-05,2.012720016779563e-05,,,3.0866061144135373e-06,,,,,2.6401141172021387e-06,,,,,,,,,,,,,,,,,,,,,,,
