question,subject,choices,answer,a,b,c,d,',ab,e,1,cd,'},cc,f,4,option,3,false,Unnamed: 20,bb,bc,0,none,i,all,bd,db,bcd,bdb,''',abc,...',},y,g,ad,{',ba,'.,one,2,not,iv,inherent,randomness,random,error,nature,influence,presence,stochastic,model,noise,iii,(,abcd,cardinal,options,ac,***,v,calculate,determine,choose,provide,compute,give,select,accurately,impact,penalty,weight,effect,punishment,penalties,contribution,weighting,importance,consequences,there
Which one of the following is the most appropriate definition of a 99% confidence interval?,econometrics,"['99% of the time in repeated samples, the interval would contain the true value of the parameter'
 '99% of the time in repeated samples, the interval would contain the estimated value of the parameter'
 '99% of the time in repeated samples, the null hypothesis will be rejected'
 '99% of the time in repeated samples, the null hypothesis will not be rejected when it was false']",0,0.9999055360693854,7.96692523712983e-05,6.143433078940707e-06,1.5533031365328777e-06,3.465887776136393e-07,3.0586352271461785e-07,2.616189349477361e-07,2.3087789974885785e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?,econometrics,"['ADF is a single equation approach to unit root testing while PP is a systems approach'
 'PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test'
 'The PP test incorporates an automatic correction for autocorrelated residuals in the test regression'
 'PP tests have good power in small samples whereas DF tests do not.']",2,0.0002953253809542,0.0003346474985797,0.9977183552278084,0.0015965139257367,,,1.21895342447224e-05,,5.757928270698068e-06,1.9898867643547828e-06,1.869325619954524e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?",econometrics,"['It would rise more quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be symmetrical about zero'
 'It would rise less quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be zero for all positive disturbances']",0,0.9995190028604316,0.000295878484232,9.605767994417326e-05,7.027729992751154e-05,8.574425011797143e-07,1.0342730820621563e-06,2.3307703699052908e-06,,,,,1.002451844658921e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is false concerning the linear probability model?,econometrics,"['There is nothing in the model to ensure that the estimated probabilities lie between zero and one'
 'Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one'
 'The error terms will be heteroscedastic and not normally distributed'
 'The model is much harder to estimate than a standard regression model with a continuous dependent variable']",3,8.397541902674185e-06,1.1478078885171869e-05,4.2646236664058025e-05,0.9999335514265106,,,5.043115901020306e-07,,,1.1609912027518472e-07,,,4.887955536584993e-07,1.1978450196036725e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements concerning the regression population and sample is FALSE?,econometrics,"['The population is the total collection of all items of interest'
 'The population can be infinite'
 'In theory, the sample could be larger than the population'
 'A random sample is one where each individual item from the population is equally likely to be drawn.']",2,3.288599928558944e-06,2.014511688023557e-05,0.999963959537879,5.421984653038052e-06,,,6.893279928102413e-07,,,,,1.7982195087769918e-07,,,9.421996544862156e-07,1.5380986543054485e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?,econometrics,"['Asymptotically, the values of the two test statistics will be equal'
 'The Q test has better small-sample properties than the Q*'
 'The Q test is sometimes over-sized for small samples'
 'As the sample size tends towards infinity, both tests will show a tendency to always reject the null hypothesis of zero autocorrelation coefficients.']",1,3.535055530734889e-05,2.9306639693638924e-05,0.0001160375024889,0.9998126715590356,,,3.2881138452263662e-06,,,,,2.102020855294847e-07,6.892261042086288e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A parsimonious model is one that,econometrics,"['Includes too many variables'
 'Includes as few variables as possible to explain the data'
 'Is a well-specified model' 'Is a mis-specified model']",0,1.473842613379605e-05,0.9999646691394204,1.2218584421067906e-05,2.5611544295228373e-06,,,2.2379117998779294e-07,,,,,,,,,,4.854295766015613e-07,1.7428874621896684e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?,econometrics,"['They can be interpreted as continuously compounded changes in the prices'
 'They can be added over time to give returns for longer time periods'
 'They can be added across a portfolio of assets to give portfolio returns'
 'They are usually fat-tailed']",2,9.515924790638866e-06,1.1478396333683614e-05,1.892467618887054e-05,0.9999587685370126,,,2.785150139387905e-07,,,,,7.734082613085715e-08,1.798228083376239e-07,5.658375715297991e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns",econometrics,"['(ii) and (iv) only' '(i) and (iii) only' '(i), (ii), and (iii) only'
 '(i), (ii), (iii), and (iv)']",1,1.5562085962825834e-05,0.99189651346487,0.0080631099689469,1.5562085962825834e-05,,,5.494088313428428e-07,,,,,,,,,,4.14715543580077e-07,,2.9700760812609053e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?",econometrics,['Less than -1' 'Between -1 and 0' 'Between 0 and 1' 'Bigger than 1'],2,4.260802341146395e-05,0.0001088033994124,0.9991645180644828,0.0006665019433512,,,5.088802708009021e-06,,,,,,,,,,4.883575673455229e-07,,,1.2866508198231e-06,1.066670994564034e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
