question,subject,choices,answer,b,a,c,d,'},f,e,i,l,',},''',...',none,,}',s,m,j,ac,abc,ab,bc,g,cd,abcdef,abcd,y
Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,international_law,"['The coastal State' 'The flag State' 'All States enjoy such jurisdiction'
 'The International Tribunal for the Law of the Sea']",1,0.957532615705859,0.03276008935457197,0.0060600071898971,0.0025261868364467874,0.00020736194411554205,6.324181984166596e-05,5.581071012408322e-05,3.835810270999317e-05,3.835810270999317e-05,,,,,,,,,,,,,,,,,,,
What is the meaning of justiciability?,international_law,"['Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders'
 'Justiciability refers to the just nature or cause of a particular right'
 ""Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice""
 'Justiciability refers to the obligation of a State to enforce a particular Right']",0,0.006599631514085657,0.9797621258413283,0.011582714023017977,0.0007404581344604788,0.00022951282995729996,,0.00010667310826181248,,,8.843511287585278e-05,4.446796735540333e-05,,,,,,,,,,,,,,,,,
In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,international_law,"['R2P is essentially the same as humanitarian intervention'
 'R2P requires a call for assistance by the State in distress'
 'R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis'
 'R2P always involves armed force, whereas humanitarian intervention does not']",2,0.00043018217963040103,0.00020320367324262847,0.9987330785306124,0.0005523648524515665,4.826510291179495e-05,,3.2844814727526525e-06,1.4126378787124945e-06,,,,1.992138714482588e-06,,,,,,,,,,,,,,,,
What is the 'Lotus principle'?,international_law,"[""The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'""
 'The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes'
 'The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas'
 'The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris']",0,0.0010312691550139,0.9981040297791528,0.000379382720443859,0.00014856847883272062,6.042836660525811e-05,1.2195243380538609e-05,3.114164493505508e-05,,,,,,,,,,,,,,,,,,,,,
Which of these statements best describes the UK Constitution?,international_law,"[""The UK Constitution's only source of power is that of the sovereign""
 'The UK Constitution gives the judiciary the power to overturn acts of parliament'
 'The UK Constitution is uncodified and can be found in a number of sources'
 'The UK Constitution is based on a Bill of Rights']",2,0.00021648336179228684,0.0001088546704144697,0.9995394182703853,6.602369505928958e-05,3.31987987701348e-05,,3.2871262198158517e-06,,,,1.2092661568058511e-06,1.6020173737830221e-06,,,,,,,,,,,,,,,,
What is the obligation of the peaceful settlement of disputes?,international_law,"['It is an obligation of result, that is, States are under a strict obligation to resolve their disputes as soon as possible'
 'It is an obligation of conduct, ie States have an obligation to try to resolve their disputes through peaceful means. This does not entail an obligation to resolve their disputes'
 'It is a peremptory norm of international law and all States have a legal interest to safeguard its application in any given dispute'
 'It is an obligation which concerns solely international courts and tribunals']",1,0.9996217356850077,0.000203384753853762,0.000115885139558,1.7771561734736996e-05,7.886082715729393e-06,,2.057207589879113e-06,,1.136097932004702e-06,9.418582667364345e-07,,,,,,,,,,,,,,,,,,
Which one of the following statements is false?,international_law,"['Protocol 14 changed the committee that hears admissibility cases from a three judge to a one judge formation'
 'Protocol 14 added a new criterion for admissibility'
 'Protocol 14 abolished the Commission of Human Rights'
 'Protocol 14 extended the judicial term of office for the European Court of Human Rights']",2,0.04837781483245153,0.8576371131139505,0.04269327174344957,0.04837781483245153,0.0010426313457755508,,0.00022403367558120535,,,0.00011265120661112735,8.241738337639803e-05,,,,,,,,,,,,,,,,,
Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,international_law,"['Rocks are the islands that are less than 10 square miles'
 'Rocks are the islands that do not have any maritime zone'
 'Rocks are the islands which cannot sustain human habitation or economic life of their own and according to article 121 (3) have no Exclusive Economic Zone or continental shelf.'
 'Rocks are the small islands that can sustain human habitation']",2,0.00037943247224479917,0.0003348479814960507,0.9982500446255518,0.00070887318238986,0.00020309556712024332,,1.5661048498582674e-05,,,5.944263532121036e-06,5.584118810880273e-06,,,,,,,,,,,,,,,,,
What is the meaning of international legal personality?,international_law,"['It means that only States are considered subjects of international law'
 'It means having rights and duties under international law and a capacity to enforce these by or against the relevant actor'
 'It means that an entity may challenge the authority of States'
 'It is a term that is meant to denote legal, as opposed, to physical persons under international law']",1,0.9992133670392078,0.0004303853031503298,0.0002303686521778242,2.428067730290451e-05,2.280958543230717e-05,,4.089533321856583e-06,2.1216219380930422e-06,2.1216219380930422e-06,,,,2.991966493368353e-06,,,,,,,,,,,,,,,
Which of the following is a treaty-based human rights mechanism?,international_law,"['The UN Human Rights Committee' 'The UN Human Rights Council'
 'The UN Universal Periodic Review' 'The UN special mandates']",0,0.0019191640586255082,0.994226078089866,0.0023149537411156283,0.0009650162919837797,0.00014810287719076515,2.1319997049754208e-05,4.239987698423011e-05,,,,,,,2.7375418095592067e-05,,,,,,,,,,,,,,
The UN Vienna Declaration 1993 declared that,international_law,"['Third generation rights are of primary importance'
 'Civil and political rights are core rights'
 'All types of rights are indivisible, interrelated and interdependent'
 'Social and economic rights are non-enforceable']",2,0.0014953957102548676,0.0014047942642886582,0.994765705990638,0.0019201260999730674,0.00011531253525099543,1.0725736565957967e-05,3.9850945838950415e-05,1.661234576852372e-05,,,,,,,,,,,,,,,,,,,,
What is the principal source of immunity in respect of international organisations (IOs)?,international_law,"['The principal source of immunity for IOs is the UN Charter'
 'The principal sources of immunity for IOs are headquarters agreements and multilateral treaties providing specific immunities'
 'The principal source of immunity for IOs is customary law'
 'The principal source of immunity for IOs is the Vienna Convention on Diplomatic Immunities']",1,0.9385654888743022,0.01718713973855496,0.04128803582491396,0.0011695995374558555,0.0005190066486181112,,,,7.023991179241719e-05,7.023991179241719e-05,5.823093213433673e-05,,,,,,,,,,,,,,,,,
