question,subject,choices,answer,a,b,c,d,'},e,',none,f,},''',...',i,iii,']},Unnamed: 19,s,y,l,k,1,bc,all,g,cd,abc,da,cardinal,t,ac,ab,j,0,v,}'
Which one of the following is the most appropriate definition of a 99% confidence interval?,econometrics,"['99% of the time in repeated samples, the interval would contain the true value of the parameter'
 '99% of the time in repeated samples, the interval would contain the estimated value of the parameter'
 '99% of the time in repeated samples, the null hypothesis will be rejected'
 '99% of the time in repeated samples, the null hypothesis will not be rejected when it was false']",0,0.9994100873481936,0.0003149405824651,0.0001233325041622,3.3194493174883785e-05,3.4055584663839774e-05,3.724318916620733e-06,2.480931250529037e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?,econometrics,"['ADF is a single equation approach to unit root testing while PP is a systems approach'
 'PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test'
 'The PP test incorporates an automatic correction for autocorrelated residuals in the test regression'
 'PP tests have good power in small samples whereas DF tests do not.']",2,0.0006645119155207,0.0012414716998371,0.99614015320267,0.0016968906222309,0.0001392892643907,1.885075204813925e-05,,5.749154551927181e-06,5.234664788704885e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?",econometrics,"['It would rise more quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be symmetrical about zero'
 'It would rise less quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be zero for all positive disturbances']",0,0.9979558400511744,0.0010311137745253,0.0005184765663121,0.0002954189016433,7.287947186286319e-05,1.2979800672605818e-05,6.526653653954665e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is false concerning the linear probability model?,econometrics,"['There is nothing in the model to ensure that the estimated probabilities lie between zero and one'
 'Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one'
 'The error terms will be heteroscedastic and not normally distributed'
 'The model is much harder to estimate than a standard regression model with a continuous dependent variable']",3,0.0615841850402357,0.0479618115341499,0.0373526963803191,0.8502303661437473,0.0003440064407124,0.0002851912202024,9.25880333076484e-05,,0.0002086503539384,7.675817560709728e-05,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements concerning the regression population and sample is FALSE?,econometrics,"['The population is the total collection of all items of interest'
 'The population can be infinite'
 'In theory, the sample could be larger than the population'
 'A random sample is one where each individual item from the population is equally likely to be drawn.']",2,0.0006233070960592,0.0014046442240863,0.9946404136101654,0.0027934685998728,0.0002023581866575,8.979590100219418e-05,,,2.2703959314317805e-05,,1.3770647421001968e-05,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?,econometrics,"['Asymptotically, the values of the two test statistics will be equal'
 'The Q test has better small-sample properties than the Q*'
 'The Q test is sometimes over-sized for small samples'
 'As the sample size tends towards infinity, both tests will show a tendency to always reject the null hypothesis of zero autocorrelation coefficients.']",1,0.0217379335358199,0.0140139955748387,0.0405902031676376,0.9230063171022772,0.0001556813540931,0.0001005154368625,,,4.4603454729378494e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
A parsimonious model is one that,econometrics,"['Includes too many variables'
 'Includes as few variables as possible to explain the data'
 'Is a well-specified model' 'Is a mis-specified model']",0,3.321181392662748e-05,0.9999037690179,2.144315872172437e-05,9.515344002406838e-06,1.2283556496737385e-05,6.276049655360721e-07,,,,,,9.13159836626737e-07,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?,econometrics,"['They can be interpreted as continuously compounded changes in the prices'
 'They can be added over time to give returns for longer time periods'
 'They can be added across a portfolio of assets to give portfolio returns'
 'They are usually fat-tailed']",2,0.0014107625454523,0.0010945010055634,0.0021766751602594,0.995100625238124,0.0001018044034289,1.7690952644460535e-05,,,7.850312648751128e-06,,,,1.2942977445642248e-05,,,,,,,,,,,,,,,,,,,,,,
"Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns",econometrics,"['(ii) and (iv) only' '(i) and (iii) only' '(i), (ii), and (iii) only'
 '(i), (ii), (iii), and (iv)']",1,0.0001746467410307,0.9138065302275916,0.0850110351763515,0.0007827123904474,5.326424662590858e-05,,1.151920118262038e-05,,,,,,,2.516024856302766e-05,,,,,,,,,,,,,,,,,,,,,
"Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?",econometrics,['Less than -1' 'Between -1 and 0' 'Between 0 and 1' 'Bigger than 1'],2,0.018921844683603,0.4880691072847298,0.4880884899914892,0.0032881235680265,0.0007336795383215,8.762556680142009e-05,6.410823416722693e-05,4.992754297076133e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Under which of the following situations would bootstrapping be preferred to pure simulation?

i) If it is desired that the distributional properties of the data in the experiment

are the same as those of some actual data


ii) If it is desired that the distributional properties of the data in the experiment

are known exactly


iii) If the distributional properties of the actual data are unknown


iv) If the sample of actual data available is very small",econometrics,"['(ii) and (iv) only' '(i) and (iii) only' '(i), (ii), and (iv) only'
 '(i), (ii), (iii), and (iv)']",1,0.0004039409370389,0.9378627722065276,0.0599501505568024,0.0007546610226643,3.757234201405968e-05,1.0433462562550097e-05,,,,,1.2197953539296264e-05,,7.019437607902785e-05,0.0007546610226643,,,,,,,,,,,,,,,,,,,,,
