question,subject,choices,answer,a,b,c,d,'},',1,e,i,g,f,},Unnamed: 16,']},bc,l,all,j,...',cd,none,''',s,db,4,real,r,auto,...,monroe,ab,both,}'
What is the structure of the United Nations Security Council?,us_foreign_policy,"['5 permanent members with veto power, 10 rotating members with no veto power'
 '5 permanent members and 10 rotating members, all with veto power'
 '10 permanent members with veto power, and 5 rotating members without veto power'
 '15 permanent members with veto power']",0,0.999438135694372,0.0001794496171908,0.0001794496171908,4.2623020061547965e-05,3.575769499060799e-05,3.964558439640746e-06,3.286734387190032e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the significance of the Gulf of Tonkin resolution?,us_foreign_policy,"['It allowed the US to intensify its involvement in Vietnam'
 'It illustrated the influence of public opinion on US foreign policy'
 'It enhanced Congressional control over the Vietnam War'
 'It curtailed US involvement in Vietnam']",0,0.999204132101013,0.0003351853700875,0.0001685417885539,0.0001397260503413,5.4083450344174045e-05,,,6.5350743377192266e-06,3.086950536814701e-06,,,,,,,,,,,,,,,,,,,,,,,,
Which is not a nonstate actor that poses a threat to the United States?,us_foreign_policy,['Terrorists' 'Organized crime' 'Drug traffickers' 'China'],3,4.5390968220440486e-05,6.604346906194852e-05,6.20420975503121e-05,0.9998068184821578,1.0781299951254932e-05,,,1.1363406546311358e-06,,3.359016559053156e-07,3.25567048419069e-07,,,,,,,,,,,,,,,,,,,,,,
Who was the first American president to visit communist China?,us_foreign_policy,['Richard Nixon' 'George H. W. Bush' 'Jimmy Carter' 'Ronald Reagan'],0,0.9995269517069586,0.0001583818556688,7.963939840791208e-05,0.0001158746409488,3.769162821829985e-05,2.7251103569918432e-06,,1.8153148527720168e-06,,,,,,,,,,,,,,,,,,,,,,,,,
The Strategic Arms Reduction Treaty was the first accord,us_foreign_policy,"['on nuclear weapons signed between the United States and the Soviet Union.'
 'cutting conventional arms in Europe.'
 'to be rejected by the U.S. Senate.'
 'mandating the elimination of many long-range nuclear missiles.']",3,0.9215985543283834,0.0012226080090424,0.0007415492422944,0.0756400610574127,0.0002388859410185,,,4.4533493474011656e-05,,,,2.1036132793833363e-05,,,,,,,,,,,,,,,,,,,,,
What were the implications of the Cold War for American exceptionalism?,us_foreign_policy,"['It ended the influence of American exceptionalism entirely'
 ""Exceptionalism was enhanced by America's status as the 'leader of the free world'""
 'The extension of American power globally challenged core assumptions of exceptionalism'
 'Both b and c']",3,0.0003344678683276,0.0007537353358902,0.0015956577186011,0.9970830884301078,0.0001036925789957,6.521085280447485e-06,,1.3805137647039995e-05,,,,6.1259926961730455e-06,,,,,,,,,,,,,,,,,,,,,
Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,us_foreign_policy,"['He believed that internal reform rather than international negotiation was the key to economic regeneration of the US'
 'He believed that German domination of Europe would be in US interests'
 'He always favoured isolationism' 'All of the above']",0,0.9982424542692808,0.000625573018425,0.0002954997702012,0.0005520662511005,6.611973066811479e-05,,,2.140593155705293e-05,,,1.0111446097815196e-05,,,,,,,,,,,,,,,,,,,,,,
What was the 'New Populism'?,us_foreign_policy,"['A strand of neo-isolationist sentiment'
 'A strand of internationalist sentiment'
 'An expression of American cultural superiority'
 'Increased incorporation of public opinion in foreign policy making']",0,0.2110989677908054,0.7366181120406947,0.0081812010676759,0.0415475672490833,0.0008178515542639,0.000180746360528,,0.0001242250357713,,,,,,,,,,,,,,,,,,,,,,,,,
How did World War I shift economic power from Europe to the United States?,us_foreign_policy,"['The war reduced European population levels below that of the United States'
 'The United States seized German resources after the war'
 'European countries paid the United States for assistance'
 'The United States became a creditor country and financial centre, with European war spending boosting the US economy']",3,7.953283589667024e-05,0.0001021221827525,0.001598786047628,0.9981747105510504,2.278653899229034e-05,1.0995708491378398e-06,,2.721463988374581e-06,,,,,1.1344749746761567e-06,,,,,,,,,,,,,,,,,,,,
"In American government, the power to declare war rests with",us_foreign_policy,"['the president of the United States.' 'the secretary of defense.'
 'the chairman of the Joint Chiefs of Staff.' 'Congress.']",3,6.204227505443092e-05,3.763054201883664e-05,4.005750346512729e-05,0.9998118959008496,2.005816872896591e-05,,,1.2096317910773007e-06,,,,,,9.420621861190676e-07,,,,,,,,,,,,,,,,,,,
