question,subject,choices,answer,b,c,d,a,e,bc,f,i,none,'.,{',,'},',ad,cd,options,...',option,ab,g,bb,market,both,unit,labor,units,worker,hour,unite,unity,3,1,p,and,{}'.,4,db,s,abc,j,}'.,''',v,opportunity,2,cc,all,total,da,},solution,compare,factors,cand,dc,cdc,bd,wrong,ap,reg,decreasing,horizontal,h,}'
Marginal revenue equals marginal cost at the point where,high_school_microeconomics,"['total revenue is greater than total cost at its greatest distance'
 'total revenue is equal to total cost'
 'marginal product is at its highest point'
 'total product is at its highest point']",0,0.9971392635887472,0.002052059826081917,0.0003560422484428167,0.0003560422484428167,1.1444959322336868e-05,8.373311112880218e-06,6.941718728161234e-06,2.3989937994429193e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",high_school_microeconomics,"['Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.'
 'Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.']",2,0.00045785776944335353,0.00037957742285366845,0.998582471045123,0.00037957742285366845,4.0007185106875444e-05,,,,1.8755965694346943e-05,4.48868176746323e-06,3.721247887472483e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At a Nash equilibrium,",high_school_microeconomics,"['the supply curve intersects the demand curve'
 'neither party has an incentive to deviate from his or her strategy'
 'the marginal revenue curve intersects the marginal cost curve'
 'the equilibrium is unstable and each party would like to switch strategies']",1,0.9999713546832234,7.889046449792582e-06,3.0893949788534007e-06,1.0129736154963869e-05,2.4579074675413597e-07,,,,,,2.0376768603848343e-07,5.848490706973818e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,high_school_microeconomics,"['goods X and Y are normal goods.' 'goods X and Y are inferior goods.'
 'goods X and Y are complementary goods.'
 'goods X and Y are substitute goods.']",3,4.006140023950102e-05,3.3212067313625614e-05,0.999909704307241,1.300603243358439e-05,1.0029175309174043e-06,,,,,,,3.7729937612460885e-07,4.450419565777564e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An externality,high_school_microeconomics,"['causes the equilibrium price to be artificially high'
 'causes the equilibrium price to be artificially low'
 'exists when markets cannot reach equilibrium'
 'results in an equilibrium that does not maximize the total benefit to society']",3,0.00026105009729462725,0.0003351949599551092,0.99924099044832,0.00013973004799294357,9.50874909887547e-06,,,,,8.308652365963197e-07,,1.135658129382193e-06,,1.2472764479702448e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is one reason why the government discourages collusion between large firms in the same industry?,high_school_microeconomics,"['Collusive output levels tend to increase, driving the price above competitive levels.'
 'Consumer surplus falls as the price is driven downward.'
 'Collusive output levels tend to decrease, driving the price down to competitive levels.'
 'Joint profit maximization costs society consumer surplus as the price rises above competitive levels.']",3,0.00020142610529896588,0.0005143598243359307,0.009123328578727857,0.9900959757887229,6.892422302178115e-06,,,,,,,,3.2557497629151648e-06,,2.8731890813631636e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,high_school_microeconomics,"['Perfectly horizontal demand curve.' 'Highly inelastic demand curve.'
 'Highly elastic demand curve.'
 'A demand curve consisting of two discontinuous segments.']",3,1.777657913434722e-05,0.9998866290034911,7.966910041440362e-05,1.1477422123020095e-05,1.034720986311523e-06,,,,,1.1977764803228018e-07,,,1.4447942226103576e-07,,,2.964525259901584e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not the basis for a wage differential?,high_school_microeconomics,"['Higher risk job.' 'Investment in human capital.'
 'Increase in production of SUVs.' 'Racial discrimination.']",2,2.144170683580794e-05,0.9998611927271885,9.027295761888835e-05,1.0781567282639617e-05,4.494425912740878e-06,,3.3590998486890963e-07,,,,,,1.8159122216462677e-06,,,,3.689249448625501e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patents, control of resources, economies of scale, and exclusive licenses are",high_school_microeconomics,"['all requirements for price discrimination'
 'required in order for a firm to earn short-run profits'
 'all sources of elastic demand' 'all barriers to entry']",3,7.965816027963806e-05,7.483191632638156e-05,0.9997621522687972,7.029807971236783e-05,3.4999353007692066e-06,,,,,1.2875542425831796e-06,,3.92681857768689e-07,,4.051469179973452e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",high_school_microeconomics,"['increasing-cost industry' 'constant-cost industry'
 'decreasing-cost industry' 'profit-making industry']",1,0.9507086127087212,0.009317091676841596,0.0018346441301179321,0.03684981241639325,7.113690671915389e-05,,,,0.00019484518483080333,,,,,0.0001248491594192014,,,,7.572484302709596e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following is most likely an example of production inputs that can be adjusted in the long run, but not in the short run?",high_school_microeconomics,"['Amount of wood used to make a desk.'
 'Number of pickles put on a sandwich.'
 'The size of a McDonald’s kitchen.'
 'Number of teacher’s assistants in local high schools.']",2,0.0003561013347575867,0.9973916869463029,0.001595935459915873,0.0005871118451395401,1.7729241499463574e-05,,,,,,,,1.380754716304428e-05,3.1786778457009902e-06,,,,2.254020112363363e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The apple market is in equilibrium. Suppose we observe that apple growers are using more pesticides to increase apple production. At the same time, we hear that the price of pears, a substitute for apples, is rising. Which of the following is a reasonable prediction for the new price and quantity of apples?",high_school_microeconomics,"['Price rises, but quantity is ambiguous.'
 'Price falls, but quantity is ambiguous.'
 'Price is ambiguous, but quantity rises.'
 'Price is ambiguous, but quantity falls.']",2,0.0004845336180634127,0.0059028278758153285,0.0002019835663147565,0.9929168244352363,3.977292240675612e-05,,,1.0056169625297762e-05,0.00010940508233238731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is most likely to result in a shift to the right in the demand curve for orange juice?,high_school_microeconomics,"['A bumper crop of oranges in Florida' 'A decrease in the price of Tang'
 'Expectations of lower future prices for orange juice'
 'Expectations of higher future income among juice drinkers']",3,0.00016857747527393698,0.0002779372692450648,0.9994063491361176,0.00012333391559877835,5.418914063178457e-06,,,,7.806685882978123e-07,,,,4.782174876127093e-06,,,,,,9.126940469240789e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is accurate in regard to a perfectly competitive firm?,high_school_microeconomics,"['Demand is downward-sloping.'
 'The demand curve lies above the marginal revenue curve.'
 'Price is determined by the equilibrium in the entire market.'
 'Average revenue differs from price.']",2,0.00013127462297950028,0.9994281613008525,0.00013974110875820915,0.0002610707615246208,7.17814854884227e-06,,1.0669365316168837e-06,1.0669365316168837e-06,1.6525036268878443e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
