question,subject,choices,answer,b,a,c,d,'},e,Unnamed: 10,solution,f,i,bb,cc,{','.,',opportunity,option,bc,abc,and,none,1,s,3,2,inflation,4,...',g,db,both,all,7,ab,cd,''',x,da,cpi,",",the,only,:,.,",'",based,credit,not,...,bd,ca,0,6,options,structural,v,variable,infrastructure,education,government,economic,institutions,efficiency,institutional,policies,working,access,these,provided,those,given,them,listed,this,human,structure,struct,ad,medium,buying,they,as,despite,than,after,ac,}',w,},q,budget,}.,bs,}'.,fri,???,ba,unit,tariff
Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that,high_school_macroeconomics,"['inflation had already impacted the economy before the fiscal stimulus.'
 'the economy initially had some unemployed resources.'
 'aggregate supply decreased.' 'aggregate demand is steeply sloped.']",1,0.9999587543753984,1.1478254028092651e-05,8.397670039972329e-06,6.540112003105726e-06,6.681145027579779e-07,5.538863770649831e-07,5.368450847750774e-07,5.368450847750774e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens,high_school_macroeconomics,['II III and IV only' 'I and III only' 'II and IV only' 'III and IV only'],3,0.0001233736776979,2.752838846284544e-05,9.60835168015664e-05,0.9997339148285582,6.679565048597118e-07,9.513556486106058e-06,,,4.051360995519058e-07,3.358696233545634e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain?,high_school_macroeconomics,"['The price level rises but real GDP falls.'
 'Both the price level and real GDP rise.'
 'The price level rises but the change in real GDP is uncertain.'
 'Real GDP rises but the change in the price level is uncertain.']",3,0.999939027922701,1.3006367332911503e-05,2.5866250058112206e-05,1.4738145023307575e-05,,6.083158951146637e-07,7.946759951038111e-07,,,,1.9749125628227866e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tariffs and quotas,high_school_macroeconomics,"['result in lower domestic prices.'
 'sometimes raise and sometimes lower the amount of the product sold domestically.'
 'lower the amount of the product sold domestically.'
 'raise the amount of the product sold domestically.']",2,0.0001398020252822,3.534748756505012e-05,0.9997617893773576,5.4747259721342885e-05,3.358728264721716e-07,1.4140774175133944e-06,,,3.68884134347575e-07,,,3.1552332063204173e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A likely cause of falling Treasury bond prices might be,high_school_macroeconomics,"['expansionary monetary policy.' 'contractionary monetary policy.'
 'a depreciating dollar.'
 'fiscal policy designed to reduce the budget deficit.']",1,0.9998787400779852,7.966834063427778e-05,1.3844281720171788e-05,1.5687626415034e-05,,6.680597089318076e-07,9.131293571375176e-07,,,3.806489480440835e-07,,,3.575865941388201e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households demand more money as an asset when,high_school_macroeconomics,"['nominal GDP falls.' 'the nominal interest rate falls.'
 'bond prices fall.' 'the supply of money falls.']",1,0.0062698348028853,0.0023091609167657,0.0007971200430276,0.9905636163853524,2.537058365461243e-06,1.137030674729741e-05,,,3.4677476328848024e-06,,,,,2.310017929178355e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocative efficiency,high_school_macroeconomics,"['means that no inferior products will be produced.'
 ""implies that the economy's output is distributed evenly.""
 'means that those who work hardest will get more.'
 'implies that resources are used to produce the goods and services society desires in just the right amounts.']",3,4.539308939183015e-05,3.5352173564387603e-05,4.8320692130766266e-05,0.9998573062954118,3.500339197679575e-06,2.405745602696965e-06,,,,,,,,,4.887568645931991e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP measures,high_school_macroeconomics,"[""production within a nation's borders.""
 ""production by a nation's citizens wherever they may be.""
 'income earned by the factors of production plus depreciation and indirect business taxes.'
 '(A) and (C)']",3,0.0001022909063247,4.064722473786297e-05,1.6698531422364666e-05,0.9998331132329338,,1.8735233018455685e-06,3.359042186413483e-07,,,,,,,,2.535538067056638e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every choice results in a foregone best alternative which economists call the,high_school_macroeconomics,['accounting cost' 'switching cost' 'inferior cost' 'opportunity cost'],3,7.030223640658782e-05,2.282379451020874e-05,6.604283922534971e-05,0.9998064575741992,1.1363298176938404e-06,2.5607587739207125e-06,,,,,,,,,,1.2533607662683784e-05,1.4141853071741651e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When a nation is operating at the natural rate of unemployment,high_school_macroeconomics,"['there is no cyclical unemployment.' 'the inflation rate is zero.'
 'there is no structural unemployment.'
 'the nation is experiencing a recession.']",0,0.0002303561298081,0.999213438477924,0.0003797930510508,0.0001233007511092,,6.534700408464429e-06,,,2.8105396238689765e-06,1.3697476172350743e-06,,,,,2.40398193448869e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
