question,subject,choices,answer,d,a,c,b,e,none,'},f,g,j,i,bc,Unnamed: 16,',co,abc,...',ab,bb,''',1,solution,'.,4,{',3,cd,s,increase,2,h,state,option,imp,l,iii,the,political,},p,because,fourth,sol,economic,first,john
Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?,high_school_government_and_politics,"['Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater.'
 'Once a church has been recognized by the federal government, its tax-exempt status can never be revoked.'
 'Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment.'
 'State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.']",3,0.9989932461361009,0.0004885027658467,0.0002451758777409,0.0002451758777409,1.077227626636542e-05,5.524336804286737e-06,1.551893535784344e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements does NOT accurately describe voting behavior in the United States?,high_school_government_and_politics,"['Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.'
 'A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.'
 'Registered voters are more likely to vote in general elections than they are in primary elections.'
 'More women than men have voted in every presidential election since 1980.']",1,0.0026242384119027,0.0008519654753607,0.0015916810552146,0.9946461116935652,5.797697819812502e-05,,,2.572712812204739e-05,1.5604291992376846e-05,1.4207869541058616e-05,1.1778737556845994e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following plays the most significant role in forming a child's political views?,high_school_government_and_politics,"['The geographical area in which the child grows up' ""The child's family""
 'The media to which the child is exposed' ""The child's religion""]",1,8.059022290050039e-07,7.888903503049049e-06,3.535561260656659e-05,0.9999532493093384,7.979512650179031e-08,,,,,,,1.4004480836970325e-07,2.1152597697952209e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What power was granted to the states by the Articles of Confederation but not by the Constitution?,high_school_government_and_politics,"['Coining money' 'Authorizing constitutional amendments'
 'Having representation in Congress'
 'Appealing to the president to adjudicate disputes']",0,0.0002775042311681,0.9979669223572464,0.0010310533004753,0.0006253654385361,7.872189093795472e-06,,5.410471164780847e-06,,,,,,,1.0108090881405424e-05,4.485438138678749e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The primary function of political action committees (PACs) is to,high_school_government_and_politics,"['contribute money to candidates for election'
 'coordinate local get-out-the-vote campaigns'
 'promote the defeat of incumbents in the federal and state legislatures'
 'organize protest demonstrations and other acts of civil disobedience']",0,8.937039913709308e-06,0.999733975470632,2.013993034025686e-05,0.0002165246566547,,,2.4072045007297555e-06,,,,,,,9.419570767833922e-07,,6.679475867377625e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal judges are subject to which of the following disciplinary actions?,high_school_government_and_politics,"['Impeachment, conviction, and removal from office by Congress'
 'Removal from office by the appointing president'
 'Removal from office by the president-elect'
 'Recall elections by citizens residing in the district over which the judge has jurisdiction']",0,1.891823415755227e-05,0.9996519585625094,3.32025349596775e-05,0.0002611581668973,1.4139344763911014e-06,,1.2874019910665512e-06,1.1361282694974724e-06,,,,,,1.2874019910665512e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The amount of access cabinet secretaries have to the president is most likely to be controlled by the,high_school_government_and_politics,"['vice president' ""president's chief of staff"" 'national security advisor'
 'chair of the Federal Reserve Board']",1,1.1725830607465172e-06,1.8924531805600296e-05,8.939315851249103e-06,0.9999662791688352,,,2.3822469824036285e-07,,,,,,6.430903178163815e-07,,,,3.0588656742339337e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following defines the salience of a political issue?,high_school_government_and_politics,"['The amount of coverage the issue receives in the major news media'
 'The degree to which public opinion on the issue is likely to shift quickly'
 'The number of people affected by the issue'
 'The importance of the issue to a particular individual or group']",3,0.0001790791473554,0.997417830558485,0.0004295885422557,0.0019252822745702,4.772297628788055e-06,,3.602319242687459e-06,,,,,,,2.719173223387544e-06,,2.475835394281505e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voters who rely exclusively on television network news coverage of national elections are most likely to be aware of,high_school_government_and_politics,"['which special interest groups have endorsed which candidates'
 ""the relative strength of each candidate's support, as indicated by public opinion polls""
 ""candidates' positions on international issues""
 ""candidates' positions on domestic issues""]",1,0.0020260381748642,0.0080131364251541,0.0035558077339748,0.9860563988567614,1.75286564004957e-05,,,,,,,1.9862569884561627e-05,,,,1.3651331330895646e-05,,6.932718091367333e-05,2.3958832625996436e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which principle was established by the Supreme Court's decision in Marbury v. Madison?,high_school_government_and_politics,"['One man, one vote' 'Separate but equal' 'Judicial review'
 'Right to privacy']",2,2.902262283995376e-06,1.459349123946942e-06,0.999989223443907,3.9669222050026e-06,1.235932349097511e-07,,2.8736288070416535e-07,,,,,,1.125328136620996e-07,,,,,,,1.235932349097511e-07,,,,,,,,,,,,,,,,,,,,,,,,,,
