question,subject,choices,answer,b,a,c,d,bc,ba,bd,ab,e,cd,3,ac,4,ad,bcd,cb,f,abc,2,band,db,1,dc,abcd,'},da,r,aa,choice,g,dd,bac,cc,option,none
Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,international_law,"['The coastal State' 'The flag State' 'All States enjoy such jurisdiction'
 'The International Tribunal for the Law of the Sea']",1,0.8786640301319381,0.0721220651238357,0.030064949730907,0.0182353094468771,0.0001903025307666,7.00083886719433e-05,6.576679482494651e-05,5.803899272593189e-05,3.7472790128857066e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of justiciability?,international_law,"['Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders'
 'Justiciability refers to the just nature or cause of a particular right'
 ""Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice""
 'Justiciability refers to the obligation of a State to enforce a particular Right']",0,0.0014418866012115,0.0136802391782797,0.9590588836228408,0.025558051541527,,,,,1.4135765579508032e-05,2.811232666919926e-05,2.1893902023931523e-05,1.932130072161017e-05,7.566330077297041e-06,6.677262857147301e-06,,,,,,,,,,,,,,,,,,,,,
In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,international_law,"['R2P is essentially the same as humanitarian intervention'
 'R2P requires a call for assistance by the State in distress'
 'R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis'
 'R2P always involves armed force, whereas humanitarian intervention does not']",2,0.0139631015491347,7.327159735009395e-05,0.9788887857053072,0.0065957021443374,0.0002897947891305,,,,7.722769543109056e-06,1.4428032979094183e-05,1.3553882651264704e-05,,,,6.466195770888355e-05,1.6349103251057727e-05,,,,,,,,,,,,,,,,,,,
What is the 'Lotus principle'?,international_law,"[""The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'""
 'The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes'
 'The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas'
 'The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris']",0,0.0245071983365985,0.8115669854376428,0.0969278496850786,0.0666174719048174,,,,9.315900206157769e-06,0.0001457251975947,7.255230375570731e-06,,2.8694992777846117e-05,,2.8694992777846117e-05,,,9.315900206157769e-06,,,,,,,,,,,,,,,,,,
Which of these statements best describes the UK Constitution?,international_law,"[""The UK Constitution's only source of power is that of the sovereign""
 'The UK Constitution gives the judiciary the power to overturn acts of parliament'
 'The UK Constitution is uncodified and can be found in a number of sources'
 'The UK Constitution is based on a Bill of Rights']",2,0.0014997188138584,0.0006251758136948,0.9975288857546218,0.0002299893289759,1.218898788921736e-05,,,,6.524295069783156e-06,,2.009624360125892e-05,7.869802069320612e-06,,,,,,3.957184992835459e-06,,,,,,,,,,,,,,,,,
What is the obligation of the peaceful settlement of disputes?,international_law,"['It is an obligation of result, that is, States are under a strict obligation to resolve their disputes as soon as possible'
 'It is an obligation of conduct, ie States have an obligation to try to resolve their disputes through peaceful means. This does not entail an obligation to resolve their disputes'
 'It is a peremptory norm of international law and all States have a legal interest to safeguard its application in any given dispute'
 'It is an obligation which concerns solely international courts and tribunals']",1,0.9965903588557844,0.0013222564307176,0.0013222564307176,0.0006245897120177,6.938568257193192e-06,,1.2177566532423817e-05,6.123264995344787e-06,6.938568257193192e-06,,,,,,,,,,1.0095557243958472e-05,4.768803573328242e-06,,,,,,,,,,,,,,,
Which one of the following statements is false?,international_law,"['Protocol 14 changed the committee that hears admissibility cases from a three judge to a one judge formation'
 'Protocol 14 added a new criterion for admissibility'
 'Protocol 14 abolished the Commission of Human Rights'
 'Protocol 14 extended the judicial term of office for the European Court of Human Rights']",2,0.4405092909887744,0.4991624216454942,0.0071201695409338,0.0526113321718574,,7.357250865206337e-06,2.266192807672532e-05,0.0001477743339062,0.0001674502578688,,,,,4.797530211490275e-05,,,,,,,7.831752778880773e-06,,,,,,,,,,,,,,
Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,international_law,"['Rocks are the islands that are less than 10 square miles'
 'Rocks are the islands that do not have any maritime zone'
 'Rocks are the islands which cannot sustain human habitation or economic life of their own and according to article 121 (3) have no Exclusive Economic Zone or continental shelf.'
 'Rocks are the small islands that can sustain human habitation']",2,0.000158355274031,0.0001794400338033,0.9993331485094268,0.0002958466005466,,,,,1.6525855783337272e-06,2.258816669503179e-06,1.1471217575904653e-05,,,,1.2090574372807796e-06,,,,,,,,,,,,,,,,,,,,
What is the meaning of international legal personality?,international_law,"['It means that only States are considered subjects of international law'
 'It means having rights and duties under international law and a capacity to enforce these by or against the relevant actor'
 'It means that an entity may challenge the authority of States'
 'It is a term that is meant to denote legal, as opposed, to physical persons under international law']",1,0.997660282833583,0.0002953521383683,0.0010308802561251,0.000909748632966,4.2129719872085965e-06,,4.484685335959714e-06,3.492676451474272e-06,6.129838071415491e-06,,,,,,,,,,7.39399610579373e-06,,,4.2129719872085965e-06,,,,,,,,,,,,,
Which of the following is a treaty-based human rights mechanism?,international_law,"['The UN Human Rights Committee' 'The UN Human Rights Council'
 'The UN Universal Periodic Review' 'The UN special mandates']",0,0.1143843016315502,0.5808914149602131,0.2421515684542209,0.0612255046914506,0.0001181929724154,,,9.204877947067022e-05,0.0001719697601326,,,0.0003212818091684,,8.123276276955895e-05,,,,4.927016119290044e-05,,,,,,,,,,,,,,,,,
The UN Vienna Declaration 1993 declared that,international_law,"['Third generation rights are of primary importance'
 'Civil and political rights are core rights'
 'All types of rights are indivisible, interrelated and interdependent'
 'Social and economic rights are non-enforceable']",2,0.0045617063884715,0.0004808003160238,0.9850542822014048,0.0096571325001763,1.5455300833330418e-05,,,,1.3639255113927212e-05,6.926585282352372e-05,1.5455300833330418e-05,,,,1.984499909255149e-05,,,,,,,,5.685687433702122e-06,,,,,,,,,,,,
What is the principal source of immunity in respect of international organisations (IOs)?,international_law,"['The principal source of immunity for IOs is the UN Charter'
 'The principal sources of immunity for IOs are headquarters agreements and multilateral treaties providing specific immunities'
 'The principal source of immunity for IOs is customary law'
 'The principal source of immunity for IOs is the Vienna Convention on Diplomatic Immunities']",1,0.9384754620831126,0.015189729346434,0.0283381338367019,0.0171879429130743,0.000314808155636,,7.477349098460437e-05,,2.928171979583797e-05,,,,,,5.1391018691492e-05,,,,,,,,,,,,,,,,,,,,
Is there any hierarchy or priority among States under international law?,international_law,"['Yes, the States that were the founding members of the United Nations are vested with more powers and authority'
 'Yes, the Permanent Five Members of the UN Security Council (UK, USA, France, Russia, China) are in a superior position than the other States'
 'No, all States are considered equal as sovereign States (the principle of sovereign equality, enshrined in article 2, para 1 UN Charter)'
 'Whether there will be any hierarchy among States is a matter of each international organization to decide']",2,0.0008020414582353,0.0013247408727106,0.996659409747585,0.0011669634359003,1.45449723810729e-06,,,,2.717358585190277e-06,,1.2178356271436571e-05,,,,,,,,,,,,,,,,,,,,,,,,
What is the declaratory theory of recognition?,international_law,"['Recognition is determinate for the existence of statehood'
 'Recognition is simply declaratory of statehood but not determinate'
 'Recognition is merely a declaration of interest'
 'Recognition requires a declaration by the newly-created State']",1,0.8403211937319334,0.0885691942835425,0.0418371249827661,0.0287542074560931,7.127455432010689e-05,2.622044321302453e-05,4.898623703481424e-05,7.127455432010689e-05,1.9183286052556648e-05,,,,,,1.4939958199613876e-05,,,,,,,,,,,,,,,,,,,,
"What is the function of ""standard-setting in human rights diplomacy?",international_law,"['Standard-setting means putting forward binding legal standards'
 'Standard-setting means merely proposing binding legal standards'
 'Standard-setting means putting forward non-binding legal standards'
 'Standard-setting means setting certain standards of conduct in human rights treaties']",2,0.0112398601204423,0.3722130256553046,0.0732930947832164,0.5415667567375325,,,,3.5774010946798765e-05,0.0004938449880482,8.581739102638408e-05,,0.0001101917112717,,0.0003394143656702,,,,,,,,,,6.683465133249287e-05,,,,,,,,,,,
What dimension did the Kadi judgment introduce with respect to the incorporation of UN Security Council resolutions?,international_law,"['The Kadi judgment demanded that UNSC resolutions are construed in accordance with human rights'
 'The Kadi judgment demanded that all UNSC resolutions be incorporated without any further implementing legislation'
 'The Kadi judgment required that important UNSC resolutions be transformed and not merely incorporated'
 'The Kadi judgment claimed that UNSC resolutions are not binding if they violate human rights']",0,0.0331822949293828,0.0201260792342977,0.8557826144527144,0.09019882933311,4.98875627097751e-05,,3.0258336321815264e-05,,,0.0002533499481838,,2.079623014803509e-05,,,3.8852472903896666e-05,,,,,,,,2.670288808136493e-05,,,,,,,,,,,,
Magna Carta was,international_law,"['An agreement in 1689 which guaranteed freedom of speech in Parliament'
 'An agreement in 1215 between the King and his barons, which guaranteed certain protections for subjects'
 'A constitutional document in the 19th century guaranteeing the right to vote'
 'A document setting a complete Bill of Rights for England']",1,0.999171102846412,0.0002032990403554,0.0004876890451959,9.603166686826782e-05,3.086932873192579e-06,,,,2.559157237744933e-06,,,,,,1.993073660758608e-06,,,,3.963700268788188e-06,,,1.7588813322424118e-06,,,,,,,,,,,,,
Do individuals (physical) persons enjoy international legal personality in the same manner as States and international organisations?,international_law,"['Individuals enjoy international legal personality, but this is limited'
 'Individuals enjoy unlimited international legal personality'
 'Individuals do not enjoy any international legal personality'
 'Individuals can only bring claims before international courts']",0,0.0681327888063753,0.8300273128962937,0.0601269750860766,0.0413246253427923,8.950542052263991e-06,7.898825637576141e-06,,3.325529807305713e-05,0.0001315272553225,,,1.3022961842223285e-05,,3.325529807305713e-05,,,,,,,,,,,,,,,,,,,,,
Is there any hierarchy or priority among the various methods of peaceful settlement of disputes?,international_law,"['Yes, all the political methods (e.g. negotiation, mediation, inquiry, conciliation) should be exhausted prior to resorting to legal methods'
 'Legal methods prevail over the political methods, since they are binding upon the parties'
 'There is no hierarchy among these methods and the choice belongs to the disputing States'
 'It is a matter of an impartial third party to decide which method will have priority over the other']",2,0.0666989530308322,0.2989239688012729,0.5584634962925739,0.0755798154480644,2.8730069632455947e-05,,,,4.1802004656606505e-05,1.7425668087763402e-05,,2.237500072745268e-05,,,9.32728799355402e-06,,,9.928846385869332e-06,,,,,,,,,,,,,,,,,
Which of the following statements is false?,international_law,"[""In the 1990's it became apparent the European Court of Human Rights had to be reformed because it wasn't examining enough cases""
 ""In the 1990's it became apparent the European Court of Human Rights had to be reformed because the workload had increased""
 ""In the 1990's it became apparent the European Court of Human Rights had to be reformed because it was a part time court that could not process the growing number of complaints""
 ""In the 1990's it became apparent the European Court of Human Rights had to be reformed because of the growth in the number of individuals who could access the Court after the increase in the number of member states""]",3,0.1058015288245796,0.4184531888452585,0.3692836430325874,0.1058015288245796,2.9424288915567084e-05,,,2.9424288915567084e-05,0.0001093244959647,5.1641235289011306e-05,,8.514200306622301e-05,,3.549246735765948e-05,,,,,,,,,,,,,,,,,,,,,
