question,subject,choices,answer,a,c,b,d,e,bc,ab,0,ac,abc,bcd,abcd,ad,cd,bd,f,g,l,h,r,dc,4,2,3,m,1,5,6,v,i,none,ii,ba,cc,da,db,10,20,16,cos,41,49,50,100,40,400,9,k,30,s,cb
"The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate?",high_school_physics,['0.005 C' '0.01 C' '0.02 C' '0.5 C'],1,0.3906926389030336,0.304274628670486,0.2369670640187266,0.0678922005392409,1.5653209302853265e-05,8.918929812684094e-06,4.484719551524013e-06,3.49270309858254e-06,3.49270309858254e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields?,high_school_physics,"['the electric field produced by a finite-length charged rod'
 'the electric field produced by an infinitely long charged cylinder'
 'the electric field produced by an infinite plane of charge'
 'the magnetic field produced by an infinitely long, straight current-carrying wire']",0,0.1914701490474467,0.5897695791607922,0.1689718134717825,0.0484112408649002,,0.0002878636234151,5.0023197016778656e-05,,0.0002540387560306,0.0001447469200022,5.0023197016778656e-05,3.895810500840239e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A solid, metal object is isolated from other charges and has charge distributed on its surface. The charge distribution is not uniform. It may be correctly concluded that the",high_school_physics,"['electric field outside the object is zero'
 'the electric field outside the object is equal to the electric field inside the object'
 'the electric field outside the object is directly proportional to the distance away from the center of mass of the object'
 'the electric field outside the object, but very close to the surface, is equal to the surface charge density at any location divided by the permittivity of free space']",3,0.0784573503500276,0.0611026458903091,0.0154491719728755,0.8434960584340413,0.0001716247161283,,,,7.154382579200322e-05,,,0.0001040956522963,0.0002829613200586,0.0001514582803902,0.0001179558273705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing waves are produced by a 100-Hz generator in a string of fixed length. The tension in the string is increased until a new set of standing waves is produced. Will the wavelength of the new standing waves be greater than or less than the wavelength of the original standing waves?,high_school_physics,"['Less, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.'
 'Greater, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.'
 'Greater, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.'
 'Less, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.']",2,0.4595339697496022,0.2170684900963032,0.1915622701587025,0.131658694500936,5.671101407916926e-05,,,,,,,,,,,5.274946007192674e-06,4.955353184792585e-06,3.1994164816910944e-06,1.940544189335572e-06,1.712524236417177e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two identical capacitors are hooked in parallel to an external circuit. Which of the following quantities must be the same for both capacitors? I. the charge stored on the capacitor II.  the voltage across the capacitor III. the capacitance of the capacitor,high_school_physics,"['I only' 'II only' 'II and III only' '(E) I, II, and III']",3,0.2101222670365836,0.1855332986211841,0.0683325912260559,0.5039016716778727,0.0318177403550572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 1-kg object is released from rest at the top of a rough-surfaced incline. The object slides without rotating to the bottom of the incline. The objectâs kinetic energy at the bottom must be,high_school_physics,"['Equal to the blockâs gravitational potential energy when it was released, because total mechanical energy must be conserved.'
 'Equal to the blockâs gravitational potential energy when it was released, because the gain in kinetic energy compensates for the mechanical energy lost to thermal energy on the rough incline.'
 'Less than the blockâs gravitational potential energy when it was released, because the gravitational potential energy was converted both to thermal energy and to kinetic energy.'
 'Less than the blockâs gravitational potential energy when it was released, because the work done by the friction force must be greater than the blockâs gain in kinetic energy.']",2,0.090903341611242,0.523112644073859,0.0260442434222413,0.3595296904423209,0.0001988502049781,,,,9.9001687502108e-06,,,,6.392029364961068e-06,1.440466053482812e-05,,1.440466053482812e-05,,,,,7.243118186863362e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A student is experimenting with a simple spring-block oscillator of spring constant k and amplitude A. The block attached to the spring has a mass of m. If the student places a small block of mass m on top of the original block, which of the following is true?",high_school_physics,"['The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].'
 'The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].'
 'The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).'
 'The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).']",0,0.4450189909654334,0.4450189909654334,0.0773327095797899,0.0322370695026427,0.0001162650542011,1.782982353224179e-05,1.2254246556444764e-05,,4.277152316728801e-05,,,,,,,1.2254246556444764e-05,1.388588052893487e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How much work is required to charge a 10 ÂµF capacitor to a potential difference of 100 V ?,high_school_physics,['0.005 J' '0.01 J' '0.05 J' '0.1 J'],2,0.3588778352857293,0.1320237932321927,0.3167085780459208,0.1920934627788424,5.3422764693570975e-05,,6.791942344572819e-06,1.7343832370872352e-05,,,,,,,5.630717972653325e-06,5.2895700165291455e-06,,,,,,4.969091170193972e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A box of mass m slides on a horizontal surface with initial speed v0. It feels no forces other than gravity and the force from the surface. If the coefficient of kinetic friction between the box and the surface is Î¼, how far does the box slide before coming to rest?",high_school_physics,['v0^2/(2Î¼g)' 'v0^2/(Î¼g)' '2v0^2/(Î¼g)' 'mv0^2/(Î¼g)'],0,0.4547480861755988,0.0543119202200468,0.2148077858323415,0.2758186567111435,0.0001048466710352,6.296532008951065e-06,1.0381226254801831e-05,,,,,,1.1763470471565418e-05,,9.752259551783057e-06,1.0381226254801831e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A soccer ball, at rest on the ground, is kicked with an initial velocity of 10 m/s at a launch angle of 30Â°. Calculate its total flight time, assuming that air resistance is negligible.",high_school_physics,['0.5 s' '1 s' '2 s' '4 s'],1,0.2085907617392063,0.303497767499216,0.303497767499216,0.1840807011426109,3.305357245239123e-05,1.142300897917944e-05,,,,,7.375248914779784e-06,,,,,,,,,,,1.2159729762505469e-05,9.470007060975925e-06,7.850911602923036e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two identical containers are filled with different gases. Container 1 is filled with hydrogen and container 2 is filled with nitrogen. Each container is set on a lab table and allowed to come to thermal equilibrium with the room. Which of the following correctly compares the properties of the two gases?,high_school_physics,"['The average kinetic energy of the hydrogen gas is greater than the nitrogen gas.'
 'The average force exerted on the container by the hydrogen gas is greater than the nitrogen gas.'
 'The density of the hydrogen gas is less than the nitrogen gas.'
 'The pressures of the gases cannot be compared without knowing the number of molecules in each container.']",3,0.0552210300594848,0.8638022197428984,0.0158210899996031,0.0625736247886619,,0.0002557239806487,,,0.0007876856894643,0.0002557239806487,8.302142128031413e-05,8.302142128031413e-05,,0.0005413679294259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A girl of mass m and a boy of mass 2m are sitting on opposite sides of a see-saw with its fulcrum in the center. Right now, the boy and girl are equally far from the fulcrum, and it tilts in favor of the boy. Which of the following would NOT be a possible method to balance the see-saw?",high_school_physics,"['Move the boy to half his original distance from the fulcrum.'
 'Move the girl to double her original distance from the fulcrum.'
 'Allow a second girl of mass m to join the first.'
 'Move the fulcrum to half its original distance from the boy.']",3,0.1894674609696892,0.1475574069697448,0.1475574069697448,0.5150259869361199,4.949999550855102e-05,9.156578464577042e-06,9.156578464577042e-06,,,,,,1.9384476761624855e-05,1.2515558856718807e-05,1.9384476761624855e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When hot water is poured into a beaker containing cold alcohol, the temperature of the mixture will eventually reach the same temperature. Considering the scale of the size of the molecules of the fluids, which of the following is the primary reason for this phenomenon?",high_school_physics,"['The high temperature water will rise to the top of the container until it has cooled and then mixes with the alcohol.'
 'The molecules of the water continue to have a higher kinetic energy than the molecules of the alcohol, but the two liquids mix until the energy is spread evenly throughout the container.'
 'The hot water produces thermal radiation that is absorbed by the cold alcohol until the kinetic energy of all the molecules is the same.'
 'The water molecules collide with the alcohol molecules, transferring energy until the average kinetic energy of both the water and alcohol molecules are the same.']",3,0.0004299582394209,0.0001792332600624,0.0011687476692141,0.9981818908406588,1.566122772608487e-05,,,,,,,,,,1.2076642067738945e-06,2.556625145802867e-06,,,,,,2.8970358290382675e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A solid sphere (I = 0.06 kgÂ·m^2) spins freely around an axis through its center at an angular speed of 20 rad/s. It is desired to bring the sphere to rest by applying a friction force of magnitude 2.0 N to the sphereâs outer surface, a distance of 0.30 m from the sphereâs center. How much time will it take the sphere to come to rest?",high_school_physics,['4 s' '2 s' '0.06 s' '0.03 s'],1,0.2655025411911826,0.2343051702295575,0.2655025411911826,0.2343051702295575,0.0001009252042946,6.06102962618423e-06,,,,,,,,,,9.38750632595325e-06,,,,,,1.283119981932193e-05,8.81874606984462e-06,6.451932452410098e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
