question,subject,choices,answer,d,c,a,b,e,ad,cd,ac,f,dc,bd,bcd,bc,db,ab,abc,1,2,ba,3,4,st,dd,dale,abcd,brown,i,r,da,g,ca,h,bb,cb,ain,none,cc,choice,iii,iv,all,an,'},p,Ð°,aa,first,ii,rules
Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?,high_school_government_and_politics,"['Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater.'
 'Once a church has been recognized by the federal government, its tax-exempt status can never be revoked.'
 'Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment.'
 'State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.']",3,0.4734297631690281,0.325383200486622,0.1741650767085503,0.0267090795641841,3.543710099422497e-05,2.149368824433049e-05,1.8968113300740587e-05,1.0807705176312165e-05,6.9779789211530496e-06,6.9779789211530496e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements does NOT accurately describe voting behavior in the United States?,high_school_government_and_politics,"['Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.'
 'A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.'
 'Registered voters are more likely to vote in general elections than they are in primary elections.'
 'More women than men have voted in every presidential election since 1980.']",1,0.142165491912032,0.0169792507323206,0.0218017842986626,0.8181671812846759,2.8926173872398996e-05,,,,,,0.0004524817054639,3.9537391941785096e-05,3.277764917665097e-05,2.7173625592945477e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following plays the most significant role in forming a child's political views?,high_school_government_and_politics,"['The geographical area in which the child grows up' ""The child's family""
 'The media to which the child is exposed' ""The child's religion""]",1,0.0277209851209913,0.2321049390188955,0.5567908038201683,0.1807635082626565,9.39201535469174e-05,8.822981910342159e-05,,0.0005753306913928,,,,,0.0003489557038034,,0.0004480679929817,0.0003489557038034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What power was granted to the states by the Articles of Confederation but not by the Constitution?,high_school_government_and_politics,"['Coining money' 'Authorizing constitutional amendments'
 'Having representation in Congress'
 'Appealing to the president to adjudicate disputes']",0,0.1186823996734415,0.1956742201255203,0.6027190297295234,0.0815691408767415,0.0005496085479884,6.166439949157187e-05,,6.564141157127553e-05,4.802428261166412e-05,,,,2.570554611431904e-05,,2.414812580654549e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The primary function of political action committees (PACs) is to,high_school_government_and_politics,"['contribute money to candidates for election'
 'coordinate local get-out-the-vote campaigns'
 'promote the defeat of incumbents in the federal and state legislatures'
 'organize protest demonstrations and other acts of civil disobedience']",0,0.0047945117825494,0.0454890721025758,0.913672389666104,0.0354269249746776,7.280081601262219e-05,3.2305166277308704e-05,,0.0001746400789133,,,,,2.850920917720525e-05,,4.70037395812976e-05,1.265088488492367e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal judges are subject to which of the following disciplinary actions?,high_school_government_and_politics,"['Impeachment, conviction, and removal from office by Congress'
 'Removal from office by the appointing president'
 'Removal from office by the president-elect'
 'Recall elections by citizens residing in the district over which the judge has jurisdiction']",0,0.0006245992425731,0.0014983356916392,0.9966138836275108,0.0010297900568934,1.771852511679315e-05,1.0746828728223415e-05,,1.217775234876049e-05,,,,,,,,,4.8163944852074e-05,1.0746828728223415e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The amount of access cabinet secretaries have to the president is most likely to be controlled by the,high_school_government_and_politics,"['vice president' ""president's chief of staff"" 'national security advisor'
 'chair of the Federal Reserve Board']",1,0.0201799704620202,0.0904403530593812,0.1315899372364386,0.7572478726594685,8.247092691323294e-05,1.346300872650366e-05,,2.3628316162147388e-05,,,,,8.247092691323294e-05,,3.8956507447360015e-05,,,,1.2647326262449357e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following defines the salience of a political issue?,high_school_government_and_politics,"['The amount of coverage the issue receives in the major news media'
 'The degree to which public opinion on the issue is likely to shift quickly'
 'The number of people affected by the issue'
 'The importance of the issue to a particular individual or group']",3,0.1044109345724021,0.2504688113657507,0.6008434434946048,0.0435249530623721,0.0001778766198539,6.543715150933747e-05,2.727826314019097e-05,0.0001078876235874,,,,,2.124433269440857e-05,,1.8748057800292216e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voters who rely exclusively on television network news coverage of national elections are most likely to be aware of,high_school_government_and_politics,"['which special interest groups have endorsed which candidates'
 ""the relative strength of each candidate's support, as indicated by public opinion polls""
 ""candidates' positions on international issues""
 ""candidates' positions on domestic issues""]",1,0.0171390750947042,0.0362834222602148,0.0103953745240553,0.935771828389827,1.0090715584871198e-05,,,,,,3.108159216216003e-05,2.4206368314996268e-05,0.0001903978351069,,1.1434278755334112e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which principle was established by the Supreme Court's decision in Marbury v. Madison?,high_school_government_and_politics,"['One man, one vote' 'Separate but equal' 'Judicial review'
 'Right to privacy']",2,0.0001583792879295,0.9994879513180484,0.000180534396363,0.0001397692310314,1.55269590368077e-06,,1.2872301158307886e-06,,,,,,,,,,,,,4.220665060098233e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
