question,subject,choices,answer,a,d,c,b,ad,e,а,option,1,f,r,ac,3,с,cd,sol,bd,bcd,bc,2,law,choice,4,none,all,not,s,soc,rec,ab,ba,i,h,bs,g,cl,band,cod,no,analy,command,leg,equ,legal,solution,histor,greek,dg,interpret,options,austin,main,maine,gray,the,make
Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'?,jurisprudence,"['It demonstrates the difference between the internal and the external aspect of a rule.'
 ""It refutes the natural lawyer' view of the role of morality in law.""
 'It explains the nature of power-conferring rules.'
 'It illuminates the concept of a rule.']",3,0.9985656338582779,0.0006258260249725398,0.000552289528595096,0.00020317596314440323,4.488741698230536e-06,4.216782586913311e-06,3.4958355495872096e-06,2.8981494629779795e-06,2.257081071225222e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way?,jurisprudence,"['It is misinterpreted as a prediction.'
 'His concept of status is misrepresented.' 'It is taken literally.'
 'His idea is considered inapplicable to Western legal systems.']",0,0.9432970894294611,0.022184222786125835,0.02513801773258833,0.009247759915622402,7.441974125197916e-06,3.335261409863818e-05,,,2.4160552617624998e-06,5.114789029288352e-06,3.983401701254799e-06,3.7420595925921807e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following factors contributed significantly to the revival of natural law in the 20th century?,jurisprudence,"['Depression of the 1930' 'The rise of Fascism'
 'The international recognition of human rights after World War II'
 'The Bolshevik Revolution']",2,8.396556912481821e-06,0.0001088882068242254,0.9998211553433904,4.5391357815917744e-05,,9.420675766575584e-07,,,,,,,2.9017724224399904e-06,2.9017724224399904e-06,5.713928687639907e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following criticisms of Llewellyn's distinction between the grand and formal styles of legal reasoning is the most compelling?,jurisprudence,"['There is no distinction between the two forms of legal reasoning.'
 'Judges are appointed to interpret the law, not to make it.'
 'It is misleading to pigeon-hole judges in this way.'
 'Judicial reasoning is always formal.']",2,2.7527390862474015e-05,0.000179501136668821,0.9996948416554069,5.8275486913161084e-05,,6.538328425215658e-06,,,,,,,4.7835432630738595e-06,1.8732624572716187e-06,,2.1226844556454968e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which proposition below is the most consistent with what Rawls claims the POP would opt for in respect of 'social primary goods'?,jurisprudence,"['The POP will choose wealth over a compassionate society.'
 'The POP will choose equality over power.' 'The POP will be unselfish.'
 'The POP will choose to protect the disabled.']",0,0.0009866548637110747,0.041953642368145985,0.0014355743558909053,0.9548941538492295,,7.53320284593049e-06,,,,,,,,,,,0.0005984364253953566,1.5947790549981494e-05,6.648028178075117e-06,6.245244512435836e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ________ School believes that promoting market efficiency should be the central goal of legal decision-making.,jurisprudence,['Law and Economics' 'Critical Legal Studies' 'Historical' 'Natural Law'],0,0.9994702764244561,6.958554263274654e-06,1.4731259490952641e-05,0.00048783254858030304,,,3.9257476806150747e-07,,8.310807905079282e-07,,,,,,,,,,,,1.1472716427181981e-05,6.472463704431767e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which statement below is the least likely to follow logically from Austin's argument that a sanction consists of the smallest chance of incurring the smallest evil?,jurisprudence,"['All commands include some sanction.'
 'The concept of a command contains the likelihood that a sanction will follow failure to obey the command.'
 'Without a sanction the mere expression of a wish is not a command.'
 ""A command confers power to change one's legal status.""]",3,0.00092438368610572,0.9985514822938971,0.00023168227418718504,0.00023022501535569496,,2.2795363460981606e-05,,,,1.4572588314900853e-06,,,,,,,,,,,,,6.952193062105085e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does Weber solve the 'England problem'?,jurisprudence,"['By denying its existence.'
 'By explaining the difference between the common law and civil law.'
 'By distinguishing certain features of the English legal system that facilitated the development of capitalism.'
 'By recognizing the importance of legitimate domination.']",2,4.529630918849925e-05,2.424536716287397e-05,0.9977275621346233,0.002183185146759132,,1.0007258175803577e-06,,,,,,,5.409872657909551e-06,,,,,,1.456047472966201e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cicero's conception of natural law is 'based on the idea that 'true law is right reason in agreement with Nature.' Reason is a key element because:,jurisprudence,"['It is a sin for humans not to apply reason.'
 'The principles of natural law are discoverable by reason.'
 'Natural law does not apply without good reason.'
 'The law of nature is the basis of all positive law.']",1,3.3917586579574336e-05,0.00020339774977763117,6.716975184708517e-05,0.9996614973555839,,1.2094472299951184e-06,,,,,,,1.2094472299951184e-06,,,,,,,1.3002783117541041e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Catharine MacKinnon argues that since men dominate women, the question is ultimately one of power. Which proposition below is the most inconsistent with this argument?",jurisprudence,"['Women can achieve equality through political pressure.'
 'Equality is impossible because men define women as different.'
 ""The idea of 'woman' needs to be redefined.""
 'The world is phallocentric and oppressive.']",0,0.8929105556133854,0.0570791001504857,0.02099822746592947,0.026962257771644065,,0.00020585932935899702,,,,,,,,,,,,,,,,,,0.0010698960886375087,6.683273920513355e-05,5.5406286848812536e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
