question,subject,choices,answer,b,c,d,a,2,band,ب,с,e,3,r,bc,а,1,option,choice,ac,i,cd,rock,bs,ab,no,ad,the,ba,abc,4,require,recommend,impose,propose,suggest,required,provide,mandate,allow,have,letter,under,none,there,bcd,f,hand,bd,sol,g,un,yes,da,cb,mon
Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,international_law,"['The coastal State' 'The flag State' 'All States enjoy such jurisdiction'
 'The International Tribunal for the Law of the Sea']",1,0.9999543031972202,1.4738454245139794e-05,1.300664022022065e-05,1.3293994331439464e-05,1.4593045888255957e-06,2.237916068360012e-07,1.1978701516559824e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of justiciability?,international_law,"['Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders'
 'Justiciability refers to the just nature or cause of a particular right'
 ""Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice""
 'Justiciability refers to the obligation of a State to enforce a particular Right']",0,4.538586050017141e-05,0.9996965206623637,0.0001795045604139484,5.2887843712038965e-05,,,,3.2877407074228476e-06,1.653179847872728e-06,1.5530187442716354e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,international_law,"['R2P is essentially the same as humanitarian intervention'
 'R2P requires a call for assistance by the State in distress'
 'R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis'
 'R2P always involves armed force, whereas humanitarian intervention does not']",2,0.00026098911001034463,0.9989821197829759,0.000709442293455185,5.416656170510884e-06,,,,1.8719462824175692e-06,,3.7228097128890947e-06,4.780182292841591e-06,1.8719462824175692e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the 'Lotus principle'?,international_law,"[""The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'""
 'The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes'
 'The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas'
 'The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris']",0,6.60478780863287e-05,3.11988084874979e-05,1.3005598317661363e-05,0.9998722197995127,,,,,,,,,2.9019412354459293e-06,1.653476274335526e-06,8.850420726230916e-07,3.6894042589411504e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements best describes the UK Constitution?,international_law,"[""The UK Constitution's only source of power is that of the sovereign""
 'The UK Constitution gives the judiciary the power to overturn acts of parliament'
 'The UK Constitution is uncodified and can be found in a number of sources'
 'The UK Constitution is based on a Bill of Rights']",2,6.604523263638057e-05,0.9998371140085623,5.828471323208489e-05,1.2217139590281259e-05,,,,1.5532349961433969e-06,7.336962607249596e-07,8.39670905789304e-06,,,,,,,6.892438514624288e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the obligation of the peaceful settlement of disputes?,international_law,"['It is an obligation of result, that is, States are under a strict obligation to resolve their disputes as soon as possible'
 'It is an obligation of conduct, ie States have an obligation to try to resolve their disputes through peaceful means. This does not entail an obligation to resolve their disputes'
 'It is a peremptory norm of international law and all States have a legal interest to safeguard its application in any given dispute'
 'It is an obligation which concerns solely international courts and tribunals']",1,0.9998882489240107,1.5688000441652665e-05,8.397181527005554e-06,5.8287992817758756e-05,5.421627879058653e-06,1.067581827999201e-06,,,,,,,,,1.067581827999201e-06,,,6.892826340888794e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which one of the following statements is false?,international_law,"['Protocol 14 changed the committee that hears admissibility cases from a three judge to a one judge formation'
 'Protocol 14 added a new criterion for admissibility'
 'Protocol 14 abolished the Commission of Human Rights'
 'Protocol 14 extended the judicial term of office for the European Court of Human Rights']",2,0.0002303873271514177,0.9992636596537537,0.0002610630433678298,0.00018198520281503203,,,,6.535585408971421e-06,3.964032929711697e-06,2.2586378800175273e-06,,,,,,,,,1.9932409331757047e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,international_law,"['Rocks are the islands that are less than 10 square miles'
 'Rocks are the islands that do not have any maritime zone'
 'Rocks are the islands which cannot sustain human habitation or economic life of their own and according to article 121 (3) have no Exclusive Economic Zone or continental shelf.'
 'Rocks are the small islands that can sustain human habitation']",2,0.0002611711183299409,0.9996812735223692,1.2215135753005934e-05,8.936784226604048e-06,,,,3.088469986490128e-06,,8.395331842017268e-06,,,,,1.2094622245319515e-06,,,,,2.725565196803025e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of international legal personality?,international_law,"['It means that only States are considered subjects of international law'
 'It means having rights and duties under international law and a capacity to enforce these by or against the relevant actor'
 'It means that an entity may challenge the authority of States'
 'It is a term that is meant to denote legal, as opposed, to physical persons under international law']",1,0.9998427727593572,5.143661848411772e-05,6.604592548207763e-05,2.0058857383360008e-05,4.494481633927567e-06,,,,7.337039575454098e-07,1.0675329590999685e-06,,,,7.337039575454098e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a treaty-based human rights mechanism?,international_law,"['The UN Human Rights Committee' 'The UN Human Rights Council'
 'The UN Universal Periodic Review' 'The UN special mandates']",0,9.609652948091934e-05,3.535193756395564e-05,4.222186837242968e-06,0.9998531851791449,,,,,,,,,1.3707433743588763e-06,1.4591487266033929e-06,6.474933224384886e-07,3.9272455201814136e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
