question,subject,choices,answer,d,c,b,a,e,f,bd,bcd,bc,ad,ab,ba,ac,cd,4,3,db,1,dc,2,r,cis,i,0,h,m,abc,iii,5,g,none,z,an,aa,ii,8,da,no,n,bf,6,t,88,84,cb,152,dd,abcd,ca,str,band,64
"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test?",high_school_statistics,"['P(t > 1.54) with df = 6' '2P(t > 1.54) with df = 6'
 'P(t > 1.54) with df = 7' '2P(t > 1.54) with df = 7']",1,0.44276316284381545,0.20914650891324166,0.18457114630231722,0.16288346491828315,0.00035630617528260145,3.314163689651631e-05,1.2192126860997272e-05,9.495237946650584e-06,7.871828741824809e-06,7.394898748300794e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders?",high_school_statistics,"['0 to 31.7 minutes' '31.7 to 39.3 minutes' '25.3 to 44.7 minutes'
 '25.3 to 35 minutes']",2,0.11134550712872729,0.0867159681433355,0.49901597207373505,0.3026684687085765,8.960342647867138e-05,6.097589695440799e-06,3.474301880718427e-06,,3.936899801623251e-06,3.474301880718427e-06,1.0701603191216503e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All of the following statements are true for all discrete random variables except for which one?,high_school_statistics,"['The possible outcomes must all be numerical.'
 'The possible outcomes must be mutually exclusive.'
 'The mean (expected value) always equals the sum of the products obtained by multiplying each value by its corresponding probability.'
 'Approximately 95% of the outcomes will be within two standard deviations of the mean.']",3,0.008041591855437962,0.00295833631790734,0.9294911537634639,0.05942187428022329,1.0023003601660593e-05,1.3564660313123254e-06,,,,,3.2864163585439766e-05,2.380672025263151e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a true statement about hypothesis testing?,high_school_statistics,"['If there is sufficient evidence to reject a null hypothesis at the 10% level, then there is sufficient evidence to reject it at the 5% level.'
 'Whether to use a one- or a two-sided test is typically decided after the data are gathered.'
 'If a hypothesis test is conducted at the 1% level, there is a 1% chance of rejecting the null hypothesis.'
 'The power of a test concerns its ability to detect an alternative hypothesis.']",3,0.6176196752639834,0.07376415767173433,0.0164590043903752,0.2917428682148576,5.936046679511781e-05,,6.660059794248333e-06,,,7.622034811138e-05,9.103222417264769e-06,,2.803989906910727e-05,1.5008676431258663e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An outlier is an observation that,high_school_statistics,"['is seen more frequently than the other observations in the data set'
 'is seen less frequently than the other observations in the data set'
 'is always smaller than the other observations in the data set'
 'is significantly different from the other observations in the data set']",3,0.994798557932537,0.000706480350982502,0.0031662252674068787,0.0011647891819965431,1.8827072617000945e-05,,1.1419196774847239e-05,,,,,,,,2.0041314478441667e-05,1.072734261712901e-05,9.466846632580078e-06,6.506462194530705e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The principal of a school is interested in estimating the average income per family of her students. She selects a random sample of students and collects information about their family income. A 95 percent confidence interval computed from this data for the mean income per family is ($35,095, $45,005). Which of the following provides the best interpretation of this confidence interval?",high_school_statistics,"['95 percent of the students in her school are from families whose income is between $35,095 and $45,005.'
 'There is a 95% probability that the families of all the students in this school have an income of between $35,095 and $45,005.'
 'If we were to take another sample of the same size and compute a 95 percent confidence interval, we would have a 95% chance of getting the interval ($35,095, $45,005).'
 'There is a 95% probability that the mean income per family in the school is between $35,095 and $45,005.']",3,0.9378544306262029,0.05995502474626937,0.00035650569375155166,0.0015977476711996183,9.013875551023305e-05,7.39903962201743e-06,,5.762377851603526e-06,,,,,,3.757542367330303e-05,7.876236678951247e-06,,,,1.5663767002728737e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Researchers are conducting an experiment using a significance level of 0.05. The null hypothesis is, in fact, false. If they modify their experiment to use twice as many experimental units for each treatment, which of the following would be true?",high_school_statistics,"['The probability of a Type I error and the probability of a Type II error would both decrease.'
 'The probability of a Type I error and the power would both increase.'
 'The probability of a Type II error and the power would both increase.'
 'The probability of a Type I error would stay the same and the power would increase.']",3,0.7608774025464853,0.1697747017431989,0.026035793756935887,0.042925766966621794,0.00015481448872701995,1.4399990591353782e-05,2.095186268100263e-05,1.2707947094117028e-05,,1.2707947094117028e-05,,,,3.9143232754458205e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The mean height of adult men is 70 inches, with a standard deviation of four inches. The mean height of adult women is 66 inches, with a standard deviation of three inches. Between a man with a height of 74 inches and a woman with a height of 70 inches, who is more unusually tall within his or her respective sex?",high_school_statistics,"['It cannot be determined, because the mean heights for the two groups are different.'
 'It cannot be determined, because the standard deviations of the heights for the two groups are different.'
 'The man, because he is 74 inches tall and the woman is only 70 inches tall.'
 'The woman, because her height is 1.33 standard deviations above the mean height of all women, whereas the man’s height is only one standard deviation above the mean height of all men.']",3,0.8205434842193818,0.006264927652878827,0.08648463793496203,0.08648463793496203,5.4202244522309566e-05,6.081323294626467e-06,1.9939891425105112e-05,4.449191167026007e-06,,1.2094155500667286e-05,,,,,,,6.891042083905237e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not true about t-distributions?,high_school_statistics,"['There are different t-distributions for different values of df (degrees of freedom).'
 't-distributions are bell-shaped and symmetric.'
 't-distributions always have mean 0 and standard deviation 1.'
 't-distributions are more spread out than the normal distribution.']",2,0.05079256647778975,0.9003197763284533,0.044824282590971605,0.003679401174797155,1.8137929418952037e-05,,,2.3289562380022732e-05,9.805272004667012e-05,,,,1.100121029629816e-05,4.9304003945410046e-05,,,,,9.120323670857205e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To study the effect of alcohol on reaction time, subjects were randomly selected and given three beers to consume. Their reaction time to a simple stimulus was measured before and after drinking the alcohol. Which of the following is a correct statement?",high_school_statistics,"['This study was an observational study.'
 'Lack of blocking makes this a poorly designed study.'
 'The placebo effect is irrelevant in this type of study.'
 'This study was an experiment in which the subjects were used as their own controls.']",3,0.9964555221269242,0.00037878151135019446,0.0024699657216398856,0.0006245051347110077,1.8858429994472986e-05,,8.908091566596958e-06,,,2.552210964699834e-06,,,,,4.768157817314658e-06,2.552210964699834e-06,,,,2.397580319294807e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
