question,subject,choices,answer,b,c,d,a,bc,e,3,f,ad,2,1,4,g,ab,ba,bd,option,Ñ,none,ac,n,band,i,cd,dc,choice,Ð°,an,aa,s,bcd,cb,long,db,sol,wrong,m,bs,air,v,sc,abcd,abc,mr,private,da,dim,abd,ii,factors,acd,scar,all,price,iv,reg,not,p,ind
Marginal revenue equals marginal cost at the point where,high_school_microeconomics,"['total revenue is greater than total cost at its greatest distance'
 'total revenue is equal to total cost'
 'marginal product is at its highest point'
 'total product is at its highest point']",0,0.6594720196166484,0.3115560683736541,0.0225658902454439,0.0057206066935378,0.0002212281507976,0.0001341816562502,2.057742344546223e-05,1.602571349291787e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",high_school_microeconomics,"['Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.'
 'Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.']",2,0.0117601457788274,0.0465217315161152,0.5000623853319202,0.441318838179208,,0.0001306434187462,,1.5603131285372997e-05,1.072386484800486e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At a Nash equilibrium,",high_school_microeconomics,"['the supply curve intersects the demand curve'
 'neither party has an incentive to deviate from his or her strategy'
 'the marginal revenue curve intersects the marginal cost curve'
 'the equilibrium is unstable and each party would like to switch strategies']",1,0.9999200633734854,3.5354634805637134e-05,2.4298861457484547e-05,1.1477969422203484e-05,,3.25604929784488e-07,4.737523773937923e-07,,,1.760203620189118e-06,3.058775243560126e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,high_school_microeconomics,"['goods X and Y are normal goods.' 'goods X and Y are inferior goods.'
 'goods X and Y are complementary goods.'
 'goods X and Y are substitute goods.']",3,5.1433184833991456e-05,7.483484235992865e-05,0.9997771789973756,6.1007292764640046e-05,,1.2216452190457744e-05,,,,,,5.421017798249741e-06,1.0027874612426494e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An externality,high_school_microeconomics,"['causes the equilibrium price to be artificially high'
 'causes the equilibrium price to be artificially low'
 'exists when markets cannot reach equilibrium'
 'results in an equilibrium that does not maximize the total benefit to society']",3,0.1165980118744857,0.0031072317676687,0.0178808842451963,0.8615796488023051,,0.0001365222359286,,,3.046222836657085e-05,,,,,0.0003711059131053,3.046222836657085e-05,2.2286642365524965e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is one reason why the government discourages collusion between large firms in the same industry?,high_school_microeconomics,"['Collusive output levels tend to increase, driving the price above competitive levels.'
 'Consumer surplus falls as the price is driven downward.'
 'Collusive output levels tend to decrease, driving the price down to competitive levels.'
 'Joint profit maximization costs society consumer surplus as the price rises above competitive levels.']",3,4.0050016609673344e-05,5.827243032239109e-05,0.9996254625043188,0.0002362416846959,,5.420180341501185e-06,,,,,,1.300233671007334e-05,,,,,1.2874056743584614e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,high_school_microeconomics,"['Perfectly horizontal demand curve.' 'Highly inelastic demand curve.'
 'Highly elastic demand curve.'
 'A demand curve consisting of two discontinuous segments.']",3,0.0013316171625781,0.997771128463022,0.0003823419827972,0.0004486395875894,,7.871280738155274e-06,8.919329592095355e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not the basis for a wage differential?,high_school_microeconomics,"['Higher risk job.' 'Investment in human capital.'
 'Increase in production of SUVs.' 'Racial discrimination.']",2,0.0002610769860108,0.999331553070258,7.479980884190151e-05,0.0002672169282166,,4.219916450480594e-06,3.724063196714904e-06,,,,,,,,,,,5.090190872598906e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patents, control of resources, economies of scale, and exclusive licenses are",high_school_microeconomics,"['all requirements for price discrimination'
 'required in order for a firm to earn short-run profits'
 'all sources of elastic demand' 'all barriers to entry']",3,0.0047473228657494,0.0450413345414432,0.0450413345414432,0.9046793947421936,,4.372131121683947e-05,,,1.940121424569026e-05,,,,,,,,,,0.000260971873794,1.510968084707967e-05,1.0384721652151152e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",high_school_microeconomics,"['increasing-cost industry' 'constant-cost industry'
 'decreasing-cost industry' 'profit-making industry']",1,0.0003799140447451,0.9994503986370068,1.3838368068268364e-05,0.0001233400320105,1.45855326359715e-06,9.417127653580928e-07,4.7824120351500365e-06,,,,,,,,,,,,,2.122182476297212e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following is most likely an example of production inputs that can be adjusted in the long run, but not in the short run?",high_school_microeconomics,"['Amount of wood used to make a desk.'
 'Number of pickles put on a sandwich.'
 'The size of a McDonaldâs kitchen.'
 'Number of teacherâs assistants in local high schools.']",2,0.0370132176494714,0.3978559511046715,0.0538415002211735,0.5108586491426954,,0.0001334597040489,,1.1661578976125312e-05,,,,,,,,,,,,2.797467369447314e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The apple market is in equilibrium. Suppose we observe that apple growers are using more pesticides to increase apple production. At the same time, we hear that the price of pears, a substitute for apples, is rising. Which of the following is a reasonable prediction for the new price and quantity of apples?",high_school_microeconomics,"['Price rises, but quantity is ambiguous.'
 'Price falls, but quantity is ambiguous.'
 'Price is ambiguous, but quantity rises.'
 'Price is ambiguous, but quantity falls.']",2,0.9964074140428866,0.0004291858034428,0.0016974627810046,0.001321985343081,,8.907471422659994e-06,,,,1.0744461475865422e-05,,,,7.860815940358245e-06,,1.2960294445927268e-05,,,,,,7.860815940358245e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is most likely to result in a shift to the right in the demand curve for orange juice?,high_school_microeconomics,"['A bumper crop of oranges in Florida' 'A decrease in the price of Tang'
 'Expectations of lower future prices for orange juice'
 'Expectations of higher future income among juice drinkers']",3,2.1443588171609136e-05,4.570195287305997e-05,0.999917598504056,6.647995729921277e-06,,1.7601969055579882e-06,,,,,,2.726246298890256e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is accurate in regard to a perfectly competitive firm?,high_school_microeconomics,"['Demand is downward-sloping.'
 'The demand curve lies above the marginal revenue curve.'
 'Price is determined by the equilibrium in the entire market.'
 'Average revenue differs from price.']",2,0.001027984116078,0.9948790718754884,0.0031664139947636,0.0008050669207125,,7.848755581747289e-06,7.848755581747289e-06,,,,,,,,,,,,,5.067537475647829e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Economists use the term ""capital"" to mean",high_school_microeconomics,"['money.' 'plant and equipment.'
 'where the central government is located.' 'the center of the economy.']",1,0.9999386434773468,1.3006094451327704e-05,1.473783580796302e-05,2.09183049477606e-05,,4.180802210663042e-07,,,,5.421746801109908e-06,3.927500209736318e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ray and Dorothy can both cook and can both pull weeds in the garden on a Saturday afternoon. For every hour of cooking, Ray can pull 50 weeds and Dorothy can pull 100 weeds. Based on this information,",high_school_microeconomics,"['Ray pulls weeds, since he has absolute advantage in cooking.'
 'Dorothy pulls weeds, since she has absolute advantage in cooking.'
 'Dorothy cooks, since she has comparative advantage in cooking.'
 'Ray cooks, since he has comparative advantage in cooking.']",3,0.9711841443081064,0.0039689111302518,0.0201860968511725,0.0045029710008945,,3.43378093872119e-05,,5.60549328996175e-06,,2.2170156031615203e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your aunt runs a small firm from her home making apple pies. She hires some friends to help her. Which of the following situations would most likely increase her demand for labor?,high_school_microeconomics,"['The price of apple peelers/corers rises.'
 'Your auntâs friends gossip all day, slowing their dough-making process.'
 'There is a sale on ovens.'
 'A new study reveals that apples increase your risk of cancer.']",2,5.142180637507996e-05,0.9995592779559808,0.0002033771894446,0.0001420382783494,,6.53754904218501e-06,1.6529512573797655e-06,,,,,,,,,,,4.493187366263947e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mrs. Johnson spends her entire daily budget on potato chips, at a price of $1 each, and onion dip at a price of $2 each. At her current consumption bundle, the marginal utility of chips is 12 and the marginal utility of dip is 30. Mrs. Johnson should",high_school_microeconomics,"['do nothing; she is consuming her utility maximizing combination of chips and dip.'
 'increase her consumption of chips until the marginal utility of chip consumption equals 30.'
 'decrease her consumption of chips until the marginal utility of chip consumption equals 30.'
 'decrease her consumption of chips and increase her consumption of dip until the marginal utility per dollar is equal for both goods.']",3,0.0001231620744165,0.0017026012713624,0.9980051496799186,7.470157424743816e-05,,2.010565595302001e-05,3.719172384244268e-06,,,,,1.7743179102971694e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the absence of intervention, imperfect competition, externalities, public goods, and imperfect information all result in which of the following?",high_school_microeconomics,"['Demand curves that should be added vertically' 'Market failure'
 'Prices that are too low' 'Quantities of output that are too high']",1,0.9999311776941708,3.535493825820403e-05,1.8924134757286988e-05,5.054708867690361e-06,,3.0588014973513e-07,1.136482628054924e-06,,,3.288521523161392e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marginal cost (MC) is equal to average variable cost (AVC) and average total cost (ATC) when:,high_school_microeconomics,"['marginal cost (MC) intersects AVC and ATC at their maximum points.'
 'AVC and ATC intersect MC at its maximum point.'
 'MC intersects AVC and ATC at their minimum points.'
 'AVC and ATC intersect MC at its minimum point.']",2,6.598976559031291e-05,0.99919716570079,0.0006318595852802,5.756093761860241e-05,,3.2854369710242246e-06,5.088584324975072e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"After Julia received a raise in her income, she began purchasing more ice cream cones and fewer popsicles. For Julia, popsicles",high_school_microeconomics,"['disobey the law of demand' 'are a joint product'
 'are a complementary good with ice cream' 'are an inferior good']",3,1.5676245310881418e-05,0.0008061595469202,0.999137182379037,1.02188399091805e-05,,4.219204187206723e-06,1.2088222385673257e-06,,,,,1.2208672123733886e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following conditions is characteristic of oligopoly?,high_school_microeconomics,"['A rival firm matches price decreases of rivals, but fails to match any price increases of rivals.'
 'A rival firm matches price increases of rivals, but fails to match any price decrease of rivals.'
 'A rival firm fails to match both price increases or price decreases of rivals.'
 '(I)) Rival firms act independently of each other.']",0,7.960408946480861e-05,0.0002957650729451,0.9990679632149142,0.0002460170450244,,4.260899864288696e-05,,,,,,6.199572721087911e-05,6.955727818608099e-06,,,,,,,,,,9.020325083484111e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is characteristic of oligopoly? I. Formidable barriers to entry. II. Price (P) = Marginal Revenue (MR). III. Relatively few sellers.,high_school_microeconomics,['I only.' 'II only.' 'III only.' 'I and III only.'],3,0.0002596086486273,0.0024760246070451,0.9937495674300332,0.0032107050733839,,,,,6.987271987656074e-05,,,,,,,,,,,,,,8.971834825460674e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A monopoly is less efficient than a perfect competitor because,high_school_microeconomics,"['a monopoly produces more output and sells for a higher price'
 'a monopoly produces less output and sells for a higher price'
 'a monopoly can make profit in the short run but not in the long run'
 'a perfect competitor breaks even in the short run and the monopoly does not']",1,0.9964378503373836,0.0003787717581523,0.0011666991513553,0.0019280408574786,,5.075542042373315e-06,,,,5.075542042373315e-06,,,,5.075542042373315e-06,,,,,,,,3.952836117112176e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the design of a competitive market system, which of the following does NOT describe how resources are allocated?",high_school_microeconomics,"['Price signals that guide producers on what, when, how, and for whom to produce goods and services.'
 'Active government ownership and direction of production.'
 'Voluntary market exchange between buyers and sellers.'
 'Distribution of income and goods on the basis of contribution or productivity.']",1,0.9990140615433676,0.0001403467403673,0.0005525231713759,0.0002652121587069,,2.121229447149902e-06,,,,1.992710651877225e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A production possibility frontier will be a straight line when,high_school_microeconomics,"['efficiency is achieved'
 'the goods on the axes are perfect substitutes in consumption'
 'utility is maximized' 'resources are not specialized']",3,0.2940161182793057,0.0088884814544492,0.6224020107466822,0.0743819119726958,,9.26511885002433e-05,,,,,,1.2538974837889222e-05,,,,4.111371567279805e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is correct?,high_school_microeconomics,"['Economic Profits = Accounting Profits.'
 'Economic Costs = Explicit Costs plus Implicit Costs.'
 'Economic Costs = Explicit Costs minus Implicit Costs.'
 'Opportunity Costs = Economic Profits.']",1,0.9994582136097434,0.0003799129578038,6.601897284550221e-05,4.276745959585388e-05,2.259045023642062e-06,,2.12217640469313e-06,,,1.2212282017403306e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If the per unit price of labor, a variable resource, increases, it causes which of the following?",high_school_microeconomics,"['An upward shift in AFC.' 'An upward shift in MPL.'
 'A downward shift in ATC.' 'An upward shift in MC.']",3,0.0017408369717633,0.6198921062028181,0.375962460295277,0.0017872286835493,,5.256869644537295e-05,,,,,,,,,,,,,,,,,,0.0002355965523011,5.956813705681392e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If the wage paid to all units of labor is $4.50, how many units of labor are hired?",high_school_microeconomics,['1' '2' '3' '4'],1,0.2148124490264032,0.1149926311231418,0.4547279204297205,0.2148202362795826,,0.0001958705896678,,,,,1.9393814681241625e-05,9.252271522472986e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
