question,subject,choices,answer,c,d,b,a,Ñ,3,e,choice,1,Ð°,sol,ab,ba,ad,bc,all,abcd,4,bcd,2,cd,band,f,option,s,social,0,ac,bd,i,solution,g,response,functional,function,none,not,n,db,30,local,mass,bx,income,wrong,class,letter,cs,bs,sc,m,r
Mass-society theory suggests that:,sociology,"['the content of the media is determined by market forces'
 'the subordinate classes are dominated by the ideology of the ruling class'
 ""the media manipulate 'the masses' as vulnerable, passive consumers""
 'audiences make selective interpretations of media messages']",2,0.9997730190531364,0.0001233812080594,7.483448552044376e-05,1.720206153594255e-05,2.122890949352661e-06,1.2875984480088484e-06,6.082184402006204e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ecological approach to urban sociology involved studying:,sociology,"['how social groups colonized different areas of the city and competed for resources'
 'the forms of wildlife and natural habitats that could be found on the edges of the city'
 'the way in which people organized collective protests about environmental issues'
 ""how men and women used the city's public spaces differently""]",0,2.429635888075578e-05,4.005792368726601e-05,8.48026251114114e-05,0.9998261950290892,,,,2.2599134109724666e-06,2.122992179094894e-06,1.6533879715335717e-06,1.5532142583573124e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becker proclaimed that cannabis use was:,sociology,"['increasing throughout all sections of youth in the 1970s'
 'learned gradually through the social processes of a deviant career'
 'a dangerous pastime that young people should not be allowed to pursue'
 'not as enjoyable as other sociologists had suggested']",1,0.0024911582526481,0.0041072255998211,0.1059267443359842,0.8869315601306097,,,2.2942774331986885e-05,,,,,0.00026256614809,4.286274539801426e-05,2.2942774331986885e-05,1.0837399221515682e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The middle classes that developed over the nineteenth century were:,sociology,"['an urban set, involved in civic bodies and voluntary associations'
 'too diverse to have a strong sense of class consciousness'
 ""often involved in 'white collar' work"" 'all of the above']",3,2.75318803488614e-05,0.9998438412985944,1.4736753605345468e-05,4.5392396753538655e-05,,,,,,,,,,,,5.343072688543555e-05,2.40570889421234e-06,8.85010843624004e-07,8.313907472319637e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technological forms of surveillance have made it easier to:,sociology,"[""access and exchange 'private' information about consumers""
 'reduce prison overcrowding by the use of electronic tagging'
 ""monitor employees' activities at work"" 'all of the above']",3,9.606821541224798e-05,0.9995574617625232,9.606821541224798e-05,0.0002066636871846,,,1.669415263243316e-05,,,,,,,,,8.935735985950236e-06,,1.993832201589164e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The concept of gemeinschaft developed by Ferdinand TÃ¶nnies describes basically the same relational characteristics as,sociology,['organic solidarity' 'mechanical solidarity' 'gesellschaft' 'anomie'],1,0.0003356624313819,7.886368509580527e-06,0.9996285520121708,2.1974046324357294e-05,,,2.237190543345779e-07,,,,,,,,,,,,,1.2874142687472332e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was a growth in income inequality in the 1980s because:,sociology,"['rates of income tax increased equally for all occupational groups'
 'there were more professional jobs available but not enough people to fill them'
 'the price of consumer goods rose at a higher rate than earnings'
 'growing unemployment made more people dependent on welfare benefits']",3,0.9996779702319228,0.0002304835821941,6.603465189614144e-05,8.395363867727775e-06,1.6531451631430375e-06,2.259581531251849e-06,1.0026832264018956e-06,,,,,,,,,,,7.33578719318271e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If a deviant act is 'normalized', it is:",sociology,"['recognised as breaking an important norm of behaviour'
 ""seen a temporary aberration from an otherwise 'normal' character""
 'the first step in establishing a deviant career'
 ""attributed to the person's genetic or anatomical make up""]",1,0.4334154226249767,0.4334057360441285,0.0664713002443837,0.0664837380603935,,,6.0607379244695344e-05,,,,,,,,,,,,,,5.295813778658012e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the debate about the 'managerial revolution', John Scott (1997) argued that:",sociology,"['owners still exercised control through groups of shareholders and interlocking directorships'
 'ownership and management were becoming increasingly separate functions'
 'the techniques of scientific management were overly bureaucratic and inefficient'
 'managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses']",0,0.0001233816787223,3.119577377786023e-05,0.9997770469229028,4.639236952406871e-05,,8.849559845371121e-07,,,7.336542794892701e-07,,,,,,,,,,,5.77063790462016e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marxist feminists explain patriarchy in terms of:,sociology,"['a lack of equal rights and opportunities for men and women'
 'sex classes, through which men oppress women economically, politically and sexually'
 ""women's domestic labour being exploited by the capitalist economy""
 'the dual systems of capitalism and male domination']",2,2.7534821228001656e-05,1.4738327744515182e-05,0.9999438170955048,6.961893069843892e-06,,3.927631306386937e-07,2.8735164484928e-07,,2.2378968602547546e-07,,,,,,,,,,,1.4592920635675928e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
